科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,006,199,106.94","1,087,562,691.56","405,232,459.66","1,044,950,747.62","411,457,886.92","1,041,485,859.21","1,455,882,163.84","1,047,164,480.93","621,402,602.50","525,472,760.96","831,274,202.51","1,344,977,288.87","765,393,865.20","879,338,751.83","1,528,026,074.75","1,483,036,689.36","755,565,499.27","882,853,333.99","1,159,189,516.29","1,507,203,814.18","715,329,639.52","2,413,197,311.70","1,916,173,217.52","2,487,108,890.81","612,804,195.26","1,351,505,450.38","1,572,722,607.78","2,435,668,644.80","508,462,678.03","1,283,287,434.25","1,898,777,355.01","2,593,146,300.51","471,941,858.46","1,237,220,843.44","1,921,316,518.92","2,576,400,440.15","658,011,602.95","1,417,111,134.69","2,400,402,459.31","3,921,266,328.84","855,349,419.03"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"5,825,588.69",,,,"148,427,468.36",,,,,,,,,,,,,,"15,000,000.00",,,,,,,,"146,000,000.00","268,000,000.00","238,897,253.47",,,,,
收到的税费返还,,"18,168,112.25","3,446,950.20","16,215,584.25",,"3,041,488.50","27,988,623.43",,,"11,051,683.73","18,747,376.20",,,,"777,304.05",,"7,543,087.03",,"10,693,110.41","228,392.78",,"10,013,212.57","29,297,812.01","11,029,013.99",,,"4,229,412.77","977,101.94",,,"10,711,049.92","652,075.35","89,476.51",,"13,636,084.05","5,511,798.90","5,572,803.30","17,986,271.38","18,419,972.52","3,304,593.39","1,147,608.68"
支付其他与投资活动有关的现金,,,,,,,"1,112.25",,,,"-3,559,134.67",,,"173,848.86","4,811,376.26","13,674,000.00","5,630,231.09","2,669,000.00","12,921,023.77",,"8,941,755.28","20,000,000.00","7,760,000.00","766,010.00","1,444,586.16",,,"1,586,801.16",,,,"1,447,100.00",,"2,500,000.00",,"5,519,708.73",,,,"13,750,200.00",
收到其他与经营活动有关的现金,"16,012,624.25","27,934,337.39","5,516,877.17","19,184,334.71","5,048,979.37","21,990,076.45","25,482,303.76","15,130,385.78","40,835,199.89","20,933,268.29","18,789,668.82","40,086,090.17","5,298,934.54","26,571,296.30","84,013,626.95","80,518,393.15","6,887,982.90","30,277,638.50","60,651,327.60","66,617,996.63","5,067,693.04","316,025,145.38","436,810,274.18","88,121,396.24","87,289,070.61","38,071,971.45","45,518,089.92","75,540,221.13","88,625,813.66","58,583,043.06","95,553,984.40","51,910,007.81","77,053,122.08","40,031,224.52","46,118,255.78","50,094,362.98","49,864,118.67","73,238,428.46","77,068,201.27","131,639,522.38","45,632,292.20"
投资活动现金流出小计,"181,889,855.06","115,876,448.03","26,553,780.65","89,011,795.12","20,715,520.09","49,315,168.19","121,239,364.88","208,917,346.21","174,257,251.29","212,510,553.97","437,787,634.28","465,240,834.14","77,288,100.37","94,367,193.24","174,440,255.94","418,631,581.15","190,159,952.16","476,080,229.75","1,219,761,989.26","1,510,395,532.57","31,597,286.16","943,712,929.68","502,376,102.27","2,813,625,964.83","135,564,021.54","532,680,926.61","802,779,227.28","1,855,850,994.54","278,610,771.99","1,328,562,520.25","2,261,501,555.20","3,179,472,622.85","639,747,267.59","2,102,570,386.71","3,227,699,113.69","4,135,094,622.87","393,290,858.73","1,377,779,657.69","2,299,107,354.50","3,381,365,106.65","585,801,028.97"
经营活动现金流入小计,"1,022,211,731.19","1,133,665,141.20","414,196,287.03","1,080,350,666.58","416,506,866.29","1,066,517,424.16","1,509,353,091.03","1,062,294,866.71","662,237,802.39","557,457,712.98","868,811,247.53","1,385,063,379.04","770,692,799.74","905,910,048.13","1,612,817,005.75","1,563,555,082.51","769,996,569.20","913,130,972.49","1,230,533,954.30","1,574,050,203.59","720,397,332.56","2,739,235,669.65","2,382,281,303.71","2,586,259,301.04","700,093,265.87","1,389,577,421.83","1,622,470,110.47","2,512,185,967.87","597,088,491.69","1,341,870,477.31","2,005,042,389.33","2,645,708,383.67","549,084,457.05","1,277,252,067.96","1,981,070,858.75","2,632,006,602.03","713,448,524.92","1,508,335,834.53","2,495,890,633.10","4,056,210,444.61","902,129,319.91"
投资活动产生的现金流量净额,"-149,369,603.17","-115,780,448.03","-26,553,780.65","-88,092,167.13","-20,715,520.09","-49,195,168.19","-121,119,364.88","-183,178,618.33","-172,637,251.29","-207,970,553.97","-430,487,634.28","-380,321,327.68","-53,104,100.37","-69,081,116.35","-144,684,323.66","-380,841,950.10","-183,645,608.81","-430,916,638.91","-1,169,380,037.32","-1,422,388,989.06","371,449,477.54","-560,260,359.71","-126,971,353.22","-571,427,367.82","-61,349,492.00","-105,671,790.25","40,081,922.79","-667,597,434.75","61,135,389.40","-113,851,349.54","-376,725,913.25","-423,943,772.18","-157,749,019.68","-266,684,359.99","-556,240,851.14","-651,767,368.96","-150,168,329.07","-148,806,713.98","-447,684,333.98","-796,011,660.10","-108,904,489.36"
购买商品、接受劳务支付的现金,"552,349,101.38","463,640,909.17","333,537,971.57","513,968,044.88","319,396,229.77","802,375,455.38","1,098,530,450.74","743,699,834.89","490,919,458.44","107,037,625.32","172,277,634.73","722,917,342.06","492,233,300.89","310,532,090.67","636,832,684.23","295,837,230.35","541,834,691.42","244,607,670.51","102,351,106.50","380,206,028.48","570,143,063.95","816,051,585.24","249,021,032.27","106,508,433.36","396,223,259.99","335,435,876.65","463,797,383.70","173,034,772.41","218,527,507.36","316,276,190.95","342,300,114.70","412,860,732.72","226,354,981.24","360,466,419.70","491,884,629.40","749,102,696.90","200,678,256.52","270,423,936.74","557,012,241.43","1,196,609,328.94","171,148,291.61"
吸收投资收到的现金,,,,,,"2,166,284,000.00","2,166,284,000.00","2,153,572,300.00","33,228,800.00","33,228,800.00","33,228,800.00","45,000,000.00",,,"33,335.53",,,,,,,,,,,,,,"45,498,180.00",,,,"49,000,000.00","49,000,000.00","49,000,000.00","49,000,000.00","24,500,000.00","24,500,000.00","49,000,000.00","49,000,000.00",
