科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"57,453,032.91","160,257,878.61","227,197,815.54","421,016,825.73","88,394,047.26","204,615,894.69","277,672,515.32","431,136,129.36","50,732,972.58","145,707,864.54","226,025,566.33","336,750,298.93","44,800,010.01","126,698,692.01","222,084,664.72","548,365,496.13","97,076,980.59","227,652,892.12","380,239,481.41","1,187,212,780.32","141,756,359.81","349,017,773.82","495,641,480.19","650,269,328.84","155,920,132.89","403,871,108.40","586,950,079.52","1,122,308,670.00","78,813,574.79","280,626,090.91","520,157,123.12","770,774,321.45","116,381,147.65","378,652,039.88","602,276,006.51","1,098,557,233.93","150,783,393.97","429,802,851.97","623,582,718.14","1,291,172,670.03","187,301,948.61","397,291,579.01","600,576,002.16","1,539,894,634.33"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"1,050,440.72","1,527,224.30","1,994,773.05","4,741,857.26","938,255.15","1,719,809.29","2,972,719.48","3,354,716.99","1,091,421.74","2,228,013.97","3,167,838.89","4,707,176.75","367,745.74","1,561,175.55","2,289,030.21","2,578,517.85","801,499.54","1,422,750.90","1,769,076.33","3,136,784.96","331,378.34","642,781.46","919,106.94","919,106.94","924,296.71","1,294,747.44","1,365,389.64","3,277,884.07","181,209.14","604,535.82","1,142,451.72","2,242,839.79","16,818,083.73","16,818,083.73","18,314,547.62","19,498,156.62","272,581.19","1,142,167.48","1,220,420.13","2,182,214.86","606,786.31","831,025.66","1,133,168.60","4,047,747.25"
支付其他与投资活动有关的现金,,,,,,,,,,,,"544,732.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,353,765.26","3,488,144.96","11,820,749.94","8,549,665.13","2,491,483.84","3,611,673.94","8,071,329.17","14,868,683.82","4,926,740.50","10,700,818.60","16,783,218.19","21,492,808.55","9,708,070.08","16,363,926.65","25,065,969.08","36,802,766.76","3,618,822.49","9,774,441.18","12,287,647.91","49,832,970.28","9,897,526.09","32,995,467.34","49,734,367.33","52,607,707.98","20,040,791.65","38,712,252.66","53,534,702.92","72,120,708.20","58,638,073.29","81,241,393.52","100,019,185.58","139,930,235.10","12,201,289.98","51,183,186.31","62,710,099.34","55,183,432.16","34,708,213.62","65,180,915.68","108,372,149.02","156,468,570.73","36,378,108.85","74,494,749.77","131,954,838.74","192,867,211.98"
投资活动现金流出小计,"2,391,471.67","12,530,450.75","13,663,889.80","20,239,690.73","1,333,502.00","4,812,065.20","8,233,128.58","10,723,829.11","837,383.48","1,367,849.54","2,128,790.50","12,216,561.31","170,780.00","4,395,165.10","8,410,145.29","16,046,669.02","1,313,282.40","2,151,481.68","2,704,829.81","5,327,470.78","1,466,220.70","2,296,157.23","2,617,458.42","3,298,146.43","342,534.00","496,244.76","691,621.83","4,239,879.36","1,892,477.63","3,030,009.07","3,986,784.80","6,945,694.95","882,144.77","2,668,198.87","9,154,271.50","3,734,963.88","2,981,421.51","4,928,063.25","5,968,185.10","13,011,051.26","462,841.34","1,205,638.99","2,504,731.29","8,190,309.52"
经营活动现金流入小计,"60,857,238.89","165,273,247.87","241,013,338.53","434,308,348.12","91,823,786.25","209,947,377.92","288,716,563.97","449,359,530.17","56,751,134.82","158,636,697.11","245,976,623.41","362,950,284.23","54,875,825.83","144,623,794.21","249,439,664.01","587,746,780.74","101,497,302.62","238,850,084.20","394,296,205.65","1,240,182,535.56","151,985,264.24","382,656,022.62","546,294,954.46","703,796,143.76","176,885,221.25","443,878,108.50","641,850,172.08","1,197,707,262.27","137,632,857.22","362,472,020.25","621,318,760.42","912,947,396.34","145,400,521.36","446,653,309.92","683,300,653.47","1,173,238,822.71","185,764,188.78","496,125,935.13","733,175,287.29","1,449,823,455.62","224,286,843.77","472,617,354.44","733,664,009.50","1,736,809,593.56"
投资活动产生的现金流量净额,"-2,191,471.67","-12,326,950.75","-12,728,429.80","-19,303,110.73","-1,333,502.00","-3,504,125.20","-6,925,188.58","-8,483,929.11","-837,383.48","-369,169.54","-1,100,240.50","28,694,646.37","129,220.00","-3,567,265.10","-7,581,145.29","-6,591,169.02","-1,236,282.40","-1,593,981.68","-2,043,829.81","13,036,029.22","-1,409,116.70","-1,650,303.23","-63,904.42","-355,492.43","-338,534.00","-491,896.76","1,353,143.17","-2,195,114.36","-1,890,727.63","-3,028,259.07","-2,504,984.80","-5,457,014.95","-856,144.77","4,693,802.92","8,851,434.69","18,914,029.12","-2,881,161.51","-4,925,203.25","-4,354,414.92","21,448,230.84","-462,841.34","220,878.30","-966,866.00","-6,665,869.74"
购买商品、接受劳务支付的现金,"68,500,068.69","137,011,007.85","222,600,920.29","354,403,788.62","59,667,091.70","149,840,085.28","206,065,064.55","253,817,446.11","44,081,232.79","96,314,865.42","162,815,211.03","221,753,382.70","47,680,232.60","86,533,267.57","174,673,947.66","457,938,820.33","63,380,849.34","164,359,144.21","290,674,645.81","1,059,337,378.76","111,952,218.07","258,412,293.93","414,976,651.38","566,899,503.72","158,983,407.18","381,649,972.52","577,160,441.74","852,300,556.03","145,960,445.69","275,969,158.98","412,776,466.63","479,456,075.84","134,790,251.81","303,832,593.21","528,294,238.17","713,246,927.63","256,481,787.51","485,032,495.18","657,396,396.09","933,717,802.69","326,546,000.06","543,213,573.48","771,147,087.96","1,305,685,332.03"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"11,000,000.00","11,000,000.00","11,000,000.00","11,000,000.00",,,,,,,"4,770.11","4,770.20",,,,,,,,
支付给职工以及为职工支付的现金,"15,199,689.18","25,774,381.24","37,807,981.19","52,526,654.89","16,630,799.48","30,281,740.86","43,626,733.41","60,063,994.68","17,076,095.20","30,299,167.75","42,669,912.72","59,527,830.50","16,057,736.69","29,684,176.14","41,822,515.92","57,087,244.53","16,082,825.24","34,238,197.70","50,660,579.62","96,296,355.98","34,784,598.26","59,655,901.04","86,112,446.61","105,441,828.61","37,112,393.92","73,064,719.11","100,622,189.26","139,863,633.45","47,009,020.12","76,604,458.16","108,736,793.26","152,215,294.56","46,554,176.66","82,826,444.21","110,506,737.47","160,591,580.65","52,289,186.44","89,590,744.30","124,045,702.39","171,095,559.98","57,969,272.78","100,542,344.87","143,300,837.35","198,167,617.73"
取得借款收到的现金,"15,000,000.00","112,000,000.00","137,000,000.00","170,000,000.00",,"25,000,000.00","75,000,000.00","50,000,000.00",,,,"26,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","46,074,866.00",,"17,453,230.00","26,053,230.00","56,053,230.00",,,,,,"30,000,000.00","30,000,000.00","90,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,"60,000,000.00","60,000,000.00",,,"50,000,000.00","69,000,000.00"
支付的各项税费,"2,444,396.73","6,403,162.16","9,579,508.31","10,906,267.73","4,936,841.34","11,317,228.39","14,629,546.32","17,364,222.57","5,154,236.26","8,868,058.26","14,634,258.25","18,390,745.27","4,630,906.14","7,826,168.73","10,309,471.55","14,407,234.99","4,495,477.15","10,029,306.17","12,420,223.70","56,385,552.02","9,527,418.70","19,931,884.54","30,176,210.66","36,891,415.88","15,188,877.67","25,264,010.58","39,791,437.31","51,842,180.57","16,380,359.87","27,982,607.65","36,714,730.33","42,799,307.16","12,795,295.23","22,071,560.63","27,067,428.91","36,387,512.03","13,275,756.00","23,203,066.70","33,738,009.45","39,113,715.44","10,979,725.08","20,723,321.39","29,991,185.57","31,071,085.29"
收到其他与筹资活动有关的现金,,,,"110,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"11,926,742.37","22,763,259.43","43,636,248.76","48,533,701.30","11,390,896.49","25,834,146.68","41,582,784.62","60,604,610.29","13,899,118.82","25,125,739.59","42,054,523.98","47,645,752.11","11,908,231.61","26,633,222.73","38,997,816.84","58,684,743.22","16,251,619.46","27,755,002.21","45,310,961.15","97,418,064.85","29,804,975.94","53,136,002.44","77,403,431.15","157,066,173.48","22,993,951.54","48,787,033.66","91,223,226.72","112,532,654.22","21,382,309.01","49,270,032.82","78,100,294.47","135,875,005.85","27,286,145.97","90,201,176.08","114,646,185.86","172,569,058.59","50,702,122.35","84,398,817.77","159,441,979.22","217,021,468.28","53,653,195.55","103,082,500.20","186,117,146.85","285,363,260.85"
筹资活动现金流入小计,"15,000,000.00","112,000,000.00","137,000,000.00","170,110,000.00",,"25,000,000.00","75,000,000.00","50,000,000.00",,,,"26,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","46,074,866.00",,"17,453,230.00","26,053,230.00","56,053,230.00",,,,,"11,000,000.00","41,000,000.00","41,000,000.00","101,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,"4,770.11","4,770.20",,,"60,000,000.00","60,000,000.00",,,"50,000,000.00","69,000,000.00"
经营活动现金流出小计,"98,070,896.97","191,951,810.68","313,624,658.55","466,370,412.54","92,625,629.01","217,273,201.21","305,904,128.90","391,850,273.65","80,210,683.07","160,607,831.02","262,173,905.98","347,317,710.58","80,277,107.04","150,676,835.17","265,803,751.97","588,118,043.07","100,210,771.19","236,381,650.29","399,066,410.28","1,309,437,351.61","186,069,210.97","391,136,081.95","608,668,739.80","866,298,921.69","234,278,630.31","528,765,735.87","808,797,295.03","1,156,539,024.27","230,732,134.69","429,826,257.61","636,328,284.69","810,345,683.41","221,425,869.67","498,931,774.13","780,514,590.41","1,082,795,078.90","372,748,852.30","682,225,123.95","974,622,087.15","1,360,948,546.39","449,148,193.47","767,561,739.94","1,130,556,257.73","1,820,287,295.90"
偿还债务支付的现金,"95,000,000.00","95,000,000.00","195,000,000.00","230,000,000.00",,"8,000,000.00","68,000,000.00","68,000,000.00",,,,"25,000,000.00",,,"10,000,000.00","36,074,866.00","10,000,000.00","10,000,000.00","18,600,000.00","36,053,230.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,"60,000,000.00",,"10,000,000.00","30,000,000.00","60,000,000.00",,,,,,,"40,000,000.00","60,000,000.00",,,,"69,000,000.00"
经营活动产生的现金流量净额,"-37,213,658.08","-26,678,562.81","-72,611,320.02","-32,062,064.42","-801,842.76","-7,325,823.29","-17,187,564.93","57,509,256.52","-23,459,548.25","-1,971,133.91","-16,197,282.57","15,632,573.65","-25,401,281.21","-6,053,040.96","-16,364,087.96","-371,262.33","1,286,531.43","2,468,433.91","-4,770,204.63","-69,254,816.05","-34,083,946.73","-8,480,059.33","-62,373,785.34","-162,502,777.93","-57,393,409.06","-84,887,627.37","-166,947,122.95","41,168,238.00","-93,099,277.47","-67,354,237.36","-15,009,524.27","102,601,712.93","-76,025,348.31","-52,278,464.21","-97,213,936.94","90,443,743.81","-186,984,663.52","-186,099,188.82","-241,446,799.86","88,874,909.23","-224,861,349.70","-294,944,385.50","-396,892,248.23","-83,477,702.34"
分配股利、利润或偿还利息支付的现金,"413,011.25","6,546,996.26","7,546,978.01","8,745,678.01","2,122,116.00","3,939,502.00","4,656,267.00","5,850,034.50","488,365.49","1,446,205.00","1,886,500.33","2,360,997.50","137,263.50","1,033,549.50","1,208,779.50","1,352,744.07","49,648.50","677,248.50","977,694.03","1,822,892.91","504,291.67","1,893,514.31","3,987,814.31","2,192,941.68","146,800.00","2,611,500.01","2,871,766.67","5,107,656.67","450,000.00","13,708,102.94","14,477,736.27","16,395,984.02",,"4,407,690.01","9,654,386.20","12,548,942.01",,"10,955,362.85","14,443,948.22","18,086,060.19","753,120.00","11,722,780.43","13,139,321.98","18,246,151.56"
收回投资收到的现金,,,,,,,,,,,,"26,070,591.54",,,,"8,100,000.00",,,,,,,,"2,292,000.00",,,,,,,,,,,,"7,873,226.00",,,,"12,965,631.42",,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"462,606.34",,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"200,000.00","200,000.00","931,960.00","931,960.00",,"1,307,940.00","1,307,940.00","2,039,900.00",,"991,960.00","991,960.00","1,463,920.00","300,000.00","750,000.00","750,000.00","1,267,500.00",,"450,000.00","553,500.00","553,500.00",,"569,250.00","2,472,450.00","569,250.00",,,"1,366,200.00","1,366,200.00",,,"1,480,050.00","1,480,050.00",,"1,536,975.00","1,536,975.00","14,663,749.00","100,000.00",,"1,536,975.00","21,407,545.50",,,,
筹资活动现金流出小计,"95,413,011.25","101,546,996.26","202,546,978.01","238,745,678.01","2,122,116.00","11,939,502.00","72,656,267.00","73,850,034.50","488,365.49","1,446,205.00","1,886,500.33","27,360,997.50","137,263.50","1,033,549.50","11,208,779.50","37,427,610.07","10,049,648.50","10,677,248.50","19,577,694.03","37,876,122.91","966,898.01","31,893,514.31","33,987,814.31","32,192,941.68","146,800.00","2,611,500.01","2,871,766.67","65,107,656.67","450,000.00","23,708,102.94","44,477,736.27","76,395,984.02",,"4,407,690.01","9,654,386.20","12,548,942.01",,"10,955,362.85","54,443,948.22","78,086,060.19","753,120.00","11,722,780.43","13,139,321.98","87,246,151.56"
