科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"173,542,913.57","299,457,264.52","427,443,348.96","104,337,696.01","269,692,606.23","348,902,883.03","571,328,348.46","98,475,138.08","171,387,746.06","716,046,935.55","1,022,818,994.17","141,899,069.70","377,203,072.69","674,961,722.55"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,
收到的税费返还,,"194,100.00","161,200.00","20,000.00",,"129,967.84","116,400.00",,,"261,500.00","261,500.00",,"45,200.00","45,200.00"
支付其他与投资活动有关的现金,,,,,,,,,"17,500,000.00","24,080,400.00","59,500,000.00",,,
收到其他与经营活动有关的现金,"13,301,274.52","12,332,120.22","10,524,938.00","86,558.48","7,321,189.56","9,050,583.85","13,766,224.17","443,367.45","17,748,048.88","131,161,720.70","21,043,669.20","1,552,163.81","14,822,422.55","17,284,785.14"
投资活动现金流出小计,"1,158,737.35","2,315,525.53","1,190,072.52","600,800.00","2,052,841.87","4,776,133.56","5,949,504.83","534,139.00","104,816,851.32","91,876,934.26","190,658,122.59","10,188,901.35","44,818,137.81","95,656,426.81"
经营活动现金流入小计,"186,844,188.09","311,983,484.74","438,129,486.96","104,444,254.49","277,013,795.79","358,083,434.72","585,210,972.63","98,918,505.53","189,135,794.94","847,470,156.25","1,044,124,163.37","143,451,233.51","392,070,695.24","692,291,707.69"
投资活动产生的现金流量净额,"-1,158,737.35","-2,315,525.53","-1,175,272.52","-600,800.00","-1,996,541.87","-4,719,833.56","-5,443,204.83","-534,139.00","-100,225,851.32","-91,876,934.26","-177,274,309.80","-10,089,000.32","-44,718,236.78","-95,556,525.78"
购买商品、接受劳务支付的现金,"231,294,170.33","295,891,049.87","449,267,783.68","106,056,292.80","233,749,260.92","304,546,369.96","594,369,464.11","253,328,339.36","294,161,616.65","662,486,504.97","1,018,683,822.61","286,839,603.81","598,526,871.66","798,422,593.20"
吸收投资收到的现金,"600,000.00",,,"432,856,800.00","432,856,800.00","452,856,800.00","452,856,800.00",,"4,000,000.00","4,000,000.00","4,000,000.00",,"3,993,050.00","3,993,050.00"
支付给职工以及为职工支付的现金,"8,595,652.99","10,603,393.06","12,522,723.42","4,491,829.19","8,043,386.56","12,919,217.43","17,552,286.68","8,103,537.36","17,696,854.89","29,560,652.64","42,061,934.58","15,687,446.68","28,643,307.18","45,431,924.11"
取得借款收到的现金,"70,000,000.00","209,000,000.00","326,400,000.00","47,835,144.00","137,835,144.00","287,835,144.00","408,076,000.00","30,000,000.00","265,182,750.00","380,182,750.00","820,082,750.00","160,000,000.00","235,190,663.16","394,500,000.00"
支付的各项税费,"34,751,368.36","24,754,895.98","27,988,875.42","21,073,849.27","37,625,080.81","63,112,423.63","68,609,661.65","16,424,081.00","17,068,233.43","52,468,244.56","40,037,009.53","14,640,265.95","19,350,798.10","20,518,413.17"
收到其他与筹资活动有关的现金,"59,500,000.00","112,500,000.00","31,000,000.00",,,,"5,000,000.00",,"40,000,000.00","40,000,000.00","40,000,000.00",,"45,000,000.00","45,000,000.00"
支付其他与经营活动有关的现金,"13,516,199.20","25,744,833.24","17,386,898.94","10,823,036.26","14,965,025.78","23,993,126.77","29,480,198.77","9,591,020.13","172,768,529.54","205,798,663.03","117,756,674.15","18,374,431.84","29,651,028.41","45,135,423.65"
筹资活动现金流入小计,"130,100,000.00","321,500,000.00","357,400,000.00","480,691,944.00","570,691,944.00","740,691,944.00","865,932,800.00","30,000,000.00","309,182,750.00","424,182,750.00","864,082,750.00","160,000,000.00","284,183,713.16","443,493,050.00"
