科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"59,353,349.94","117,626,998.04","321,975,372.32","105,093,233.79","185,057,975.08","258,911,446.10","386,057,084.35","110,526,828.32","242,697,885.12","294,172,389.81","481,712,435.38","111,483,838.77","297,105,117.83","393,679,715.41","620,686,273.06","169,141,081.84","432,642,406.32","665,687,528.59","1,026,087,420.65","305,597,577.08","546,528,231.60","776,215,905.10","1,113,047,396.52","301,789,385.56","651,154,079.05","902,703,591.15","1,233,216,103.88","196,864,032.07","422,240,979.72"
二、营业利润,"7,608,110.72","29,653,072.87","75,564,504.96","24,147,326.08","52,095,259.46","72,605,156.92","110,506,758.78","27,959,614.51","64,758,806.07","82,396,912.79","141,141,908.34","28,034,320.07","74,325,447.91","89,777,847.29","152,253,395.09","49,006,614.62","133,408,949.02","178,377,749.51","315,440,836.47","65,176,721.73","136,155,726.59","196,826,955.94","319,520,924.24","66,137,893.97","163,953,353.03","246,416,184.21","293,080,228.80","77,568,822.01","97,237,073.09"
减:营业成本,"42,593,679.54","69,259,923.83","203,037,946.73","65,636,276.90","102,520,298.96","144,928,952.72","224,965,724.57","70,756,219.33","151,048,946.16","178,296,529.38","287,634,158.61","63,535,640.23","182,540,488.34","248,150,419.72","397,943,297.43","93,996,656.69","225,164,607.95","370,531,064.25","550,890,961.51","191,962,155.28","356,358,609.18","489,118,807.75","686,918,782.13","215,670,405.58","452,912,840.36","590,007,565.16","761,291,836.94","77,677,388.52","243,340,570.03"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,261,386.35","4,256,584.87","11,284,725.42","3,574,466.99","6,197,049.69","8,790,802.68","8,673,394.82","507,863.08","2,665,246.09","2,402,860.77","3,048,305.36","258,586.58","1,007,004.97","1,079,360.12","2,590,625.87","2,217,411.41","6,904,604.70","11,676,298.58","16,892,578.04","4,606,111.22","7,714,199.51","12,569,428.05","18,229,421.09","4,558,962.94","8,397,396.52","13,871,017.43","19,900,737.55","3,694,485.89","5,829,175.90"
营业外收入,"2,077,820.97","2,399,826.88","7,634,641.20","50,000.00","1,856,990.00","1,856,990.00","10,347,890.00","334,600.00","3,321,881.67","3,813,600.26","12,224,314.43","750,087.01","2,626,425.60","6,768,606.92","9,627,973.59","413,000.01","4,650,688.50","7,488,339.51","15,231,898.60","8,275,526.68","19,106,777.89","26,997,423.02","35,750,837.93","8,710,260.53","12,941,956.32","72,156.45","79,164.82","17,792.78","90,750,263.20"
销售费用,"3,013,376.84","8,202,275.66","17,088,384.01","3,389,762.28","8,905,954.07","12,387,468.69","18,454,200.95","6,619,175.99","17,039,800.45","23,014,098.65","27,953,680.13","8,750,181.39","18,924,158.75","28,465,391.30","31,608,610.74","9,198,478.31","25,028,998.67","46,568,782.59","61,276,790.81","15,943,232.63","35,778,642.91","55,207,857.64","73,115,818.90","18,340,574.18","33,959,912.12","56,853,976.31","86,069,690.53","17,619,781.08","41,016,057.36"
减:营业外支出,,"22,404.40",,,,"2,334.42","2,334.42",,"50,000.00","50,000.00","50,000.00",,,15.99,"38,684.84",,"3,908.20","253,908.20","278,971.37","9,656.74","9,674.69","1,571,316.41","3,108,121.31","624,705.90","624,705.90","625,896.40","129,270.15","112,708.74","114,245.76"
管理费用,"3,461,356.78","6,410,729.89","9,115,922.57","2,817,594.71","6,236,532.09","8,844,585.32","11,544,501.54","4,214,273.25","8,057,274.31","11,858,043.01","17,723,664.59","4,477,655.79","10,235,466.05","15,454,465.46","21,277,702.91","9,012,676.04","21,045,602.81","40,467,482.02","51,250,280.28","14,031,470.21","28,793,493.32","43,083,654.82","57,012,797.69","12,430,216.11","24,157,142.01","38,044,430.05","58,093,288.94","15,932,008.57","35,488,274.65"
其中:非流动资产处置净损失,,"12,404.40",,,,"2,334.42","2,334.42",,,,,,,15.99,"38,684.84",,"3,908.20","3,908.20","13,962.97","8,779.29","8,779.29","1,570,421.01","3,006,905.91","624,705.90","624,705.90","625,895.45",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"45,262.07","1,026,650.72","2,339,021.05","1,263,706.80","3,040,226.06","3,846,620.18","3,322,559.76","-825,188.17","-2,571,092.06","-5,821,489.04","-6,832,005.42","-2,270,268.83","-3,374,535.62","-4,022,823.87","-2,569,947.77","1,246,929.01","5,537,792.24","5,015,988.81","10,122,589.34","5,395,685.03","10,513,709.84","23,456,824.97","33,839,223.04","29,823,345.00","36,270,086.00","50,802,599.71","48,998,143.29","4,328,073.77","34,737,319.73"
三、利润总额,"9,685,931.69","32,030,495.35","83,199,146.16","24,197,326.08","53,952,249.46","74,459,812.50","120,852,314.36","28,294,214.51","68,030,687.74","86,160,513.05","153,316,222.77","28,784,407.08","76,951,873.51","96,546,438.22","161,842,683.84","49,419,614.63","138,055,729.32","185,612,180.82","330,393,763.70","73,442,591.67","155,252,829.79","222,253,062.55","352,163,640.86","74,223,448.60","176,270,603.45","245,862,444.26","293,030,123.47","77,473,906.05","187,873,090.53"
