科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"971,206,623.79","1,509,218,495.95","2,063,730,640.50","1,100,114,730.15","1,722,707,788.00","2,296,507,016.40","371,496,199.18","1,068,468,547.27","1,775,748,181.98","2,718,913,240.14","478,101,456.73","1,139,243,954.67","1,741,570,896.55","2,493,806,715.62","556,214,345.51","1,387,552,712.34","2,237,381,208.97","3,052,802,103.43","576,064,179.48","1,352,184,533.01","1,894,731,934.73","2,533,087,332.39","487,390,719.83","1,183,156,254.07","1,870,214,534.74"
二、营业利润,"58,616,225.82","103,088,414.71","139,066,333.25","86,220,087.31","129,478,834.44","154,157,962.20","25,838,045.65","78,938,930.02","127,887,334.62","158,365,781.83","25,025,283.81","71,876,986.53","113,951,824.08","127,088,656.89","27,450,031.36","93,487,839.90","164,164,783.43","180,101,378.32","35,107,457.24","89,241,132.22","119,738,418.60","125,793,530.52","19,510,707.27","42,261,327.98","57,455,163.11"
减:营业成本,"838,479,689.79","1,304,589,580.64","1,767,989,534.42","924,703,402.83","1,458,936,690.46","1,952,499,620.96","311,749,493.72","908,720,787.75","1,514,278,391.53","2,354,813,759.75","409,288,130.22","954,069,846.15","1,441,841,315.54","2,079,746,552.08","469,017,952.13","1,144,556,494.90","1,822,071,889.95","2,503,944,598.40","465,892,210.82","1,105,874,830.30","1,557,195,108.07","2,094,794,072.82","414,294,367.04","984,722,818.44","1,561,271,365.99"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"490,185.01","4,425,178.81","5,397,554.50","4,079,257.24","4,849,500.75","7,102,763.29","2,121,702.73","5,116,508.02","9,853,973.74","8,579,843.54","2,211,819.84","4,535,477.48","6,286,734.05","8,581,611.10","2,033,117.74","2,689,134.54","5,584,968.84","10,248,411.29","2,839,653.69","5,126,945.98","6,748,903.12","12,518,385.77","1,913,322.32","4,936,085.37","8,116,462.49"
营业外收入,,"5,103,876.26","787,432.87","537,307.13","601,832.13","718,758.09","255,044.00","320,084.06","590,786.64","1,438,802.58","126,226.50","260,351.69","2,267,367.19","3,121,595.53","412,960.32","923,417.90","2,543,409.06","2,757,911.50","2,447,948.62","2,677,486.57","2,852,824.22","3,223,741.06","365,100.79","527,891.52","814,037.94"
销售费用,"35,829,694.82","48,157,505.20","69,500,221.10","36,657,927.78","55,131,830.85","80,712,578.58","13,684,730.73","33,129,479.65","59,575,805.87","95,158,704.95","13,333,013.52","40,637,827.45","63,066,043.49","97,771,793.41","18,496,698.91","53,080,833.96","96,253,420.94","123,982,301.94","27,143,065.71","50,050,448.39","81,146,414.11","119,275,023.64","17,291,852.09","51,134,851.27","99,815,667.63"
减:营业外支出,"660,575.76","5,577,931.02","575,703.12","293,502.54","322,210.20","364,941.96","240,335.00","150,000.00","214,353.00","1,895,007.54","179,685.06","460,896.56","751,040.55","1,763,577.76","207,945.32","453,970.66","788,426.69","4,382,067.54","2,339,371.68","2,347,995.94","2,568,375.36","5,356,616.15","207,963.33","687,103.21","3,534,258.73"
管理费用,"27,373,320.83","30,446,645.13","44,628,301.50","21,535,612.87","37,062,061.68","57,179,034.62","11,840,037.52","26,288,850.98","43,193,011.48","67,565,072.68","18,235,508.36","40,562,483.79","68,972,571.47","97,537,356.65","24,222,288.06","55,005,190.46","87,312,752.87","124,615,533.98","30,448,360.76","57,539,209.91","77,878,687.29","118,727,552.87","31,200,771.92","72,068,704.80","84,290,999.14"
其中:非流动资产处置净损失,"510,575.76","5,427,931.02","325,703.12","143,502.54","169,210.20","211,941.96",,,,"1,733,092.31","22,527.72","73,496.82",,"596,494.14","45,868.12","67,484.98","67,484.98","3,597,716.53","2,126,315.32","2,132,245.32","232,622.00","2,594,590.67","5,919.48","422,195.49","423,846.54"
