科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"387,226,555.87","553,564,911.70","560,146,886.66","273,770,091.47","409,180,790.59","605,828,765.23","87,704,478.93","272,787,303.46","410,643,873.40","624,360,046.37","114,925,478.73","299,480,297.62","417,009,566.63","613,483,786.47","112,824,751.52","258,756,205.56","396,990,661.16","460,616,368.67","97,123,470.92","220,851,008.80","343,367,738.45","501,995,208.21","93,890,763.86","223,877,508.36","475,504,180.30","916,752,947.04","172,311,818.49","423,390,061.67","753,316,894.47","1,238,894,201.48","163,561,392.81","461,510,849.47","774,487,292.68","1,245,952,876.95"
二、营业利润,"42,615,382.94","57,247,084.40","61,949,677.88","34,775,299.47","53,221,281.33","81,804,719.95","14,267,421.23","44,397,716.08","57,483,414.13","74,412,644.45","11,096,153.83","32,378,317.74","37,866,585.02","47,019,487.52","13,886,079.42","23,112,449.27","32,251,362.20","31,966,088.91","2,305,746.94","4,516,756.43","3,497,008.96","9,921,227.12","2,756,190.43","11,340,657.33","45,501,409.73","90,341,090.14","6,737,627.87","35,270,421.05","70,258,345.83","107,752,145.64","11,678,720.79","44,305,490.58","95,371,506.82","148,446,512.90"
减:营业成本,"290,999,614.88","420,022,707.78","419,383,169.67","200,225,035.40","299,859,808.46","437,721,850.77","61,727,564.90","198,804,102.63","309,834,000.68","480,542,723.80","87,426,257.01","227,367,294.36","319,090,777.25","474,088,075.71","81,394,601.93","192,640,171.53","294,939,278.00","335,068,403.09","76,281,835.22","174,926,120.98","272,129,243.72","392,612,189.16","76,383,111.69","174,492,047.16","338,106,195.29","658,132,249.50","124,453,009.63","295,697,608.16","521,144,428.05","892,148,054.31","122,561,629.35","336,226,837.74","539,275,643.02","887,667,477.61"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,606,396.25","1,300,089.61","3,858,989.09","1,755,623.10","1,842,094.19","3,736,922.40","137,786.18","1,848,913.25","1,929,380.61","4,792,927.23","684,815.74","1,062,436.68","1,653,666.67","3,655,702.61","938,865.35","1,456,711.21","2,748,735.25","2,851,881.51","560,449.79","2,147,232.79","2,931,907.83","4,844,151.38","269,681.05","508,480.36","2,525,995.70","7,416,790.09","1,429,840.34","4,178,578.86","5,896,711.68","17,636,097.53","2,226,540.02","4,885,392.38","10,612,425.50","14,867,597.06"
营业外收入,"353,204.52","283,608.89","2,809,666.55","5,884,816.99","6,173,313.80","7,761,151.53","85,990.84","444,866.52","2,259,574.82","3,507,963.63","92,852.81","216,712.95","852,775.30","3,234,780.27","312,462.84","2,030,760.13","2,514,507.35","4,656,333.33","718,476.69","939,124.32","1,051,353.39","3,444,588.04","107,550.10","178,560.10","1,168,517.54","4,517,134.73","4,165,902.75","6,542,486.51","13,009,528.80","20,100,831.84","4,985,891.54","8,190,433.66","1,401,470.81","2,405,984.15"
销售费用,"26,022,011.08","34,132,325.15","29,758,535.14","16,693,359.97","24,631,849.34","32,574,503.02","4,934,424.82","12,035,800.71","16,969,258.08","26,899,272.65","5,668,270.66","15,828,170.30","22,806,931.64","34,088,104.84","7,011,553.18","16,658,092.71","24,778,290.43","31,672,589.67","5,632,485.85","12,591,556.47","21,418,305.84","28,832,957.67","4,968,768.24","11,517,128.17","25,242,864.69","41,189,676.53","11,699,832.08","28,206,948.15","34,640,774.85","53,314,462.70","12,644,791.17","28,296,988.39","53,598,084.22","72,463,221.80"
减:营业外支出,"588,722.52","1,081,959.82","133,918.97","225,164.57","228,664.57","249,226.61","12,835.29","138,652.53","214,611.37","1,454,250.31",,145.30,"26,007,715.88","29,961,629.93","628,146.26","642,896.05","646,366.35","2,080,239.19","27,000.00","30,398.23","32,398.23","304,152.02",54.21,"14,353.61","166,725.16","347,835.16","76,946.38","481,746.82","481,754.76","570,235.46","302,210.41","925,415.10","1,831,224.12","3,952,260.70"
管理费用,"23,102,650.32","36,972,403.58","36,697,564.30","18,832,799.59","26,598,782.38","37,352,327.17","8,290,197.41","20,215,146.77","29,463,207.40","44,446,930.89","11,890,729.51","24,599,245.70","39,292,195.16","53,999,565.82","11,823,854.08","24,386,645.26","38,192,939.40","55,209,466.47","12,021,684.13","25,926,322.26","40,918,251.16","55,563,619.04","12,022,471.56","29,669,357.84","62,191,392.30","97,304,676.21","36,284,807.86","62,018,234.37","94,997,149.98","129,362,252.04","28,630,056.67","63,125,314.92","100,887,045.04","152,875,424.16"
其中:非流动资产处置净损失,"43,742.82","163,124.75","36,740.38","16,765.69",,"16,765.69",,"19,261.65","19,261.65","89,920.49",,,,"23,105.98","572,873.96","642,896.05","634,237.11","642,896.05",,,,"211,805.56",,,344.00,"6,805.47",,"7,012.17","7,012.17","269,317.88","3,801.04","341,660.73","538,302.84",
