科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,319,358,657.73","1,925,285,385.00","2,309,872,642.80","572,607,605.08","1,535,761,764.44","2,644,213,391.59","3,748,342,158.41","847,782,358.60","1,991,915,516.02","3,303,991,612.30","5,356,299,178.16","1,249,239,988.95","2,903,731,457.95","4,779,154,387.64","7,520,285,340.56","1,682,308,704.41","3,674,639,900.37","6,391,252,346.55","10,521,866,815.01","2,237,478,983.00","5,639,867,408.75","10,042,780,829.65","16,841,500,091.63","3,418,163,900.44","8,283,245,094.32","14,081,333,470.81","22,777,510,666.14","5,485,822,978.82","12,831,418,421.85","21,024,107,807.75","32,660,216,112.46","6,909,207,260.75","16,056,237,726.30","27,024,807,952.59","42,136,145,087.13","8,750,853,665.71","22,109,383,677.92"
取得子公司及其他营业单位支付的现金净额,,,"20,542,480.57",,,,,"62,582,048.31","87,565,548.31","103,619,426.74","87,565,548.31",,"38,698,841.79","62,173,841.79","62,173,841.79","30,369,188.30","26,919,188.30","26,919,188.30","24,419,188.30",,,,,,,,,,"172,473,788.49","172,473,788.49","172,473,788.49","45,000,000.00","98,000,000.00","98,000,000.00",,,"13,500,000.00"
收到的税费返还,"45,283,145.72","84,985,450.19","128,689,749.57","26,561,790.17","58,099,877.86","91,176,282.04","201,460,987.69","23,429,408.01","24,758,657.04","36,602,535.16","231,669,637.68","46,552,928.77","113,280,910.06","197,874,813.08","340,588,589.26","69,606,683.65","195,268,891.76","293,398,795.00","479,220,203.64","265,896,841.32","411,719,086.05","746,608,273.90","1,352,419,910.58","329,108,169.65","428,555,205.98","1,216,688,191.17","2,001,179,512.70","682,616,397.13","1,354,180,574.36","1,775,399,086.25","2,592,008,277.39","780,612,675.68","1,334,775,928.53","2,115,509,024.59","2,733,759,603.00","900,802,467.84","1,773,794,015.21"
支付其他与投资活动有关的现金,"15,000,000.00",,,,,,,,,,,,,,,,,,"45,000,000.00",,,,,,,,,,,,"35,000,000.00",,,,"13,500,000.00","6,877,787.28",
收到其他与经营活动有关的现金,"6,674,637.22","10,543,132.67","13,025,727.87","2,713,747.51","5,001,909.86","11,165,361.68","26,018,722.16","5,234,265.86","9,006,948.59","11,268,856.93","55,203,781.58","21,351,127.86","22,113,375.54","27,418,943.10","134,509,234.30","37,199,228.91","74,812,023.31","108,220,066.77","211,410,097.46","21,733,615.76","59,229,751.13","119,214,350.87","224,914,032.75","34,548,846.88","105,893,565.54","228,167,148.84","525,913,263.75","61,980,033.78","138,926,208.46","271,676,050.85","488,882,790.83","66,237,737.42","191,162,610.48","311,501,723.20","533,929,235.33","1,066,892,836.74","450,666,762.39"
投资活动现金流出小计,"40,707,501.98","56,606,438.98","243,918,470.28","67,490,125.14","114,188,046.38","181,103,774.33","250,745,057.12","94,755,886.27","173,693,677.84","252,658,072.83","335,508,165.23","33,888,040.26","213,036,810.10","464,188,403.84","841,212,144.11","591,899,440.27","1,586,498,524.55","1,675,659,246.33","2,713,276,981.89","1,040,518,294.29","3,829,633,468.60","5,404,802,473.62","6,211,574,180.74","317,261,618.89","1,541,738,624.17","2,674,163,382.78","3,200,901,506.74","1,482,567,614.88","524,963,864.26","774,168,533.17","8,454,271,190.61","344,372,863.43","2,061,640,894.91","2,590,496,688.00","11,626,742,349.71","1,929,185,823.56","2,687,466,251.59"
经营活动现金流入小计,"1,371,316,440.67","2,020,813,967.86","2,451,588,120.24","601,883,142.76","1,598,863,552.16","2,746,555,035.31","3,975,821,868.26","876,446,032.47","2,025,681,121.65","3,351,863,004.39","5,643,172,597.42","1,317,144,045.58","3,039,125,743.55","5,004,448,143.82","7,995,383,164.12","1,789,114,616.97","3,944,720,815.44","6,792,871,208.32","11,212,497,116.11","2,525,109,440.08","6,110,816,245.93","10,908,603,454.42","18,418,834,034.96","3,781,820,916.97","8,817,693,865.84","15,526,188,810.82","25,304,603,442.59","6,230,419,409.73","14,324,525,204.67","23,071,182,944.85","35,741,107,180.68","7,756,057,673.85","17,582,176,265.31","29,451,818,700.38","45,403,833,925.46","10,718,548,970.29","24,333,844,455.52"
投资活动产生的现金流量净额,"-7,248,937.26","-48,322,233.54","-227,675,603.58","-65,374,624.42","-105,666,287.13","-169,905,449.02","-218,763,144.11","-77,762,930.89","-132,305,072.38","-187,381,711.06","-229,089,025.33","-23,215,752.65","-173,470,242.05","-408,232,582.65","-836,364,437.19","-586,969,715.15","-728,231,016.97","-511,119,708.30","-2,369,924,616.69","-304,195,902.78","-922,022,014.60","-1,075,416,774.02","-1,040,632,841.46","1,045,161,463.57","565,374,489.65","462,468,103.97","-75,200,407.17","-1,472,218,989.67","704,082,781.56","737,756,046.37","-3,383,143,771.09","3,054,283,529.32","3,188,919,897.38","2,657,270,850.26","-1,208,697,668.69","-1,744,035,918.57","986,123,427.08"
购买商品、接受劳务支付的现金,"753,993,435.23","936,217,805.26","1,259,593,529.22","632,348,809.97","1,299,208,438.67","2,228,102,161.45","2,343,620,088.07","609,200,167.31","1,278,529,961.13","2,206,110,840.45","2,937,818,600.40","1,174,854,594.51","2,020,712,593.32","3,058,534,531.14","4,098,398,615.46","1,645,037,798.89","2,776,924,984.66","4,510,532,554.46","6,474,837,194.13","2,073,732,977.87","4,084,204,750.15","6,980,383,083.80","10,097,337,799.31","4,564,869,493.67","7,992,955,241.12","11,469,469,061.58","15,694,627,971.95","5,585,834,400.34","9,553,087,192.64","14,702,541,603.09","20,889,389,503.82","7,882,506,948.45","13,831,392,836.70","21,162,642,985.71","25,634,553,120.83","9,646,942,783.62","17,665,339,796.23"
吸收投资收到的现金,,"26,529,315.60","1,148,263.20",,"3,337,521,050.00","3,337,521,050.00","3,348,000,000.00",,,"2,450,000.00","2,450,000.00",,,"91,713,657.15","91,713,657.15",,,,"2,450,000.00",,,,"489,418,258.50",,,,,"5,695,283.18",,"97,768,537.96","247,269,466.66",,,"62,024,653.20","92,089,826.67","127,400.00","12,289,000.00"
支付给职工以及为职工支付的现金,"77,771,952.45","131,007,907.42","205,173,480.31","132,318,396.52","205,186,591.12","262,333,913.57","370,766,592.55","223,305,912.83","333,462,456.28","434,483,372.71","621,731,941.96","339,329,936.63","586,526,954.70","715,402,149.45","1,020,981,945.47","454,228,494.87","676,614,258.65","920,159,848.92","1,279,918,036.24","575,863,156.90","985,715,955.46","1,324,745,225.55","1,864,814,790.77","886,761,238.00","1,339,159,770.84","1,790,022,855.48","2,501,048,931.40","1,063,252,704.05","1,711,680,529.24","2,370,321,389.03","3,404,886,547.11","1,532,543,739.35","2,562,794,533.81","3,498,922,254.19","5,036,917,567.98","2,157,265,649.41","3,584,062,421.13"
取得借款收到的现金,"45,000,000.00",,"56,374,000.00",,,,,,,,,,,,,"86,004,909.25","128,168,250.60","270,624,980.28","594,891,409.22","745,249,163.13","1,739,857,722.32","2,606,171,006.00","3,375,084,617.54","685,951,871.03","2,846,405,329.23","3,413,681,126.05","2,790,211,998.69","1,862,310,638.40","2,645,807,093.47","3,878,463,176.04","4,668,904,940.17","4,362,038,129.87","4,938,568,095.06","5,437,295,986.43","3,550,599,109.39","1,419,781,375.02","3,982,689,336.94"
支付的各项税费,"99,180,949.67","175,308,426.41","204,256,013.80","76,950,018.91","144,334,918.17","251,034,055.43","326,395,040.02","132,815,955.27","207,486,668.98","360,996,313.94","525,703,794.87","226,082,425.16","395,462,334.67","617,752,391.56","890,857,333.45","201,460,753.28","292,362,334.73","627,729,736.69","953,625,235.00","458,383,420.88","669,845,018.00","1,198,830,135.31","1,717,478,192.52","488,403,012.27","607,416,135.65","1,573,890,555.10","2,455,175,034.68","477,402,532.50","1,520,924,950.95","2,043,797,016.10","2,913,713,175.75","795,821,496.15","1,899,822,855.27","2,506,554,948.17","3,557,905,236.73","1,270,538,915.89","2,477,876,007.17"
收到其他与筹资活动有关的现金,,"28,300,000.00",,"447,768.15","27,824,968.15","27,826,545.20","27,377,200.00","543,618.80","543,618.80","473,618.60","3,000,000.00",,,,,,,,,"111,583.11","1,929,847.63","120,612,853.33",,,"133,477,678.22","175,468,647.56","4,000,000.00","685,007,227.46","1,258,376,312.14","1,258,376,312.14","660,888,216.54","437,630,760.68","1,061,515,931.39","1,492,209,115.48",,,
支付其他与经营活动有关的现金,"83,719,115.83","131,237,762.15","128,564,701.64","80,189,535.90","155,306,612.13","224,732,694.12","271,114,114.88","101,090,004.67","229,542,290.83","375,586,136.49","387,456,826.95","97,698,527.29","202,642,444.98","495,808,403.44","548,355,408.32","157,051,235.30","401,088,441.56","633,814,573.57","640,750,839.11","388,961,452.73","613,572,270.48","1,072,584,558.94","1,032,782,470.32","452,267,340.98","797,321,844.43","1,377,991,803.08","1,437,029,335.39","536,041,541.59","1,141,025,275.36","2,000,509,612.72","2,319,425,793.44","579,837,980.26","1,230,966,841.95","2,187,848,941.55","3,801,297,749.24","1,499,866,301.90","2,227,759,588.99"
筹资活动现金流入小计,"45,000,000.00","54,829,315.60","57,522,263.20","447,768.15","3,365,346,018.15","3,365,347,595.20","3,375,377,200.00","543,618.80","543,618.80","2,923,618.60","5,450,000.00",,,"91,713,657.15","91,713,657.15","86,004,909.25","128,168,250.60","270,624,980.28","597,341,409.22","745,360,746.24","1,741,787,569.95","2,726,783,859.33","3,864,502,876.04","685,951,871.03","2,979,883,007.45","3,589,149,773.61","2,794,211,998.69","5,485,493,149.04","6,854,183,405.61","8,229,808,026.14","8,480,182,623.37","4,799,668,890.55","6,000,084,026.45","6,991,529,755.11","3,642,688,936.06","1,419,908,775.02","3,994,978,336.94"
经营活动现金流出小计,"1,014,665,453.18","1,373,771,901.24","1,797,587,724.97","921,806,761.30","1,804,036,560.09","2,966,202,824.57","3,311,895,835.52","1,066,412,040.08","2,049,021,377.22","3,377,176,663.59","4,472,711,164.18","1,837,965,483.59","3,205,344,327.67","4,887,497,475.59","6,558,593,302.70","2,457,778,282.34","4,146,990,019.60","6,692,236,713.64","9,349,131,304.48","3,496,941,008.38","6,353,337,994.09","10,576,543,003.60","14,712,413,252.92","6,392,301,084.92","10,736,852,992.04","16,211,374,275.24","22,087,881,273.42","7,662,531,178.48","13,926,717,948.19","21,117,169,620.94","29,527,415,020.12","10,790,710,164.21","19,524,977,067.73","29,355,969,129.62","38,030,673,674.78","14,574,613,650.82","25,955,037,813.52"
偿还债务支付的现金,,"45,000,000.00",,,"27,374,000.00","27,374,000.00","27,374,000.00",,"66,195.73","617,666.19","29,646,364.12",,,,,,"86,417,085.93","157,329,916.70","414,091,611.02","302,212,662.77","1,056,740,892.29","1,926,155,594.59","2,948,806,426.63","161,894,931.87","745,349,201.29","1,762,089,129.73","1,258,504,731.78","2,581,972,280.99","3,744,679,765.37","4,676,886,269.22","5,104,870,545.06","1,700,387,852.71","2,723,867,188.71","4,559,910,249.53","3,205,532,364.13","304,081,731.11","1,726,234,534.31"
经营活动产生的现金流量净额,"356,650,987.49","647,042,066.62","654,000,395.27","-319,923,618.54","-205,173,007.93","-219,647,789.26","663,926,032.74","-189,966,007.61","-23,340,255.57","-25,313,659.20","1,170,461,433.24","-520,821,438.01","-166,218,584.12","116,950,668.23","1,436,789,861.42","-668,663,665.37","-202,269,204.16","100,634,494.68","1,863,365,811.63","-971,831,568.30","-242,521,748.16","332,060,450.82","3,706,420,782.04","-2,610,480,167.95","-1,919,159,126.20","-685,185,464.42","3,216,722,169.17","-1,432,111,768.75","397,807,256.48","1,954,013,323.91","6,213,692,160.56","-3,034,652,490.36","-1,942,800,802.42","95,849,570.76","7,373,160,250.68","-3,856,064,680.53","-1,621,193,358.00"
