科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"347,341,101.95","514,802,862.51","454,980,683.98","212,590,822.70","300,398,048.35","458,459,098.68","133,928,445.75","319,833,032.11","516,904,821.07","655,176,208.13","151,840,373.45","375,404,664.32","576,536,224.78","770,986,489.29","243,789,442.49","554,588,830.11","747,547,526.17","1,077,443,662.39","208,990,508.91","509,169,075.20","792,406,454.79","1,148,973,977.06","309,083,446.66","667,005,009.61","1,011,121,898.24","1,256,556,937.79","320,995,068.48","638,891,137.74","874,432,465.47","1,319,176,821.88","299,161,641.05","668,511,616.72","1,103,966,154.11"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"7,189,313.01","7,189,313.01","7,189,313.01","14,000,000.00","12,729,834.61","12,729,834.61","12,729,834.61",,,,"12,628,350.00",,,,"442,165.67",,,,,,,,,,,
收到的税费返还,"11,116,679.48","18,375,136.39","12,930,680.66",,"706,709.84","4,915,465.89",,,"11,779,489.80","15,107,715.28",,"4,446,412.89","20,232,547.92","20,907,321.25",,"4,875,961.99","6,128,540.25","13,808,618.13","2,225,554.71","8,854,549.55","10,471,191.41","18,166,062.04","443,439.59","18,146,890.55","21,255,623.55","36,389,337.11",,"8,730,684.36","9,379,563.01","15,401,236.03","2,390.18","3,968.64","12,980,838.06"
支付其他与投资活动有关的现金,,,,,,,,,,,"1,462,528.25",,,"2,000,000.00",,,,,,"30,000,000.00","67,000,000.00",,,"70,000,000.00","70,000,000.00","746,889.00",,"730,889.38","730,889.38",,,,
收到其他与经营活动有关的现金,"37,380,221.99","64,235,827.00","24,122,758.41","11,064,016.92","15,025,614.58","21,325,481.91","7,534,390.17","13,973,725.01","25,277,360.48","43,576,775.80","5,622,795.14","14,960,900.64","26,222,832.47","16,108,301.02","4,152,212.71","17,205,540.39","23,231,773.94","16,149,809.79","29,809,202.41","29,029,524.74","60,299,575.66","23,468,860.66","7,943,255.81","18,832,894.51","40,323,984.11","25,793,409.72","21,072,991.74","7,610,911.76","33,959,069.33","25,763,724.11","8,734,326.50","47,094,467.73","74,280,023.98"
投资活动现金流出小计,"99,680,287.31","101,666,164.55","17,544,383.90","25,795,904.50","33,023,377.28","37,901,792.37","43,257,229.83","92,079,306.90","211,642,395.57","258,126,479.23","79,372,260.20","106,502,531.41","166,269,777.12","207,768,537.27","36,123,717.89","125,172,546.43","179,498,256.49","217,898,325.83","11,623,441.46","47,179,753.30","202,476,056.50","357,575,912.23","84,976,762.22","135,832,486.92","192,664,020.10","106,194,962.07","9,245,065.15","47,338,254.42","88,760,415.42","134,563,077.69","66,530,784.37","117,101,478.40","187,680,719.32"
经营活动现金流入小计,"395,838,003.42","597,413,825.90","492,034,123.05","223,654,839.62","316,130,372.77","484,700,046.48","141,462,835.92","333,806,757.12","553,961,671.35","713,860,699.21","157,463,168.59","394,811,977.85","622,991,605.17","808,002,111.56","247,941,655.20","576,670,332.49","776,907,840.36","1,107,402,090.31","241,025,266.03","547,053,149.49","863,177,221.86","1,190,608,899.76","317,470,142.06","703,984,794.67","1,072,701,505.90","1,318,739,684.62","342,068,060.22","655,232,733.86","917,771,097.81","1,360,341,782.02","307,898,357.73","715,610,053.09","1,191,227,016.15"
投资活动产生的现金流量净额,"-99,565,667.31","-96,616,164.55","-16,834,383.90","-25,795,904.50","-33,022,477.28","-37,897,892.37","-35,257,229.83","-81,079,306.90","-200,622,030.19","-246,577,300.59","-79,372,260.20","-106,395,611.41","-166,093,517.12","-207,652,277.27","-36,032,219.97","-121,793,877.02","-175,143,857.30","-215,825,463.83","-11,623,441.46","-47,144,802.26","-135,085,097.09","-168,538,742.36","-54,840,178.66","-62,629,605.83","-119,254,831.44","-105,633,767.82","-9,901,495.13","-46,980,321.62","-87,642,569.10","-133,799,981.53","-66,530,784.37","-117,049,601.50","-187,680,719.32"
购买商品、接受劳务支付的现金,"225,788,693.12","279,017,169.24","250,206,939.50","140,782,478.50","216,900,380.51","332,216,473.11","108,081,249.07","189,642,242.70","317,508,674.69","372,899,753.66","88,092,096.72","191,082,384.98","291,337,754.11","395,065,109.15","103,733,174.92","253,809,736.09","387,063,057.01","566,646,773.77","150,083,009.34","343,242,277.03","482,485,743.91","637,762,287.65","192,359,898.74","405,293,046.80","571,478,923.61","653,972,929.61","176,159,448.28","360,768,437.32","414,395,979.15","620,517,906.32","211,316,312.67","457,004,036.98","601,780,217.77"
吸收投资收到的现金,,"78,067,707.25",,,,"871,000,000.00",,"490,000.00","490,000.00","1,490,000.00","200,000.00","200,000.00","400,000.00","400,000.00",,"1,960,000.00","1,960,000.00","1,960,000.00",,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"67,001,704.32","95,077,415.47","100,331,202.89","52,282,385.66","79,741,821.96","110,470,049.60","35,944,831.79","73,395,788.97","114,042,145.32","151,076,834.07","40,586,989.96","87,991,267.32","135,979,768.89","179,268,720.62","52,803,396.46","134,190,645.91","211,566,118.32","280,508,012.87","80,306,077.38","151,111,232.05","234,530,188.68","346,102,720.41","86,282,705.93","163,941,982.97","244,593,381.62","336,864,370.90","88,079,047.23","165,331,180.05","247,357,039.49","346,922,131.51","99,317,603.87","186,162,312.17","260,624,613.32"
取得借款收到的现金,"266,950,000.00","219,143,828.81","336,766,065.88","270,133,519.84","270,133,519.84","307,133,519.84",,,,,,,"10,000,000.00","10,000,000.00",,"40,268,000.00","51,491,500.00","164,189,000.00","50,000,000.00","164,068,000.00","252,993,500.00","362,283,125.00","108,301,000.00","218,813,750.00","376,082,000.00","453,328,000.00","90,066,000.00","150,351,000.00","401,526,500.00","471,102,000.00","137,976,919.59","203,641,000.00","499,825,250.00"
支付的各项税费,"39,733,885.64","26,305,663.46","37,329,047.43","21,816,627.17","29,310,151.05","46,922,294.15","29,461,598.99","34,162,935.59","44,299,423.66","54,154,944.45","8,839,198.13","27,935,703.78","50,872,056.51","65,801,967.86","17,262,395.91","48,324,715.56","72,694,128.46","82,168,851.47","21,829,619.99","57,953,191.79","100,018,951.85","109,432,624.22","36,132,754.49","76,936,407.79","115,638,267.15","139,131,156.32","50,395,305.47","93,126,603.24","133,108,363.54","134,716,398.78","53,626,255.44","94,910,482.03","133,540,557.78"
收到其他与筹资活动有关的现金,"19,657,882.00","13,000,000.00","1,800,000.00",,,"500,000.00",,,,,,,,"3,800,000.00","272,000.00",,,"2,831,404.00",,"9,759,054.38","10,049,054.38","25,681,845.00",,"18,822,000.00","18,822,000.00",,,,,"3,650,000.00",,,
支付其他与经营活动有关的现金,"63,703,804.56","42,026,369.08","17,934,916.15","11,618,099.67","15,557,155.84","29,879,804.86","6,795,712.88","16,801,188.86","33,744,949.33","37,764,250.70","9,493,035.05","20,408,837.96","38,914,373.36","41,331,526.24","15,990,542.81","37,844,687.48","53,884,973.57","78,657,903.62","40,894,679.51","23,399,973.19","71,478,387.62","99,213,584.62","24,510,653.86","36,203,698.40","94,866,042.15","115,263,389.11","59,156,323.65","32,538,849.56","122,403,582.72","160,659,630.70","30,281,935.31","13,477,574.94","94,559,125.63"
筹资活动现金流入小计,"286,607,882.00","310,211,536.06","338,566,065.88","270,133,519.84","270,133,519.84","1,178,633,519.84",,"490,000.00","490,000.00","1,490,000.00","200,000.00","200,000.00","10,400,000.00","113,800,000.00","272,000.00","42,228,000.00","53,451,500.00","168,980,404.00","50,000,000.00","173,827,054.38","263,042,554.38","387,964,970.00","108,301,000.00","237,635,750.00","394,904,000.00","453,328,000.00","500,524,000.00","560,809,000.00","811,984,500.00","885,210,000.00","137,976,919.59","203,641,000.00","499,825,250.00"
经营活动现金流出小计,"396,228,087.64","442,426,617.25","405,802,105.97","226,499,591.00","341,509,509.36","519,488,621.72","180,283,392.73","314,002,156.12","509,595,193.00","615,895,782.88","147,011,319.86","327,418,194.04","517,103,952.87","681,467,323.87","189,789,510.10","474,169,785.04","725,208,277.36","1,007,981,541.73","293,113,386.22","575,706,674.06","888,513,272.06","1,192,511,216.90","339,286,013.02","682,375,135.96","1,026,576,614.53","1,245,231,845.94","373,790,124.63","651,765,070.17","917,264,964.90","1,262,816,067.31","394,542,107.29","751,554,406.12","1,090,504,514.50"
偿还债务支付的现金,"165,441,226.73","213,090,876.30","342,812,549.06","201,100,000.00","224,628,164.01","325,233,164.01","129,000,000.00","264,000,000.00","264,000,000.00","264,000,000.00",,"6,520,000.00","6,520,000.00","6,520,000.00",,"16,516.77","10,016,516.77","110,000,000.00",,"42,034,000.00","82,089,425.95","167,435,416.67","115,701,000.00","146,213,750.00","293,482,000.00","346,828,000.00","129,066,000.00","255,351,000.00","411,526,500.00","453,328,000.00","100,697,250.00","125,641,000.00","330,862,950.00"
经营活动产生的现金流量净额,"-390,084.22","154,987,208.65","86,232,017.08","-2,844,751.38","-25,379,136.59","-34,788,575.24","-38,820,556.81","19,804,601.00","44,366,478.35","97,964,916.33","10,451,848.73","67,393,783.81","105,887,652.30","126,534,787.69","58,152,145.10","102,500,547.45","51,699,563.00","99,420,548.58","-52,088,120.19","-28,653,524.57","-25,336,050.20","-1,902,317.14","-21,815,870.96","21,609,658.71","46,124,891.37","73,507,838.68","-31,722,064.41","3,467,663.69","506,132.91","97,525,714.71","-86,643,749.56","-35,944,353.03","100,722,501.65"
分配股利、利润或偿还利息支付的现金,"14,649,660.65","37,367,671.81","30,823,357.82","23,995,718.52","27,680,077.50","33,593,200.32","3,394,422.15","29,162,507.80","29,162,507.80","29,162,655.35",,"30,168,257.58","30,325,249.62","30,328,337.58","180,000.00","28,861,200.77","28,967,200.77","40,063,024.05","1,225,500.00","41,032,066.95","43,188,030.46","48,925,049.66","5,003,898.45","46,902,926.32","48,698,333.95","55,528,497.30","4,011,995.14","49,809,660.94","50,628,785.11","57,437,273.17","3,492,686.49","42,810,829.09","46,496,912.11"
收回投资收到的现金,"100,000.00","5,050,000.00",,,,,"2,800,000.00","1,500,000.00","1,500,000.00","1,500,000.00",,,,,,,,,,,,"188,039,070.00","30,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,
支付其他与筹资活动有关的现金,"28,012,048.87","34,162,075.76","24,547,807.97","8,571,559.64","9,913,017.34","17,342,028.12","828,000.00","828,000.00","852,000.00","852,000.00",,,,,,,,"6,218,264.11",,"18,900,000.00","28,083,000.00","6,308,329.28",,"17,550,000.00","20,152,017.59",,"708,020.66",,"2,271,190.35",,,,
取得投资收益收到的现金,,,,,,,"5,200,000.00","9,500,000.00","9,500,000.00","9,500,000.00",,,,,,,,,,,,"869,938.37","119,383.56","757,681.09","904,988.66","10,849.32",,,"759,913.52","759,913.52",,,
筹资活动现金流出小计,"208,102,936.25","284,620,623.87","398,183,714.85","233,667,278.16","262,221,258.85","376,168,392.45","133,222,422.15","293,990,507.80","294,014,507.80","294,014,655.35",,"36,688,257.58","36,845,249.62","36,848,337.58","180,000.00","28,877,717.54","38,983,717.54","156,281,288.16","1,225,500.00","101,966,066.95","153,360,456.41","222,668,795.61","120,704,898.45","210,666,676.32","362,332,351.54","402,356,497.30","133,786,015.80","305,160,660.94","464,426,475.46","510,765,273.17","104,189,936.49","168,451,829.09","377,359,862.11"
处置固定资产、无形资产和其他长期资产收回的现金净额,"14,620.00",,"410,000.00",,900.00,"3,900.00",,,"20,365.38","549,178.64",,"106,920.00","176,260.00","116,260.00",50.00,"1,287,221.49","2,262,951.27","72,862.00",,"34,951.04","34,951.04","128,161.50","17,200.00","445,200.00","504,200.00","550,344.93","74,459.40","357,932.80","357,932.80","3,182.64",,"33,876.90",
筹资活动产生的现金流量净额,"78,504,945.75","25,590,912.19","-59,617,648.97","36,466,241.68","7,912,260.99","802,465,127.39","-133,222,422.15","-293,500,507.80","-293,524,507.80","-292,524,655.35","200,000.00","-36,488,257.58","-26,445,249.62","76,951,662.42","92,000.00","13,350,282.46","14,467,782.46","12,699,115.84","48,774,500.00","71,860,987.43","109,682,097.97","165,296,174.39","-12,403,898.45","26,969,073.68","32,571,648.46","50,971,502.70","366,737,984.20","255,648,339.06","347,558,024.54","374,444,726.83","33,786,983.10","35,189,170.91","122,465,387.89"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"-730,889.38",,,,,"18,000.00",
