科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"311,658,566.54","326,207,434.39",,"282,342,934.91","116,158,892.37","178,125,762.04","255,252,320.13","26,953,015.61","91,327,448.00","158,048,239.85","234,569,388.75","42,324,998.31","107,008,952.20","186,329,325.67","276,552,848.54","82,006,612.93","206,439,464.61","332,855,917.14","458,873,454.63","97,923,282.20"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"3,765,661.85","2,563,269.45",,"4,375,951.71","1,065,059.20","1,297,077.72","1,327,400.09","468,954.08","1,188,359.25","2,962,770.82","4,229,973.44","1,232,111.35","2,309,774.81","2,317,766.26","3,172,857.69","528,992.43","2,690,517.69","3,870,081.79","4,977,206.55","877,091.41"
支付其他与投资活动有关的现金,,"10,050,000.00",,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"57,743,065.06","65,390,363.38",,"25,806,736.52","7,093,223.23","10,337,730.79","24,134,145.17","4,975,097.87","9,686,136.04","14,238,844.55","16,996,180.39","4,955,224.56","5,234,214.69","8,483,972.39","11,883,911.86","10,297,495.54","17,208,237.04","19,879,403.28","15,877,971.06","7,007,293.33"
投资活动现金流出小计,"26,411,488.81","139,876,752.00",,"122,131,085.57","9,498,327.41","22,532,812.02","35,275,474.15","2,748,478.94","12,144,641.66","29,456,877.29","45,461,674.52","2,060,840.41","5,505,238.18","13,340,764.10","26,277,819.06","5,017,445.11","40,297,901.78","63,903,310.86","81,239,771.75","51,148,870.23"
经营活动现金流入小计,"373,167,293.45","394,161,067.22",,"312,525,623.14","124,317,174.80","189,760,570.55","280,713,865.39","32,397,067.56","102,201,943.29","175,249,855.22","255,795,542.58","48,512,334.22","114,552,941.70","197,131,064.32","291,609,618.09","92,833,100.90","226,338,219.34","356,605,402.21","479,728,632.24","105,807,666.94"
投资活动产生的现金流量净额,"-25,924,398.87","-138,276,148.23","-90,788,956.63","-108,714,261.83","-8,009,863.38","-21,042,432.43","-33,754,782.18","-2,584,658.37","-11,905,567.30","-29,228,707.44","-45,157,859.54","-1,948,566.41","-5,368,144.58","-13,042,135.40","-13,349,824.17","-4,999,272.01","-37,644,728.68","-61,081,856.76","-77,583,898.27","-51,148,870.23"
购买商品、接受劳务支付的现金,"139,705,206.11","166,371,066.57",,"166,933,424.68","65,537,254.19","103,895,725.37","166,568,737.23","26,750,872.03","76,475,598.07","117,808,601.66","189,432,096.02","35,251,773.68","97,393,615.60","156,584,864.82","241,731,050.53","79,724,322.59","175,836,028.64","256,422,970.69","339,860,932.96","79,013,173.16"
吸收投资收到的现金,"60,000,000.00","8,850,000.00",,,"1,911,689.93","2,132,147.71","202,911,875.73",,,"76,802,600.00","76,802,600.00",,,,"72,719,700.00",,,,,
支付给职工以及为职工支付的现金,"53,428,672.03","67,631,093.73",,"80,277,189.12","35,007,053.23","57,053,875.45","84,827,640.42","22,174,711.65","36,658,781.18","68,610,161.41","87,976,948.72","12,270,835.10","25,717,326.83","41,159,073.02","73,567,940.36","17,085,091.03","34,308,134.77","52,913,351.26","79,331,502.84","27,238,687.50"
取得借款收到的现金,"20,000,000.00","40,000,000.00",,"30,000,000.00","76,266,270.00","88,266,270.00","93,266,270.00",,,"40,000,000.00","40,000,000.00",,,"40,000,000.00","40,000,000.00",,"40,000,000.00","60,000,000.00","90,000,000.00","70,000,000.00"
支付的各项税费,"20,020,269.58","22,202,478.50",,"12,912,529.23","5,370,603.35","10,000,236.24","23,551,963.72","2,451,276.24","11,534,892.34","17,354,431.62","16,101,783.72","3,353,328.39","5,682,602.73","9,297,971.83","11,582,539.53","2,570,680.25","10,272,889.45","13,917,024.62","19,063,395.32","2,426,142.31"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"76,549,853.63","60,509,646.83",,"27,433,921.40","14,819,341.90","12,397,919.39","14,530,679.96","4,638,187.10","8,072,350.04","12,956,060.20","17,394,449.37","7,109,355.13","13,058,243.68","20,649,276.45","21,784,244.65","11,210,162.33","19,350,376.78","32,573,559.39","34,540,799.57","10,750,069.31"
筹资活动现金流入小计,"80,000,000.00","50,850,000.00",,"30,000,000.00","78,177,959.93","90,398,417.71","296,178,145.73",,,"116,802,600.00","116,802,600.00",,,"40,000,000.00","112,719,700.00",,"40,000,000.00","60,000,000.00","90,000,000.00","70,000,000.00"
经营活动现金流出小计,"289,704,001.35","316,714,285.63",,"287,557,064.43","120,734,252.67","183,347,756.45","289,479,021.33","56,015,047.02","132,741,621.63","216,729,254.89","310,905,277.83","57,985,292.30","141,851,788.84","227,691,186.12","348,665,775.07","110,590,256.20","239,767,429.64","355,826,905.96","472,796,630.69","119,428,072.28"
偿还债务支付的现金,"30,000,000.00",,,"40,000,000.00","36,476,270.00","48,266,270.00","73,266,270.00","10,000,000.00","50,000,000.00","80,000,000.00","80,000,000.00",,,"10,000,000.00","10,000,000.00","20,000,000.00","40,000,000.00","40,000,000.00","41,000,000.00",
经营活动产生的现金流量净额,"83,463,292.10","77,446,781.59","5,489,456.15","24,968,558.71","3,582,922.13","6,412,814.10","-8,765,155.94","-23,617,979.46","-30,539,678.34","-41,479,399.67","-55,109,735.25","-9,472,958.08","-27,298,847.14","-30,560,121.80","-57,056,156.98","-17,757,155.30","-13,429,210.30","778,496.25","6,932,001.55","-13,620,405.34"
分配股利、利润或偿还利息支付的现金,"10,239,350.33","13,753,342.00",,"15,747,713.14","14,998,882.44","16,053,465.79","17,254,188.02","702,000.01","18,507,475.95","18,711,192.62","18,858,309.29","141,783.34","12,736,183.34","13,043,129.87","14,118,375.24","408,416.67","838,116.67","20,811,666.66","21,874,566.66","1,656,070.84"
收回投资收到的现金,,,,,"1,488,464.03",,,,,,,,,,"6,743,113.78",,"2,635,000.00","2,635,000.00","2,640,054.93",
支付其他与筹资活动有关的现金,,,,,,,"2,110,448.90","4,268,850.00","4,226,000.00","4,226,000.00","4,226,000.00",,,"496,800.00","496,800.00",,,,"1,148,700.00",
取得投资收益收到的现金,,,,,,,,,,,,,,,,"5,054.93","5,054.93","5,054.93",,
筹资活动现金流出小计,"40,239,350.33","13,753,342.00",,"55,747,713.14","51,475,152.44","64,319,735.79","92,630,906.92","14,970,850.01","72,733,475.95","102,937,192.62","103,084,309.29","141,783.34","12,736,183.34","23,539,929.87","24,615,175.24","20,408,416.67","40,838,116.67","60,811,666.66","64,023,266.66","1,656,070.84"
处置固定资产、无形资产和其他长期资产收回的现金净额,"487,089.94","183,079.14",,"461,461.48",,,"30,724.00","163,820.57","239,074.36","228,169.85","303,814.98","112,274.00","137,093.60","298,628.70","497,678.91","13,118.17","13,118.17","181,399.17","502,998.02",
筹资活动产生的现金流量净额,"39,760,649.67","37,096,658.00","-19,773,984.12","-25,747,713.14","26,702,807.49","26,078,681.92","203,547,238.81","-14,970,850.01","-72,733,475.95","13,865,407.38","13,718,290.71","-141,783.34","-12,736,183.34","16,460,070.13","88,104,524.76","-20,408,416.67","-838,116.67","-811,666.66","25,976,733.34","68,343,929.16"
处置子公司及其他营业单位收到的现金净额,,,,"3,495,566.21",,"1,490,379.59","1,489,967.97",,,,,,,,,,,,,
四、汇率变动对现金的影响,"-428,996.42","-377,682.30",,"-5,866,114.95","-2,225,323.92","-2,893,134.62","-2,567,756.65","-2,331,355.28","-2,804,026.54","-8,015,110.02","-3,542,138.41","23,557.74","788,348.56","1,310,269.42","2,791,077.80","-640,098.96","-2,508,842.20","-4,508,513.56","-6,310,605.01","-3,908,309.23"
收到其他与投资活动有关的现金,,"1,417,524.63",,"9,459,796.05",,,,,,,,,,,"5,687,202.20",,,,"512,820.53",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"487,089.94","1,600,603.77",,"13,416,823.74","1,488,464.03","1,490,379.59","1,520,691.97","163,820.57","239,074.36","228,169.85","303,814.98","112,274.00","137,093.60","298,628.70","12,927,994.89","18,173.10","2,653,173.10","2,821,454.10","3,655,873.48",
五、现金及现金等价物净增加额,"96,870,546.48","-24,110,390.94","-110,344,597.83","-115,359,531.21","20,050,542.32","8,555,928.97","158,459,544.04","-43,504,843.12","-117,982,748.13","-64,857,809.75","-90,091,442.49","-11,539,750.09","-44,614,826.50","-25,831,917.65","20,489,621.41","-43,804,942.94","-54,420,897.85","-65,623,540.73","-50,985,768.39","-333,655.64"
购建固定资产、无形资产和其他长期资产支付的现金,"26,411,488.81","112,269,718.37",,"108,730,031.02","8,498,327.41","19,468,651.98","32,211,885.01","2,748,478.94","12,144,641.66","29,456,877.29","38,461,674.52","2,060,840.41","5,505,238.18","11,590,764.10","17,821,185.33","5,015,260.11","9,518,398.07","13,084,722.18","15,404,006.36","2,580,338.73"
