科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"87,776,768.71","62,363,495.33","83,368,938.17","59,808,391.88","54,482,671.30","110,225,238.54","225,295,351.62","223,573,893.19","174,131,404.93","241,150,060.99","174,758,373.10","127,245,801.53","121,025,146.90","159,981,823.40","118,934,036.57"
短期借款,"12,000,000.00","26,000,000.00","27,000,000.00","27,000,000.00","28,379,445.44","30,000,000.00","15,000,000.00","25,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","10,000,000.00","5,000,000.00","25,000,000.00","35,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,,"782,600.00",,,,"477,000.00",,,,"546,383.50","1,517,873.50",,"1,461,068.92","3,658,410.22"
应付票据,,,,,,,,,,,,,,,
应收账款,"87,664,131.11","142,750,240.08","156,592,860.99","181,382,927.24","177,319,246.63","163,744,351.61","190,466,734.22","207,049,539.97","226,105,165.80","194,175,870.86","218,930,344.85","241,119,834.57","282,482,142.03","285,395,336.83","278,959,706.41"
应付账款,"5,909,861.58","10,120,356.65","15,189,757.65","14,911,610.00","13,597,779.03","18,556,968.47","15,806,120.45","12,987,731.17","10,812,165.12","13,332,655.27","13,673,262.81","15,963,699.35",,"20,799,504.34",
预付款项,"1,012,543.83","2,431,353.54","2,332,105.42","2,087,730.90","3,660,720.15","1,452,858.39","3,653,420.40","2,878,255.42","5,155,772.63","498,292.71","831,136.77","1,513,085.48","1,386,498.19","699,948.45","2,055,487.30"
预收款项,"27,870.00","282,292.73","608,098.12","1,781,664.61","1,862,616.02","987,162.43","547,866.66","426,072.18","906,192.42","63,151.31","135,375.42","201,441.34","119,131.42","338,152.00","880,945.76"
其他应收款,"1,129,255.52","2,250,836.96","2,276,854.23","2,435,031.29","2,581,318.82","3,153,091.64","3,062,880.17","3,668,829.38","2,653,286.16","2,372,018.51","3,444,985.33","2,441,518.23","2,455,499.45","4,113,413.55","3,779,371.72"
应付职工薪酬,"10,313,660.12","15,323,372.08","18,386,808.91","19,058,104.68","155,889.70","18,283,117.76","18,629,782.52","20,384,929.17","10,290.00","19,729,924.00","19,665,917.25","21,055,159.91","24,592,313.71","27,963,105.36","28,163,290.87"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"3,501,784.88","3,552,436.78","3,302,654.95","2,565,256.90","4,735,113.97","2,950,010.19","4,050,055.31","4,533,613.36","5,441,802.09","5,968,722.21","3,186,949.67","2,887,013.76","4,408,464.56","3,926,397.34","3,931,494.50"
应收利息,,,,,,,,,,,,,,,
应付利息,"20,000.01","42,222.23","45,958.50","29,000.00","29,000.00","36,250.00","18,125.00","12,083.33","16,312.50","59,124.67","57,673.61","82,805.57",,"109,572.21","127,176.11"
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,
存货,"3,505,104.67","1,621,500.88","2,415,507.10","4,621,198.63","2,266,355.10","6,594,377.63","5,212,081.70","2,055,108.16","990,649.95","3,288,827.85","3,835,512.19","392,707.88","668,341.57","1,915,173.48","21,138,168.82"
其他应付款,"6,838,434.09","5,080,855.81","4,891,736.33","3,887,142.75","2,381,108.41","3,721,024.61","4,769,710.41","5,085,793.69","5,262,592.58","2,773,626.63","7,534,709.00","6,519,595.17","6,980,877.25","6,880,565.92","4,167,358.67"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,"2,000,000.00","1,000,000.00","13,000,000.00","12,000,000.00","27,000,000.00","17,438,209.26"
其他流动资产,,,"5,250,000.00","1,293,717.04",,"179,784.91","6,455,969.82","1,067,699.82","5,784,226.51","7,697,428.92","29,442,921.55","78,207,247.38","38,807,642.17","4,785,469.30","25,451,818.99"
其他流动负债,,,,,,,"687,500.00",,,,,,,"435,965.00","494,964.14"
流动资产合计,"181,087,803.84","211,417,426.79","253,018,865.91","251,628,996.98","240,310,312.00","285,349,702.72","434,623,437.93","440,293,325.94","414,820,505.98","449,182,499.84","431,789,657.29","452,438,068.57","446,825,270.31","458,352,233.93","453,977,000.03"
流动负债合计,"38,611,610.68","60,401,536.28","69,425,014.46","69,232,778.94","51,140,952.57","74,534,533.46","59,509,160.35","68,430,222.90","37,449,354.71","58,927,204.09","60,253,887.76","69,709,715.10","72,182,868.34","112,343,689.96","114,767,610.10"
可供出售金融资产,,,,,,,,,,,,,,,
长期借款,,,,,,"3,438,209.26","27,000,000.00","27,000,000.00","27,000,000.00","25,000,000.00","25,000,000.00","37,000,000.00","37,000,000.00","22,000,000.00","32,500,000.00"
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,"499,914.42","496,910.52"
预计负债,,,,,,,,,,,,,,,
固定资产,"3,712,177.87","5,985,078.16","6,653,661.63","9,618,619.43","9,123,360.79","8,394,947.49","7,960,577.49","7,513,437.72","6,970,250.73","6,268,241.87","5,562,597.41","5,662,090.58","6,494,562.93","7,667,774.84","112,663,317.81"
递延所得税负债,,,,,,,,,,,,,,,
在建工程,,"559,338.57","11,434,840.16","20,277,347.28","28,120,352.17","30,358,367.75","37,344,024.89","41,041,671.13","46,718,167.81","48,286,501.38","60,723,757.10","65,858,552.61","73,601,529.52","88,589,992.33",
其他非流动负债,,,,,"1,102,500.00",,"3,558,300.00",,,,,,,,
工程物资,,,,,,,,,,,,,,,
非流动负债合计,,,"2,080,000.00","1,315,000.00","1,102,500.00","8,231,309.26","30,558,300.00","30,370,000.00","29,954,100.00","28,660,299.00","27,268,499.00","38,862,200.00","37,675,000.00","22,425,000.00","32,775,000.00"
固定资产清理,,,,,,,,,,,,,,,
负债合计,"38,611,610.68","60,401,536.28","71,505,014.46","70,547,778.94","52,243,452.57","82,765,842.72","90,067,460.35","98,800,222.90","67,403,454.71","87,587,503.09","87,522,386.76","108,571,915.10","109,857,868.34","134,768,689.96","147,542,610.10"
生产性生物资产,,,,,,,,,,,,,,,
