科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"140,400,615.12","77,196,280.99","149,824,954.28","18,066,373.21","178,616,215.13","346,164,327.95","241,909,518.40","199,746,671.18","199,010,410.14","99,747,327.06","141,222,717.55","137,026,872.67","164,876,542.33","244,194,211.73","139,997,960.40","75,864,121.25","782,880,013.09","423,673,157.91","312,361,697.06","178,681,324.52","102,235,151.78","201,853,081.41"
短期借款,,"70,000,000.00","110,000,000.00","160,000,000.00","215,000,000.00","215,000,000.00","157,000,000.00","157,000,000.00","158,000,000.00","60,000,000.00","145,000,000.00","195,000,000.00","195,000,000.00","343,000,000.00","295,000,000.00","335,000,000.00","420,638,000.00","388,909,500.00","389,000,000.00","389,000,000.00","367,753,465.75","484,881,462.37"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"16,500,000.00","2,800,000.00","990,690.00",,,,,"369,693.18","16,387,350.50","16,167,350.50","80,000.00","100,000.00","1,051,111.00","651,111.00","2,646,329.96","2,800,000.00","15,123,420.65","12,623,420.65","6,350,000.00","2,753,881.60","3,310,000.00","210,000.00"
应付票据,,"6,836,950.00","1,749,000.00","14,115,200.00","13,115,200.00","1,000,000.00",,,,"7,919,000.00","7,919,000.00","11,606,100.00","5,509,100.00","33,903,000.00","49,500,000.00","47,000,000.00","51,000,000.00","21,000,000.00","54,400,000.00",,"78,972,485.84",
应收账款,"66,446,265.61","194,947,630.09","209,122,939.35","245,803,848.79","264,504,890.20","247,711,962.44","344,378,697.07","396,829,614.55","392,657,118.69","391,626,101.67","435,419,611.97","591,344,203.33","396,922,707.99","463,692,802.24","552,618,301.56","508,594,445.32","535,782,006.00","555,805,487.70","626,859,755.07","728,935,093.56","896,316,962.47","895,771,126.34"
应付账款,"49,218,464.24","50,070,244.16","64,775,803.15","135,235,639.44","150,381,566.91","91,047,126.09","111,862,956.05","110,401,345.08","112,230,796.16","72,401,669.12","83,951,046.43","212,412,089.18","134,972,412.39","194,848,433.83","196,737,791.48","181,679,981.15","238,669,573.15","160,538,841.14","193,570,162.71",,"265,107,943.39",
预付款项,"9,048,352.10","23,725,990.16","18,986,430.36","26,792,247.67","14,092,851.74","6,530,778.61","15,386,274.31","16,907,965.47","1,345,945.47","17,499,093.07","10,335,710.97","12,167,938.35","7,554,948.07","45,328,210.90","43,867,477.74","56,996,906.68","20,716,081.69","67,478,611.22","79,542,401.02","51,225,464.54","17,806,163.02","59,045,767.44"
预收款项,"324,723.56","1,537,823.72","1,151,206.82","1,324,313.68","1,701,657.08","4,847,206.36","4,403,977.14","2,049,275.70","2,723,765.62","5,605,865.84","2,485,124.52","1,848,322.72","10,540,348.49","15,361,817.84","14,260,154.77","25,082,626.29","20,235,220.90","16,915,690.37","18,115,563.10","26,154,246.53","11,457,682.67","21,044,900.50"
其他应收款,"1,124,497.11","6,072,392.36","727,398.49","1,848,626.37","1,273,146.79","3,304,991.79","3,937,232.63","4,776,635.71","3,103,087.72","5,249,243.69","7,961,727.58","22,708,344.69","14,158,441.67","8,676,909.50","11,832,948.79","13,640,832.15","10,911,991.28","9,213,082.32","9,759,121.60","14,200,250.18","66,419,339.86","50,541,886.93"
应付职工薪酬,"783,695.35","1,701,466.32","1,672,530.64","2,342,744.03","1,749,902.94","952,582.83","1,782,742.14","2,083,052.84","2,426,349.31","862,946.30","1,563,319.13","2,324,155.12","1,749,889.84","1,246,227.87","730,909.08","186,061.99","781,526.43","906,929.22","1,524,472.34","872,930.83","6,036,669.74","4,946,578.24"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,290,016.84","5,796,748.87","12,316,176.87","2,852,513.31","20,866,464.30","4,176,512.69","10,359,244.01","4,724,209.48","13,863,566.40","7,463,119.31","5,953,510.17","8,937,333.76","12,170,146.97","14,391,686.97","13,760,326.29","12,388,205.38","33,071,541.73","28,084,310.05","9,347,859.07","25,753,550.97","21,479,256.30","15,786,189.88"
应收利息,,,,,,,,,,,,,,,,,,"1,315,068.49",,,,
应付利息,"218,794.32","341,183.26","338,246.19","350,650.00","445,963.90","480,819.44","267,355.00","262,966.66","306,778.47","537,872.92","2,147,875.00","1,642,875.00","462,364.24","861,942.78",,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,"583,450.00","583,450.00","583,450.00",,,,,,,,,
存货,"70,345,587.90","100,075,766.11","103,709,566.54","177,679,498.72","121,412,256.41","148,198,248.16","128,955,640.10","89,006,984.27","76,030,822.80","70,866,755.76","65,334,204.91","95,163,433.34","123,353,251.53","155,141,239.31","164,033,268.93","203,095,560.45","114,256,611.91","148,552,650.14","228,144,305.51","226,263,112.21","230,064,869.33","230,414,496.58"
