科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"151,555,898.99","188,806,631.12","241,690,906.74",,"100,084,843.07","131,143,377.54","201,670,927.10","58,353,632.91","117,695,549.93","166,478,136.31","234,823,713.69","48,870,442.43","85,468,264.69","128,421,050.97"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,
收到的税费返还,"7,845,877.76","11,247,696.86","12,830,979.25",,,"9,590,137.24","12,568,726.78","5,175,814.33","5,175,814.33","8,723,383.19","16,511,388.34","2,769,637.48","4,583,876.67","6,951,918.03"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"5,303,814.23","5,838,117.11","5,985,641.89",,"566,376.56","691,299.95","863,640.46","823,723.64","1,559,423.81","11,800,845.80","14,210,538.65","214,555.44","1,204,454.46","2,199,800.14"
投资活动现金流出小计,"238,909,882.25","311,311,219.74","536,763,015.19",,"112,460,308.52","247,477,227.32","247,829,134.36","100,557,750.72","237,547,667.46","342,128,314.98","442,236,234.41","270,677,880.37","253,172,052.65","287,522,459.93"
经营活动现金流入小计,"164,705,590.98","205,892,445.09","260,507,527.88",,"100,651,219.63","141,424,814.73","215,103,294.34","64,353,170.88","124,430,788.07","187,002,365.30","265,545,640.68","51,854,635.35","91,256,595.82","137,572,769.14"
投资活动产生的现金流量净额,"1,963,481.62","935,108.94","388,979.32","56,700.00","-99,979,898.65","-214,787,392.79","-97,892,929.97","-100,557,750.72","-35,170,318.15","-129,727,184.85","-47,862,173.49","-170,509,255.72","-11,898,005.67","-552,421.93"
购买商品、接受劳务支付的现金,"71,287,877.59","89,777,881.88","111,885,205.70",,"46,893,918.56","64,540,375.69","88,504,114.47","31,880,883.48","54,057,138.44","83,699,340.21","102,700,597.51","13,797,875.38","29,560,299.49","58,038,356.74"
吸收投资收到的现金,,,,,"230,550,000.00","230,550,000.00","265,000,000.00",,,,,,,
支付给职工以及为职工支付的现金,"19,072,304.94","19,833,158.46","20,525,864.21",,"8,176,411.75","12,569,010.13","20,758,890.64","5,282,916.96","9,823,910.78","14,498,540.63","22,923,162.89","5,772,760.05","10,820,464.78","17,415,697.45"
取得借款收到的现金,,,,,,,,,,,,,,
支付的各项税费,"17,473,690.80","26,879,685.67","30,490,131.04",,"16,047,178.76","23,475,175.92","34,747,308.73","11,215,901.36","20,168,565.66","27,255,632.42","34,277,921.53","11,843,184.85","15,625,596.62","20,290,143.03"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,
