科目,2007-12-31,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"176,486,047.80","463,597,192.00","285,703,286.96","392,626,969.98","275,950,427.61","1,465,259,172.26","1,430,312,304.27","1,158,110,731.89","984,083,780.49","1,472,931,956.85","965,613,877.17","848,455,464.38","616,005,223.66","414,927,426.63","395,994,118.54","376,330,011.11","353,951,135.48","446,267,025.62","426,792,326.16","570,400,024.30","411,405,905.82","661,340,867.49","1,220,389,233.68","1,499,128,514.26","959,151,536.55","1,168,308,450.84","1,173,725,747.13","776,455,443.09","915,601,123.49","1,022,143,199.61","1,018,043,773.39","1,382,123,350.46"
短期借款,"148,000,000.00","607,460,000.00","356,250,000.00","586,180,000.00","581,170,000.00","648,970,000.00","859,970,000.00","939,888,438.95","871,888,438.95","688,778,438.95","750,000,000.00","786,000,000.00","506,000,000.00","490,000,000.00","540,000,000.00","439,750,000.00","720,000,000.00","1,069,266,840.00","1,392,969,049.01","1,254,848,361.01","1,492,554,770.00","2,229,262,770.00","2,983,888,852.00","2,357,600,000.00","2,083,860,000.00","2,731,770,000.00","3,285,840,000.00","2,735,500,000.00","2,563,850,000.00","3,423,997,500.00","3,383,533,861.23","3,269,100,000.00"
交易性金融资产,"100,000.00","1,261,217.70","1,264,992.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,716,610.00","9,761,691.32","1,312,570.92","32,249,190.05","16,011,355.70","31,143,121.91","16,413,435.65","59,625,288.44","46,638,297.64","73,475,928.39","20,471,328.70","25,180,618.14","114,287,462.98","65,490,057.92","52,385,494.03","52,650,725.14","97,570,224.71","59,140,830.29","57,914,346.75","37,052,665.64","76,926,700.44","94,699,076.83","37,322,614.68","50,508,014.45","60,877,076.90","70,740,474.73","115,445,359.34","79,378,676.99","80,136,709.85","61,498,719.53","148,421,464.67","143,140,685.10"
应付票据,"142,445,000.00","181,621,737.85","272,815,000.00","300,762,000.00","286,515,000.00","290,035,000.00","128,846,540.00","95,000,000.00","378,420,000.00","649,934,400.00","625,640,400.00","518,046,000.00","462,008,189.73","311,256,289.73","444,080,000.00","580,091,600.00","365,295,798.01","461,285,996.26","382,533,571.99","627,817,267.80","716,702,055.09","551,809,201.70","473,284,535.23","1,011,727,431.86","960,951,786.64","617,649,602.40","190,360,200.00","220,000,000.00","504,210,000.00","744,426,800.00","428,796,800.00","455,720,000.00"
应收账款,"5,410,368.54","37,323,159.46","21,172,685.52","25,220,685.42","57,728,605.44","103,996,270.71","67,846,158.40","86,524,751.61","73,801,413.40","96,529,472.84","93,908,402.39","128,566,607.85","60,974,966.44","105,526,352.21","141,835,574.88","168,860,633.66","111,243,096.42","218,316,216.81","199,606,146.44","217,777,923.57","216,650,382.97","359,019,097.64","288,094,585.07","778,429,331.81","494,498,133.07","493,023,791.85","536,414,404.64","547,004,048.23","485,421,624.84","677,424,260.97","655,167,157.43","537,238,051.29"
应付账款,"58,700,437.15","93,083,274.78","88,109,337.14","102,271,830.99","166,952,178.47","143,823,673.67","107,794,950.32","154,628,153.11","306,135,056.35","257,615,557.20","376,545,239.96","375,575,189.09","231,756,475.88","277,121,303.03","271,351,675.93","262,476,686.82","411,646,857.43","511,543,025.82","674,993,623.13","472,826,716.32","384,810,838.64","485,214,518.24","536,518,734.72","565,971,559.59","584,858,311.39","687,495,595.22","501,424,468.91","529,523,145.78","545,243,363.48","563,910,948.34","725,939,271.41","528,326,658.00"
预付款项,"272,442,964.31","127,850,091.00","247,729,136.16","316,422,207.10","405,383,926.82","570,977,844.04","564,624,312.92","780,956,096.22","1,085,266,336.91","1,239,928,684.81","1,036,169,452.47","944,318,220.19","383,841,547.31","293,057,431.39","256,192,519.76","385,767,605.14","383,974,971.22","278,061,185.33","482,241,630.61","241,846,306.74","419,335,687.06","400,043,625.64","299,615,832.27","615,914,573.63","360,910,452.99","454,659,813.94","307,668,267.86","292,439,493.34","535,493,787.49","414,143,934.89","275,791,918.32","389,943,475.85"
预收款项,"198,951,498.88","188,058,771.22","179,736,171.32","173,928,378.79","199,358,519.65","182,783,252.93","184,914,120.22","180,028,717.90","366,205,598.67","269,872,734.85","154,753,144.80","132,441,905.29","470,037,210.50","229,800,193.06","114,754,965.85","189,484,145.67","493,327,931.48","293,117,730.03","161,960,323.97","216,738,073.18","343,057,499.46","325,269,564.16","261,447,563.23","126,080,221.68","340,306,071.76","156,590,645.78","209,571,158.69","217,898,440.81","390,929,081.14","200,426,717.25","197,069,255.88","578,056,951.23"
其他应收款,"29,643,620.75","22,088,604.30","5,265,427.17","10,679,340.66","13,309,056.14","28,085,362.54","26,479,559.01","28,682,722.99","12,011,656.24","16,721,096.50","20,248,506.43","22,953,696.02","19,100,274.21","24,889,616.33","31,570,714.53","35,338,466.92","24,373,726.49","30,691,450.83","29,896,066.67","36,182,053.03","25,792,628.66","70,502,576.54","75,335,739.34","93,093,162.71","70,346,058.45","77,572,482.25","76,665,637.41","70,118,864.31","81,935,354.56","112,489,931.98","112,070,226.13","112,962,185.84"
应付职工薪酬,"2,904,706.42","3,632,269.18","4,671,987.64","4,586,045.13","4,972,061.32","7,319,684.28","5,405,972.03","5,030,454.14","5,045,166.55","6,818,580.07","5,748,544.31","6,373,694.94","6,932,673.28","8,062,786.99","4,964,603.33","6,325,743.53","6,152,603.50","8,679,671.75","7,284,369.81","7,786,046.55","7,616,033.23","9,275,117.20","8,906,910.41","15,410,142.13","11,550,929.87","13,059,780.28","12,222,780.99","15,504,241.43","15,113,515.83","17,757,682.09","15,781,181.70","20,258,841.11"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"18,113,876.26","9,696,266.07","2,268,835.76","4,599,704.14","20,768,131.62","32,168,366.61","29,093,419.14","32,193,373.63","45,214,321.71","40,472,395.00","-7,092,030.37","-7,237,692.85","52,997,279.06","43,769,239.24","15,933,228.08","26,339,267.50","52,764,775.35","57,809,146.89","16,297,074.37","24,259,663.63","30,284,374.37","30,258,864.28","29,953,160.88","43,894,783.15","37,217,922.81","38,137,553.08","50,966,339.97","38,949,993.98","36,654,985.45","10,716,705.78","40,900,229.01","38,952,923.64"
应收利息,,,,,,,"5,233,150.69",,"6,033,150.76","2,321,060.79","4,444,699.16","5,080,734.08","2,669,613.45","1,608,149.77","704,812.64","2,240,887.00","1,337,531.89","1,468,387.27","1,654,804.12","1,653,070.96","2,159,515.34","2,645,226.59","5,072,301.21","6,046,867.05","4,645,476.73","4,858,893.80","2,724,759.43","4,821,793.32","2,680,832.91","2,545,036.78","3,065,182.01","3,017,881.70"
应付利息,,,,,,,,,,"3,793,548.38","18,493,548.39","33,193,548.39","47,893,548.39","3,793,548.39","18,493,548.39","33,193,548.39","47,893,548.39","3,793,548.39","18,193,548.40","33,193,548.40","47,893,548.39","3,059,881.73","18,618,756.73","33,193,548.39","47,893,548.39","3,895,631.73","18,608,694.58","36,316,842.04","47,893,548.39","3,035,579.60",,"2,001,707.09"
应收股利,,,,,"51,030.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,"16,250,000.00","14,625,000.00","14,625,000.00","14,625,000.00","15,796,100.00","16,825,000.00","99,058,899.56","19,768,899.56","16,298,899.56","1,673,899.56","1,673,899.56","4,643,899.56","1,673,899.56","1,673,899.56","1,673,899.56","2,373,391.56","699,492.00",,,"67,736,996.00","18,675,000.00","18,675,000.00","18,675,000.00","20,745,000.00",,,,"99,468,580.49","17,660,580.49"
存货,"195,399,747.46","381,170,057.93","323,603,216.76","345,080,119.75","426,773,545.11","461,819,291.73","450,349,875.41","479,391,340.53","713,228,959.17","676,767,289.66","929,490,788.24","906,085,577.95","914,364,266.19","755,556,872.87","687,766,192.72","558,227,769.16","747,231,902.75","899,928,046.39","896,868,685.96","881,680,743.90","1,014,475,313.96","943,869,911.21","1,018,292,391.62","707,770,098.09","1,378,807,388.43","1,216,521,882.56","942,377,391.08","871,909,353.09","1,217,657,879.78","1,249,346,481.93","1,291,193,585.59","1,145,427,729.75"
其他应付款,"61,291,326.42","19,419,248.90","11,493,367.98","9,829,008.27","10,400,139.91","112,371,543.78","32,687,717.64","28,018,256.47","25,080,457.81","29,744,271.18","25,971,129.88","29,188,750.31","26,355,707.41","26,894,075.85","27,833,505.19","23,931,346.08","156,060,347.07","23,105,657.86","36,192,410.25","48,184,822.64","26,498,665.07","79,385,856.21","96,704,811.00","603,778,561.57","491,007,531.73","337,684,824.39","148,752,399.68","151,424,864.04","330,610,747.73","320,258,900.99","309,456,041.05","390,170,863.15"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,"18,700,000.00",,"80,000,000.00","80,000,000.00","100,000,000.00","40,000,000.00","20,000,000.00",,"2,000,000.00","2,000,000.00","20,000,000.00",,,,,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","37,500,000.00","37,500,000.00","37,500,000.00","53,100,000.00","53,100,000.00","53,100,000.00","53,100,000.00","53,100,000.00","852,825,601.07","53,152,887.32","34,350,000.00","34,350,000.00"
其他流动资产,,,,,,,,,,,,,"55,289,992.12","55,226,686.47","66,586,995.83","65,506,466.98","69,532,654.23","58,118,547.62","70,612,112.44","62,192,683.81","59,969,594.23","48,913,748.64","77,503,005.85","70,290,008.57","167,718,419.26","107,731,029.78","153,066,089.06","135,393,723.32","179,139,652.07","113,156,221.48","197,889,113.04","171,024,978.68"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"301,149,528.30","304,359,669.81","610,951,886.79","618,534,669.81"
流动资产合计,"682,199,358.86","1,043,052,013.71","886,051,315.49","1,122,278,512.96","1,195,207,946.82","2,661,281,063.19","2,561,258,796.35","2,593,290,931.68","2,921,063,594.61","3,578,675,489.84","3,070,347,054.56","2,880,640,918.61","2,166,533,346.36","1,716,282,593.59","1,633,036,422.93","1,644,922,565.11","1,789,215,243.19","1,991,991,690.16","2,165,586,119.15","2,048,785,471.95","2,226,715,728.48","2,581,034,130.58","3,021,625,703.72","3,821,180,570.57","3,514,800,607.41","3,611,536,737.47","3,327,182,011.41","2,796,615,632.85","3,517,163,526.11","3,671,844,348.29","3,720,738,981.70","3,903,974,899.79"
流动负债合计,"630,406,845.13","1,121,671,568.00","915,344,699.84","1,278,406,967.32","1,364,761,030.97","1,532,096,521.27","1,403,337,719.35","1,470,583,494.20","2,014,814,040.04","2,048,088,825.19","1,971,828,876.53","1,909,880,294.73","1,805,654,983.81","1,392,371,335.85","1,442,055,426.33","1,563,266,237.55","2,284,815,760.79","2,460,275,516.56","2,722,797,362.49","2,716,353,991.53","3,086,917,784.25","3,751,035,773.52","4,514,560,320.20","4,829,431,248.37","4,629,421,102.59","4,658,058,632.88","4,491,591,042.82","3,998,217,528.08","5,588,480,371.39","5,642,043,391.18","5,846,247,107.56","5,953,133,194.52"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,"1,999,500.00","1,999,500.00","1,999,500.00","1,999,500.00","31,423,480.68","30,957,411.18","31,187,151.78","31,187,151.78","31,177,151.78","31,177,151.78","31,177,151.78","16,907,151.78"
