科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"113,940,731.08","182,611,064.85","326,549,169.92","75,220,891.85","161,082,586.42","250,506,493.79","330,867,609.01","128,898,897.11","249,704,356.79","358,835,099.39","445,574,456.00","95,267,761.33","207,982,511.69","288,453,305.83","413,075,739.26","197,079,761.95","392,978,988.10","566,101,128.19","778,628,222.47","197,395,578.94","422,643,345.89","721,717,221.03","1,023,409,582.48","286,257,343.22","580,119,580.78","814,990,164.91","1,188,336,353.40","292,489,785.36","600,261,694.51","781,823,342.19","1,106,813,695.27","268,976,373.83","628,817,337.87","862,802,376.63","1,092,593,469.69","248,484,882.79","570,614,202.99","855,538,663.61","1,306,648,567.23","343,579,654.89","758,693,801.84","1,271,667,689.64","1,987,433,525.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"999,759.37",,,,,,,,,,,,,,,,
收到的税费返还,"5,967,691.18","7,889,161.61","10,764,798.77","1,217,707.29","2,550,337.60","4,965,354.50","12,585,005.02","8,584,537.48","16,225,589.95","20,157,535.73","26,155,747.06","4,412,317.11","7,951,513.78","13,672,221.39","20,196,921.29","6,257,654.68","18,090,197.73","25,743,141.33","35,944,123.07","13,231,007.24","26,017,138.29","34,304,346.12","46,945,882.30","17,024,247.33","31,309,603.29","53,656,289.22","65,373,113.54","25,872,199.71","37,538,933.19","50,056,436.70","61,684,147.74","14,707,944.20","28,659,049.78","47,765,867.68","58,471,901.59","15,407,589.66","33,331,355.65","55,047,648.25","94,960,344.09","33,616,696.41","58,235,924.83","83,025,222.66","111,908,558.11"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"1,132,706.05","209,746.90","1,466,185.15","1,527,504.67","1,527,504.67",,"5,072,050.02",,,,"170,000,000.00",,,,"95,000,000.00","10,000,000.00","530,800.00","863,000.00",,,,,,,,"2,000,000.00","2,000,000.00",,"5,200,000.00","5,200,000.00","5,200,000.00"
收到其他与经营活动有关的现金,"285,901.85","1,304,700.00","471,773.29","107,440.97","345,133.66","599,563.62","1,092,049.53","386,776.16","2,674,562.08","12,536,912.60","11,457,411.32","5,684,778.91","6,491,632.50","31,308,266.65","33,289,845.57","6,673,807.68","12,323,290.95","20,954,691.82","9,516,108.13","9,533,222.74","13,748,127.80","15,900,928.73","28,684,442.03","2,180,540.99","6,544,301.64","8,456,467.90","31,480,710.03","5,943,333.14","16,462,116.38","25,017,818.18","28,187,043.40","2,934,405.97","13,039,689.44","19,902,238.09","13,893,129.82","5,063,932.35","6,142,059.37","10,828,810.60","10,778,421.28","4,337,798.73","8,644,601.60","12,503,251.87","21,749,850.67"
投资活动现金流出小计,"8,438,647.71","16,912,468.51","52,250,642.52","15,654,909.71","34,890,342.80","55,597,297.22","86,227,310.75","26,188,205.11","36,970,145.19","57,726,648.99","91,047,893.34","25,769,875.05","43,638,026.28","53,563,826.96","262,902,632.35","28,577,808.78","42,814,971.85","94,548,377.28","177,752,885.02","53,159,734.63","103,536,457.20","218,037,224.46","344,256,204.38","89,833,591.82","198,376,201.97","274,231,907.27","401,453,925.95","81,626,184.10","138,653,842.54","201,295,785.76","305,731,550.60","105,659,226.96","159,936,745.43","275,835,266.80","303,141,140.23","80,830,305.99","184,899,281.53","287,320,878.09","348,407,620.24","88,068,763.01","182,057,144.68","362,004,282.88","661,531,591.30"
经营活动现金流入小计,"120,194,324.11","191,804,926.46","337,785,741.98","76,546,040.11","163,978,057.68","256,071,411.91","344,544,663.56","137,870,210.75","268,604,508.82","391,529,547.72","483,187,614.38","105,364,857.35","222,425,657.97","333,433,793.87","466,562,506.12","210,011,224.31","423,392,476.78","612,798,961.34","824,088,453.67","220,159,808.92","462,408,611.98","771,922,495.88","1,099,039,906.81","305,462,131.54","617,973,485.71","877,102,922.03","1,285,190,176.97","324,305,318.21","654,262,744.08","856,897,597.07","1,196,684,886.41","286,618,724.00","670,516,077.09","930,470,482.40","1,164,958,501.10","268,956,404.80","610,087,618.01","921,415,122.46","1,412,387,332.60","381,534,150.03","825,574,328.27","1,367,196,164.17","2,121,091,934.41"
投资活动产生的现金流量净额,"-8,416,323.84","-16,911,768.51","-52,038,659.71","-15,654,909.71","-34,867,652.80","-55,490,740.42","-86,132,530.75","-21,164,143.81","-31,946,083.89","-52,655,387.49","-85,889,373.64","-25,769,875.05","-43,638,026.28","-53,574,976.96","-258,702,632.35","-28,577,808.78","-42,814,971.85","-94,547,678.78","94,973,443.62","-28,837,145.59","-63,976,692.60","-107,478,352.20","-162,142,253.50","-39,557,268.35","-147,519,429.11","-193,321,766.50","-302,458,394.00","-61,031,118.40","-107,677,572.51","-170,318,698.55","-273,626,108.89","-105,379,146.96","-159,589,808.23","-274,923,057.60","-285,179,736.03","-78,026,155.99","-181,726,069.34","-283,699,485.43","-332,877,100.57","-67,821,942.91","-161,638,324.58","-339,672,466.73","-627,073,030.30"
购买商品、接受劳务支付的现金,"55,017,446.11","96,984,093.76","200,552,327.84","65,093,184.51","112,371,571.56","203,269,650.31","255,289,897.51","53,915,465.86","131,675,503.36","229,285,152.02","283,826,441.87","92,812,551.63","175,879,837.92","245,824,065.49","307,126,897.83","196,136,010.44","325,842,636.86","490,051,529.22","597,815,102.15","186,420,971.71","382,877,719.98","577,613,012.58","765,347,656.39","209,838,871.04","450,437,430.77","656,720,347.74","927,786,819.91","244,446,568.30","427,668,423.71","568,088,260.03","836,369,076.53","170,525,851.01","465,413,105.61","642,385,381.49","760,608,762.81","224,502,439.92","447,811,779.37","622,710,164.51","911,557,113.26","257,405,367.79","556,534,107.69","1,011,463,300.04","1,326,889,683.34"
吸收投资收到的现金,,,,,,"529,658,800.00","546,040,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"575,608,028.06","575,608,028.06","575,608,028.06","576,098,554.86",,"9,700,000.00","9,700,000.00","15,700,000.00"
