科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"499,125,678.06","599,098,675.56","710,406,628.16","537,501,813.55","743,951,288.14","179,122,529.53","363,987,556.58","576,360,296.02","835,289,709.02","180,260,654.80","398,383,277.96","683,136,747.91","1,132,063,281.20","339,550,851.97","777,166,857.95","1,379,351,444.42","2,053,045,864.68","574,801,431.76","1,081,446,755.83","1,736,193,396.95","2,436,101,153.08","622,619,618.05"
二、营业利润,"132,998,450.31","163,586,728.08","180,490,289.57","135,221,250.33","180,899,791.48","45,106,701.44","87,216,655.85","136,442,483.34","208,620,510.61","32,926,627.33","71,530,162.36","117,155,562.57","255,279,310.22","86,849,053.28","175,932,382.11","307,352,454.67","486,860,330.62","132,291,291.98","233,716,065.94","404,862,044.82","557,871,462.23","141,615,786.00"
减:营业成本,"157,098,819.25","202,217,627.79","215,966,188.00","156,005,903.36","241,707,817.23","60,659,457.60","111,775,398.56","183,560,244.17","270,541,415.62","57,098,391.65","121,637,282.71","213,271,675.82","351,419,332.89","92,689,452.35","216,513,798.44","416,953,421.03","639,816,486.56","189,390,927.31","338,412,330.64","533,370,572.40","774,465,873.27","219,021,067.22"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,080,715.07","7,396,287.44","9,186,791.75","7,276,183.85","10,226,116.23","3,031,586.22","6,321,192.33","8,839,624.04","12,657,333.81","2,736,972.83","6,204,056.95","9,170,596.24","18,550,374.10","5,206,149.19","11,743,797.08","17,529,780.04","25,080,924.26","5,734,786.12","9,946,425.15","15,519,324.26","22,518,689.00","5,429,724.83"
营业外收入,"1,373,260.85","1,802,505.84","4,457,586.04","2,132,470.26","3,783,608.16","58,173.72","117,245.58","3,973,794.81","7,182,869.71","185,764.65","4,153,421.09","4,973,272.60","16,008,673.06","1,287,686.12","5,335,280.14","7,598,711.40","1,616,383.54","134,057.96","294,350.94","836,247.57","2,756,001.18","663,951.34"
销售费用,"130,687,949.18","164,172,267.72","205,745,304.91","163,000,744.98","229,935,132.80","54,130,282.70","123,083,938.25","189,680,395.74","270,384,784.84","67,726,153.48","145,781,473.51","231,928,498.94","343,338,421.66","111,201,566.00","259,748,991.19","402,598,768.07","593,021,002.80","169,138,176.28","340,339,840.00","523,030,282.90","730,461,634.74","204,689,518.94"
减:营业外支出,"3,197,450.49","123,738.28","2,216,047.61","384,810.77","445,195.20","3,098.36","124,858.35","772,541.12","406,511.34","200,321.10","208,330.99","963,179.97","2,857,741.53","2,323,466.95","7,657,959.21","10,751,087.41","10,458,364.24","1,699,523.51","1,841,045.25","3,288,418.14","2,605,889.89","28,200.69"
管理费用,"50,278,200.57","51,071,948.23","63,436,921.32","52,259,973.98","69,734,700.41","15,099,955.14","36,293,360.48","61,075,801.39","88,658,848.66","25,041,756.60","59,926,115.60","98,509,742.40","157,952,382.00","37,071,889.53","120,294,059.27","214,988,633.98","294,685,968.69","77,739,602.77","156,778,934.48","168,798,339.55","239,376,565.11","37,866,973.20"
其中:非流动资产处置净损失,"35,213.38","55,947.10","33,550.30","76,721.71","116,905.14","1,297.72","66,061.30","142,157.47","142,157.47","29,791.72","36,342.60","200,775.58","230,277.00","34,708.08","73,176.32","772,882.82",,,,,,
