科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"18,756,532.90","37,876,539.78","40,934,644.48","51,912,753.02",,"50,705,275.18","265,377,061.97","186,601,125.51","72,750,155.94"
短期借款,"95,000,000.00","60,000,000.00","44,000,000.00","68,000,000.00",,"68,000,000.00","58,000,000.00","20,000,000.00","10,000,000.00"
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"13,946,832.72","11,577,763.45","5,750,685.49","16,171,735.62",,"18,981,945.47","21,396,398.33","48,959,897.71","33,303,242.31"
应付票据,"2,000,000.00",,"500,000.00",,,,,,
应收账款,"48,033,497.55","48,273,678.34","43,021,584.73","55,078,406.26",,"48,102,854.69","95,068,665.55","70,371,539.21","103,085,744.57"
应付账款,"35,849,781.95","25,758,542.15","32,024,188.68","44,155,777.70",,"49,530,232.65","53,303,363.72","66,584,376.17","65,867,053.82"
预付款项,"3,396,090.53","1,776,016.09","2,270,608.47","4,164,194.65",,"5,207,765.20","8,911,796.55","8,733,803.52","14,948,427.14"
预收款项,"1,008,179.59","973,802.16","667,953.38","1,147,534.93",,"3,112,354.71","4,371,183.39","3,843,654.88","2,496,078.71"
其他应收款,"1,917,390.67","1,077,389.43","1,292,911.80","3,879,870.30",,"3,111,825.40","3,649,683.06","2,998,571.71","6,565,808.87"
应付职工薪酬,"4,018,683.68","4,712,528.97","7,083,475.84","6,707,732.30",,"10,704,758.54","8,967,979.87","10,111,788.67","10,876,247.27"
应收关联公司款,,,,,,,,,
应交税费,"1,693,951.61","1,691,742.86","4,189,384.50","5,781,430.18",,"4,145,346.11","9,648,266.64","9,214,706.93","10,014,845.21"
应收利息,,,,,,,,,
应付利息,"187,091.66","122,894.44","68,349.72","86,557.50",,"98,166.78","100,527.36","26,583.33","3,987.50"
应收股利,,,,,,,,,
应付股利,,,"275,000.00","275,000.00",,"275,000.00","275,000.00","1,430,000.00","275,000.00"
存货,"133,037,135.50","129,455,554.93","118,062,744.63","114,842,944.98",,"130,406,048.02","138,327,063.88","142,083,038.55","146,006,857.48"
其他应付款,"116,774.43","60,456.27","86,317.37","1,066,481.56",,"1,662,247.92","3,703,555.71","1,796,155.98","1,784,781.28"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,"2,325,272.15","402,400.72",,,,,,,
其他流动资产,"16,769,280.91","13,073,760.87","7,769,029.94","4,188,325.73",,"5,498,766.61",,"1,062,543.78","1,847,451.42"
其他流动负债,,,,,,,,,
流动资产合计,"235,856,760.78","243,110,702.89","219,102,209.54","250,238,230.56","253,332,600.00","262,014,480.57","532,730,669.34","460,810,519.99","378,507,687.73"
流动负债合计,"142,199,735.07","93,722,367.57","88,894,669.49","127,220,514.17","124,833,600.00","137,528,106.71","138,369,876.69","113,007,265.96","101,317,993.79"
可供出售金融资产,,,,,,,,,
长期借款,,,,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,"402,180.73",,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,"2,934,010.51","1,897,067.61","921,019.61","596,558.88",,"582,083.72","460,853.22","81,642.00","457,237.93"
固定资产,"201,027,512.47","193,692,369.54","203,895,803.36","278,746,145.65",,"277,680,660.04","309,186,178.63","323,554,231.90","323,064,440.00"
递延所得税负债,,,,,,,,,
在建工程,"198,317.58","1,834,276.82","27,917,383.45","6,903,125.52",,"47,498,366.73","21,775,911.44","19,346,300.79","62,417,509.60"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,"37,910.46"
非流动负债合计,"13,806,857.91","11,854,279.72","21,907,084.85","21,196,858.36",,"20,991,451.70","20,617,143.63","20,165,093.18","20,244,119.56"
固定资产清理,,,,,,,,,
负债合计,"156,006,592.98","105,576,647.29","110,801,754.34","148,417,372.53","146,200,100.00","158,519,558.41","158,987,020.32","133,172,359.14","121,562,113.35"
生产性生物资产,,,,,,,,,
实收资本(或股本),"120,000,000.00","132,000,000.00","132,000,000.00","132,000,000.00",,"132,000,000.00","176,000,000.00","176,000,000.00","176,000,000.00"
油气资产,,,,,,,,,
