科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"746,014,544.63","838,225,030.45","927,287,046.15","503,716,319.62",,"1,129,448,904.84","356,558,297.33","725,165,715.20","1,104,593,676.03","1,412,493,257.39","373,419,188.95","795,954,230.16"
取得子公司及其他营业单位支付的现金净额,,,"7,801,320.00","32,133,915.13",,"32,133,915.13",,,,"32,015,203.06","10,278,222.05","10,278,222.05"
收到的税费返还,"35,751,621.52","50,383,491.46","46,571,390.46","17,160,466.16",,"34,405,380.86","8,973,683.34","15,505,168.43","24,652,559.68","31,497,144.75","2,729,773.95","11,674,645.73"
支付其他与投资活动有关的现金,,,,,,,,"190,000,000.00","290,000,000.00",,,"80,000,000.00"
收到其他与经营活动有关的现金,"8,600,192.25","4,151,959.96","7,891,078.07","6,338,309.92",,"18,198,606.07","4,336,996.63","5,513,719.38","6,789,632.14","16,594,611.20","5,432,876.17","11,361,281.95"
投资活动现金流出小计,"60,050,955.04","65,774,676.95","177,867,383.25","134,066,282.70",,"219,148,437.96","69,742,549.67","296,503,080.37","459,121,090.63","302,053,864.15","161,730,323.51","335,795,304.34"
经营活动现金流入小计,"790,366,358.40","892,760,481.87","981,749,514.68","527,215,095.70",,"1,182,052,891.77","369,868,977.30","746,184,603.01","1,136,035,867.85","1,460,585,013.34","381,581,839.07","818,990,157.84"
投资活动产生的现金流量净额,"-56,870,955.04","-65,652,676.95","-177,767,383.25","-134,053,462.19","-143,549,300.00","-218,290,512.22","-69,742,277.17","-165,992,910.92","-218,297,334.65","-299,065,305.60","-161,730,323.51","-255,394,838.00"
购买商品、接受劳务支付的现金,"435,014,915.71","484,907,221.73","457,190,664.20","246,557,595.42",,"608,577,145.94","187,940,222.15","402,048,972.72","643,194,369.60","737,213,906.15","199,749,491.33","434,542,543.88"
吸收投资收到的现金,,,,,,"472,037,400.00",,,,"51,842,500.00",,
支付给职工以及为职工支付的现金,"215,474,715.42","259,678,281.90","284,576,272.54","156,227,585.27",,"327,576,592.74","105,109,016.42","189,590,871.33","285,433,636.95","392,922,037.30","117,863,390.00","227,543,363.04"
取得借款收到的现金,"203,469,981.40","277,778,298.21","465,661,692.28","353,036,891.80",,"579,142,399.53","25,182,919.64","161,369,460.00","397,469,326.24","588,213,831.66","171,183,924.04","457,181,176.97"
支付的各项税费,"40,159,387.20","59,882,032.63","76,881,399.76","46,048,044.57",,"71,759,789.44","30,429,450.37","48,943,095.56","69,911,056.28","93,343,702.20","23,597,965.47","44,982,976.54"
收到其他与筹资活动有关的现金,"500,000.00",,"2,040,000.00","5,582,000.00",,"5,582,000.00",,"52,242,500.00","51,842,500.00","3,090,000.00","8,760,675.00","8,566,425.00"
支付其他与经营活动有关的现金,"41,154,356.80","46,539,158.22","55,277,572.28","27,117,631.13",,"70,517,194.08","13,801,956.10","43,199,201.12","62,562,246.02","72,218,512.15","17,515,951.23","45,399,281.89"
筹资活动现金流入小计,"203,969,981.40","277,778,298.21","467,701,692.28","358,618,891.80",,"1,056,761,799.53","25,182,919.64","213,611,960.00","449,311,826.24","643,146,331.66","179,944,599.04","465,747,601.97"
经营活动现金流出小计,"731,803,375.13","851,006,694.48","873,925,908.78","475,950,856.39",,"1,078,430,722.20","337,280,645.04","683,782,140.73","1,061,101,308.85","1,295,698,157.80","358,726,798.03","752,468,165.35"
偿还债务支付的现金,"178,613,355.40","237,045,734.53","345,647,932.99","200,769,940.65",,"469,786,208.35","87,057,163.92","238,247,781.56","302,710,691.37","477,454,948.24","127,190,949.59","285,472,487.85"
经营活动产生的现金流量净额,"58,562,983.27","41,753,787.39","107,823,605.90","51,264,239.31","65,573,900.00","103,622,169.57","32,588,332.26","62,402,462.28","74,934,559.00","164,886,855.54","22,855,041.04","66,521,992.49"
分配股利、利润或偿还利息支付的现金,"19,151,712.00","27,806,562.31","34,492,666.01","39,779,088.70",,"50,440,993.08","3,900,538.19","42,424,269.43","48,336,089.26","52,761,288.28","3,688,264.11","52,254,959.29"
收回投资收到的现金,,,,,,,,,,"277,200.00",,
支付其他与筹资活动有关的现金,,,,"6,360,936.53",,"6,360,936.64","8,256,000.00","15,422,175.54","25,880,127.18","3,695,285.79",,"9,120,917.55"
取得投资收益收到的现金,,,,,,,,,,"1,748,772.19",,
筹资活动现金流出小计,"197,765,067.40","264,852,296.84","380,140,599.00","246,909,965.88",,"526,588,138.07","99,213,702.11","296,094,226.53","376,926,907.81","533,911,522.31","130,879,213.70","346,848,364.69"
处置固定资产、无形资产和其他长期资产收回的现金净额,"180,000.00","122,000.00","100,000.00","12,820.51",,"857,925.74",272.50,,,"962,586.36",,
筹资活动产生的现金流量净额,"6,204,914.00","12,926,001.37","87,561,093.28","111,708,925.92","87,385,400.00","530,173,661.46","-74,030,782.47","-82,482,266.53","72,384,918.43","109,234,809.35","49,065,385.34","118,899,237.28"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-131,642.48","-226,061.45","1,996,828.00","760,349.72",,"297,499.74","-354,728.69","-2,707,565.39","-2,396,910.65","4,300,774.78","-4,935,485.76","-2,121,722.12"
收到其他与投资活动有关的现金,"3,000,000.00",,,,,,,"130,510,169.45","240,823,755.98",,,"80,400,466.34"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"3,180,000.00","122,000.00","100,000.00","12,820.51",,"857,925.74",272.50,"130,510,169.45","240,823,755.98","2,988,558.55",,"80,400,466.34"
五、现金及现金等价物净增加额,"7,765,299.75","-11,198,949.64","19,614,143.93","29,680,052.76","10,220,600.00","415,802,818.55","-111,539,456.07","-188,780,280.56","-73,374,767.87","-20,642,865.93","-94,745,382.89","-72,095,330.35"
购建固定资产、无形资产和其他长期资产支付的现金,"58,158,074.59","65,469,676.95","169,381,063.25","101,932,367.57",,"187,014,522.83","48,071,179.67","84,831,710.37","147,449,720.63","249,455,931.09","151,452,101.46","238,142,082.29"
期初现金及现金等价物余额,"34,634,321.08","42,399,620.83","31,200,671.19","50,814,815.12",,"50,814,815.12","466,617,633.67","466,617,633.67","466,617,633.67","466,617,633.67","445,974,767.74","446,027,303.98"
投资支付的现金,"1,892,880.45","305,000.00","685,000.00",,,,"21,671,370.00","21,671,370.00","21,671,370.00","20,582,730.00",,"7,375,000.00"
期末现金及现金等价物余额,"42,399,620.83","31,200,671.19","50,814,815.12","80,494,867.88",,"466,617,633.67","355,078,177.60","277,837,353.11","393,242,865.80","445,974,767.74","351,229,384.85","373,931,973.63"
