科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"18,657,925.84","53,728,496.43","55,595,212.57","57,721,793.51","491,019,818.60","477,291,644.45","388,583,312.78","393,819,459.92","391,302,652.42","363,441,402.11","335,062,239.22","213,139,202.32","210,412,983.37","224,047,662.77","196,779,165.62","151,744,911.41","143,437,532.25","170,292,471.24","159,505,490.91","149,130,232.63","130,965,698.41","125,075,621.28","85,118,032.37","59,627,780.82","100,122,913.12","142,700,177.13","140,444,139.44","126,547,695.86","70,106,737.53","67,618,249.42","81,555,249.16","100,470,446.63","93,719,141.63","248,644,510.64","273,102,744.08","323,049,628.96","224,261,078.26","248,302,642.47","298,174,487.83"
短期借款,"40,000,000.00","58,458,805.73","52,865,728.38","44,000,000.00","45,756,632.06","49,559,665.13",,,"7,200,000.00","5,500,000.00","5,000,000.00","4,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,034,907.48","2,000,000.00","10,188,750.62","15,211,889.93","19,428,173.78","21,945,079.40","33,867,210.83","16,590,748.66","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,"34,496,397.84","59,638,777.84","60,378,880.00","232,994,480.00","293,707,342.26","364,878,162.26","346,902,703.86","339,575,662.26","353,995,881.43"
交易性金融资产,"244,537.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,558,800.00","8,441,800.00","6,539,005.52","4,258,101.14","7,230,484.89","10,277,179.10","12,172,125.43","11,763,200.00","14,183,705.00","23,488,386.22","23,650,406.21","38,049,277.01","34,452,904.71","28,429,111.97","29,874,790.00","11,169,380.30","25,212,400.00","33,708,356.79","24,258,133.00","25,283,452.75","21,348,353.00","38,479,890.00","44,465,476.40","41,488,174.74","29,612,798.89","58,286,386.39","38,593,584.00","54,839,313.20","28,948,840.07","45,311,495.21","36,919,501.25","59,467,370.56","34,453,783.13","46,138,382.95","31,875,787.53","42,538,164.00","73,566,815.89","112,995,269.30","97,135,422.81"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,732,018.59","86,624,657.52","43,740,829.50",,"49,012,194.16",
应收账款,"36,946,703.20","26,366,045.33","41,675,149.75","47,152,627.40","59,818,913.74","47,699,808.14","90,118,648.87","86,145,632.35","82,149,029.89","63,697,764.43","77,820,216.15","83,226,101.50","88,492,320.82","83,748,965.05","98,913,420.16","147,584,207.85","154,302,794.88","112,496,996.48","122,898,191.03","112,764,501.55","129,322,961.55","99,774,867.83","102,930,033.08","97,105,349.22","116,439,175.63","84,266,292.12","122,174,457.34","108,550,770.77","124,505,977.99","138,505,040.17","160,708,828.95","202,503,280.44","207,165,506.66","565,926,942.46","574,859,469.93","591,447,071.11","657,118,465.02","627,994,857.91","539,005,507.43"
应付账款,"4,707,980.14","3,633,132.74","6,171,154.47","8,717,429.67","8,590,269.97","7,035,618.47","11,431,392.46","20,726,372.22","21,078,611.91","20,459,188.91","19,325,959.07","12,161,832.72","7,806,213.55","25,242,224.09","16,950,811.49","17,867,802.71","16,465,792.35","28,672,086.39","31,244,490.81","13,713,385.62","10,756,933.83","32,504,649.54","33,185,311.62","31,099,048.38","23,941,015.79","23,300,400.20","20,825,237.52","28,086,722.19","23,218,637.89","31,573,403.90","28,710,062.97","32,461,891.80","24,940,812.53","283,165,353.52","240,714,431.00","241,227,939.03",,"263,761,172.85",
预付款项,"7,863,148.39","5,275,304.47","3,241,373.86","3,084,046.35","2,165,038.10","29,775,986.28","30,087,812.88","30,151,546.25","37,343,933.83","25,679,873.52","39,698,279.27","22,305,615.20","24,932,540.41","6,171,798.73","15,131,110.66","18,713,811.64","7,049,487.31","1,198,882.73","2,477,664.26","13,472,490.33","29,660,772.85","10,470,197.34","8,333,502.73","4,852,990.32","3,635,032.08","1,122,778.52","5,630,503.98","6,018,378.77","9,380,983.54","5,355,130.70","6,927,869.05","1,625,817.45","3,712,675.64","16,303,296.58","24,101,538.65","31,950,144.53","34,259,379.91","30,382,026.75","54,473,432.90"
预收款项,"1,001,712.15","1,314,381.03","202,881.27","2,059,579.68","1,564,317.09","500,245.75","761,838.62","310,336.41","837,857.53","862,457.01","1,316,712.00","1,637,302.08","412,430.67","568,768.67","3,301,797.54","649,906.39","1,126,322.49","1,306,608.68","1,487,888.03","886,899.60","2,411,806.20","629,526.74","305,646.86","1,071,403.50","875,623.19","756,600.36","1,402,126.61","1,685,029.00","8,861,160.09","4,005,180.85","2,603,544.49","14,416,715.18","13,594,746.10","6,373,546.65","4,235,387.26","3,856,260.02","4,813,567.88","11,999,002.02","29,529,637.79"
其他应收款,"6,380,014.67","1,995,000.00","9,500.00","3,096,500.00","3,140,948.11","2,015,830.72","2,186,148.14","1,372,925.00","2,690,306.97","3,784,710.92","2,574,962.41","3,693,921.45","2,342,367.37","772,205.73","1,038,121.10","764,593.23","863,510.41","714,283.50","1,381,919.79","124,561.79","360,554.60","4,366,246.41","3,322,458.46","5,545,813.63","3,211,207.72","4,517,699.15","5,971,045.69","8,655,364.99","6,515,296.66","5,510,500.00","3,083,572.12","3,017,500.00","2,340,000.00","10,833,851.72","10,282,028.20","14,305,702.43","38,471,842.22","13,414,044.28","7,679,860.88"
应付职工薪酬,"2,287,731.71","3,350,160.45","5,126,591.25","5,203,668.49","5,133,284.66","7,361,349.94","7,399,287.47","7,433,792.07","7,364,323.18","9,213,933.34","9,070,945.79","8,881,553.62","8,677,399.69","9,341,615.92","9,373,743.60","9,315,110.34","9,129,260.12","9,912,351.82","9,644,604.07","9,398,582.17","9,121,239.03","9,173,201.38","8,789,366.41","8,515,133.91","8,201,972.69","8,521,316.07","7,980,604.24","8,084,695.27","7,362,352.56","7,160,187.93","6,843,699.25","6,603,701.63","6,338,525.69","30,791,322.43","32,124,434.67","31,723,241.84","33,826,266.80","29,784,077.86","30,572,635.96"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"1,111,475.14","2,128,911.87","857,842.46","2,235,447.92","1,981,899.85","228,935.06","1,749,291.70","-948,646.40","-1,540,819.36","3,099,238.42","2,328,758.92","-2,465,956.52","-1,544,956.68","136,685.22","2,969,747.23","2,409,343.07","3,464,969.96","-52,444.13","-468,768.34","1,353,255.37","490,233.29","-1,916,858.21","-5,439,270.11","-3,769,168.34","-6,515,279.93","1,030,965.94","610,484.21","2,083,592.17","1,367,186.06","2,243,100.49","2,583,524.89","3,358,988.35","2,566,552.01","18,045,561.81","17,948,254.24","10,393,947.17","12,519,174.35","20,847,548.40","16,697,900.93"
应收利息,,,,,,"1,576,428.75","3,239,460.94","3,851,718.80","5,233,593.80","474,190.48","1,239,166.67","529,242.23","557,313.06","386,319.44","727,986.11","221,250.00","505,954.19","403,976.66","863,099.18","266,671.68","890,244.18","97,643.83","75,846.58","41,896.00","6,307.00","56,493.14","11,491.93","15,813.11","10,108.30","10,638.92","36,046.03",,,"20,970.58","10,537.32","22,904.31",,"12,388.98","24,818.10"
应付利息,,,,,,,,,,,,,,,,,,"83,475.77","114,641.01","16,985.79",,"56,346.46","25,743.68",,,,,,,,,,,"66,055.44","98,461.67","143,412.44",,"449,287.78","738,013.88"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"242,834.57","142,834.57",,,,,,,,,,,,,,,,,,"113,010.37","113,010.37","113,010.37","113,010.37","36,046.11","36,046.11","36,046.11","36,046.11","440,765.23",,,,,,,,"2,171,852.70",,"1,374,367.91","1,374,367.91"
