科目,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"108,569,318.23","41,377,399.28","125,661,332.91","53,867,091.21","209,565,085.05","73,909,002.92","258,063,043.07","118,802,921.79","355,514,845.38","192,388,783.99","579,772,934.33","227,280,586.32","703,204,861.18","308,126,348.97","869,901,640.36","155,084,085.94","411,152,731.58","667,671,994.43","1,023,525,170.69","197,102,560.79","415,174,186.89","497,197,494.51","1,120,962,122.74","239,373,936.74","503,798,247.39","830,573,063.30","1,729,447,921.52","363,517,171.01","844,262,848.17","1,311,163,735.30","1,927,804,968.34","275,886,555.38"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"205,459,838.46",,,,,
收到的税费返还,,,600.00,,,,,,,,,,,,,,,,,,,,"1,797,082.00",,"1,746,856.53","9,136,476.80","13,546,368.08","19,489,332.64","30,187,595.14","35,652,350.96","43,180,095.01","1,886,051.70"
支付其他与投资活动有关的现金,,,,"30,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,295,798.00","1,271,803.44","2,242,002.58","3,302,349.10","2,983,649.47","6,467,787.36","12,310,108.56","557,523.88","2,435,470.33","450,915.23","7,362,440.28","1,006,163.72","6,148,563.62","13,451,181.91","20,137,838.82","13,533,934.15","7,422,373.88","87,388,218.11","34,940,929.35","49,716,816.11","83,784,394.12","110,005,182.56","21,164,180.06","34,504,529.93","56,796,544.63","94,736,356.77","27,593,004.77","83,210,358.77","458,136,267.05","714,392,794.30","98,835,838.07","41,478,535.02"
投资活动现金流出小计,"3,379,065.04","3,497,428.00","17,565,131.30","3,472,682.04","7,568,883.28","30,765,375.35","37,954,449.97","7,130,641.85","17,672,825.62","4,281,916.37","6,385,760.37","31,981,566.27","24,934,102.93","10,274,266.33","29,047,578.54","17,316,890.02","52,723,840.35","155,214,074.51","205,869,915.62","21,956,441.13","32,780,132.77","43,261,009.87","196,290,011.14","17,169,542.50","90,946,009.18","259,427,982.03","711,484,987.74","82,221,302.02","339,795,469.65","471,772,491.68","593,556,870.74","24,337,472.90"
经营活动现金流入小计,"110,865,116.23","42,649,202.72","127,903,935.49","57,169,440.31","212,548,734.52","80,376,790.28","270,373,151.63","119,360,445.67","357,950,315.71","192,839,699.22","587,135,374.61","228,286,750.04","709,353,424.80","321,577,530.88","890,039,479.18","168,618,020.09","418,575,105.46","755,060,212.54","1,058,466,100.04","246,819,376.90","498,958,581.01","607,202,677.07","1,143,923,384.80","273,878,466.67","562,341,648.55","934,445,896.87","1,770,587,294.37","466,216,862.42","1,332,586,710.36","2,061,208,880.56","2,069,820,901.42","319,251,142.10"
投资活动产生的现金流量净额,"-3,379,065.04","-3,497,428.00","-16,414,549.11","11,932,317.96","7,883,116.72","-30,490,375.35","-37,679,449.97","-7,097,841.85","-17,640,025.62","-4,187,416.37","-6,193,598.57","-17,624,566.27","-24,934,102.93","-10,253,266.33","-29,026,578.54","-17,316,890.02","-52,723,840.35","-155,160,727.51","-205,701,568.62","-21,510,841.13","-32,313,503.21","-42,728,380.31","-195,198,390.06","-17,169,542.50","-90,946,009.18","-259,427,982.03","-710,350,741.16","-82,221,302.02","-339,795,469.65","-471,772,491.68","-371,080,633.70","-24,237,472.90"
购买商品、接受劳务支付的现金,"80,644,072.20","34,834,900.79","78,319,058.50","56,949,557.46","130,654,584.07","66,910,833.55","152,037,658.47","89,988,162.50","187,134,290.59","125,140,575.98","287,489,316.50","186,915,558.01","387,138,553.33","234,106,304.60","555,660,802.10","158,816,691.20","281,669,309.21","475,064,470.02","678,696,707.93","147,187,405.43","289,907,955.57","393,698,145.28","734,013,375.74","260,928,831.73","408,032,432.01","704,394,932.04","1,251,382,162.23","368,418,119.78","1,012,299,275.36","1,373,283,856.54","1,758,160,101.83","295,127,478.58"
吸收投资收到的现金,,"29,574,400.00","32,806,352.02",,,,,"420,356.00","420,356.00",,,,,,,,"244,150,496.48","244,150,496.48","244,150,496.48",,,"101,545,716.65","101,768,696.94",,,"448,169,854.71","449,349,100.00",,"1,555,425.50","1,555,425.50","1,549,355.50",
