科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"31,722,359.03","186,402,471.87","101,834,351.39","67,427,608.96","41,760,750.52","38,880,160.54","39,388,949.10","38,403,576.89","39,351,670.90","57,544,433.85","63,791,879.88","52,384,519.49","67,692,103.82","42,550,417.05","35,486,128.05","78,723,431.69","62,915,067.15","31,089,795.21","32,739,828.19","33,002,573.49","40,710,792.13","21,668,619.15","64,239,995.95","16,224,356.89","18,707,309.57","44,830,644.00","41,349,936.37","53,727,309.70","74,971,664.23","32,904,543.47","23,619,720.39","19,350,445.58","18,685,695.19","45,796,627.75","98,558,207.03","1,587,164,159.91","1,498,284,985.15","1,370,372,313.36","1,334,306,971.51","1,050,842,034.40","447,486,579.84","608,852,199.72","560,825,768.62","594,250,169.47","454,652,021.87","595,084,868.18","572,797,277.48","346,900,694.06"
短期借款,"135,149,536.77","224,401,222.59","176,921,613.01","252,463,235.99","227,717,191.49","216,688,597.34","214,850,948.63","238,288,857.14","256,763,544.00","294,107,745.78","306,567,838.70","338,675,994.87","339,968,735.64","327,035,876.58","334,952,200.48","380,581,734.51","372,490,656.36","345,454,958.73","375,197,419.98","387,853,316.65","394,329,124.97","375,775,530.33","324,104,146.50","312,540,607.40","311,350,360.00","344,174,428.00","352,046,075.00","340,483,050.00","365,946,600.00","360,159,356.00","464,382,768.67","464,517,952.67","431,080,740.67","378,819,516.67","445,621,449.44","408,036,169.44","377,774,336.09","276,342,477.74","149,600,000.00","66,000,000.00","279,980,000.00","229,980,000.00","189,980,000.00","259,980,000.00","249,980,000.00","314,980,000.00","215,000,000.00","190,000,000.00"
交易性金融资产,,,,,,,,,,"516,804.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,464,210.88","55,922,231.84"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"28,500.00","28,500.00",,,,,,,,,,,,,,,,,,,,,,,,,"17,800.20","8,760.60","18,076.30","22,180.50","13,280.40",,,,"12,152.00","64,740.50",,,,,"300,000.00",,,"4,960,056.71","4,915,668.71","3,005,705.81","7,492,902.82",
应付票据,"5,000,000.00",,,,,,,"6,000,000.00","6,000,000.00",,,,"26,500,000.00","26,500,000.00",,"20,000,000.00","34,000,000.00","14,000,000.00",,,,,,,,"6,000,000.00","11,000,000.00","30,000,000.00","47,000,000.00","17,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,
应收账款,"56,648,372.75","72,171,337.38","51,879,815.94","96,996,165.43","121,855,379.75","112,969,504.20","87,402,159.94","100,206,430.33","110,647,891.73","155,207,397.04","105,669,789.05","113,802,639.33","94,239,007.91","115,070,173.02","96,820,584.20","115,597,935.36","126,124,249.35","103,355,638.40","124,773,866.42","123,223,349.74","145,474,399.64","139,636,121.09","139,354,125.01","133,991,824.19","156,123,878.01","172,511,884.56","126,082,854.33","120,608,969.17","112,207,245.04","113,481,453.53","88,525,720.01","85,828,396.25","74,067,013.22","84,128,429.03","72,562,715.29","221,131,041.80","200,568,205.68","190,806,856.60","140,682,964.17","155,462,988.01","151,704,755.68","173,302,038.23","222,916,413.66","253,667,435.28","282,690,952.97","288,029,778.74","243,193,040.96",
应付账款,"5,487,800.47","8,478,795.79","34,638,289.14","19,811,539.88","38,354,010.07","15,070,980.44","25,379,797.66","24,966,604.59","17,898,798.81","40,650,166.92","44,297,751.92","54,442,818.27","22,309,183.55","32,873,241.97","21,350,853.75","33,394,118.45","26,472,459.00","13,084,840.15","19,400,453.40","14,224,473.76","14,874,089.00","13,659,474.83","11,302,061.01","19,696,681.24","8,423,023.03","34,453,579.07","17,814,201.05","11,499,964.71","12,435,824.99","15,629,689.14","17,843,017.79","16,853,174.10","14,500,505.23","17,074,524.85","13,886,185.69","70,986,459.74","94,863,383.85","95,868,651.64","90,247,654.65","87,003,111.49","90,552,715.36","81,932,051.39","87,144,952.71","80,916,323.42","89,051,813.93",,"99,588,051.80",
预付款项,"54,711,588.74","100,555,419.13","55,761,726.40","35,899,090.34","46,775,963.53","61,728,725.84","59,598,575.38","62,508,793.17","58,004,235.21","33,859,139.58","39,786,717.00","84,622,251.66","95,839,191.50","72,597,497.88","38,550,576.80","62,121,381.44","53,427,672.01","40,862,498.84","28,117,590.46","51,961,036.57","43,228,440.44","38,967,919.56","11,379,554.43","49,336,327.00","30,972,848.34","32,696,427.98","36,571,363.80","59,902,430.47","65,639,013.50","44,043,488.86","48,287,246.23","47,846,423.44","21,471,222.83","14,951,582.92","14,016,020.24","23,724,605.28","15,974,622.49","19,285,307.61","14,304,562.60","32,662,965.69","28,727,793.92","26,493,159.57","14,785,225.30","65,466,938.55","24,625,402.91","21,565,095.62","15,844,194.23","24,026,371.89"
预收款项,"10,998,245.91","8,523,471.69","33,870,811.35","45,488,055.50","22,735,085.99","13,113,118.84","14,251,713.45","4,657,776.77","7,272,437.36","10,321,641.80","2,839,363.25","10,922,292.29","5,560,226.45","2,659,897.22","2,533,586.68","2,986,984.98","2,774,833.81","2,881,952.36","1,939,720.65","2,395,634.16","3,599,431.78","2,220,234.98","1,730,828.31","3,913,606.11","4,386,707.17","19,773,251.71","9,709,694.05","1,994,272.45","2,606,926.93","3,084,868.52","3,157,435.84","10,364,724.71","6,066,475.60","3,258,442.63","4,000,525.21","12,153,812.74","7,928,658.85","5,980,397.42","9,571,701.62","8,142,984.78","7,651,328.82","8,993,197.90","13,505,161.62","18,051,455.50","18,326,661.55","7,800,250.87","7,734,133.72","12,227,006.18"
