科目,2007-12-31,2008-12-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"899,872,641.40","1,190,114,887.33","1,202,126,102.79","1,407,675,788.57","2,605,409,128.64","2,907,093,281.87","2,600,507,504.17","2,973,341,438.21","2,788,725,660.58","2,868,980,216.84","2,230,763,350.48","2,485,482,267.74","2,443,041,535.85","2,252,133,014.69","1,950,024,140.80","2,263,805,478.50","2,155,470,291.94","1,662,395,898.53","1,762,480,014.11","2,466,441,315.25","2,465,404,522.45","2,100,178,766.64","1,800,699,123.55","2,773,376,652.94","3,080,420,177.16","1,899,147,263.61","2,007,274,446.05","3,244,627,347.67","3,412,441,063.81","3,568,817,209.92","5,229,549,632.71","5,496,073,016.01","5,395,483,182.99","4,960,414,242.48","4,234,971,798.06","4,415,130,296.19"
短期借款,"50,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,"21,880,689.86","20,566,736.52","21,659,293.94","23,183,413.19","21,408,528.58","20,109,277.25","21,363,805.58","21,019,697.07","20,664,852.84","20,258,679.83","18,838,002.87","19,015,998.20","19,266,705.90","19,842,338.74","19,607,066.48","21,084,494.71","20,561,580.66","20,147,011.21","20,770,180.04","20,113,859.46","20,475,376.09","222,723,172.92","326,680,572.20","308,620,319.06","312,245,198.96","315,507,437.70","264,985,643.63","214,235,824.45","265,953,876.93","104,634,437.08","105,320,232.42","106,003,288.47","106,741,835.74","107,642,201.46","108,709,688.74","109,842,785.26"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,"981,235.00","981,235.00","1,089,236.89","200,000.00","700,000.00","830,000.00","730,000.00","1,100,000.00","3,102,580.20","1,457,692.30","600,000.00","600,000.00","2,630,000.00","1,970,000.00","14,672,204.44","1,135,040.00","27,458,152.34","3,317,731.34","2,110,722.79","2,135,722.79","7,819,410.73","7,224,210.73","5,964,701.30","12,952,663.30","97,297,648.12"
应付票据,,,,"130,000,000.00",,"55,978,467.02",,"57,122,713.13","7,122,713.13",,,"40,000,000.00","40,000,000.00",,,"20,550,000.00","7,300,000.00","21,000,000.00","27,700,000.00","13,700,000.00","9,080,000.00","22,280,000.00","20,800,000.00","15,300,000.00","12,400,000.00","9,130,000.00","15,750,000.00","14,800,000.00","14,650,000.00","20,500,000.00","26,130,000.00","26,130,000.00","2,420,000.00","16,145,556.20","48,100,833.80","29,890,000.00"
应收账款,"214,878,975.82","262,906,960.58","260,655,662.15","362,711,604.74","654,356,092.03","281,830,564.55","783,571,371.38","383,545,222.28","784,962,072.51","511,260,039.51","839,210,542.17","236,617,186.94","647,849,248.25","588,289,094.78","954,742,666.43","287,343,136.19","871,221,058.02","536,323,321.37","1,035,590,019.52","392,093,871.53","1,036,263,370.62","524,862,437.55","1,401,674,833.70","652,638,491.10","1,226,004,616.81","616,935,321.89","1,389,182,927.59","556,766,981.43","1,262,101,947.54","1,050,386,301.24","1,779,721,963.22","480,182,389.37","1,430,420,768.78","1,127,102,745.16","2,161,811,229.70","773,076,573.24"
应付账款,"589,226,067.97","800,017,421.45","772,057,916.98","752,899,332.54","1,207,900,525.49","971,226,946.45","1,335,257,950.78","873,137,692.56","1,189,273,501.38","967,780,634.56","1,357,942,990.89","815,735,870.22","1,294,254,738.96","1,132,257,585.68","1,504,708,510.81","886,876,334.99","1,374,528,945.04","1,101,400,137.26","1,696,989,402.96","1,370,761,942.70","1,784,415,564.03","1,478,466,723.95","2,049,277,548.84","1,510,887,657.43","1,710,646,317.97","1,422,933,066.29","1,864,902,860.83","1,389,483,091.32","1,809,736,029.16","2,156,229,487.87","2,450,309,356.57","1,355,558,127.16","2,137,358,283.45","1,471,218,202.17","2,436,949,731.86","1,690,874,827.58"
预付款项,"4,073,405.62","7,969,689.91","4,933,087.07","11,102,201.05","13,354,742.98","8,819,508.27","11,776,317.11","5,911,439.09","10,276,224.55","14,100,647.35","17,278,161.41","13,295,317.91","10,906,325.83","15,903,278.25","27,330,548.34","28,420,848.88","43,525,729.62","182,822,088.06","177,029,572.37","166,909,309.77","202,679,022.18","345,171,813.17","213,028,467.37","344,868,317.87","395,610,716.56","436,048,208.76","427,883,215.95","481,639,784.53","613,115,880.48","881,630,085.55","700,079,130.05","404,888,042.99","680,950,613.93","508,954,193.60","774,928,568.42","577,649,856.72"
预收款项,"20,599,245.60","33,783,478.69","31,495,207.84","71,792,263.97","69,626,312.09","57,537,006.44","90,399,851.59","77,176,471.28","87,617,920.07","83,625,000.07","124,994,509.37","171,490,356.57","192,188,180.50","183,871,534.37","176,837,567.61","186,826,331.74","152,317,614.87","166,968,532.13","186,141,344.57","195,887,701.08","233,468,595.06","184,255,840.63","368,793,319.44","255,319,041.32","302,092,294.38","268,722,723.66","329,929,620.22","351,126,908.05","442,743,409.48","403,744,583.93","409,297,907.07","423,147,889.24","509,266,385.33","384,799,842.16","481,964,038.46","528,341,303.45"
其他应收款,"31,288,205.90","18,238,485.64","20,831,853.33","22,879,112.88","12,929,650.93","17,257,390.68","12,398,723.37","8,858,079.71","23,205,595.74","16,289,678.07","19,245,597.19","12,944,051.91","39,769,407.29","35,936,243.54","32,116,848.69","22,630,124.67","27,220,064.43","36,943,316.75","40,324,710.22","22,795,744.36","27,441,341.52","40,489,302.99","48,810,661.31","35,518,866.80","58,267,685.48","66,436,332.56","59,773,108.24","73,344,684.04","107,627,150.43","105,341,778.60","89,507,818.56","102,708,725.65","147,096,433.56","185,202,642.02","205,258,891.64","239,664,861.37"
应付职工薪酬,"115,892,477.28","24,673,575.66","20,792,336.20","26,275,589.52","22,135,960.71","32,957,440.51","26,397,839.66","52,337,732.48","32,201,159.36","36,218,908.16","29,097,098.81","57,011,238.51","41,282,406.50","45,367,094.02","28,919,100.84","68,054,126.38","37,295,169.26","44,240,954.57","44,456,971.89","94,643,511.04","64,631,339.19","73,032,952.43","71,291,120.93","132,654,082.54","77,091,636.41","65,571,423.89","68,596,252.62","156,835,562.14","79,167,909.58","80,192,311.43","80,484,380.08","176,158,345.93","111,620,580.56","116,248,221.93","120,089,250.55","235,205,720.84"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"31,187,057.51","2,563,232.45","6,435,989.21","-29,429,218.72","-6,037,387.23","-18,252,081.31","-63,196.40","-6,254,115.56","19,503,320.09","-29,890,126.61","9,733,204.82","-92,109,297.91","-39,840,380.19","-46,813,514.33","5,195,545.38","-51,286,215.47","-5,708,566.82","-63,220,224.29","-42,673,762.83","-163,579,877.43","-157,046,572.26","-129,070,535.14","-107,469,307.22","10,937,383.97","13,720,147.91","22,473,599.91","11,671,234.09","12,805,097.48","9,167,194.95","13,762,881.73","9,468,349.57","20,923,033.87","11,929,427.38","14,953,791.48","11,641,057.66","27,774,551.96"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,"3,106,849.32",,,,"2,776,188.12","6,608,416.43","12,490,979.71","18,419,529.50","1,304,431.76","13,009,482.89","13,676,695.84","12,818,644.76","71,855,980.43"
