科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"16,780,346,458.49","10,004,260,151.88","13,747,359,452.22","6,961,567,404.17","13,340,347,423.26","3,201,488,828.12","6,008,736,842.98","8,993,012,728.42","12,270,139,610.58","4,539,799,508.56","7,722,037,970.71","10,981,932,627.30","14,870,061,255.65","4,009,497,014.42","7,515,534,782.46","11,174,361,626.12","15,705,366,741.00","4,717,213,571.34","9,037,381,799.30","14,390,084,442.75","21,508,052,713.80","5,389,318,997.51","10,387,285,395.15","15,755,859,246.88","23,498,260,421.35","7,167,986,071.48","13,422,097,303.08","19,981,936,845.99","28,751,765,948.71","8,378,184,138.05","14,034,032,713.72"
取得子公司及其他营业单位支付的现金净额,,"27,674,694.60",,"508,694,887.66","851,694,887.66",,,,,,,,,,,,,,,,,"155,962,428.01","155,964,270.64","155,964,270.64","155,964,270.64",,,,,,
收到的税费返还,"47,629,992.77","31,031,710.72","60,811,565.48","63,248,217.93","93,139,265.36","13,873,528.89","19,235,281.07","74,156,494.27","67,047,475.77","21,643,195.00","64,613,719.92","87,027,714.20","136,170,867.14","58,613,525.55","68,747,070.80","116,998,166.11","133,543,029.64","38,432,740.86","90,792,037.43","80,472,378.90","105,809,826.79","64,266,218.96","113,390,990.92","169,532,751.92","221,907,586.91","64,810,105.74","142,868,361.18","214,091,003.67","283,680,707.74","60,355,595.04","117,003,790.82"
支付其他与投资活动有关的现金,,,"53,872,085.36",,,,,,,,,,,,,,"25,800,000.00",,,,,,"60,000,000.00","100,000,000.00",,,,,,,
收到其他与经营活动有关的现金,"50,115,809.72","37,496,466.73","33,376,587.00","39,868,950.20","49,660,436.40","14,094,526.71","33,649,069.61","34,896,280.25","56,783,022.05","26,898,657.59","19,293,138.44","20,649,983.99","44,662,342.78","9,077,328.93","17,686,853.67","36,180,741.41","49,097,380.13","8,180,339.19","15,576,949.30","20,083,299.05","36,646,597.74","21,833,234.75","31,749,617.90","50,487,435.08","176,035,911.05","36,205,460.20","40,303,663.35","96,226,090.39","98,104,408.24","44,328,408.56","49,076,010.26"
投资活动现金流出小计,"573,781,334.68","109,878,089.35","299,103,550.10","600,313,949.07","1,017,866,778.91","44,798,077.01","887,023,714.64","1,076,217,774.94","2,347,581,553.38","933,730,345.09","2,340,189,170.73","4,032,393,263.87","5,837,301,483.03","2,090,896,741.54","4,739,320,078.98","7,525,300,139.22","11,321,147,780.04","4,545,790,772.48","7,665,346,348.00","10,556,058,126.09","12,423,743,891.74","2,105,407,900.95","4,322,469,208.06","6,137,666,033.84","8,236,276,396.77","2,365,459,415.62","4,833,591,046.44","7,934,583,333.99","10,275,130,006.00","3,138,982,702.67","6,094,558,692.34"
经营活动现金流入小计,"16,878,092,260.98","10,072,788,329.33","13,841,547,604.70","7,064,684,572.30","13,483,147,125.02","3,229,456,883.72","6,061,621,193.66","9,102,065,502.94","12,393,970,108.40","4,588,341,361.15","7,805,944,829.07","11,089,610,325.49","15,050,894,465.57","4,077,187,868.90","7,601,968,706.93","11,327,540,533.64","15,888,007,150.77","4,763,826,651.39","9,143,750,786.03","14,490,640,120.70","21,650,509,138.33","5,475,418,451.22","10,532,426,003.97","15,975,879,433.88","23,896,203,919.31","7,269,001,637.42","13,605,269,327.61","20,292,253,940.05","29,133,551,064.69","8,482,868,141.65","14,200,112,514.80"
投资活动产生的现金流量净额,"-241,542,476.03","-98,455,771.34","-296,429,670.29","-572,357,742.09","-982,309,804.62","-40,004,555.30","-561,801,481.85","-566,879,472.12","-756,841,157.34","-310,354,183.89","20,911,205.52","162,227,657.63","-31,278,183.30","-108,241,718.70","-453,502,432.61","-701,449,999.17","-954,722,045.31","-359,137,016.55","-487,932,848.44","-594,352,352.75","-713,089,586.18","-29,558,884.29","-331,288,665.12","-415,707,037.45","-778,965,848.64","-12,684,504.14","14,655,381.33","-2,845,638.65","-152,994,363.89","162,400,678.25","-58,551,513.11"
购买商品、接受劳务支付的现金,"14,857,921,627.76","8,284,780,897.90","11,862,452,331.68","5,942,490,628.70","11,102,231,804.33","2,623,406,829.04","4,968,852,047.43","7,645,495,368.62","10,985,463,716.79","3,215,922,383.64","5,837,683,163.58","8,823,008,351.46","12,127,326,201.01","2,902,209,669.90","5,897,920,828.73","9,022,025,910.77","13,080,812,613.27","4,137,039,415.82","8,407,414,067.43","13,166,020,844.96","18,044,452,791.83","4,636,857,539.35","8,508,843,112.42","13,504,131,845.76","19,937,634,181.50","5,927,880,753.96","11,475,738,076.24","17,423,324,504.60","25,217,444,381.62","7,244,201,543.95","12,573,812,867.75"
吸收投资收到的现金,"35,686,560.00",,,,,"773,486,067.66","773,419,191.90","773,419,191.90","773,419,191.90",,,,,,,,"2,021,739,982.34",,,,,,,,"176,456.60",,,,,,
