科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"726,899,018.33","674,111,139.69","407,728,383.46","640,407,815.95","1,020,343,932.93","284,769,430.36","661,450,160.58","942,875,295.42","1,221,305,538.77","291,818,421.72","589,546,062.94","870,656,342.41","1,097,689,392.00","196,489,637.15","546,698,552.97","884,244,861.07","1,222,380,948.92","343,162,867.96","843,030,577.91","1,361,020,226.16","1,701,218,405.49","600,936,583.88","1,033,940,815.91","1,641,304,336.57","1,983,814,344.54","546,624,538.52","1,515,235,605.91","1,906,652,318.48","1,936,570,726.54","471,507,831.12","1,328,370,825.96","1,870,006,982.37","2,677,967,158.66","534,067,911.35","1,367,358,133.84","2,275,086,870.98","3,137,094,798.91","710,447,348.27","1,259,313,491.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"547,198.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"511,671.68","3,650,589.76","161,670.53","1,730,137.50","2,485,432.60","1,157,642.93","1,394,604.83","1,463,415.33","4,610,498.97","1,926,082.96","3,294,027.75","3,498,217.85","12,040,168.28",,,"1,587,321.80","11,554,091.98","185,861.26","594,050.53","594,050.53","6,536,044.84","162,000.00","1,656,421.20","1,789,421.20","8,979,491.38","171,733.28","948,290.89","1,076,979.30","6,584,355.81","187,281.00","2,068,493.80","6,407,993.24","13,145,186.79",,"1,309,058.39","5,487,502.22","7,733,240.35","1,600,751.92","4,980,654.74"
支付其他与投资活动有关的现金,,,,,,,,,,"22,272,000.00",,,,,,,"1,600,000.00",,,,,,"2,157,896.00","2,157,896.00","960,000,000.00",,"633,000,000.00","753,851,493.82","1,245,450,000.00","130,551,100.00","386,200,000.00","478,155,919.28","430,000,000.00",,,,"1,195,040,000.00","76,000,000.00","1,136,000,000.00"
收到其他与经营活动有关的现金,"7,441,123.43","11,492,891.61","2,920,131.55","4,063,185.73","8,020,677.38","9,388,897.90","8,741,783.48","11,082,751.89","13,034,408.95","3,042,883.08","7,627,041.72","13,122,822.01","16,045,196.27","4,066,880.91","9,338,533.41","19,452,026.94","13,870,696.13","7,108,714.09","10,500,120.86","13,686,129.60","11,671,282.62","7,264,984.66","16,259,168.28","20,671,369.44","23,797,013.35","2,591,406.78","7,691,052.08","17,880,221.71","20,685,848.21","5,166,146.95","12,249,361.44","21,140,187.14","32,377,432.15","10,156,355.71","13,007,230.82","29,776,734.09","29,767,034.60","7,485,490.80","8,001,644.11"
投资活动现金流出小计,"85,307,566.31","98,034,816.92","29,744,085.85","54,102,030.13","66,418,124.35","66,926,059.21","103,094,265.24","170,300,816.04","192,796,282.33","85,924,954.83","171,392,911.17","220,460,057.04","250,294,914.44","71,829,156.55","87,639,922.89","154,970,419.06","228,829,326.76","62,529,879.81","78,620,239.93","155,155,171.69","219,004,829.23","78,200,181.54","148,063,959.82","229,327,584.62","1,322,138,430.47","86,215,822.66","939,224,514.44","1,232,189,251.86","1,870,931,764.20","341,905,362.07","698,118,058.91","910,465,756.25","1,012,488,673.32","112,979,889.53","195,603,209.42","324,208,915.38","1,684,520,466.73","144,322,215.98","1,328,200,537.02"
经营活动现金流入小计,"734,851,813.44","689,254,621.06","410,810,185.54","646,201,139.18","1,030,850,042.91","295,315,971.19","671,586,548.89","955,421,462.64","1,238,950,446.69","296,787,387.76","600,467,132.41","887,277,382.27","1,125,774,756.55","200,556,518.06","556,037,086.38","905,284,209.81","1,247,805,737.03","350,457,443.31","854,124,749.30","1,375,300,406.29","1,719,425,732.95","608,363,568.54","1,051,856,405.39","1,663,765,127.21","2,016,590,849.27","549,387,678.58","1,523,874,948.88","1,925,609,519.49","1,963,840,930.56","476,861,259.07","1,342,688,681.20","1,897,555,162.75","2,723,489,777.60","544,224,267.06","1,381,674,423.05","2,310,351,107.29","3,174,595,073.86","719,533,590.99","1,272,295,790.73"
投资活动产生的现金流量净额,"-73,778,344.12","-89,384,091.75","-27,701,753.80","-52,315,293.59","-61,754,480.12","-66,925,059.21","-97,582,165.24","-164,241,767.92","-186,258,594.08","-85,918,364.83","-170,338,458.38","-216,753,984.59","-235,098,754.24","-71,779,156.55","-87,024,588.89","-154,355,085.06","-219,803,307.23","-62,517,833.66","-77,861,015.67","-154,337,147.43","-207,676,559.44","-78,000,181.54","-144,801,386.08","-225,336,710.86","-1,302,539,439.53","-22,238,159.17","42,252,398.38","-89,279,605.76","-7,607,782.67","-39,377,525.09","61,934,599.83","9,372,797.25","-131,135,708.58","-111,940,789.53","-138,729,698.62","-262,351,255.08","-1,204,115,043.06","-123,918,914.61","-181,811,691.59"
购买商品、接受劳务支付的现金,"478,178,466.64","474,887,277.23","231,068,096.57","402,900,540.51","699,529,650.77","227,647,296.23","506,141,813.95","748,096,310.34","888,066,448.75","254,217,476.45","471,666,018.48","725,545,789.76","857,709,682.26","211,630,142.65","398,216,419.37","675,206,335.16","769,151,417.62","265,833,272.03","550,401,598.49","908,731,982.37","1,090,948,516.13","423,251,289.71","701,044,277.68","1,139,807,443.99","1,331,256,148.23","409,099,490.41","1,158,444,666.98","1,412,399,570.72","1,197,310,553.44","405,559,642.22","1,054,865,133.61","1,341,484,311.76","1,952,177,933.35","611,734,550.41","1,194,111,522.64","1,933,029,083.58","2,386,432,619.33","622,805,396.59","960,064,610.66"
吸收投资收到的现金,,,,"431,200,000.00","424,323,374.00",,,,,,,,,,,,,,,,,,,,"1,122,349,501.30",,,,"4,000,000.00",,"500,000.00","10,000,000.00","10,000,000.00",,,,,,
