科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"42,878,890.54","33,137,551.05","267,108,286.14","240,968,981.13","216,971,858.71","180,997,170.19","150,792,745.24","160,696,969.90","132,844,365.00","102,456,988.15","85,866,112.09","88,375,384.57","109,590,888.31","79,753,723.43","85,317,354.02","81,227,865.43","57,385,132.21","78,556,326.79","119,900,808.79","94,578,882.81","120,341,694.28","75,741,584.13","586,021,222.43","381,801,133.65","312,346,079.77","323,974,354.21","312,504,641.71","199,280,023.79","186,214,406.71","190,069,591.77","177,113,221.46","92,172,553.50","85,167,088.06","85,775,599.88","106,865,449.79","143,219,021.14","239,902,844.22","132,721,150.01","99,300,571.49","130,451,091.74"
短期借款,"75,200,000.00","100,800,000.00","73,000,000.00","68,000,000.00","30,000,000.00","30,000,000.00","50,000,000.00","40,000,000.00","25,000,000.00","30,000,000.00","50,000,000.00","70,000,000.00","90,000,000.00","100,000,000.00","160,000,000.00","196,000,000.00","207,833,332.00","287,583,330.00","375,832,000.00","410,580,000.00","393,000,000.00","353,000,000.00","337,958,760.77","239,411,198.77","236,632,246.51","230,095,175.75","302,330,000.00","192,330,000.00","161,430,000.00","158,000,000.00","98,000,000.00","88,000,000.00","3,000,000.00","13,000,000.00","12,900,000.00","15,400,000.00","17,400,000.00","17,600,000.00","20,300,000.00","16,450,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,"660,000.00","400,000.00",,"10,640,151.99","14,469,352.22","12,069,643.96","10,730,636.12","16,313,904.99","11,900,907.21","18,633,434.28","18,450,700.37","17,175,521.72","5,317,710.94","11,456,700.62","15,209,527.24","18,401,108.10","9,507,605.83","15,869,431.01","10,259,477.91","2,119,235.03","2,429,546.78","8,451,455.61","6,817,944.30","2,451,074.63","6,287,684.36","5,432,960.42","1,170,000.00","2,750,000.00","5,252,744.70","7,251,003.70","2,800,000.00"
应付票据,"5,175,472.55",,,"4,066,192.24","720,000.00","4,609,096.70","3,372,208.20","10,000,000.00","5,000,000.00",,,,,"13,264,554.87","3,284,105.53","12,764,068.29","20,531,812.61","12,216,148.31","7,066,322.03","9,328,273.87","15,023,732.48","3,061,470.75","8,754,841.73","13,881,993.34","6,332,572.26","8,833,137.04","6,594,884.90","5,202,911.17","1,616,594.20",,,"10,962,088.21","12,678,774.31","5,403,202.59","2,588,879.60","4,617,081.53","2,253,231.19","2,256,781.90","2,755,137.38","1,359,355.90"
应收账款,"72,769,463.26","90,895,612.16","105,589,647.08","100,990,130.76","98,052,368.84","111,039,690.26","104,528,872.55","98,843,104.41","101,078,866.32","133,336,508.96","133,331,879.77","152,302,108.31","147,922,259.33","176,166,801.45","198,484,286.17","208,781,963.06","249,397,297.83","274,749,464.82","249,540,848.17","297,962,220.68","271,969,035.55","295,276,932.16","318,775,100.82","304,938,010.99","305,967,664.51","306,490,476.69","274,284,407.77","319,314,348.68","340,065,859.28","297,598,083.87","276,696,817.14","292,787,658.83","310,817,988.39","308,803,391.36","300,840,392.60","274,629,899.77","277,102,197.73","292,064,104.51","357,227,441.23","381,145,706.57"
应付账款,"73,972,289.42","65,686,270.80","66,791,229.69","61,332,703.47","69,607,128.82","51,292,598.65","49,739,919.75","51,114,167.94","50,109,111.88","42,669,072.50","55,590,527.79","50,631,956.41","65,838,614.72","69,099,938.85","83,080,156.65","83,411,278.53","106,930,126.37","104,197,755.91","111,653,410.24","107,943,172.68","106,908,062.76","125,559,830.76","130,610,712.17","133,593,691.20","147,274,708.57","123,978,819.45","118,172,541.81","114,823,075.66","165,189,649.76","143,720,994.17","149,163,800.35","147,358,759.50","126,118,811.15","109,680,805.76","108,390,395.40","116,429,582.74","122,007,390.89","116,001,940.97","155,050,174.43","168,536,378.97"
预付款项,"12,396,002.62","18,686,051.67","16,320,636.12","34,472,880.03","36,643,368.97","34,260,227.86","40,561,052.92","41,161,845.45","36,308,538.66","38,792,091.14","46,541,947.60","56,301,950.71","38,149,929.09","60,201,006.77","77,495,492.79","124,361,050.55","83,107,278.63","101,663,587.97","95,602,606.66","129,273,056.95","134,760,395.50","131,835,506.38","251,193,983.27","246,003,211.81","34,970,137.28","41,589,887.45","34,415,242.40","24,164,420.96","12,568,294.82","15,630,938.90","17,996,873.57","18,489,984.62","15,610,792.66","19,879,312.58","20,782,586.88","21,386,998.98","18,530,774.32","27,083,415.33","24,701,120.74","19,479,382.65"
预收款项,"44,880.00","1,516,968.78","157,263.80","686,126.64","976,866.52","848,621.29","484,364.40","747,934.90","1,990,221.09","1,942,205.11","1,747,421.07","1,244,817.93","1,416,377.35","8,852,286.91","5,917,772.37","16,773,338.90","11,245,396.37","9,772,290.33","9,256,291.78","7,182,329.82","10,955,615.43","11,742,521.84","15,268,315.54","15,268,652.99","12,191,580.08","12,017,971.62","31,639,996.10","31,183,612.61","15,273,582.02","18,240,423.09","22,625,179.47","19,712,310.25","12,377,968.49","15,302,072.33","12,561,339.60","18,886,627.73","16,512,004.31","26,945,565.17","17,970,885.17","14,400,152.97"
其他应收款,"4,908,497.52","5,836,630.88","4,508,288.06","6,128,217.09","5,821,295.04","5,128,348.78","3,596,862.57","4,401,520.88","4,413,965.35","3,938,173.23","3,489,401.94","4,728,244.81","5,953,325.73","16,787,643.56","15,365,381.95","18,010,592.46","7,506,238.25","13,097,995.20","11,801,908.09","13,755,636.61","31,098,794.89","37,555,217.42","17,163,991.50","18,079,823.24","13,983,066.34","16,317,159.25","17,460,597.38","13,117,705.03","7,874,303.47","9,426,952.43","10,589,693.43","14,579,086.29","8,867,656.71","9,285,583.20","9,992,490.93","10,920,077.75","7,223,646.35","10,359,789.07","11,082,050.41","9,361,131.66"
应付职工薪酬,"15,202,399.69","8,208,675.89","8,492,223.93","10,002,057.54","13,882,035.96","13,071,838.47","14,934,146.98","22,726,745.64","22,104,350.13","24,621,521.93","22,673,840.13","26,703,702.46","31,725,420.85","23,986,355.66","16,689,568.50","17,568,786.31","28,703,303.97","23,528,613.26","18,668,611.73","18,377,118.62","26,942,751.92","22,930,986.47","18,297,589.48","21,186,372.25","25,143,621.48","22,879,781.73","17,597,886.13","24,167,105.74","49,053,775.66","42,328,265.28","27,391,462.08","26,090,428.37","31,788,807.67","23,819,756.24","25,057,618.84","34,041,955.59","38,677,802.13","30,572,357.02","31,553,356.54","42,956,953.88"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,160,636.11","7,550,881.97","8,497,747.19","4,374,990.59","3,966,792.23","4,305,460.71","5,281,682.83","4,421,526.00","3,463,204.45","6,086,512.98","5,386,462.50","3,396,472.99","1,844,755.34","4,555,327.16","240,211.98","-1,575,151.16","3,362,318.42","5,133,521.87","-2,819,698.69","3,368,597.24","10,401,234.23","6,930,043.76","3,333,273.63","5,346,643.84","10,984,234.81","7,778,061.34","2,956,693.18","4,289,086.51","12,023,297.43","9,807,747.97","13,585,379.65","20,628,542.14","17,353,589.02","17,695,935.14","18,635,232.62","19,110,137.06","24,638,413.42","14,453,043.97","19,275,431.18","19,360,275.21"
应收利息,,,,"1,238,250.00","846,978.75","358,085.55","543,594.25","391,944.25","396,000.00",,,,,,,,,,,,,,,"2,487,255.56","3,627,653.46","3,039,535.57","793,946.63","932,151.30","992,695.92","1,141,177.45","39,319.34",,,,,,,,,
应付利息,,"2,749,911.75","2,551,867.00","3,499,752.00",,,,,,,,,,,,,,,,,,,,,,"42,880.53","694,330.53","1,345,780.53","1,997,230.53","1,795,000.00","263,268.85","558,750.02","88,375.00","126,250.00","19,511.95","123,442.70","105,851.63","134,085.35","165,499.86","62,332.09"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"20,033,722.88","20,033,722.88","20,033,722.88","20,033,722.88","20,033,722.88","20,033,722.88",,"2,103,661.96",,,,,,,,,,,,,,,,,,,,,,,,,,,"266,800.00","266,800.00","266,800.00","266,800.00","266,800.00","266,800.00"
存货,"52,121,502.27","61,953,793.14","72,614,864.84","74,420,795.07","67,547,789.20","47,673,936.31","43,312,388.60","45,231,869.26","53,910,938.68","52,244,837.00","73,756,430.78","73,864,121.88","82,667,155.27","103,906,697.04","122,720,674.83","135,104,628.87","131,710,031.47","132,283,997.47","153,102,979.75","151,211,305.87","143,976,721.01","143,478,815.06","149,732,447.18","157,742,320.05","155,860,853.95","147,597,228.13","157,528,607.92","172,333,843.77","146,314,421.83","146,864,982.63","152,338,828.01","158,895,946.24","152,168,061.38","154,037,228.80","152,028,426.55","157,002,785.32","157,627,130.46","158,812,860.72","173,520,321.51","170,070,241.36"
