科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"138,327,835.40","144,125,696.37","265,206,250.78","109,115,943.36","2,534,370,248.78","2,492,431,874.76","2,632,060,189.23","2,457,568,427.60","1,835,783,313.95","1,698,786,620.08","2,327,731,160.47","1,656,020,825.15","1,467,056,071.13","1,390,465,074.65","1,904,167,591.40","1,523,689,383.53","1,367,313,294.49","1,127,740,491.65","2,171,805,170.09","1,495,742,503.94","1,428,183,898.14","1,806,587,761.84","2,394,309,127.90","1,418,443,985.80","1,709,347,356.70","6,249,624,939.43","5,299,608,081.80","3,737,039,831.91","3,858,314,896.81","4,278,844,722.41","9,056,188,390.02","9,236,683,019.34","4,192,645,955.41","4,580,174,047.36"
短期借款,"25,000,000.00",,,,,,,,,,"100,000,000.00","100,000,000.00",,,,"170,000,000.00","480,000,000.00","610,000,000.00","750,000,000.00","510,000,000.00","931,000,000.00","917,600,000.00","959,500,000.00","484,500,000.00","838,500,000.00","195,700,000.00","211,200,000.00","114,300,000.00","958,000,000.00","2,102,000,000.00","2,478,665,000.00","1,918,322,000.00","1,857,480,000.00","2,224,480,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"12,860,000.00","6,600,000.00","2,000,000.00",,"2,990,000.00","100,000.00",,"13,050,000.00","1,780,000.00","37,035,743.75","10,969,000.00","1,150,000.00","10,790,000.00","7,650,000.00","3,800,000.00","11,285,217.00","12,856,231.04","21,199,975.06","11,944,189.53","6,144,500.00","16,817,495.75","7,081,814.56","2,245,029.56","3,720,000.00","18,874,888.53","13,658,492.74","7,579,000.00","2,600,000.00","29,672,987.70","29,814,987.70","39,565,904.81","14,340,377.95"
应付票据,,,,,,,,,,,,,,"3,400,000.00","8,480,000.00","18,677,000.00","9,700,000.00",,"4,238,690.00",,,"2,820,000.00","3,920,000.00","3,980,000.00","3,000,000.00","6,592,500.00","6,870,500.00","4,698,500.00","12,375,200.00","36,304,735.20","30,661,300.00","3,500,000.00","979,635.00","979,635.00"
应收账款,"24,404,433.46","34,007,211.08","44,973,951.99","65,064,282.12","127,266,984.16","113,254,147.84","106,406,726.85","126,531,281.82","255,126,447.86","298,392,394.41","282,339,225.64","293,373,521.83","448,379,968.25","483,365,954.88","650,646,106.86","645,853,629.54","928,566,653.11","1,062,174,518.38","1,277,282,224.38","1,276,361,520.51","1,646,053,100.07","1,455,120,311.29","1,626,913,974.26","1,599,626,412.60","1,811,825,103.01","1,934,732,470.79","2,565,000,838.64","2,896,644,362.91","3,188,392,535.30","3,339,857,881.76","4,231,548,424.52","4,282,936,388.16","3,970,146,383.02","3,652,826,988.76"
应付账款,"19,646,192.14","33,834,018.78","70,526,501.89","35,563,751.93","78,440,050.70","75,568,312.25","132,950,461.26","91,675,114.83","141,969,195.60","157,571,782.98","246,295,165.66","284,336,138.73","270,267,126.76","249,458,094.55","388,784,588.73","336,051,904.16","379,007,066.79","405,842,874.01","947,848,346.47","696,465,583.97","804,627,240.26","633,705,328.83","1,493,218,888.61","1,196,159,987.10","1,232,767,017.27","1,188,019,335.75","2,027,950,607.29","1,776,705,269.71","2,474,707,554.84","2,439,718,270.02","4,946,204,256.59","5,044,568,530.64","4,942,458,457.82","5,354,294,354.57"
预付款项,"17,950,471.58","19,328,066.08","28,294,890.51","32,847,267.13","31,471,581.19","38,080,537.29","17,185,543.49","8,144,667.90","21,938,770.38","29,213,680.03","15,110,005.38","51,015,729.39","79,678,454.28","85,245,124.25","66,977,408.58","104,423,336.13","108,947,727.38","242,929,002.94","88,204,214.33","68,274,690.20","71,627,952.88","88,607,413.22","186,470,103.25","186,359,605.43","272,190,516.14","310,916,259.11","219,192,210.34","188,911,031.41","441,496,535.81","560,538,632.88","404,026,770.63","447,857,813.16","530,166,795.11","647,398,665.99"
预收款项,"25,603,762.79","1,348,510.00","65,550,480.00","61,254,720.50","61,003,190.12","64,276,158.25","13,244,167.65","10,969,908.00","5,377,511.37","5,606,943.72","11,108,988.09","23,140,641.32","53,186,264.91","92,262,535.48","28,775,534.50","26,363,462.28","60,890,939.58","90,216,664.63","68,526,533.30","87,883,150.28","116,648,229.51","170,652,040.49","119,428,556.27","118,489,264.90","130,848,387.92","159,900,456.82","199,372,631.19","231,724,431.65","202,933,672.93","585,620,733.61","335,042,803.68","294,127,483.50","355,626,039.69","342,747,349.73"
