科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"707,061,610.70","1,273,737,313.02","1,462,523,315.27","774,229,498.32","1,161,819,752.73","270,659,151.60","434,730,798.15","779,266,174.14","780,041,878.16","154,344,213.09","365,137,074.81","592,994,900.35","867,071,060.60","192,052,030.54","347,138,182.14","723,499,207.40","842,283,637.78","259,111,718.09","481,076,402.01","772,582,530.38","1,263,546,176.16","328,364,478.87","693,416,092.77","1,140,526,998.97","1,637,634,247.14","340,170,300.24","909,579,216.44","1,346,322,439.27","1,878,033,333.40","423,556,997.11","926,570,324.48","1,745,570,432.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"69,295,606.05","69,295,606.05","74,372,903.95",,,"267,850,246.61","275,383,759.58",,,,,,"12,660,108.81","25,382,015.39","25,382,015.39",,,,,,,
收到的税费返还,"4,130,998.34","3,150,554.30","8,732,540.89","2,908,699.07","4,258,914.25","2,761,523.67","4,409,552.02","4,409,552.02","4,409,552.02","193,619.25","974,601.61","2,410,816.53","2,688,715.01","384,427.73","1,470,427.52","2,564,285.03","3,968,303.31","1,680,192.53","4,358,992.75","7,087,645.02","8,269,975.04","5,897,942.15","9,688,734.14","26,908,599.19","34,311,430.25","8,423,189.74","20,048,127.57","32,644,825.61","40,383,426.84","6,862,482.63","20,753,147.33","41,969,367.96"
支付其他与投资活动有关的现金,,"4,406,330.11","13,619,783.23",,,,,,"1,008,500,000.00","100,000,000.00","100,000,000.00","605,000,000.00","1,113,152,277.06","27,000,000.00","111,800,000.00","571,800,000.00","705,300,000.00","71,000,000.00","71,000,000.00","71,000,000.00","71,000,000.00",,,,"108,000,000.00",,"28,000,000.00","1,113,000,000.00","985,000,000.00","130,000,000.00","130,000,000.00","660,195,219.59"
收到其他与经营活动有关的现金,"2,387,572.10","62,349,656.64","108,100,392.47","7,191,688.37","7,223,956.00","17,957,900.58","41,674,588.51","56,657,298.60","99,191,082.77","41,810,328.87","47,602,356.37","85,359,127.68","104,221,352.10","28,020,801.33","98,267,598.91","107,973,609.54","121,559,749.51","48,984,349.21","9,027,132.15","14,127,167.49","19,530,051.35","11,978,983.27","8,816,124.59","12,520,785.87","25,174,131.06","7,877,373.43","11,170,331.35","12,477,149.78","26,771,332.96","6,827,714.47","11,940,316.64","15,482,776.89"
投资活动现金流出小计,"195,627,746.33","334,839,411.30","413,547,597.50","362,377,214.47","448,055,532.55","96,264,157.69","206,914,552.44","425,350,805.94","1,823,961,193.34","201,978,054.28","346,815,499.99","891,298,726.96","1,557,763,032.18","187,568,660.00","441,709,719.19","1,266,072,194.32","1,580,334,426.87","110,738,163.40","123,238,670.76","178,235,788.60","225,821,145.39","70,316,860.14","188,863,649.10","225,283,922.70","364,721,789.29","32,018,496.37","82,193,758.88","1,187,131,404.81","1,303,140,090.73","193,614,695.56","330,228,668.13","962,012,129.35"
经营活动现金流入小计,"713,580,181.14","1,339,237,523.96","1,579,356,248.63","784,329,885.76","1,173,302,622.98","291,378,575.85","480,814,938.68","840,333,024.76","883,642,512.95","196,348,161.21","413,714,032.79","680,764,844.56","973,981,127.71","220,457,259.60","446,876,208.57","834,037,101.97","967,811,690.60","309,776,259.83","494,462,526.91","793,797,342.89","1,291,346,202.55","346,241,404.29","711,920,951.50","1,179,956,384.03","1,697,119,808.45","356,470,863.41","940,797,675.36","1,391,444,414.66","1,945,188,093.20","437,247,194.21","959,263,788.45","1,803,022,577.73"
投资活动产生的现金流量净额,"-192,985,146.33","-329,897,193.85","-413,523,357.50","-362,078,974.47","-447,804,052.55","-94,764,157.69","-205,208,552.44","-423,480,805.94","-1,812,170,744.33","-201,918,054.28","-346,539,499.99","35,490,203.34","-352,120,661.90","80,620,458.32","-22,844,908.10","-203,090,395.82","-257,101,801.98","73,758,011.59","105,988,024.42","236,942,412.31","225,056,387.22","-70,316,860.14","-188,863,649.10","-224,841,980.15","-240,423,086.51","-21,336,274.14","-39,444,869.99","-1,115,282,085.92","-1,259,813,201.84","-23,405,341.22","-5,434,413.79","149,543,435.50"
购买商品、接受劳务支付的现金,"524,975,335.83","1,040,068,282.75","1,136,043,731.68","557,318,530.95","860,188,090.13","298,912,662.33","486,401,934.27","806,004,478.70","800,570,250.29","128,449,276.40","278,224,772.85","440,555,783.03","567,767,317.75","280,210,222.90","367,842,550.81","631,808,169.24","645,601,408.41","251,146,058.04","439,676,020.08","742,619,301.47","896,435,479.27","309,884,769.15","553,785,242.63","870,028,572.51","1,102,636,584.51","182,306,606.82","604,029,540.04","879,972,481.89","1,193,349,748.00","280,757,514.54","652,751,397.30","1,300,181,952.13"
吸收投资收到的现金,,"206,859,500.00","257,484,500.00",,,"2,157,000,000.00","2,157,000,000.00","2,157,000,000.00","2,193,500,000.00",,"35,000,000.00","35,000,000.00","35,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,,,"1,948,080.00",,"1,368,225,015.38","1,368,225,015.38","1,368,225,015.38",,,"16,128,000.00"
