科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
应交税费,"6,616,454.12","6,672,235.58","18,615,317.73","25,899,469.45","2,637,408.33","8,255,604.41","4,895,753.56","6,376,059.71","13,726,477.27","10,939,852.53","10,726,372.66","5,785,613.73","7,778,472.49","12,259,109.88","12,212,011.51","4,419,042.93","23,005,302.39","23,257,769.44","14,421,830.22","8,816,723.26","17,155,760.91","16,466,608.75","18,302,141.84","17,112,880.17","31,796,826.50","23,631,208.77","36,200,040.35","15,288,276.76","24,685,514.29","23,288,054.72","37,613,292.51","19,228,076.02"
应收利息,,,,,,,,,,,"11,381,369.86","2,208,729.17","8,578,554.67","9,262,784.18","10,367,742.79","1,943,213.59","3,606,694.42","4,134,153.01","1,923,000.66","2,865,070.25","4,549,576.01","2,967,097.77","4,275,620.52","1,733,288.81","4,670,297.64","522,477.61","873,979.10","1,745,493.71","5,797,164.04","20,929,860.91","19,517,876.07","20,789,870.87"
应付利息,,,,,,,,,"43,291.11","37,277.78","135,555.56","27,111.11","2,437.50","7,437.50",,,"367,972.60","326,157.54","200,091.51","191,699.66","193,072.99","282,578.84","175,219.28","174,363.19","103,839.57","115,232.98",,,,"226,319.62","323,324.60","399,449.58"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,"605,217.27",,,,"1,461,600.00","1,461,600.00",,,,,,,,,,,,,,,,,,,,
存货,"85,555,865.33","62,372,529.37","123,393,959.08","151,385,178.63","266,579,206.76","288,784,265.93","282,308,229.97","312,985,731.14","339,493,014.56","335,070,479.79","329,195,062.86","360,508,011.84","345,465,784.85","335,330,814.44","345,617,213.69","357,444,942.70","370,750,746.60","376,832,432.78","400,785,743.86","447,932,986.07","497,979,757.94","530,963,088.64","582,930,891.23","607,828,169.86","691,209,496.14","762,837,266.73","726,183,007.69","836,181,648.94","920,639,293.52","933,574,791.15","888,359,306.39","982,884,402.22"
其他应付款,"5,637,234.79","3,599,258.80","3,078,083.84","432,569.88","274,477.19","492,366.78","1,261,871.64","613,443.47","1,400,265.19","450,268.47","1,757,013.38","1,115,210.76","1,092,765.79","2,177,265.49","1,532,385.37","1,309,093.80","708,199.24","1,152,723.62","607,617.37","891,058.86","1,978,850.18","2,308,734.46","3,437,055.93","1,614,983.71","1,894,462.03","1,440,668.27","8,001,669.32","3,007,119.49","3,920,847.13","9,769,470.56","7,192,799.47","8,515,336.13"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,"250,000,000.00","250,000,000.00","100,000,000.00",,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,"5,714,103.17","4,180,527.98","3,377,244.39","4,954,601.08","3,075,101.58","4,932,273.93","3,871,547.02","10,971,537.30","27,433,146.65","1,585,548.46","3,912,028.12","4,811,305.61","151,790,169.51","153,741,279.10","262,273,516.43","260,889,551.39","541,740,139.59","617,369,374.59","324,820,303.11","383,909,566.75","677,824,484.13","778,502,256.99","758,039,583.41","805,997,052.92","730,462,200.19","252,308,340.84","320,788,017.55","2,062,431,755.16","2,006,371,596.30","2,258,730,950.44","2,326,567,925.93","2,478,265,032.46"
其他流动负债,"575,077.89","531,184.29","2,131,841.60","4,579,876.53","5,781,829.69","7,167,426.08","10,410,539.58","20,535,614.21","7,965,890.16","9,940,889.20","12,771,220.97","13,965,742.04","7,700,458.80","10,881,457.34","12,084,326.31","14,471,039.12","13,812,616.30","16,041,617.12","9,415,893.79","11,706,182.13","16,209,459.30","16,105,366.41","9,740,285.21","10,003,055.75","14,490,612.40","16,757,742.44","17,535,637.51","22,302,823.40","22,969,492.05","38,553,889.93","17,642,944.99","30,983,375.20"
流动资产合计,"282,436,660.64","309,120,017.40","463,958,144.00","565,401,284.45","666,944,019.03","2,013,727,514.26","1,856,850,084.79","1,947,872,250.89","1,977,180,621.46","1,964,710,615.29","1,861,337,737.58","1,876,644,539.37","1,800,343,946.62","1,852,124,176.85","1,706,077,342.70","1,799,511,326.67","1,959,651,625.92","1,999,286,284.13","1,796,577,595.14","2,182,538,984.24","2,296,075,320.94","2,312,346,764.05","2,340,592,429.60","2,333,836,412.90","2,447,383,213.29","2,526,239,335.16","2,431,863,192.91","4,007,258,065.60","4,316,536,264.71","4,613,563,541.89","4,688,374,958.80","4,887,568,111.94"
流动负债合计,"179,059,988.61","133,924,436.68","284,517,433.53","323,306,572.22","403,101,220.82","500,601,233.80","403,150,260.81","467,102,126.55","451,508,433.23","429,324,328.72","427,445,822.59","438,216,515.54","456,378,983.67","476,071,022.90","711,544,428.22","820,826,786.51","923,960,858.44","935,842,088.46","888,314,691.50","978,061,149.63","1,100,874,847.23","1,107,262,867.36","1,269,129,004.90","1,199,096,662.41","1,236,219,852.01","1,264,103,100.73","1,289,532,470.02","1,327,703,060.57","1,562,036,465.68","1,783,678,599.20","1,976,690,468.69","2,166,849,733.26"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,"6,626,142.66","5,629,807.68","5,803,057.22","6,364,140.02","4,377,263.66","3,971,803.55","3,995,532.95","4,546,617.81","2,116,231.73","2,135,144.24","1,182,142.43","1,193,384.80"
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
