科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"44,747,695.06","59,655,303.58","41,949,945.22",,"334,062,207.38","56,960,769.01","74,342,790.34","114,172,561.52","101,310,925.04","167,252,098.40","120,976,894.76","29,622,825.86","197,835,410.24","93,047,665.40"
短期借款,"130,000,000.00","90,000,000.00","60,000,000.00",,"70,000,000.00",,,,,,"20,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"95,864,689.81","79,072,715.53","105,247,340.99",,"87,125,547.57","67,470,274.14","112,367,897.08","131,411,231.41","82,663,285.81","43,251,801.10","82,762,281.46","109,217,527.54","94,215,828.66","113,440,451.22"
应付票据,"38,368,506.00",,"48,608,675.00",,"20,770,010.00","11,523,844.44","34,699,046.44","53,995,526.04","57,146,364.04",,"13,000,000.00","39,644,720.00","36,810,000.00","30,998,000.00"
应收账款,"134,804,609.75","139,069,432.51","143,695,127.81",,"160,761,405.80","160,867,641.35","161,499,362.64","145,951,281.12","164,665,348.82","177,793,172.72","199,656,333.40","251,600,211.05","274,865,862.70","269,998,521.53"
应付账款,"45,153,787.18","47,980,214.31","51,135,774.80",,"52,604,485.62","45,040,609.91","69,181,757.55","69,921,466.53","62,349,673.52","64,708,988.44","74,911,259.64","83,390,249.32","99,433,376.72","97,466,998.35"
预付款项,"7,179,369.54","18,706,735.17","4,825,933.67",,"25,105,053.06","28,794,684.65","9,773,944.06","23,772,686.62","28,514,858.72","42,681,295.25","36,592,327.88","64,453,415.97","35,564,345.61","68,309,760.60"
预收款项,"2,493,072.41","2,780,936.92","3,161,769.46",,"3,272,190.48","8,881,914.62","5,293,773.02","8,457,078.87","10,293,041.98","17,083,439.72","6,960,393.16","6,746,030.93","11,326,895.91","33,962,511.57"
其他应收款,"8,638,639.72","10,267,537.54","7,084,715.87",,"67,150.00","424,150.00","621,557.11","945,100.34","845,734.21","790,540.00","85,259,255.16","145,621,136.45","11,664,746.72","11,859,109.85"
应付职工薪酬,"2,590,791.13","3,330,179.48","3,440,223.99",,"4,367,776.45","3,565,693.02","2,622,128.04","3,431,215.60","4,449,099.42","4,083,810.82","4,040,950.75","3,592,822.16","4,847,031.88","5,528,281.49"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"12,156,242.21","7,802,976.70","5,484,381.18",,"7,634,858.36","3,961,530.97","4,297,358.58","6,726,876.91","3,976,511.21","8,156,520.61","19,416,998.58","12,369,401.49","13,995,022.02","9,670,345.18"
应收利息,,,,,,,,,,,,,,
应付利息,"1,364,446.20","1,797,742.03","1,732,742.03",,"1,728,071.20","1,492,533.70",,,,,"26,583.33","78,541.67","437,095.03","862,095.03"
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,
存货,"118,895,904.26","113,868,932.21","151,204,961.10",,"127,043,489.89","130,471,681.64","102,632,643.32","109,368,873.31","116,998,086.23","136,666,442.19","110,683,907.93","155,550,959.01","171,190,735.60","204,658,037.32"
其他应付款,"19,623,889.31","19,201,952.90","19,174,349.68",,"15,083,225.87","14,439,405.55","8,057,866.00","8,207,891.02","8,537,938.85","8,365,127.80","8,114,944.28","8,358,082.69","8,638,616.49","8,912,493.29"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,"80,000,000.00",,,,,,,,,
其他流动资产,,,"5,057,521.83",,,"130,000,000.00","110,442,268.86","80,000,000.00","100,000,000.00","15,000,000.00","15,000,000.00",,"200,004,965.52","204,293,245.04"
