科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"561,940,774.87","631,678,520.76","683,449,829.44","1,021,894,699.76","1,116,915,897.98","734,973,556.81","636,640,725.05","621,253,189.45","690,263,448.66","1,029,221,683.58","660,766,755.32","1,756,064,158.51","1,384,495,272.62","1,550,204,709.95","1,766,666,024.25","1,196,331,996.85","971,922,772.05","1,343,261,186.70","962,636,348.13","798,297,612.63","686,191,696.28","1,215,978,072.64","1,083,449,092.10","948,294,773.10","1,203,418,803.85","1,475,633,840.91","1,459,859,034.18","1,407,722,374.96","1,547,707,615.22","1,541,061,721.63","1,608,192,028.50","1,234,879,257.31","1,414,196,984.20","1,262,444,693.19","1,056,344,964.16","826,951,266.87","1,631,737,144.57","1,547,452,766.42","2,737,085,418.69","1,068,954,924.28","1,951,983,351.88","2,793,138,107.94","2,545,566,033.36","2,511,905,450.93","1,595,503,437.13","1,874,732,123.33"
短期借款,"150,000,000.00","150,000,000.00","250,000,000.00","314,000,000.00","314,000,000.00","289,000,000.00","164,000,000.00","174,000,000.00","274,000,000.00","274,000,000.00","264,000,000.00","250,000,000.00","250,000,000.00","100,000,000.00","200,000,000.00","200,000,000.00","100,000,000.00","180,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00",,,,,,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","920,000,000.00","920,000,000.00","567,000,000.00","480,500,000.00","100,000,000.00","660,000,000.00","560,000,000.00","200,000,000.00","220,000,000.00","215,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00",,
交易性金融资产,"832,050.00","3,962,080.00","2,499,115.00",,,,,,,,"263,790.00","119,460.00","230,110.00",,"357,200.00",,,,,,,,,,,,,,,,,,,"56,688,224.19","185,681,203.43","205,087,253.81","103,613,034.26","104,984,550.14","6,208,970.71","28,050,706.89","56,253,610.69","92,594,659.93","88,708,630.57","63,935,969.65","37,003,147.68","30,625,567.13"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"665,064.17",,,,,,"152,091.70","91,490.00"
应收票据,"446,000.00",,,,"4,100,000.00","4,100,000.00",,,"200,000.00","610,000.00","410,000.00","300,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,600,000.00"
应付票据,,,,,,,,,,"32,917,189.16","32,917,189.16","3,836,281.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"125,302,766.99","99,447,998.48","75,867,049.95","23,741,754.82","76,078,054.45","70,588,435.19","86,252,132.51","49,103,232.15","39,111,221.03","16,496,517.05","13,331,923.10","27,379,097.52","29,332,439.01","52,921,143.67","50,898,804.99","88,156,678.02","84,527,729.84","58,144,544.37","61,994,804.60","18,205,446.81","14,695,151.04","16,189,810.61","72,088,865.12","55,382,030.27","49,836,648.80","15,026,901.64","21,303,925.11","8,507,747.84","22,060,827.59","15,482,644.56","15,047,582.25","11,827,214.13","20,834,625.65","21,275,041.19","24,787,779.96","18,226,454.68","24,825,573.99","42,827,918.98","49,895,472.89","3,292,847.86","6,204,548.51","20,113,346.24","28,498,480.08","2,536,972.65","312,094,207.87","15,664,730.10"
应付账款,"6,026,235.56","5,168,112.88","5,465,186.99","6,396,736.20","7,622,144.76","8,501,110.91","7,607,430.06","12,530,065.92","75,758,913.83","118,795,488.54","100,501,790.63","114,083,261.14","73,157,367.99","96,629,077.12","61,720,695.80","73,270,112.36","44,182,835.86","68,947,974.89","158,568,034.69","115,759,061.84","74,486,704.10","88,403,876.58","261,645,272.48","253,930,010.37","202,528,901.81","190,012,396.35","197,116,652.25","342,582,273.51","353,074,957.55","387,951,426.40","387,821,038.07","204,093,637.52","198,658,316.97","101,687,877.33","106,031,722.80","131,931,067.33","158,947,028.98","134,568,605.05","156,293,353.14","75,502,281.97","243,067,387.85","168,000,862.27","174,949,813.71","177,412,271.40","157,284,056.60","151,801,161.53"
预付款项,"203,185,000.00","82,083,750.00","10,958,950.00","37,784,840.00","127,440,129.11","183,650,980.99","103,591,222.27","89,665,350.18","29,956,762.61","6,641,734.51","33,714,029.52","514,863.87","1,689,118.63","6,381,368.23","55,360,367.68","28,728,279.45","16,647,357.43","124,789,101.18","141,811,921.18","117,455,083.00","168,712,420.00","233,587,445.35","156,975,092.02","221,694,955.82","154,535,804.21","134,040,271.66","174,312,785.10","32,595,783.09","56,152,249.89","59,644,828.08","114,414,247.02","28,251,275.76","96,856,893.46","79,801,516.43","74,600,132.25","2,070,321.96","3,910,339.85","3,425,061.40","9,275,001.07","110,880,606.40","7,699,152.80","103,711,783.36","30,375,249.13","4,107,341.95","5,530,355.87","235,222,541.12"
预收款项,"53,524,220.44","51,781,070.49","79,346,657.24","64,153,914.62","64,792,541.24","107,118,284.35","56,303,666.77","58,389,422.14","44,983,319.23","45,666,466.87","76,050,523.32","49,162,196.48","42,642,020.78","35,736,629.85","49,538,846.78","47,195,754.81","41,005,879.33","34,089,070.97","295,767,258.50","190,164,814.59","337,432,041.18","775,906,357.46","599,106,790.11","1,083,814,821.43","1,114,559,363.56","1,091,186,390.23","739,190,092.11","669,419,816.72","613,380,912.39","412,601,624.77","389,544,078.15","1,679,989,093.99","1,886,384,826.37","1,727,552,986.35","1,756,141,664.25","1,496,213,364.41","1,128,397,177.71","1,052,628,703.24","1,191,671,038.21","1,557,385,521.66","870,601,624.37","764,016,024.64","737,029,253.03","1,387,346,470.40","1,243,424,413.64","1,984,174,100.98"
