科目,2007-03-31,2007-06-30,2007-09-30
货币资金,"117,533,965.98","160,452,316.07","232,901,602.96"
短期借款,"800,000,000.00","570,000,000.00","590,000,000.00"
交易性金融资产,,,
交易性金融负债,,,
应收票据,"400,575,330.63","234,907,650.72","220,628,703.94"
应付票据,"138,000,000.00","160,000,000.00","160,000,000.00"
应收账款,"146,886,250.67","152,187,485.03","84,755,903.53"
应付账款,"403,606,887.68","311,550,498.62","313,159,699.33"
预付款项,"173,800,319.44","170,096,780.83","131,926,859.69"
预收款项,"25,021,887.74","19,399,158.37","37,861,541.89"
其他应收款,"3,694,751.38","3,308,672.32","5,185,299.41"
应付职工薪酬,"82,842,521.26","105,498,604.43","103,496,033.68"
应收关联公司款,,,
应交税费,"72,930,913.83","58,787,118.66","72,800,952.86"
应收利息,,,
应付利息,"18,136,208.86","3,061,560.00","8,344,970.68"
应收股利,,,
应付股利,,,
存货,"990,689,258.00","998,198,690.15","981,801,300.98"
其他应付款,"55,953,474.94","48,235,546.49","21,813,795.83"
其中:消耗性生物资产,,,
应付关联公司款,,,
一年内到期的非流动资产,,,
一年内到期的非流动负债,"542,640,833.54",,"72,523,484.34"
其他流动资产,,,
其他流动负债,,,
流动资产合计,"1,833,179,876.10","1,719,151,595.12","1,657,199,670.51"
流动负债合计,"2,139,132,727.85","1,501,529,296.00","1,380,000,478.61"
可供出售金融资产,,,
长期借款,"290,675,837.31","533,141,326.41","489,184,460.79"
持有至到期投资,,,
应付债券,,,
长期应收款,,,
长期应付款,,,
长期股权投资,"502,314.29","295,291.50",
专项应付款,"350,000.00","350,000.00","350,000.00"
投资性房地产,,,
预计负债,,,
固定资产,"2,378,631,544.65","2,343,669,520.06","2,303,056,854.72"
递延所得税负债,,,
在建工程,"40,259,537.60","37,244,361.30","38,089,676.58"
其他非流动负债,,,
工程物资,"480,015.25","897,430.25","724,057.13"
非流动负债合计,"291,025,837.31","533,491,326.41","489,534,460.79"
固定资产清理,,,
负债合计,"2,430,158,565.16","2,035,020,622.41","1,869,534,939.40"
生产性生物资产,,,
实收资本(或股本),"431,000,000.00","431,000,000.00","431,000,000.00"
油气资产,,,
资本公积,"586,857,176.99","586,857,176.99","587,257,176.99"
无形资产,,,
盈余公积,"237,009,460.06","237,849,348.82","237,849,348.82"
开发支出,,,
减:库存股,,,
商誉,,,
未分配利润,"578,859,466.16","825,010,751.79","888,003,204.42"
长期待摊费用,,,
少数股东权益,,"525,018.09","537,655.87"
递延所得税资产,"11,342,644.40","15,004,719.87","15,112,066.56"
外币报表折算价差,,,
其他非流动资产,,,
非正常经营项目收益调整,"511,263.92",,
非流动资产合计,"2,431,216,056.19","2,397,111,322.98","2,356,982,654.99"
所有者权益(或股东权益)合计,"1,834,237,367.13","2,081,242,295.69","2,144,647,386.10"
资产总计,"4,264,395,932.29","4,116,262,918.10","4,014,182,325.50"
负债和所有者(或股东权益)合计,"4,264,395,932.29","4,116,262,918.10","4,014,182,325.50"
