科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"152,312,969.37","146,237,850.63","147,244,984.99","631,015,965.17","536,192,744.12","269,336,688.51","232,073,121.16","197,035,588.38","99,478,953.60"
短期借款,"69,500,000.00","147,901,672.83","102,500,000.00","214,796,176.20","212,296,176.20","127,296,176.20","188,584,864.60","242,310,843.92","358,160,843.92"
交易性金融资产,,,,,,,"40,010,769.46",,
交易性金融负债,,,,,,,,,
应收票据,,"10,992,690.76","2,537,094.88","1,778,307.98","1,126,956.20","830,131.20","6,324,474.11","6,600,501.98","2,347,643.65"
应付票据,,,"300,000.00","300,000.00",,"5,355,337.80","5,905,337.80","30,731,544.00","49,400,786.52"
应收账款,"201,724,798.33","284,584,268.35","309,388,274.80","295,940,431.89","288,347,627.62","259,393,871.76","445,495,205.78","426,796,575.88","576,578,237.76"
应付账款,"333,785,234.83","465,002,060.48","482,032,097.58","371,467,702.34","392,297,841.56","366,595,009.23","557,369,388.10","462,740,094.89","674,855,008.99"
预付款项,"4,100,779.20","1,174,326.00","2,239,446.44","2,067,793.71","1,271,598.94","1,256,798.54","2,064,184.94","1,658,319.59","1,492,861.08"
预收款项,"696,302.28",,"564,009.37","11,169,481.53",,,,"82,339,043.75","49,381,340.49"
其他应收款,"24,440,930.14","29,215,995.63","18,674,751.88","31,323,247.52","41,573,795.62","59,262,446.87","26,132,073.18","112,484,406.02","128,840,067.02"
应付职工薪酬,"5,111,481.57","4,277,052.27","4,192,048.45","4,430,276.57","5,145,364.88","5,974,358.85","6,862,979.52","7,246,324.80","8,862,621.35"
应收关联公司款,,,,,,,,,
应交税费,"32,078,339.80","39,613,667.64","19,020,605.44","8,199,515.95","7,464,229.94","5,139,199.20","10,419,241.00","4,037,029.92","12,675,401.28"
应收利息,,,,,,,,,
应付利息,"395,184.41","1,357,388.79","627,480.89","4,009,518.93","6,911,717.05","10,062,088.98","946,151.83","3,949,860.39","7,241,601.00"
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"523,501,765.40","839,306,432.24","796,494,453.19","858,750,359.07","949,346,786.32","1,014,736,263.46","1,174,476,713.54","1,126,861,516.66","1,258,457,068.69"
其他应付款,"10,374,317.70","2,244,244.63","40,194,442.74","43,795,867.28","62,129,547.33","41,604,825.91","45,096,690.31","50,197,420.60","75,188,324.96"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,"60,854,643.07","59,725,975.27","143,977,408.43","62,622,836.74","63,199,419.82","63,976,493.58","93,876,164.79"
一年内到期的非流动负债,,"90,000,000.00","55,000,000.00",,"25,000,000.00","25,000,000.00","174,250,205.51","180,699,733.55","162,165,367.43"
其他流动资产,,,,,"11,439,374.50","12,267,899.05","27,342,783.24","32,537,083.18","48,069,145.57"
其他流动负债,,,"11,734,092.41","11,652,812.65","20,117,400.57","17,835,926.55","37,963,318.49","36,260,896.65","65,758,102.14"
流动资产合计,"906,081,242.44","1,311,511,563.61","1,337,433,649.25","1,880,602,080.61","1,973,276,291.75","1,679,706,936.13","2,017,118,745.23","1,967,950,485.27","2,209,140,142.16"
流动负债合计,"451,940,860.59","750,396,086.64","716,164,776.88","669,821,351.45","731,362,277.53","604,862,922.72","1,027,398,177.16","1,100,512,792.47","1,463,689,398.08"
可供出售金融资产,,,,,,,,"2,000,000.00","2,000,000.00"
长期借款,"50,000,000.00","30,000,000.00","25,000,000.00","25,000,000.00",,"79,574,172.50","74,574,172.50","69,574,172.50","64,574,172.50"
持有至到期投资,,,,,,,,,
应付债券,,"134,351,026.23","138,999,184.94","140,290,375.37","141,595,912.36","142,915,795.91",,,
长期应收款,,"58,000,466.52","106,258,413.41","108,515,749.01","47,033,863.88","47,033,863.88","47,033,863.88","137,786,958.22","216,605,586.93"
长期应付款,"40,000,000.00",,,,,,,,
长期股权投资,"2,702,395.35","2,651,008.54","2,539,128.75","2,477,677.96","2,495,512.95","104,264,559.43",,,"51,307,700.00"
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,,,
固定资产,"14,684,557.67","16,050,041.29","15,488,429.94","18,954,699.01","19,782,296.15","25,835,948.63","30,673,009.60","202,934,551.30","209,342,588.32"
递延所得税负债,,,,,,,,,
在建工程,"38,461.54","1,200,000.00","2,050,800.00","2,135,136.00","2,272,021.00","167,377,159.77","169,946,799.21","4,447,760.62","1,112,971.54"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"90,000,000.00","164,351,026.23","163,999,184.94","165,290,375.37","141,595,912.36","222,489,968.41","74,574,172.50","69,574,172.50","64,574,172.50"
固定资产清理,,,,,,,,,
负债合计,"541,940,860.59","914,747,112.87","880,163,961.82","835,111,726.82","872,958,189.89","827,352,891.13","1,101,972,349.66","1,170,086,964.97","1,528,263,570.58"
生产性生物资产,,,,,,,,,
实收资本(或股本),"129,533,700.00","129,533,700.00","129,533,700.00","172,711,600.00","172,711,600.00","172,711,600.00","172,711,600.00","172,711,600.00","241,796,240.00"
油气资产,,,,,,,,,
资本公积,"127,379,063.72","127,379,063.72","127,379,063.72","654,387,263.72","654,387,263.72","654,387,263.72","654,387,263.72","654,387,263.72","585,302,623.72"
无形资产,"1,872,159.36","6,651,441.95","6,230,730.52","6,124,517.71","6,321,779.03","6,299,521.17","6,347,579.85","6,259,414.37","6,076,858.39"
盈余公积,"10,341,517.83","20,100,212.90","30,803,505.16","30,803,505.16","30,803,505.16","30,803,505.16","38,291,787.50","38,291,787.50","38,291,787.50"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,"5,002,663.84","5,002,663.84","5,002,664.84","5,002,664.84","5,002,664.84"
未分配利润,"125,233,690.92","213,687,657.10","312,896,655.64","336,198,994.59","353,361,572.63","362,511,495.45","426,736,381.21","422,154,714.51","437,898,565.39"
长期待摊费用,"4,891,548.64","5,380,894.78","5,718,637.37","5,291,455.37","4,913,023.37","5,426,541.09","5,332,560.37","19,578,131.33","17,535,959.28"
少数股东权益,"80,492.02","1,021,627.82","960,253.18","942,275.10","928,212.78","913,519.04","904,531.00","2,385,132.74","2,381,656.75"
递延所得税资产,"4,238,960.08","5,023,957.72","6,017,350.28","6,054,049.72","7,138,057.71","6,943,080.56","9,284,130.68","9,792,938.06","11,545,413.05"
外币报表折算价差,,,,,,,,,
其他非流动资产,,,,,"16,914,834.50","790,000.00","104,264,559.43","104,264,559.43","104,264,559.43"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"28,428,082.64","94,957,810.80","144,303,490.27","149,553,284.78","111,874,052.43","368,973,338.37","377,885,167.86","492,066,978.17","624,794,301.78"
所有者权益(或股东权益)合计,"392,568,464.49","491,722,261.54","601,573,177.70","1,195,043,638.57","1,212,192,154.29","1,221,327,383.37","1,293,031,563.43","1,289,930,498.47","1,305,670,873.36"
资产总计,"934,509,325.08","1,406,469,374.41","1,481,737,139.52","2,030,155,365.39","2,085,150,344.18","2,048,680,274.50","2,395,003,913.09","2,460,017,463.44","2,833,934,443.94"
负债和所有者(或股东权益)合计,"934,509,325.08","1,406,469,374.41","1,481,737,139.52","2,030,155,365.39","2,085,150,344.18","2,048,680,274.50","2,395,003,913.09","2,460,017,463.44","2,833,934,443.94"
