科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"1,197,016,128.79","1,333,413,833.85","1,680,221,993.76","333,656,906.38","845,164,538.36","1,248,844,070.00","1,962,375,846.90","428,086,480.92","991,370,891.27","1,602,881,583.07","2,284,304,666.95","508,411,738.16","1,164,268,826.24","1,831,056,488.70","2,888,276,885.17","677,634,234.28","1,451,068,495.40","2,190,099,946.39","3,366,376,084.61","907,470,821.82","2,008,779,336.93","2,826,546,877.44","4,255,622,147.28","846,600,554.83","1,640,152,831.68","2,520,094,907.16","4,829,487,170.53","1,176,450,811.93","2,201,993,314.30","2,985,726,990.32","5,164,075,575.87","1,288,897,395.60","2,372,610,146.00","3,618,069,973.53","5,299,588,469.95"
二、营业利润,"61,129,623.16","42,001,224.54","71,832,587.18","11,855,261.01","40,739,975.47","65,679,303.53","96,189,501.74","16,902,016.80","60,437,052.00","89,144,350.47","129,811,129.70","18,273,347.05","70,914,853.81","95,905,172.45","138,317,359.11","20,298,390.41","70,834,505.61","98,219,068.56","162,102,932.70","12,882,980.85","68,890,045.64","93,069,609.49","180,496,478.04","11,487,781.68","757,789.89","47,130,371.82","182,196,705.57","9,716,209.26","-17,978,841.55","23,217,533.92","273,752,671.66","10,308,468.41","-10,638,776.08","29,428,151.21","322,699,591.37"
减:营业成本,"1,027,618,891.98","1,132,693,228.79","1,418,504,561.70","278,890,226.74","706,796,643.13","1,033,853,574.71","1,651,718,485.93","356,804,665.83","797,451,962.25","1,321,992,281.45","1,884,734,527.73","417,529,287.40","962,739,827.43","1,545,322,726.83","2,447,517,149.41","585,700,763.18","1,212,240,410.07","1,831,033,278.43","2,788,463,318.04","791,521,184.99","1,701,994,274.38","2,377,182,535.23","3,552,336,013.70","727,171,554.77","1,364,219,000.03","2,056,549,785.74","4,014,689,740.69","998,883,168.62","1,848,592,007.42","2,408,548,685.27","4,151,927,592.24","1,097,478,178.74","1,955,312,895.13","2,991,782,289.14","4,132,356,125.50"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"17,394,620.30","22,068,738.46","24,474,145.34","5,084,868.96","12,516,149.73","18,818,909.58","30,249,948.56","4,596,087.66","15,199,433.06","23,700,246.35","35,004,192.93","7,066,444.99","15,394,697.21","18,637,345.21","36,436,206.52","2,298,904.70","7,849,736.85","14,953,384.64","26,710,539.89","4,085,991.44","9,291,233.92","13,677,221.34","24,526,369.65","3,148,705.45","7,502,687.53","13,109,414.73","28,234,232.92","3,814,337.08","-3,888,035.57","-427,779.51","4,389,338.29","1,195,107.61","2,404,690.33","5,300,804.13","19,087,358.09"
营业外收入,"2,704,362.80","12,651,569.89","1,333,142.51","93,779.06","138,412.12","802,556.98","898,449.20","868,058.72","886,058.72","886,116.22","889,116.22","1,244,976.18","1,795,277.24","2,462,881.38","13,520,144.92","555,741.27","2,436,727.10","3,108,602.57","32,230,777.60","4,346,056.26","8,699,416.56","10,384,355.14","38,227,289.96","3,003,772.14","18,015,831.93","21,782,119.40","56,858,298.38","8,247,375.28","19,588,108.15","31,262,092.93","55,644,887.78","10,051,554.97","16,537,411.00","20,405,523.97","102,673.93"
销售费用,"37,062,614.75","43,949,491.17","46,392,167.20","8,764,774.22","20,965,885.23","32,844,013.51","46,070,188.37","11,317,053.44","26,009,167.66","38,136,088.08","53,561,562.57","14,537,541.57","29,497,508.34","44,791,428.05","64,415,958.66","9,747,650.20","18,503,312.80","29,998,885.88","45,360,469.47","13,375,408.19","31,906,618.50","48,767,710.16","67,818,308.79","11,270,664.85","27,623,419.23","42,239,375.71","63,897,607.24","15,221,965.91","32,242,538.75","47,309,950.95","66,219,554.97","17,095,473.02","41,222,390.24","59,415,034.49","98,629,428.35"
减:营业外支出,"101,118.98","342,732.99","48,267.20",,"72,862.50","189,552.89","332,920.99","3,150.00","43,387.01","354,882.69","407,415.57",50.00,"16,908.24","265,648.14","761,063.33","4,875.00","7,098.73","41,092.63","1,712,332.97","22,491.84","1,596,299.02","2,014,967.35","385,761.42","10,856.14","227,951.72","260,884.70","287,241.92","117,688.67","413,114.46","423,876.82","546,571.03","509,636.49","592,214.70","705,741.04","1,569,005.53"
管理费用,"47,723,084.12","83,007,646.96","109,391,301.30","30,365,546.59","63,298,573.14","99,090,236.72","137,957,287.22","42,225,482.56","90,012,603.94","133,675,797.75","185,790,958.97","56,876,265.84","88,254,308.96","131,911,956.70","195,202,200.87","61,622,622.15","130,990,816.47","207,609,401.55","322,711,349.03","87,409,139.66","189,718,540.53","285,513,409.21","405,131,552.43","92,594,280.50","223,211,683.36","335,647,334.52","492,456,586.91","142,423,349.65","294,244,355.63","434,734,229.22","600,460,786.14","146,904,927.01","348,237,770.28","475,843,596.24","719,252,795.77"
其中:非流动资产处置净损失,"51,118.98","57,264.91","34,256.70",,,,"22,921.00","3,150.00",,,"57,365.57",,"16,858.24","20,598.14","66,013.33","3,020.00","4,875.00","38,868.90","34,221.40",,"1,125.60","42,935.51","93,796.81","5,153.94","17,951.72","50,884.70","53,732.17","66,790.23","162,096.78","172,004.21","293,534.09","120,957.80","203,510.57","314,903.08",
