科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"9,939,012.58","8,288,693.77","28,225,433.33","26,454,318.37","22,064,515.22","28,712,859.61","560,116,397.86","548,470,592.26","538,905,800.41","515,023,572.53","505,418,754.51","488,443,965.07","451,656,928.10","426,979,197.30","384,626,321.04","341,903,228.76","327,240,252.79","319,828,491.34","303,721,067.67","286,280,523.37","261,397,846.62","301,308,149.88","281,924,055.71","264,069,772.11","276,562,454.62","195,225,876.93","80,989,423.36","196,950,851.65","119,275,535.12","117,834,783.92","122,585,899.42","102,506,135.38","97,628,832.49","111,232,568.90"
短期借款,,"3,097,789.28",,"28,000,000.00","54,909,684.00","54,755,154.00","6,755,154.00","6,755,154.00",,,,,,,,,,,,"1,311,000.00","1,122,000.00","933,000.00",,,,,,,"34,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","6,572,980.49","6,429,812.07"
交易性金融资产,"340,560.00","113,828.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"787,552.29",,,"200,000.00",,"651,550.00","1,490,425.68","3,204,880.95","2,680,839.95",,"738,708.00","4,399,165.00","1,174,563.00","350,000.00","2,973,250.00","3,469,270.59","575,636.74","3,817,900.00","2,340,800.00","1,720,469.00","990,000.00","1,227,675.41","1,906,074.99","3,952,291.00","3,100,315.00","7,662,183.00","5,599,744.00","7,870,260.00","5,052,491.00","2,865,817.74","2,531,832.80","4,134,553.73"
应付票据,,,"7,438,361.16","7,490,584.15","19,321,591.82","33,054,271.72","17,850,829.93","31,337,375.11","63,178,178.27","45,287,825.39","44,768,590.50","42,581,349.01","46,084,461.68","58,109,290.21","48,564,364.57","35,009,938.51","61,463,573.94","56,937,219.72","34,259,353.30","42,087,604.25","58,797,592.86","43,406,476.67","34,313,611.62","41,839,483.03","37,531,787.58","37,819,347.13","43,873,873.62","50,435,469.59","57,006,068.73","56,308,126.06","58,225,977.95","57,460,080.49","84,579,033.12","57,654,541.64"
应收账款,"3,962,014.05","11,526,011.02","16,299,070.99","28,467,872.15","27,603,253.01","36,257,868.40","33,417,930.32","59,896,728.33","61,486,191.88","66,901,635.11","46,149,526.28","66,390,971.26","84,955,706.84","82,883,454.51","107,134,256.75","110,765,366.63","112,072,801.33","149,817,751.84","129,628,616.03","144,361,332.90","149,634,346.39","137,713,845.96","138,894,152.65","148,680,711.60","147,778,903.80","150,359,650.34","173,048,035.06","174,659,602.59","177,376,638.48","178,509,120.76","193,588,370.75","220,376,026.83","224,160,756.19","222,658,506.08"
应付账款,"10,906,424.27","7,996,841.29","19,459,526.72","28,137,593.46","32,366,384.26","27,988,406.07","29,732,892.87","46,363,545.86","30,194,049.25","40,781,378.28","37,456,821.32","41,925,873.65","57,574,381.23","58,745,497.17","46,712,727.16","50,843,503.36","51,989,738.27","46,991,183.28","45,496,490.17","65,229,403.04","47,867,539.43","57,453,981.41","60,714,025.57","50,620,673.15","47,255,611.91","65,427,291.48","66,784,995.09","80,647,765.29","77,754,895.29","75,235,382.43","90,204,090.25","108,373,358.70","77,474,767.35","99,339,397.31"
预付款项,"4,716,957.44","403,530.45","1,428,901.38","6,374,065.27","4,810,024.58","6,409,971.65","11,424,712.73","18,348,146.27","10,694,083.24","9,404,136.05","8,780,636.63","8,431,751.51","24,610,839.82","4,810,154.36","17,258,265.97","5,783,965.30","30,732,990.05","12,177,813.00","23,889,403.29","10,067,909.28","11,146,131.11","14,170,899.54","23,049,135.99","17,563,385.68","14,965,996.07","5,607,876.66","9,562,008.35","7,301,219.15","8,387,599.86","8,188,783.23","16,534,852.36","17,812,394.81","15,070,215.64","7,343,437.93"
预收款项,"60,659.83","2,660,881.22","1,950,231.11","2,490,895.81","4,161,476.00","2,334,934.12","2,914,304.42","3,761,360.20","3,143,198.48","5,689,364.70",,,,"6,934,274.81","17,493,538.84","7,009,250.16","14,030,155.17","10,351,261.82","11,447,380.91","14,655,494.15","4,225,425.65","8,056,900.88","10,320,479.65","7,831,242.97","12,734,173.97","13,848,822.69","12,930,384.66","13,862,156.80","13,221,843.99","21,419,046.38","31,093,919.38","15,769,571.12","23,857,335.75","24,952,578.20"
其他应收款,"1,840,870.28","991,378.85","1,395,501.86","2,501,109.40","2,506,294.15","5,870,488.21","1,539,704.54","1,222,217.30","1,147,618.82","4,194,039.61","4,509,266.99","4,422,945.63","5,221,155.88","8,158,152.73","6,927,079.91","10,692,891.01","14,469,485.72","12,400,516.64","9,867,238.40","6,991,727.71","9,332,500.33","17,223,168.88","12,222,925.27","14,373,181.70","21,316,814.25","18,514,017.49","18,688,469.73","17,293,571.16","14,970,113.54","18,767,580.96","392,102,284.40","14,979,265.16","16,447,540.88","24,960,124.24"
应付职工薪酬,"1,010,173.00","997,984.00","1,586,132.00","1,370,000.00","873,000.00","2,663,000.00","1,483,589.23","2,195,000.00","3,005,000.00","4,564,027.00","3,083,253.00","3,400,685.51","3,970,850.00","5,339,223.00","4,534,064.00","4,246,253.00","4,772,136.69","6,502,674.52","5,068,476.47","6,967,705.78","7,769,749.09","8,130,233.46","6,307,839.52","6,509,899.05","6,459,377.05","8,509,716.66","6,819,481.84","7,478,442.95","8,366,134.74","9,765,577.24","8,113,490.73","8,665,462.99","9,546,677.50","11,642,363.19"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"203,985.81","1,575,445.08","628,265.04","-2,206,651.26","-7,150,959.16","-5,863,630.46","-8,131,416.66","-8,205,388.25","-10,828,504.80","-7,330,340.74","-870,490.60","-641,254.59","-2,132,064.12","-8,200,460.81","-10,772,057.83","-10,598,772.95","-8,983,151.38","-4,743,609.37","-4,320,444.61","3,393,891.25","-3,350,668.87","6,297,473.07","4,809,566.54","-1,875,988.94","635,694.35","9,254,989.36","7,289,648.96","5,049,016.73","7,552,370.23","15,041,039.41","4,200,693.05","14,722,108.32","11,527,459.06","14,693,516.87"
应收利息,,"120,483.99",,,,,,"3,088,852.08","402,740.97","6,728,378.51","553,830.04","3,540,355.04","1,774,670.75","3,756,000.00","1,367,240.44","1,476,038.10","1,410,036.24","1,261,352.78","1,565,521.09","672,747.95","667,047.95","447,199.45","1,826,899.45","1,699,999.45","1,274,699.45","698,700.00","1,439,384.93","230,100.00","395,400.00",,,"1,335,900.00","1,426,400.00",
应付利息,,"206,758.88",,"54,037.54","403,175.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"11,017,328.42","13,946,433.62","20,759,275.70","40,971,294.93","58,367,269.89","57,787,927.60","75,653,320.06","96,713,120.91","100,085,715.82","100,153,903.66","96,469,415.98","88,948,163.88","100,114,766.63","83,465,342.70","89,150,728.44","90,640,494.74","105,809,845.24","99,458,415.52","99,402,125.81","113,316,754.89","108,927,248.08","84,233,622.01","100,407,333.82","97,364,923.26","100,042,529.76","99,354,638.60","99,398,430.46","95,751,112.39","92,121,305.33","86,058,838.52","106,997,692.63","114,597,860.32","116,359,363.51","124,022,864.65"
其他应付款,"607,679.25","1,422,803.73","448,778.97","469,597.51",,"10,543.77","226,119.13","439,926.76","260,876.40","474,204.10","1,375,991.20","1,104,745.20","1,644,267.09","1,582,572.60","1,308,041.34","1,469,262.13","1,783,612.46","3,750,726.71","1,264,910.95","5,075,242.52","6,702,700.72","10,066,465.75","11,910,144.48","3,328,204.48","3,250,163.04","3,475,887.57","3,013,474.11","4,964,822.79","4,757,087.71","6,753,271.30","5,728,588.77","11,727,152.14","13,533,549.18","13,794,069.22"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"353,223.55","353,223.55","353,223.55","353,223.55","289,578.82"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,"3,991,120.54",,,"2,259,191.03","3,669,544.96","4,420,944.95","3,007,786.94","4,007,988.13","5,091,053.38","3,982,382.29","3,879,730.60","2,033,232.00","181,273,780.01","292,555,647.43","38,343,297.78","122,441,600.29","5,185,588.36","7,135,982.12","213,517,601.63","233,625,210.93","208,033,376.48"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"31,816,742.77","35,390,359.70","68,895,735.55","104,768,660.12","115,351,356.85","135,239,115.47","682,152,065.51","728,391,207.15","714,212,576.82","705,610,546.42","664,562,270.38","660,178,152.39","669,072,776.02","618,442,587.14","607,638,455.55","561,611,984.54","596,967,852.40","602,083,156.67","573,070,553.98","568,516,683.04","547,453,908.61","561,908,408.10","563,296,885.18","548,859,379.81","565,880,704.94","654,986,831.03","678,781,714.32","538,191,937.72","540,567,936.62","804,968,179.30","844,350,796.23","688,344,225.42","707,603,375.99","702,675,010.83"
流动负债合计,"12,788,922.16","17,958,503.48","31,511,295.00","65,806,057.21","104,884,352.81","114,942,679.22","50,831,472.92","82,646,973.68","88,952,797.60","89,466,458.73","85,814,165.42","88,371,398.78","107,141,895.88","122,510,396.98","107,840,678.08","87,979,434.21","125,056,065.15","119,789,456.68","93,216,167.19","138,720,340.99","123,134,338.88","134,344,531.24","128,375,667.38","108,253,513.74","107,866,807.90","138,336,054.89","140,711,858.28","162,437,674.15","202,658,400.69","186,522,442.82","199,566,760.13","218,717,733.76","227,091,802.45","228,506,278.50"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,"186,897,352.57","186,897,352.57","205,831,935.69","201,804,405.98","197,287,737.00","193,137,038.69","190,011,512.86"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"274,375,083.77","160,000,000.00","160,000,000.00",,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,"1,293,213.00","1,063,958.00","1,010,760.10","16,236,804.32","32,776,327.51","29,316,521.11","13,484,669.05","14,915,078.78","13,709,345.16","14,671,154.02","10,081,298.34","10,247,039.36","10,115,878.78","9,129,765.59","7,653,688.48","7,282,970.06","7,282,970.06","7,054,499.76","7,054,499.76"
长期应付款,,,,,,,,,,,,,,,,,,,,"552,973.60","477,277.42",,,,,,,,,,,,,
长期股权投资,,,,,,,,,"3,000,000.00",,,,,,,,,,"5,094,040.00","5,384,303.09","23,118,175.81","6,290,124.48","6,876,868.28","7,378,030.62","7,378,030.62","60,646,940.90","60,646,940.90","60,646,940.90","397,206,388.37","10,342,251.40","10,342,251.40","10,342,251.40","10,342,251.40","9,981,640.22"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,762,389.11","1,749,710.06","1,737,031.01","1,724,351.96","1,711,672.91","1,698,993.86","1,686,314.81"
预计负债,"992,649.24","676,632.65","420,652.62","1,072,558.86","289,504.81","151,025.26",,"155,699.52","36,479.87",,,"346,732.05","638,234.58","689,951.45","9,253.41","15,781.18","8,120.82","4,565,546.46","9,688,617.57","15,779,871.46","14,377,803.67","843,174.54","1,380,291.11","1,674,720.22","1,641,998.07","426,199.07","1,111,626.28","1,846,905.56","2,251,488.48","3,786,338.20","4,781,299.59","3,527,238.70","2,956,701.64","3,824,138.34"
固定资产,"9,866,529.01","19,491,838.63","25,504,488.24","42,250,075.89","43,376,664.59","67,201,238.21","66,127,472.88","65,626,022.99","75,527,975.41","82,332,134.75","114,378,276.24","111,895,210.15","108,083,491.92","219,294,176.25","219,066,726.34","238,842,589.93","235,009,119.37","231,933,007.44","229,610,060.30","245,641,002.75","244,769,163.65","244,564,448.40","239,152,183.50","233,664,989.83","228,155,628.19","224,143,789.93","215,380,785.67","208,411,458.45","202,128,479.49","202,829,188.79","197,019,407.52","191,619,825.60","184,493,659.42","179,258,994.35"
