科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"509,498,392.35","519,678,661.68","810,354,707.87","839,359,800.88","1,224,364,219.46","1,170,904,448.83","1,529,504,967.03","1,402,998,762.01","2,060,928,920.26","2,018,388,010.35"
短期借款,"69,658,205.67",,,,,,,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"125,406,853.95","98,739,024.85","294,545,127.45","197,572,950.83","292,398,703.44","196,712,352.76","142,214,013.90","188,581,744.99","507,154,644.60","381,389,241.72"
应付票据,"19,480,078.73","15,698,806.85","483,521.39","20,751,144.40","6,296,659.21","6,914,356.06","6,428,077.52","11,385,000.00","20,325,797.47","11,802,530.84"
应收账款,"9,520,934.07","1,734,227.37","2,396,163.69","6,654,500.13","21,284,058.44","52,231,667.61","70,600,279.62","58,460,219.21","55,078,878.66","42,552,584.61"
应付账款,"365,780,159.30","457,443,351.70","734,413,977.83","814,037,315.94","1,198,731,288.58","986,991,007.31","865,004,402.10","1,188,987,561.19","1,827,338,155.16","1,508,769,202.48"
预付款项,"11,730,155.42","14,298,129.14","17,086,487.25","32,094,038.08","37,534,598.16","16,684,037.14","56,925,435.03","70,249,942.46","23,244,500.59","20,900,050.82"
预收款项,"128,303,314.47","158,815,323.11","232,826,218.19","268,295,885.89","429,605,727.06","348,370,128.17","345,653,084.51","293,722,808.64","707,700,551.95","444,101,055.53"
其他应收款,"4,857,472.56","18,349,567.19","8,734,541.12","14,324,818.21","22,508,621.64","13,588,494.27","46,536,180.93","36,884,010.29","32,056,298.41","23,589,704.21"
应付职工薪酬,"55,773,933.20","67,063,976.64","91,142,795.02","41,954,103.37","49,991,685.68","98,172,069.58","28,700,758.30","31,884,931.13","64,481,941.24","132,855,239.97"
应收关联公司款,,,,,,,,,,
应交税费,"32,412,084.68","26,751,667.22","39,567,329.63","22,152,704.50","46,941,093.07","22,357,265.42","19,552,625.31","16,034,920.92","65,449,316.03","24,041,418.23"
应收利息,"452,567.38","238,865.28","287,669.77","22,533.64","10,385.14","40,465.18","45,782.16","48,788.48","35,856.32","3,388,954.91"
应付利息,"357,261.58",,,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,"540,000.00","69,300.00","69,300.00",
存货,"240,273,959.24","345,922,393.47","416,108,239.70","587,022,872.17","792,274,520.63","744,305,454.74","902,081,039.01","1,281,668,847.69","1,380,548,994.88","1,093,108,241.32"
其他应付款,"70,843,649.30","63,966,629.61","103,694,201.17","71,869,972.05","76,469,020.44","75,330,502.68","41,619,235.24","49,927,814.84","204,283,520.46","219,482,413.79"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,"851,753.27","5,856,695.18","1,266,433.63","1,686,911.55","1,599,759.12","1,554,424.18","2,311,003.44","2,127,115.22","2,682,951.91","3,684,101.58"
其他流动资产,,"24,020,056.51","6,794,522.08","50,358,482.87","34,586,531.78","14,873,452.09","59,684,284.42","230,253,139.59","572,552,663.49","531,255,505.53"
其他流动负债,,,,,,"10,213,752.69","11,354,882.70","18,362,487.05","66,547,528.55","12,162,118.94"
流动资产合计,"901,740,334.97","1,022,980,925.49","1,556,307,458.93","1,747,033,796.81","2,424,961,638.69","2,279,394,362.16","2,840,399,246.10","3,269,145,454.72","4,631,600,757.21","4,114,572,293.47"
流动负债合计,"743,460,440.20","795,596,450.31","1,203,394,476.86","1,240,748,037.70","1,809,635,233.16","1,549,903,506.09","1,321,164,069.12","1,630,708,632.99","2,958,879,062.77","2,376,457,670.36"
可供出售金融资产,,,,"10,749,943.84","10,749,943.84","10,749,943.84","10,749,943.84",,"2,000,000.00","7,000,000.00"
长期借款,,,,,,,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,"1,548,359.26","9,514,264.18","22,463,656.82","1,214,843.11","1,023,048.07","1,402,214.60","998,298.41","918,494.70","680,375.52","900,524.47"
专项应付款,,,,,,,,,,
投资性房地产,,,,,,,,,,
预计负债,"7,405,779.25","18,941,229.15","29,136,345.17","36,719,105.04","38,336,406.52","37,973,645.62","34,835,898.37","33,712,252.91","35,624,274.52","31,401,461.74"
固定资产,"86,022,055.45","86,243,044.30","289,169,604.54","362,245,059.59","370,687,393.65","397,541,609.28","406,498,752.59","429,961,708.81","446,927,780.70","495,175,823.48"
递延所得税负债,,"1,179,967.54","1,651,108.79","4,594,678.79","3,177,823.79","14,092,962.60","8,703,423.11","3,837,682.73","3,858,761.61","3,726,602.67"
在建工程,"5,440,202.57","100,799,087.67","54,997,588.90","1,189,943.19","887,076.15","6,851,489.99","29,190,554.97","52,762,685.68","65,583,783.67","102,815,576.60"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"10,385,887.71","23,299,277.52","39,560,502.71","50,753,888.20","50,833,333.99","61,491,559.15","52,158,577.63","47,844,968.83","53,754,858.95","53,918,554.09"
固定资产清理,,,,,,,,,,
负债合计,"753,846,327.91","818,895,727.83","1,242,954,979.57","1,291,501,925.90","1,860,468,567.15","1,611,395,065.24","1,373,322,646.75","1,678,553,601.82","3,012,633,921.72","2,430,376,224.45"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"66,000,000.00","66,000,000.00","66,000,000.00","363,000,000.00","363,000,000.00","363,000,000.00","403,500,000.00","406,312,500.00","406,312,500.00","406,312,500.00"
油气资产,,,,,,,,,,
资本公积,"45,764,418.39","45,764,418.39","45,692,187.49",,,,"673,723,981.11","808,366,796.08","813,438,078.34","834,773,478.42"
无形资产,"80,659,498.18","90,036,573.41","89,280,290.22","96,069,476.71","97,432,241.63","100,429,713.76","100,003,840.38","101,191,401.78","103,349,366.56","128,013,835.92"
盈余公积,"18,340,629.26","33,000,000.00","33,000,000.00","33,000,000.00","33,000,000.00","71,441,884.32","71,441,884.32","71,441,884.32","71,441,884.32","98,175,036.43"
开发支出,,"355,828.46","845,407.35","72,957.50","263,688.17",,"147,456.56",,,
减:库存股,,,,,,,,,"134,015,625.00","134,015,625.00"
商誉,,,,,"599,224.66","599,224.66","599,224.66","599,224.66",,
未分配利润,"215,298,626.32","377,021,501.02","663,703,045.62","558,953,071.74","698,885,215.83","807,380,138.81","919,046,129.16","947,727,442.09","1,234,213,481.74","1,302,258,633.93"
长期待摊费用,"2,629,249.22","2,056,277.84","2,008,268.21","4,148,763.04","5,228,650.49","9,453,496.27","13,029,501.57","15,148,156.93","16,215,847.21","18,918,276.43"
少数股东权益,"1,113,280.90","3,520,669.24","2,161,226.14","880,786.16","2,829,428.69","3,494,390.75","3,897,506.07","3,569,102.74","13,633,304.15","13,471,698.32"
递延所得税资产,"20,985,359.98","25,633,379.79","20,457,865.07","20,091,568.10","23,332,468.59","25,953,645.65","20,110,573.64","28,669,432.50","40,269,446.53","34,590,875.45"
外币报表折算价差,,,,,,,,,,
其他非流动资产,"1,198,774.60","6,446,461.02","19,014,804.27","6,146,714.49","24,891,178.19","27,449,235.37","26,050,915.53","19,573,362.44","112,167,559.48","49,767,501.67"
非正常经营项目收益调整,,,,,,,,,,
