科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月
一、营业收入,"813,480,950.84","2,024,902,910.09","3,152,572,882.80","5,086,838,643.31","774,330,885.73","2,480,168,853.52","4,187,403,488.99","6,762,267,824.42","1,024,573,536.14","3,882,428,599.93","6,306,719,955.31","9,575,990,231.78","1,582,820,236.31","4,045,397,991.26","6,578,728,561.91","10,343,448,891.57","2,332,005,744.03","6,359,134,203.60","9,639,481,014.77"
二、营业利润,"14,633,895.99","52,203,937.87","69,596,327.29","98,143,059.61","9,633,101.06","52,862,318.70","61,156,670.21","125,232,894.66","11,230,429.49","67,870,007.78","81,180,505.67","167,241,304.27","28,555,273.88","90,450,790.90","126,156,059.43","201,443,672.51","40,117,503.75","125,611,754.03","169,996,920.79"
减:营业成本,"722,246,454.80","1,812,766,604.18","2,840,098,313.35","4,609,584,858.29","688,919,170.85","2,243,481,458.13","3,826,439,206.70","6,191,863,258.60","910,792,703.55","3,567,886,170.85","5,812,965,610.86","8,725,552,297.54","1,434,532,284.33","3,689,459,202.50","6,045,094,128.90","9,517,246,417.59","2,139,864,911.15","5,778,707,707.70","8,757,857,087.17"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"25,249,956.18","63,118,088.01","98,459,480.49","165,158,795.70","24,550,487.04","81,031,633.31","135,532,388.02","222,115,066.02","35,180,460.02","128,110,193.94","207,894,265.08","318,684,674.79","51,905,704.46","132,540,136.54","215,658,580.59","335,584,687.27","80,829,528.34","210,608,906.48","324,767,290.74"
营业外收入,"312,517.44","1,548,602.90","2,879,478.55","3,392,710.06","1,758,713.11","2,404,580.05","3,614,170.43","4,889,897.44","4,473,560.20","7,475,298.96","7,609,393.72","11,872,672.66","343,109.15","3,970,762.24","4,471,223.74","12,793,029.63","2,729,915.00","3,676,958.25","5,232,126.25"
销售费用,"6,883,432.93","14,208,345.84","21,882,049.46","22,457,105.53","582,758.00","1,089,812.72","1,531,747.52","2,205,163.06","645,905.19","1,326,356.16","1,957,625.15","2,535,783.49","675,444.05","1,233,375.42","1,817,008.20","2,782,793.45","728,879.46","1,540,706.73","2,463,855.20"
减:营业外支出,"288,665.21","388,018.28","982,537.79","1,963,367.42","53,900.00","213,693.34","2,232,873.41","2,839,519.51","420,134.08","526,662.95","754,776.87","2,693,079.67","18,755.27","140,484.23","155,527.26","1,687,312.12","321,437.02","406,320.80","841,690.41"
管理费用,"45,030,658.70","90,140,099.56","130,402,628.11","181,650,250.70","39,445,813.05","77,059,039.73","122,269,435.38","151,873,912.05","55,609,211.73","94,526,070.90","165,556,791.19","207,158,985.23","54,864,391.70","101,908,409.34","152,252,385.93","228,061,845.18","58,644,246.79","114,746,931.49","171,012,583.97"
其中:非流动资产处置净损失,,,,"1,294,926.89",,,"628,368.17","1,807,928.58","16,068.32","470,662.95","699,526.87","877,176.63",698.46,"26,566.85","31,469.54","1,649,003.40","309,058.33","362,942.11","564,514.22"
