科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"2,319,262,857.42","3,231,190,552.03","3,557,050,820.70","1,952,061,908.75","2,769,584,601.49","3,986,496,571.20","626,968,453.48","1,925,815,504.07","2,833,730,524.17","3,198,736,438.35","487,697,799.90","1,505,658,401.09","2,163,753,262.23","2,836,566,037.44","557,324,140.30","1,498,334,449.72","2,071,127,353.92","2,860,487,070.14","486,141,162.05","1,320,085,049.48","1,833,714,900.59","2,069,070,318.05","372,979,197.59","1,505,456,178.11","2,298,537,885.06","2,760,327,751.51","624,092,175.85","1,753,957,441.86"
取得子公司及其他营业单位支付的现金净额,"9,805,259.98","50,000,000.00",,,,,,,,"214,100,000.00",,,,,,,,,,,"2,973,670.96","994,024.03",,"381,945,140.87","381,945,140.87","583,495,361.41",,
收到的税费返还,"16,599,791.01","16,615,461.78","20,808,295.81","2,951,552.65","21,448,889.96","25,227,664.86","2,037,545.20","4,246,100.69","8,544,729.98","27,784,162.40","1,350,133.45","3,612,432.10","6,659,426.22","12,215,389.20","1,787,505.49","5,989,026.02","10,358,294.51","10,154,997.11","2,533,220.86","4,173,901.75","6,640,151.74","7,265,143.64","2,194,252.41","7,191,797.06","12,231,972.18","5,520,865.83","5,942,466.47","10,204,883.58"
支付其他与投资活动有关的现金,,,,,,"150,000,000.00",,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"115,031,174.37","163,621,759.93","29,085,417.23","60,352,433.70","65,718,874.88","96,571,195.72","57,240,863.03","84,992,545.00","149,368,763.23","113,079,908.52","35,057,136.45","92,329,122.44","158,895,155.90","92,039,972.54","43,711,590.92","197,908,808.68","244,305,427.70","194,632,069.91","36,209,992.73","73,727,163.43","88,306,736.13","39,816,178.03","34,434,149.70","73,321,249.39","103,940,283.31","228,986,531.24","26,033,761.00","92,705,630.01"
投资活动现金流出小计,"109,232,641.85","190,704,482.96","757,363,158.44","25,347,628.26","42,205,865.21","227,843,705.79","46,986,436.80","117,569,232.19","572,158,544.98","1,713,580,260.66","873,630,431.10","535,665,950.18","1,092,093,220.61","1,123,019,442.20","966,968,482.50","1,098,183,316.96","1,966,722,422.37","1,777,219,711.59","945,295,908.76","1,021,015,474.68","1,282,672,609.16","1,529,863,837.84","1,286,447,558.85","2,227,426,479.08","4,334,699,398.84","3,484,248,609.41","1,422,127,114.76","2,211,078,095.82"
经营活动现金流入小计,"2,450,893,822.80","3,411,427,773.74","3,606,944,533.74","2,015,365,895.10","2,856,752,366.33","4,108,295,431.78","686,246,861.71","2,015,054,149.76","2,991,644,017.38","3,339,600,509.27","524,105,069.80","1,601,599,955.63","2,329,307,844.35","2,940,821,399.18","602,823,236.71","1,702,232,284.42","2,325,791,076.13","3,065,274,137.16","524,884,375.64","1,397,986,114.66","1,928,661,788.46","2,116,151,639.72","409,607,599.70","1,585,969,224.56","2,414,710,140.55","2,994,835,148.58","656,068,403.32","1,856,867,955.45"
投资活动产生的现金流量净额,"-97,097,052.25","-152,041,868.58","-150,032,015.76","-25,327,969.26","-42,014,126.80","-227,451,556.51","-46,948,396.80","-116,781,720.53","-570,195,559.32","-1,551,185,920.28","291,529,658.26","253,594,449.79","135,439,090.91","-620,778,463.33","435,134,270.87","-75,647,450.60","-847,524,621.17","-1,368,731,573.33","332,326,971.51","55,951,546.69","233,710,683.74","368,624,813.02","-80,522,860.36","-192,743,172.96","-663,032,610.20","-610,322,389.63","420,955,545.48","518,699,306.39"
购买商品、接受劳务支付的现金,"1,347,577,456.34","2,227,001,310.64","2,208,944,641.67","1,081,134,500.47","1,722,355,863.53","2,382,817,137.94","593,384,945.24","1,220,499,565.00","2,206,860,324.32","1,945,797,748.66","397,982,830.93","917,670,689.50","1,369,062,093.86","1,603,107,184.87","371,210,501.34","843,147,255.58","1,090,057,510.29","1,251,040,298.55","397,125,718.07","653,034,464.05","1,028,404,022.58","815,915,648.23","395,163,549.99","1,071,289,164.74","1,453,899,092.09","1,584,420,925.76","406,829,680.33","1,050,107,696.44"
吸收投资收到的现金,,"385,000,000.00",,"2,150,000,000.00","2,150,000,000.00","2,150,000,000.00",,,,,,,,,,"33,982.40","33,982.40","40,002.40",,"1,800,000.00","2,500,000.00","790,062.51","9,000,000.00","9,000,000.00","9,650,000.00","11,983,085.20",,"32,350,000.00"
