科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"102,885,203.80","141,799,806.24","78,443,334.46","127,832,165.38","181,031,109.49","47,582,046.61","109,698,004.00","176,463,313.42","246,171,435.60","59,000,696.21","134,744,348.07","207,058,061.90","288,298,514.04","70,834,852.77","151,286,182.51","236,395,668.84","325,910,777.26","86,956,656.81","180,535,287.37","270,650,784.16","368,341,989.31","86,761,827.29","190,936,703.48","308,289,312.62","404,288,366.00","88,905,631.73","203,246,989.25","342,409,694.08","590,274,020.12","199,525,313.80","339,134,895.41","554,269,706.62","758,686,910.37","172,378,898.87","400,595,193.86","668,710,962.97","902,338,885.25","208,332,219.28","463,800,119.61","717,767,108.71","1,044,880,717.83","228,341,309.77"
二、营业利润,"31,111,433.76","32,020,475.14","14,610,489.22","24,002,429.87","30,588,530.81","4,004,963.56","11,673,388.90","19,070,470.57","17,827,568.27","-2,178,484.15","2,642,883.04","8,211,092.79","10,944,510.63","2,159,374.05","7,463,810.30","12,414,657.86","16,428,149.21","5,455,305.38","9,380,232.83","14,382,082.59","11,713,414.35","3,084,232.85","8,172,998.41","17,578,861.87","16,374,249.70","2,049,994.58","5,110,567.94","7,392,737.92","-99,806,210.39","8,775,350.57","-8,351,297.83","11,515,279.16","40,445,663.65","14,823,365.17","42,990,023.54","78,945,210.55","88,306,094.19","7,861,871.99","34,705,122.99","42,994,162.72","77,530,106.81","13,488,895.02"
减:营业成本,"45,325,285.22","69,727,967.83","41,770,369.25","68,816,541.01","99,461,500.44","26,953,171.39","64,330,996.61","104,927,863.19","151,989,738.84","39,670,183.99","86,587,350.62","129,420,139.02","180,628,464.84","44,621,189.05","94,240,008.51","146,443,532.91","202,848,915.17","60,276,902.73","121,934,940.66","184,607,446.13","252,085,279.80","60,581,492.76","131,398,085.07","214,125,387.76","278,124,687.53","62,926,404.63","145,797,136.26","256,544,762.45","432,961,790.16","136,108,626.92","236,436,414.55","373,709,878.78","482,716,803.75","104,736,285.14","243,351,379.51","408,584,950.77","557,861,633.62","136,509,424.37","293,904,842.19","465,135,362.35","654,047,579.76","145,620,463.18"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,285,092.02","5,847,219.92","3,090,836.38","5,020,866.37","7,149,191.64","1,843,221.52","4,124,429.30","6,639,928.80","9,370,051.04","2,247,448.48","5,078,693.22","8,041,284.76","11,350,256.13","2,564,427.16","5,570,327.61","8,842,104.48","9,918,812.40","884,183.73","2,009,268.20","2,587,669.59","2,907,588.70","197,485.09","541,117.33","854,103.93","1,201,009.52","237,881.59","536,595.75","828,413.18","2,131,281.83","1,306,232.30","1,512,657.23","2,433,636.65","5,640,526.48","1,029,200.00","3,282,925.17","5,970,557.03","8,296,621.19","811,391.70","2,135,984.45","4,222,699.14","7,454,825.23","1,685,775.45"
营业外收入,"524,960.85","645,655.60","140,283.33","144,686.34","10,007,728.31","6,226.76","570,480.28","6,080,992.20","8,855,024.60","516,197.15","726,326.38","1,782,397.97","3,126,823.29","1,257,012.16","2,432,262.39","4,093,033.18","5,149,499.11","2,272,729.12","5,500,238.69","5,682,364.88","6,905,950.51","161,046.59","526,939.64","388,066.55","3,947,016.72","1,091,875.76","1,314,599.17","1,565,518.81","6,142,883.84","419,684.51","20,372,650.41","22,409,817.38","44,341,961.81","1,042,277.71","5,600,046.68","12,519,658.65","80,487,909.49","831,862.73","676,851.58","1,359,155.67","1,679,504.09","146,181.23"
销售费用,"2,817,143.69","1,603,668.05","1,004,176.25","1,600,756.17","2,647,713.71","1,076,061.60","2,192,649.49","3,429,253.58","5,089,793.23","1,733,180.85","3,085,376.67","4,378,521.63","5,812,901.17","2,645,446.82","6,016,750.00","9,343,228.28","13,967,196.41","3,882,931.64","7,609,761.09","11,901,805.27","16,421,567.01","4,465,687.64","9,437,972.96","15,863,086.43","21,555,202.17","5,217,796.40","10,394,959.44","18,656,971.56","35,836,003.63","13,317,761.25","32,162,951.52","47,286,736.18","61,034,098.14","15,067,645.21","25,880,954.15","42,245,498.32","55,886,451.27","12,025,962.91","25,266,730.98","40,049,643.40","53,683,999.11","12,451,600.56"
减:营业外支出,"223,933.68","410,776.24","16,347.87","18,603.38","75,426.64","5,062.85","9,430.85","138,342.06","248,106.08","22,918.61","238,792.06","665,408.15","568,186.37","67,084.83","257,624.14","279,282.51","1,153,228.47","55,482.68","1,525,149.75","1,635,626.69","1,730,898.33","47,742.50","358,368.94","769,785.23","2,979,201.15","133,036.56","541,855.19","798,555.12","6,933,924.87","371,260.66","487,067.47","710,121.48","3,766,002.64","83,507.78","4,536,394.33","7,273,671.84","15,707,481.46","121,257.05","181,945.88","702,511.98","3,572,059.97","306,465.04"
管理费用,"18,709,731.73","30,749,890.66","17,359,023.89","27,443,858.01","39,920,122.51","13,895,942.72","27,660,906.75","42,642,278.25","61,427,363.60","17,490,778.20","36,219,692.09","55,562,988.53","77,533,275.54","18,964,582.82","38,016,190.63","59,201,747.58","79,854,470.71","18,133,199.82","37,846,654.67","57,020,782.89","80,264,173.65","19,126,419.73","40,880,366.67","63,014,745.00","85,463,754.44","21,380,298.07","42,773,892.52","65,966,076.84","115,936,103.79","39,945,679.70","76,658,647.85","116,304,485.07","164,860,870.60","37,803,541.02","81,657,446.59","126,511,184.08","192,681,290.86","47,291,288.17","102,629,902.06","131,339,038.22","200,549,392.11","43,706,757.74"
其中:非流动资产处置净损失,"177,788.60","252,584.59","11,696.50",,"67,120.26",,,,"92,118.42",,"220,938.78",,"305,040.31",,,,"542,439.11",,"1,443,859.98",,"104,506.23",,"24,961.05",,"374,214.74",,"454,783.99",,"1,000,020.20",,"87,120.03","225,092.91","1,528,556.28","13,094.80","884,474.96","4,717,148.91",,,,,,
