科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"3,169,356.29","14,230,299.58","5,410,480.95","12,134,954.64","17,744,252.49","2,282,219.71","2,997,498.75","6,170,412.82","6,652,095.67","1,196,038.60","4,050,217.20","7,294,832.44","9,322,406.63","153,505.92","1,297,138.42","4,760,264.20","3,001,273.60","-488,999.33","-1,338,560.37","-3,824,213.50","-4,230,328.10","-564,444.90","-322,594.84","-296,511.11","-1,326,898.11","-1,450,486.10","-2,952,194.76","-1,397,315.05","-1,168,616.50","-2,152,481.54","-2,139,778.15","-6,695,065.86","-3,539,446.28","3,408,089.36","5,014,766.03","9,994,771.67","7,871,021.68","6,423,725.41","18,638,793.59","28,290,808.52","46,730,349.00","15,370,497.63","17,376,052.50","23,555,175.94","45,314,810.67","5,698,009.55"
三、利润总额,"13,363,982.29","45,764,649.25","10,247,643.27","15,243,861.58","26,523,457.87","-9,199,542.36","-19,579,551.85","-27,404,711.18","-43,224,535.89","-3,487,700.61","-6,765,742.26","9,571,511.57","16,222,867.14","3,561,624.08","9,444,854.52","18,100,074.76","21,073,348.02","-4,273,910.01","-5,971,225.63","10,436,096.42","17,820,228.77","-506,699.63","5,587,056.13","12,652,282.31","23,216,356.15","-2,454,896.96","-18,494,167.95","15,119,820.73","44,504,260.18","-16,645,376.58","-22,442,144.62","-10,286,913.81","-26,755,162.30","-1,640,249.57","-11,851,976.61","5,572,213.05","9,600,537.89","-15,064,348.79","-40,513,726.43","-43,025,360.14","-521,626,295.58","-26,986,369.31","-63,281,926.90","-63,876,416.51","-147,400,917.29","-8,499,050.10"
资产减值损失,"7,011.26","1,008,154.13","-193,278.04","792,175.41","401,426.83","-110,688.09","437,926.89","1,990,752.41","5,944,019.90","-398,046.78","623,301.35","430,562.16","3,044,092.88","-434,242.46","464,154.17","55,665.15","5,223,575.56","-320,059.94","539,260.17","3,873,714.21","9,466,289.73","735,667.59","2,634,583.84","3,344,336.24","2,987,496.83","-154,320.23","1,684,890.03","3,324,329.50","3,759,507.18","-215,257.36","166,778.43","2,351,100.12","2,330,490.05","-801,297.90","1,620,453.31","2,985,316.32","4,273,934.75","511,703.00","1,082,331.17","2,166,925.94","457,459,252.24","1,655,133.67","19,831,199.23","35,698,050.40","61,617,372.41","-340,502.33"
减:所得税,"5,138,635.59","4,619,806.38","2,198,632.99","3,029,191.02","4,828,810.89",,"272,541.02","272,541.02","-4,814,552.20",,"37,022.07","1,859,709.33","4,149,552.51","899,783.42","1,756,068.28","3,524,957.08","4,338,758.92","477,638.72","-190,108.57","2,560,143.79","4,284,092.02","54,477.17","1,668,419.12","2,756,946.82","3,149,102.61","144,688.55","-3,261,343.71","5,164,999.81","9,766,125.76","-3,058,589.62","-3,126,698.13","-1,850,577.12","-5,219,160.82","659,403.39","-1,617,178.83","2,434,660.61","4,350,465.58","-154,237.52","-674,357.06","-1,317,654.61","-6,039,503.89","-2,855,997.18","-3,008,491.11","189,025.75","25,118,136.15","85,033.37"
加:公允价值变动净收益,,,,,"-1,144,275.00","700,275.00","1,144,275.00","1,144,275.00","454,777.50","10,300.00","215,840.00","398,162.50","689,497.50",,"2,981,781.50","5,190,538.50","1,609,485.50","760,331.00","-2,638,411.00","-1,109,167.00","2,838,324.50","776,500.00","-4,447,810.00","-4,447,810.00","-4,447,810.00","-2,114,578.60",,"381,890.00",,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,"9,968.80","20,278.07","-806,725.00","-1,220,525.00","-1,220,525.00","-1,192,053.00","-52,380.00","-178,470.00","105,357.50","3,067,102.50","368,400.00","1,975,895.00","5,730,324.27","10,496,562.77","485,846.54","523,302.04","2,501,496.36","5,069,255.70","1,014,150.00","8,090,560.00","8,090,560.00","8,090,560.00","-566,650.00","-2,472,852.52","-2,127,419.72","-1,220,019.72",,"-144,158.17","-118,704.36","-93,459.80",,,,"14,494,155.26","-340,993.70","-245,129.21","-280,157.97","24,588,919.08","-5,743,664.93","-6,008,996.27","-5,439,649.94","-24,781,039.02",
四、净利润,"8,225,346.70","41,144,842.87","8,049,010.28","12,214,670.56","21,694,646.98","-9,199,542.36","-19,852,092.87","-27,677,252.20","-38,409,983.69","-3,487,700.61","-6,802,764.33","7,711,802.24","12,073,314.63","2,661,840.66","7,688,786.24","14,575,117.68","16,734,589.10","-4,751,548.73","-5,781,117.06","7,875,952.63","13,536,136.75","-561,176.80","3,918,637.01","9,895,335.49","20,067,253.54","-2,599,585.51","-15,232,824.24","9,954,820.92","34,738,134.42","-13,586,786.96","-19,315,446.49","-8,436,336.69","-21,536,001.48","-2,299,652.96","-10,234,797.78","3,137,552.44","5,250,072.31","-14,910,111.27","-39,839,369.37","-41,707,705.53","-515,586,791.69","-24,130,372.13","-60,273,435.79","-64,065,442.26","-172,519,053.44","-8,584,083.47"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-245,129.21","-280,157.97","-305,482.45",,"-6,008,996.27","-6,024,649.94","-6,040,303.49",
归属于母公司所有者的净利润,"8,216,772.43","41,136,268.60","8,049,010.28","12,214,670.56","21,694,646.98","-9,199,542.36","-19,852,092.87","-27,677,252.20","-38,409,983.69","-3,487,700.61","-6,802,764.33","7,711,802.24","12,073,314.63","2,661,840.66","7,688,786.24","14,575,117.68","16,734,589.10","-4,751,548.73","-5,781,117.06","7,875,952.63","13,536,136.75","-561,176.80","3,918,637.01","9,895,335.49","20,067,253.54","-2,599,585.51","-15,232,824.24","9,974,727.67","33,128,076.00","-13,570,000.69","-19,304,383.83","-8,419,633.32","-21,654,470.06","-2,294,261.11","-10,216,010.01","3,160,779.65","5,142,125.33","-14,902,912.08","-39,705,267.95","-41,571,757.28","-513,478,199.64","-23,946,062.93","-60,244,115.41","-64,035,641.58","-172,488,979.65","-8,584,083.47"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"8,574.27","8,574.27",,"12,214,670.56",,,,,,,,,,,,,,,,,,,,,,,,"-19,906.75","1,610,058.42","-16,786.27","-11,062.66","-16,703.37","118,468.58","-5,391.85","-18,787.77","-23,227.21","107,946.98","-7,199.19","-134,101.42","-135,948.25","-2,108,592.05","-184,309.20","-29,320.38","-29,800.68","-30,073.79",
