科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"170,183,816.36","224,864,823.54","457,310,217.41","407,863,052.65","628,591,736.45","817,842,675.28","141,403,324.10","318,475,547.83","497,633,148.40","705,128,891.20","146,130,319.79","330,283,086.42","489,258,039.60","662,758,814.54","139,954,394.23","314,753,445.60","493,164,804.01","668,496,361.35","136,096,562.30","316,640,220.96","477,960,112.28","627,864,096.83","130,487,187.36","314,233,374.49","537,092,033.40","779,278,100.40","188,906,316.38","459,381,122.89","725,171,590.82","1,005,250,212.94","252,592,708.45","556,482,754.88"
二、营业利润,"10,742,185.91","24,391,630.09","49,853,212.37","57,917,368.53","77,998,323.68","92,109,863.26","5,628,719.85","13,231,306.97","25,338,689.21","49,378,622.79","5,552,452.41","-8,624,891.89","-5,492,749.65","2,240,315.84","7,558,123.75","16,151,922.97","26,463,277.37","21,155,833.23","3,415,734.55","5,483,737.40","10,044,559.75","2,066,048.29","4,125,211.38","19,892,762.66","37,701,713.96","25,807,003.94","5,415,790.74","8,106,389.34","1,958,303.37","6,123,058.30","13,772,494.03","18,945,317.93"
减:营业成本,"147,343,570.18","182,190,109.26","365,003,077.06","321,127,856.53","504,526,053.49","670,740,532.79","122,325,622.37","277,358,415.98","428,649,124.38","593,490,279.29","124,674,833.40","291,167,273.83","429,793,614.23","576,634,829.08","114,686,285.98","261,327,111.10","409,744,158.07","567,329,369.02","116,318,104.57","272,791,630.32","413,059,349.91","546,552,127.49","104,073,890.07","251,568,507.13","433,412,951.20","641,848,031.91","158,736,705.36","396,198,893.16","637,761,528.29","880,960,532.35","221,195,289.78","490,052,345.04"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"397,271.98","587,335.44","1,036,062.11","727,581.50","1,083,599.79","1,655,498.94","389,726.95","1,067,900.98","1,929,495.63","3,050,974.51","497,886.47","1,139,555.53","1,702,256.75","2,345,532.22","535,730.62","1,224,013.44","1,903,089.30","2,407,574.58","539,904.46","1,176,604.76","1,837,261.56","2,464,041.56","463,627.96","1,034,128.80","1,696,000.08","4,606,494.80","584,537.95","2,431,493.39","3,812,202.69","5,529,362.01","1,467,960.07","3,024,868.44"
营业外收入,"1,022,700.00","802,957.00","1,202,200.00","860,000.00","1,802,792.07","2,712,792.07","177,000.00","189,607.69","2,623,929.00","2,077,095.95","805,487.66","823,091.81","1,038,499.82","2,527,104.19","426,850.12","2,222,820.68","2,873,458.12","5,048,538.44","276,706.09","612,376.70","1,772,576.65","3,068,692.72","598,959.03","956,470.87","1,801,298.43","3,520,730.81","305,417.23","2,052,005.25","2,927,937.82","775,208.39",,"102,104.19"
销售费用,"1,802,173.91","2,044,375.10","3,022,157.58","1,967,588.75","3,252,018.27","4,256,389.21","1,712,733.82","2,860,626.10","4,289,917.12","5,482,374.28","1,356,100.72","2,745,760.38","4,033,362.88","6,219,966.22","1,305,613.03","2,891,377.16","4,847,298.48","6,687,874.86","1,323,867.44","3,903,734.63","5,810,572.56","8,490,726.33","1,782,153.73","4,184,021.97","6,127,608.75","9,635,891.28","2,031,281.24","4,837,323.55","7,718,255.04","10,573,298.49","2,865,040.69","5,591,344.15"
减:营业外支出,"272,771.88","240,221.04","614,339.33","486,223.99","707,526.58","1,120,524.93","204,356.13","482,688.74","855,456.78","1,210,345.61","340,310.99","706,247.33","1,132,990.64","1,413,547.53","264,278.54","529,075.28","776,905.16","1,012,349.08","433,138.79","764,717.90","1,035,266.96","1,731,398.87","333,468.41","539,659.62","797,253.71","886,075.91","128,586.13","218,284.62","218,284.62","267,286.83","122,000.00","152,000.00"
管理费用,"6,464,073.22","9,755,182.44","23,582,026.99","13,114,472.83","20,126,567.76","22,854,918.23","7,576,280.75","18,325,158.82","28,213,470.73","40,286,206.86","10,922,791.35","25,342,999.38","37,977,396.86","52,453,240.31","11,406,422.35","24,717,623.47","40,913,668.21","57,817,734.36","11,770,330.32","25,833,270.87","39,382,527.71","57,348,177.82","16,315,648.53","31,217,573.29","46,792,886.97","68,469,395.60","17,247,401.53","35,961,195.13","53,842,835.53","73,166,395.34","18,518,141.67","38,445,616.14"
其中:非流动资产处置净损失,"2,130.09","5,356.22","1,928.05","76,483.45",,"76,483.45",,,,"5,806.79","17,757.76","17,757.76","40,732.95","55,016.33",780.97,780.97,780.97,,"108,958.27","148,513.82","149,067.63","150,724.70",,,,601.83,"1,586.13","51,284.62","51,284.62",,,
