科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"137,573,480.11","143,580,469.92","161,274,114.61","90,086,204.08","105,667,064.94","123,167,221.01","10,356,529.22","28,198,066.36","50,606,725.88","85,989,259.34","11,131,218.40","37,384,489.40","75,593,138.18","114,932,206.84","40,640,361.98","116,253,619.60","230,510,991.87","341,866,337.79","42,078,258.54","207,085,558.50","233,117,904.47","263,297,358.34","89,797,527.06","162,600,654.87","240,355,466.56","338,185,754.61","142,259,969.85","472,087,352.32","680,182,748.35","620,392,077.41","249,753,920.06","376,157,855.77","281,512,069.74","933,258,921.04","188,262,424.83"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"26,500,000.00",,,,,,,,,,,,,,"252,268,486.29","277,052,500.00","292,712,628.82",,"138,564,120.49","28,300.00","221,822,785.41",,,"5,917.88","1,711,506.33",
收到的税费返还,,,"3,055,569.83",,,,,,"785,025.57","785,025.57",,,"603,191.08",,"2,686,148.60","2,706,876.73","2,706,876.73","2,706,876.73",,"2,491,000.00","2,508,007.61",,,"563,714.42","551,420.81","476,399.51",,"1,620,000.00","1,620,000.00","197,579.17","2,194,308.82","32,190,356.00","34,485,577.36","32,602,021.47","1,135,133.57"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"5,241,002.95",,,"7,023,458.63","489,583.25","479,532.00","486,607.47","25,040,177.45",,,"50,005.30","103,800,000.00","-1,563.60"
收到其他与经营活动有关的现金,"7,256,936.88","15,519,961.72","26,938,149.03","17,945,492.89","25,819,239.87","18,218,910.75","6,232,590.02","12,975,234.43","53,769,207.49","8,155,792.93","89,631.37","3,951,799.20","3,188,245.63","11,015,241.05","14,319,995.79","17,324,470.49","35,439,510.65","23,733,600.24","5,022,656.31","16,675,980.83","19,894,706.37","19,092,378.34","5,315,233.37","49,283,407.61","27,299,492.35","22,198,725.70","13,464,638.01","151,963,296.96","142,203,589.90","56,955,879.92","4,002,302.11","51,077,083.02","232,039,238.62","124,243,184.33","16,362,129.57"
投资活动现金流出小计,"968,137.04","985,774.81","6,605,563.48","1,090,996.55","2,537,981.17","5,680,133.54","97,083.79","14,334,704.55","40,299,570.19","91,784,496.63","11,901,481.84","19,732,962.60","21,555,342.19","23,652,920.99","568,384.62","838,430.40","1,681,976.40","8,866,831.79","59,815.50","1,676,370.00","69,480,145.01","82,252,621.10","5,904,664.10","255,198,384.54","300,606,649.10","490,926,432.40","47,373,275.52","178,972,580.05","115,273,344.83","378,313,716.30","3,827,123.64","3,483,434.97","108,659,390.40","132,569,217.49","14,307,470.79"
经营活动现金流入小计,"144,830,416.99","159,100,431.64","191,267,833.47","108,031,696.97","131,486,304.81","141,386,131.76","16,589,119.24","41,173,300.79","105,160,958.94","94,930,077.84","11,220,849.77","41,336,288.60","79,384,574.89","125,947,447.89","57,646,506.37","136,284,966.82","268,657,379.25","368,306,814.76","47,100,914.85","226,252,539.33","255,520,618.45","282,389,736.68","95,112,760.43","212,447,776.90","268,206,379.72","360,860,879.82","155,724,607.86","625,670,649.28","824,006,338.25","677,545,536.50","255,950,530.99","459,425,294.79","548,036,885.72","1,090,104,126.84","205,759,687.97"
投资活动产生的现金流量净额,"-968,137.04","-985,774.81","-6,605,563.48","-1,090,996.55","-2,537,871.17","-5,680,023.54","-97,083.79","-14,332,604.55","-40,297,470.19","-91,782,396.63","-11,901,481.84","-19,732,962.60","-21,555,342.19","-23,652,920.99","-568,384.62","-838,430.40","-1,681,976.40","-8,866,831.79","-59,815.50","-1,676,370.00","-69,480,145.01","-82,252,521.10","-5,904,664.10","-255,198,384.54","-300,606,649.10","-490,926,425.07","-47,361,544.63","-28,876,572.57","55,359,617.42","-212,704,916.30","-2,346,141.64","-1,914,426.92","-103,564,420.68","-128,200,138.18","-14,307,470.79"
购买商品、接受劳务支付的现金,"94,437,414.61","125,932,987.29","106,006,715.43","63,726,929.09","86,284,189.81","122,726,748.64","8,590,048.97","50,889,833.95","143,565,595.78","230,093,903.47","74,109,616.50","178,684,519.90","254,903,391.80","309,135,397.44","34,984,256.34","57,662,411.17","95,902,316.48","112,753,011.31","47,109,050.26","61,172,003.77","224,913,794.05","243,171,090.46","142,414,575.28","261,313,761.33","399,370,820.94","527,157,889.96","218,492,598.64","332,887,457.27","612,273,378.21","658,867,681.96","178,323,052.10","343,425,482.30","522,556,443.45","806,417,544.04","174,035,501.03"
吸收投资收到的现金,,"5,778,200.00","36,000,000.00",,"274,885,200.00","267,421,211.00",,,,"26,500,000.00",,,"1,000,000.00","1,000,000.00",,"1,200,000.00","5,700,000.00","6,948,000.00",,"6,000,000.00","12,650,000.00","14,202,000.00",,"6,076,896.52","1,193,169,119.05","1,234,160,508.22","5,653,128.00","17,727,625.41","2,249,158.47","21,344,647.17",,,,"132,000.00","834,002.00"
支付给职工以及为职工支付的现金,"3,216,906.92","4,530,659.33","7,438,522.55","3,790,390.44","5,581,137.17","7,830,531.11","2,163,128.55","5,567,358.04","9,123,027.00","13,633,958.97","3,795,385.52","6,961,703.35","11,351,442.34","18,568,281.86","3,596,291.27","8,096,576.00","12,204,017.81","17,947,598.94","4,345,389.75","8,756,150.37","14,543,142.19","20,732,767.88","4,597,783.78","11,832,511.99","20,007,697.65","57,637,590.84","18,135,421.90","27,891,909.23","35,418,483.31","94,968,694.91","33,207,648.32","35,310,544.10","54,742,801.93","132,790,008.59","24,874,068.90"
取得借款收到的现金,,"19,100,000.00","20,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","10,000,000.00","49,500,000.00","60,000,000.00","114,167,756.00","101,551,050.14","203,306,214.64","313,385,539.89","380,056,468.56","13,696,752.80","125,274,435.70","200,928,386.80","226,971,325.80","18,244,526.00","178,134,593.20","405,651,030.76","533,607,449.06","273,800,000.00","512,590,284.00","841,896,019.00","233,463,378.70","102,675,690.00","310,248,240.25","491,787,622.19","694,179,787.08","90,238,858.45","300,937,559.32","637,748,675.78","719,941,290.89","341,685,301.45"
支付的各项税费,"5,557,914.71","11,076,335.35","21,509,063.70","8,165,136.34","13,461,849.45","16,352,808.66","710,601.49","3,033,867.40","4,987,549.95","9,223,818.78","2,982,649.08","14,107,096.67","16,937,340.95","27,458,789.81","1,199,257.04","17,491,806.26","19,972,645.40","29,934,945.25","10,277,820.36","26,984,207.91","29,188,203.35","41,663,281.49","1,702,092.66","16,619,335.88","17,474,041.37","21,871,206.55","10,371,361.03","45,886,818.95","50,777,417.45","65,385,573.11","11,148,139.25","58,004,705.59","58,474,450.67","71,561,624.79","2,074,089.74"
收到其他与筹资活动有关的现金,"13,906,092.16","2,000,000.00","2,000,000.00",,,,,,,,,,,,,,,,,,,,,"120,000,000.00",,,,,,,,,"1,540.10","13,888,000.00",
支付其他与经营活动有关的现金,"39,028,211.97","22,075,496.50","35,970,580.94","26,349,478.70","36,334,051.24","27,129,673.95","42,511,025.11","57,295,878.97","70,452,107.73","32,448,790.04","17,433,099.80","16,276,603.95","36,100,812.98","36,465,506.98","6,936,589.31","44,228,892.61","77,450,496.50","68,932,582.63","8,952,465.02","66,749,185.89","95,428,442.46","109,283,525.92","40,928,131.05","73,348,660.42","99,801,366.27","174,403,503.45","86,711,762.40","238,100,715.94","415,726,549.68","277,817,470.41","58,265,615.76","123,831,949.43","90,647,408.55","412,715,193.27","164,264,949.46"
筹资活动现金流入小计,"13,906,092.16","26,878,200.00","58,000,000.00","15,000,000.00","289,885,200.00","282,421,211.00","10,000,000.00","49,500,000.00","60,000,000.00","140,667,756.00","101,551,050.14","203,306,214.64","314,385,539.89","381,056,468.56","13,696,752.80","126,474,435.70","206,628,386.80","233,919,325.80","18,244,526.00","184,134,593.20","418,301,030.76","547,809,449.06","273,800,000.00","638,667,180.52","2,035,065,138.05","1,467,623,886.92","108,328,818.00","327,975,865.66","494,036,780.66","1,212,696,096.59","90,238,858.45","300,937,559.32","637,750,215.88","733,961,290.89","342,519,303.45"
经营活动现金流出小计,"142,240,448.21","163,615,478.47","170,924,882.62","102,031,934.57","141,661,227.67","174,039,762.36","53,974,804.12","116,786,938.36","228,128,280.46","285,400,471.26","98,320,750.90","216,029,923.87","319,292,988.07","391,627,976.09","46,716,393.96","127,479,686.04","205,529,476.19","229,568,138.13","70,684,725.39","163,661,547.94","364,073,582.05","414,850,665.75","189,642,582.77","363,114,269.62","536,653,926.23","781,070,190.80","333,711,143.97","644,766,901.39","1,114,195,828.65","1,097,039,420.39","280,944,455.43","560,572,681.42","726,421,104.60","1,423,484,370.69","365,248,609.13"
偿还债务支付的现金,,"100,000.00","19,000,000.00","15,000,000.00","15,000,000.00","25,000,000.00",,"10,000,000.00","10,000,000.00","27,000,000.00",,"32,500,000.00","48,000,000.00","110,700,000.00","56,650,000.00","138,534,327.68","230,795,194.35","328,433,485.05","31,442,141.46","132,189,640.40","186,389,640.40","263,076,753.05","90,072,793.25","209,261,575.92","510,490,871.69","216,009,163.91","50,963,448.58","206,305,629.18","413,305,781.58","611,909,379.19","44,568,619.15","137,685,777.05","167,725,350.87","221,900,398.09","104,603,785.21"
经营活动产生的现金流量净额,"2,589,968.78","-4,515,046.83","20,342,950.85","5,999,762.40","-10,174,922.86","-32,653,630.60","-37,385,684.88","-75,613,637.57","-122,967,321.52","-190,470,393.42","-87,099,901.13","-174,693,635.27","-239,908,413.18","-265,680,528.20","10,930,112.41","8,805,280.78","63,127,903.06","138,738,676.63","-23,583,810.54","62,590,991.39","-108,552,963.60","-132,460,929.07","-94,529,822.34","-150,666,492.72","-268,447,546.51","-420,209,310.98","-177,986,536.11","-19,096,252.11","-290,189,490.40","-419,493,883.89","-24,993,924.44","-101,147,386.63","-178,384,218.88","-333,380,243.85","-159,488,921.16"
分配股利、利润或偿还利息支付的现金,,"454,238.50","1,476,220.21","375,379.80","449,697.91","1,040,754.25","211,455.42","645,570.41","1,557,893.83","2,655,401.86","2,095,124.82","8,199,413.67","14,406,118.09","21,622,391.54","5,588,781.25","18,848,741.86","24,315,895.56","27,671,534.24","4,325,319.30","16,134,184.06","20,646,376.31","30,155,981.54",,"15,799,914.62","24,634,110.63","41,614,956.28","5,893,721.85","12,699,131.79","21,683,148.14","33,708,594.40","10,508,934.23","17,555,157.75","30,936,069.07","86,861,432.89","13,309,867.26"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,850.48","150,003,850.48","150,003,850.48","150,000,000.00",,,,"451,591.23",
支付其他与筹资活动有关的现金,"7,220,000.00","26,786,426.37","6,190,500.00",,"4,735,074.83",,,,"2,000,000.00",,,,,,,,,,,,,,"7,746,621.94",,,"21,911,697.86",,,"720,027.78",,,"200,000.00","200,333.00",,"4,098,221.89"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,157.00","92,157.00",,"1,480,982.00",,,"3,245,274.67",
筹资活动现金流出小计,"7,220,000.00","27,340,664.87","26,666,720.21","15,375,379.80","20,184,772.74","26,040,754.25","211,455.42","10,645,570.41","13,557,893.83","29,655,401.86","2,095,124.82","40,699,413.67","62,406,118.09","132,322,391.54","62,238,781.25","157,383,069.54","255,111,089.91","356,105,019.29","35,767,460.76","148,323,824.46","207,036,016.71","293,232,734.59","97,819,415.19","225,061,490.54","535,124,982.32","279,535,818.05","56,857,170.43","219,004,760.97","435,708,957.50","645,617,973.59","55,077,553.38","155,440,934.80","198,861,752.94","308,761,830.98","122,011,874.36"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,110.00,110.00,,"2,100.00","2,100.00","2,100.00",,,,,,,,,,,,100.00,,,,,,,,"4,200.00",,"1,569,008.05",,"672,213.41",
筹资活动产生的现金流量净额,"6,686,092.16","-462,464.87","31,333,279.79","-375,379.80","269,700,427.26","256,380,456.75","9,788,544.58","38,854,429.59","46,442,106.17","111,012,354.14","99,455,925.32","162,606,800.97","251,979,421.80","248,734,077.02","-48,542,028.45","-30,908,633.84","-48,482,703.11","-122,185,693.49","-17,522,934.76","35,810,768.74","211,265,014.05","254,576,714.47","175,980,584.81","413,605,689.98","1,499,940,155.73","1,188,088,068.87","51,471,647.57","108,971,104.69","58,327,823.16","567,078,123.00","35,161,305.07","145,496,624.52","438,888,462.94","425,199,459.91","220,507,429.09"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,604,600.00",,,"3,245,274.67",,
四、汇率变动对现金的影响,,,,"-2,504.95","-3,091.52","-39,428.50","-1,257.86","-1,257.12","-1,256.74","-7,058.06",,-2.56,-168.41,"-16,368.11","-1,494.26","6,234.47","6,104.89","23,094.53","2,636.61","7,412.06","12,631.65","56,029.83","75,624.24","1,906,715.10","121,580.55","2,662,147.97","233,759.83","207,300.19","2,729,324.81","-14,213,626.59","-180,941.63","-1,195,699.92","975,026.58","599,113.73","-4,719,452.97"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,"7,880.41",,"20,536,954.77",,,,"1,849,695.05",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
