科目,2003年1-9月
销售商品、提供劳务收到的现金,"8,563,609,596.26"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,"623,359.50"
支付其他与投资活动有关的现金,
收到其他与经营活动有关的现金,"409,496,098.96"
投资活动现金流出小计,"61,161,966.05"
经营活动现金流入小计,"8,973,729,054.72"
投资活动产生的现金流量净额,"-52,958,931.75"
购买商品、接受劳务支付的现金,"7,553,709,558.60"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"203,403,706.18"
取得借款收到的现金,"13,155,985.23"
支付的各项税费,"50,345,199.34"
收到其他与筹资活动有关的现金,
支付其他与经营活动有关的现金,"928,425,653.60"
筹资活动现金流入小计,"13,155,985.23"
经营活动现金流出小计,"8,735,884,117.72"
偿还债务支付的现金,"13,959,358.97"
经营活动产生的现金流量净额,"237,844,937.00"
分配股利、利润或偿还利息支付的现金,"344,379,634.03"
收回投资收到的现金,
支付其他与筹资活动有关的现金,
取得投资收益收到的现金,
筹资活动现金流出小计,"358,338,993.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"525,114.53"
筹资活动产生的现金流量净额,"-345,183,007.77"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,"191,325.84"
收到其他与投资活动有关的现金,"7,677,919.77"
四(2)、其他原因对现金的影响,
投资活动现金流入小计,"8,203,034.30"
五、现金及现金等价物净增加额,"-160,105,676.68"
购建固定资产、无形资产和其他长期资产支付的现金,"61,161,966.05"
期初现金及现金等价物余额,"850,202,232.96"
投资支付的现金,
期末现金及现金等价物余额,"690,096,556.28"
