科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"19,834,605.96","52,217,190.17","14,129,968.85","92,872,845.10","83,887,836.46","29,930,057.02","67,780,889.13","16,627,487.42","8,087,625.52"
短期借款,"69,869,695.54","95,865,615.48","98,300,760.50","119,000,000.00","83,239,267.03","74,000,000.00","107,530,317.43","115,000,000.00","205,000,000.00"
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"15,263,910.56","37,984,451.32","56,009,774.79","12,010,121.78","68,019,585.96","72,596,248.53","70,930,813.28","73,756,107.13","94,455,408.39"
应付票据,"24,000,000.00","11,000,000.00","6,852,500.00",,,,"11,170,000.00","11,170,000.00",
应收账款,"104,578,422.95","133,146,441.85","155,501,023.84","158,642,970.55","121,607,397.84","149,408,445.52","192,235,800.97","195,909,869.17","245,819,233.88"
应付账款,"17,161,551.04","15,626,697.83","23,588,660.54","5,174,027.00","21,520,294.15","30,944,655.40","28,014,547.46","33,576,292.69","31,187,455.87"
预付款项,"10,055,663.17","8,129,266.11","8,894,409.26","47,810,164.44","24,777,737.12","30,123,776.07","18,699,929.27","58,101,789.55","72,755,740.52"
预收款项,"182,100.00","69,619.00","225,586.00",,"199,782.84","185,660.00","34,133.50","893,147.27","78,501.26"
其他应收款,"633,418.20","523,394.99","318,370.55","1,172,964.09","353,613.20","339,363.20","263,405.00","1,420,124.77","1,284,309.28"
应付职工薪酬,"1,268,791.36","1,818,825.13","2,276,697.28","1,973,917.10","2,631,101.20","2,763,195.80","2,869,820.88","2,157,339.66","3,037,986.10"
应收关联公司款,,,,,,,,,
应交税费,"7,944,652.76","7,007,362.24","7,411,628.76","2,564,965.98","4,403,312.53","4,287,341.19","6,511,035.12","2,235,950.65","4,660,391.12"
应收利息,,,,,,,,,
应付利息,,,"90,909.72",,,,,,"277,070.83"
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"27,584,002.79","30,498,250.25","29,844,253.71","38,761,535.54","31,478,182.81","45,492,864.90","30,887,818.03","47,484,143.60","44,746,619.98"
其他应付款,"2,188,705.72","2,059,939.47","3,225,529.18","6,159,613.64","2,981,742.70","2,703,688.33","3,951,932.23","5,020,400.12","8,935,971.99"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,"29,900,000.00",,,,,,,,
其他流动负债,,,,,,,,,
