科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,"96,841,675.48","238,326,473.46","237,647,962.79","302,957,156.10","3,752,716.41","8,008,516.41","8,358,516.41","13,872,932.41","3,106,241.55","6,938,177.45","10,411,904.36","105,849,135.27","346,776,225.51","890,576,568.42","1,410,884,316.28","1,901,919,484.56","539,593,217.56","1,026,427,741.36","1,592,621,520.60","2,248,710,303.46","1,486,223,265.41","2,452,788,575.21","4,072,323,772.73","2,393,356,361.78","2,548,339,865.93","4,990,046,157.41","763,422,685.38","597,266,263.08"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,"537,857.75",,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,"1,019,139.75",,,,,,,,"2,402.26",,,,,,,"448,312.54","75,082,783.70","84,938,721.77",,,
收到其他与经营活动有关的现金,"6,095,035.17","68,975,744.78","79,808,735.57","181,920,026.75","6,727,556.89","20,349,554.15","21,580,925.28","60,082,440.62","567,258.32","2,209,544.87","4,054,155.33","162,014,671.77","59,770,074.32","110,022,645.89","168,538,543.24","213,177,662.49","51,039,566.78","75,520,344.93","242,410,765.12","388,487,389.72","19,153,934.86","33,906,320.58","90,975,607.94","6,860,252.94","802,533,528.07","65,298,876.40","160,832,760.36","1,112,172,656.61"
投资活动现金流出小计,"578,484.73","21,328,860.14","2,549,010.53","7,462,967.22","50,392.11","467,308.06","727,603.06","1,746,742.81",,,,"6,650.00","23,643.81","999,258.00","1,522,150.72","5,665,822.59","718,949.64","1,779,133.11","3,873,711.86","4,225,434.52","4,364,210.47","18,995,958.94","56,484,960.40","90,079,952.04","109,203,006.08","149,984,525.34","5,026,405.50","14,211,099.44"
经营活动现金流入小计,"102,936,710.65","307,302,218.24","317,456,698.36","484,877,182.85","10,480,273.30","28,358,070.56","29,939,441.69","73,955,373.03","3,673,499.87","9,147,722.32","14,466,059.69","268,401,664.79","406,546,299.83","1,000,599,214.31","1,579,422,859.52","2,115,097,147.05","590,632,784.34","1,101,948,086.29","1,835,032,285.72","2,637,197,693.18","1,505,377,200.27","2,486,694,895.79","4,163,299,380.67","2,400,216,614.72","3,350,873,394.00","5,055,345,033.81","924,255,445.74","1,709,438,919.69"
投资活动产生的现金流量净额,"1,021,515.27","-19,728,860.14","-949,010.53","24,202,032.78","-50,392.11","-467,308.06","-727,603.06","-1,746,742.81",,,,"2,593,350.00","-23,643.81","-999,258.00","-1,522,150.72","-5,665,822.59","-718,949.64","-1,779,133.11","-3,873,711.86","-3,985,434.52","-4,364,210.47","-18,995,958.94","-44,849,508.11","-75,106,155.12","-96,555,967.06","-149,958,937.34","-4,213,851.18","-13,464,004.21"
购买商品、接受劳务支付的现金,"121,653,059.01","251,660,067.03","273,365,768.41","324,163,919.47","7,105,027.22","9,412,352.09","9,412,352.09","13,236,227.40","2,436,218.67","5,536,906.05","7,550,288.30","259,141,053.78","311,520,179.50","684,217,562.69","1,184,054,930.80","1,276,720,709.22","530,232,313.56","1,051,674,366.19","1,756,837,137.40","2,303,339,636.62","1,487,200,528.08","2,395,619,304.89","4,000,851,309.82","2,383,565,644.24","2,587,991,206.64","4,767,399,586.98","557,562,209.61","443,978,519.93"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,
