科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"179,744,788.30","234,817,574.66","164,685,278.69","258,527,712.41","114,632,369.77","176,714,302.48","279,767,377.64","28,660,951.14","121,188,716.06","170,292,199.84","278,827,195.08","33,417,800.28","136,782,612.02","195,659,764.99","620,732,590.22","107,656,247.70","281,770,311.27","476,940,092.08","1,113,521,983.11","172,699,489.37","517,694,580.33","820,908,024.32"
二、营业利润,"27,705,797.57","39,509,649.16","23,146,139.05","45,494,767.20","21,300,491.84","23,923,152.72","49,501,218.09","1,022,744.55","22,349,963.53","23,133,108.83","44,185,085.14","-1,333,160.63","23,667,085.00","26,218,657.65","107,097,363.43","-10,774,647.64","13,189,801.38","30,917,406.34","129,454,783.84","30,409,299.45","63,661,254.90","85,400,829.90"
减:营业成本,"129,810,113.47","167,154,852.29","113,176,584.95","175,421,444.15","70,300,612.17","118,665,257.84","188,910,604.01","15,642,756.59","74,597,917.16","112,688,126.02","190,342,172.43","21,340,077.31","89,016,859.56","133,161,718.80","435,506,114.58","89,060,767.81","210,811,096.80","349,371,269.09","804,646,814.41","108,273,569.32","375,866,772.24","613,432,401.08"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,184,801.22","5,514,640.05","4,029,288.43","6,699,881.08","2,904,850.88","3,071,058.64","3,507,101.67","99,023.23","811,406.35","889,625.83","1,016,030.47","94,481.47","618,226.38","699,148.65","1,903,936.73","111,258.97","625,341.14","734,715.96","5,062,945.41","1,348,932.37","2,986,057.53","4,261,555.48"
营业外收入,"1,245,575.31","1,534,289.39","98,046.73","811,238.03",,,"181,172.71","82,102.89","82,102.89","2,082,102.89","2,840,380.84","10,000.31","35,504.86","35,504.88","2,032,202.44","1,520,204.15","3,428,242.75","5,117,932.36","7,631,690.68","5,022,839.06","6,828,302.36","6,725,068.05"
销售费用,"3,089,008.44","4,492,295.57","5,002,123.78","6,543,882.91","5,422,131.37","7,291,811.26","9,284,453.18","2,170,589.42","5,534,524.59","8,177,751.35","10,019,195.95","3,073,531.06","5,603,885.78","9,302,116.70","13,830,959.33","6,749,838.24","11,720,144.49","20,019,076.97","30,385,795.61","8,539,973.47","17,572,501.90","27,114,336.49"
减:营业外支出,"44,040.00","30,000.01",,,,"8,620.31","8,620.31",,,,"13,010.17",,"6,323.22","6,323.22","28,794.85",175.20,"1,010.94","1,010.94","21,554.45","144,357.07","296,795.61","368,252.08"
管理费用,"15,001,611.81","18,068,022.34","17,726,465.29","22,342,683.55","13,306,685.85","20,876,481.63","26,845,572.02","9,299,991.32","16,800,566.33","24,289,444.53","33,131,484.99","10,709,658.56","17,344,372.55","26,430,462.78","54,158,153.97","22,295,439.26","45,174,511.65","73,351,099.49","118,416,715.51","27,525,073.77","56,660,322.96","92,775,474.09"
其中:非流动资产处置净损失,,,,,,,,,,,,,"6,323.22","6,323.22","28,275.12",,,,,,,
