科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"67,396,562.87","76,010,326.48","580,704,771.92","496,146,355.79","463,806,636.17","393,772,219.59","381,751,017.59","475,065,355.93","430,558,678.61","431,510,588.69","368,878,161.32","824,345,781.57","722,692,563.00","795,271,337.89","580,303,178.46","801,758,162.50","999,907,023.84","2,779,118,363.56","1,838,686,248.25","1,646,792,581.78","1,605,288,445.24","1,569,620,213.11","2,038,736,345.83","1,483,782,569.49","2,122,386,510.50","2,285,697,436.18","2,359,984,672.69","2,031,836,031.83","4,756,252,116.74","4,271,562,620.38","3,812,792,305.64","3,647,396,688.30","4,378,758,466.35","2,853,071,396.45","3,062,375,105.00","2,878,546,400.43","3,468,294,390.45","4,129,257,026.26","3,617,913,739.73","2,457,469,043.24"
短期借款,"174,700,000.00","167,613,373.71","199,700,000.00","169,700,000.00","257,640,231.19","236,135,499.23","316,021,969.20","460,351,729.78","467,312,196.14","586,705,875.49","771,424,404.97","610,275,843.45","520,835,350.62","842,748,603.12","1,059,368,068.61","1,657,825,293.55","1,925,658,884.80","1,942,437,377.99","1,571,730,077.06","2,080,961,375.43","2,230,756,925.42","2,357,936,510.77","2,927,217,787.06","2,924,704,410.59","3,204,453,268.31","3,320,195,607.79","2,878,962,973.53","2,590,753,014.51","2,451,947,530.75","2,055,167,625.91","1,623,594,732.66","2,066,056,261.82","2,276,882,812.28","1,512,267,754.37","3,727,613,268.36","4,742,590,770.13","4,117,969,980.09","4,506,134,859.48","4,313,170,252.39","4,130,991,577.64"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"7,423,630.27","4,672,666.62","173,968.08","7,414,045.73","10,139,728.27","10,576,024.54","6,997,698.55","7,057,426.46","15,474,931.41","7,087,684.63","8,449,282.31","6,485,122.20","12,823,613.77","13,819,839.00","10,536,171.79","14,667,838.54","11,533,341.62","13,521,656.28","5,116,187.86","7,866,956.49","6,229,026.60","17,723,678.51","27,434,062.48","45,582,522.83","31,247,927.68","15,849,418.98","50,511,504.84","92,666,886.96","62,730,986.16","89,351,108.40","125,419,345.87","92,327,606.56","97,359,724.23","228,604,483.26","70,172,816.67","84,415,710.50","51,640,187.21","29,207,518.46","119,696,165.15","86,740,672.46"
应付票据,"6,250,000.00","14,499,800.00","9,127,001.17",,"5,895,364.82","55,305,501.00","17,429,439.98","32,301,477.98","43,922,294.66","48,673,285.84","57,500,579.10","103,424,913.47","88,890,330.56","77,641,169.17","42,476,165.11","56,085,716.60","76,945,828.11","101,798,912.85","95,658,628.02","119,077,108.05","83,714,483.51","46,707,922.98","29,271,278.49","41,279,195.04","47,392,338.79","43,099,874.06","43,976,487.60","92,173,207.28","97,873,046.69","71,937,251.57","44,960,012.52","89,637,912.81","93,322,248.89","106,198,483.04","93,566,394.42","175,401,248.36","202,750,220.62","220,943,962.14","263,448,522.92","303,466,904.28"
应收账款,"148,486,045.75","159,462,960.26","189,314,753.35","193,784,677.43","174,274,695.89","139,973,288.49","209,768,730.93","315,094,866.57","295,583,882.48","285,409,201.56","517,992,325.45","638,285,517.58","556,387,647.84","555,457,917.04","695,203,120.66","1,096,501,521.12","1,072,916,352.06","1,032,794,202.03","1,400,520,765.49","1,877,091,600.17","2,167,719,228.69","1,614,078,486.71","2,109,944,353.51","2,991,552,213.60","3,755,521,387.68","2,680,848,817.30","2,603,715,958.13","3,878,913,663.60","4,152,935,992.00","2,886,379,370.67","3,029,075,420.93","4,317,514,323.88","3,745,273,708.37","3,225,138,638.38","3,836,583,462.47","6,081,238,634.48","5,404,065,024.27","4,571,649,611.59","4,623,627,771.48","6,044,717,697.89"
应付账款,"133,863,877.31","188,432,577.53","170,969,445.54","166,771,091.32","164,194,887.45","91,926,600.32","141,455,196.75","252,506,766.74","248,280,001.44","291,638,572.71","467,471,058.03","568,292,682.19","517,446,308.76","471,414,543.19","575,748,833.91","886,300,077.59","1,011,759,301.45","983,872,361.17","1,167,488,616.47","1,487,308,896.96","1,524,353,576.41","1,000,351,865.22","1,416,728,893.38","1,982,284,450.96","2,549,762,378.46","1,934,124,399.21","2,400,501,451.83","3,050,120,285.62","2,289,287,090.28","1,650,924,161.05","2,169,355,128.95","3,116,310,325.52","2,561,307,043.71","2,302,241,117.54","3,216,694,321.67","4,471,374,324.24","3,676,250,614.60","3,356,911,649.70","4,267,714,675.59","5,335,072,084.35"
预付款项,"12,613,734.98","60,290,105.51","14,989,018.75","28,171,745.72","15,087,278.67","21,281,524.09","18,276,883.51","36,120,892.64","31,911,718.72","56,429,251.64","37,496,676.75","144,686,765.58","126,327,187.93","183,390,841.16","278,196,638.04","398,710,707.89","94,145,712.61","153,395,819.83","222,470,120.63","169,710,790.88","130,416,304.15","138,846,396.74","107,705,427.34","182,558,066.17","60,884,479.74","71,240,941.76","130,868,588.03","104,694,947.70","95,407,885.92","145,955,147.94","104,335,094.48","168,099,642.70","88,767,840.70","77,862,618.43","145,269,383.47","117,485,029.01","67,383,463.72","115,669,823.24","138,215,268.27","208,651,407.59"
预收款项,"2,800,154.27","4,870,541.56","3,003,052.35","3,399,784.22","2,054,073.23","1,210,191.91","4,054,956.78","5,477,808.83","3,000,461.66","5,727,394.56","13,898,187.81","3,345,827.60","6,010,584.63","11,690,275.81","12,792,364.35","8,181,474.99","3,220,861.09","13,385,349.64","5,363,339.75","5,692,979.63","4,809,069.95","8,016,379.58","4,009,389.18","3,730,857.23","9,387,466.46","9,968,217.25","4,629,301.90","6,150,308.62","30,985,221.79","35,483,547.88","34,505,182.96","29,926,916.93","41,812,890.51","25,289,518.10","47,675,725.33","55,778,152.98","36,330,417.89","45,012,723.50","60,573,008.50","108,636,065.72"
