科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"65,107,914.75","60,178,781.09","64,896,019.83","95,140,089.30","363,814,907.27","210,692,380.51","130,050,729.10","208,500,330.39","127,216,848.11","475,510,495.03","137,466,128.22"
短期借款,"66,108,982.70","40,700,000.00","9,051,723.80","9,500,000.00",,,,,,,
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"37,494,052.10","49,008,699.71","86,169,064.03","97,819,120.64","84,209,842.00","111,840,502.81","87,932,309.90","103,831,269.11","124,446,073.67","220,332,297.43","212,711,475.61"
应付票据,"32,351,500.00","37,150,000.00","21,683,716.09","41,394,153.81","82,369,161.87","92,263,788.42","68,618,475.49","104,894,351.70","113,491,874.67","139,925,098.99","188,827,569.13"
应收账款,"212,768,259.71","235,184,481.92","215,237,178.25","225,975,746.81","252,810,370.70","231,306,889.69","292,964,191.53","324,665,578.74","345,095,677.96","340,099,217.29","376,090,422.69"
应付账款,"67,365,162.33","39,260,106.85","28,446,360.33","31,897,590.96","17,567,122.13","23,404,836.38","40,423,343.78","31,371,538.12","31,388,772.32","37,349,354.25","25,207,306.75"
预付款项,"5,729,474.42","4,190,984.63","2,809,420.09","2,976,093.23","9,581,410.10","8,034,978.19","22,731,560.61","13,283,169.19","10,543,485.95","6,621,021.47","9,308,894.87"
预收款项,"130,746.60","2,101,706.76","747,023.73","1,486,326.14","981,767.28","1,669,952.60","1,545,987.65","2,721,346.83","4,414,804.01","2,152,192.47","15,064,687.75"
其他应收款,"992,290.02","1,810,402.06","2,742,325.51","2,376,591.22","5,617,596.64","4,331,258.88","5,484,054.20","23,347,993.32","50,161,615.91","39,633,667.66","50,178,408.49"
应付职工薪酬,"6,120,811.20","8,407,158.54","8,419,533.62","2,337,271.90","2,736,256.34","6,231,754.72","3,615,505.86","2,622,682.48","3,101,529.83","6,437,247.96","3,398,222.34"
应收关联公司款,,,,,,,,,,,
应交税费,"5,615,376.99","8,669,913.69","6,976,688.81","5,104,316.94","1,136,137.37","4,691,624.80","5,793,501.61","7,156,611.94","7,955,459.15","9,389,915.43","7,464,222.68"
应收利息,,,,,"194,847.63","2,080,113.22","2,026,512.56","2,382,451.83","755,719.73","624,391.63","2,433,830.63"
应付利息,,,,,,,,,,,
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,,
