科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"129,040,614.70","323,948,832.84","132,823,170.23","408,578,063.27","94,457,817.14","165,955,296.13","246,265,147.14","326,032,831.81","76,187,555.57","155,290,896.90","211,315,176.54","230,669,256.64","46,995,569.34","103,390,944.77","138,580,089.26","242,898,854.02","54,118,897.69","115,254,023.72","166,544,926.32","323,154,410.55","117,568,422.83","249,964,561.44","401,551,579.79","585,906,041.41","126,336,663.79","251,453,010.39","397,531,407.88","519,774,475.65","98,532,731.12","193,546,103.82","303,417,640.78","436,881,044.75","143,293,300.14","259,407,709.05","398,632,503.32"
取得子公司及其他营业单位支付的现金净额,"31,040,000.00","29,812,600.00",,,,,,,,,,,,,,,,,,"1,706,078.88",,,,"51,858,872.49",,,,,,,,"104,182,383.48",,,
收到的税费返还,,,,,,,"290,000.00","290,000.00",,"200,000.00","200,000.00","200,000.00","114,489.63","114,489.67","114,489.67",,,,,,"979,150.09","1,947,826.92","3,351,949.45","5,542,297.24","887,715.27","3,206,639.30","4,807,199.68","5,970,574.30","1,458,141.31","3,552,324.08","5,538,975.46","7,459,082.25","2,203,286.05","3,813,732.28","6,379,285.17"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000.00",,"15,658,789.52",,,
收到其他与经营活动有关的现金,"32,136,541.82","104,967,332.94","1,067,285.16","21,203,546.15","838,821.18","4,167,803.18","7,412,460.41","34,400,264.00","846,341.07","23,762,058.89","26,093,992.75","39,425,773.72","5,536,272.98","3,640,078.40","2,466,278.11","10,433,155.68","3,229,606.25","5,648,765.85","15,108,372.34","14,209,054.13","2,301,922.84","23,912,653.72","71,965,060.46","69,175,885.79","13,375,479.55","12,872,448.06","51,910,848.11","33,544,818.49","18,329,832.79","31,439,426.85","61,640,267.26","31,720,917.29","31,279,516.29","31,452,538.33","40,485,393.26"
投资活动现金流出小计,"163,776,465.49","117,317,319.03","11,989,234.30","67,653,235.58","20,372,263.75","27,254,931.49","31,121,181.04","47,435,107.94","13,783,844.00","33,050,458.16","30,942,326.71","63,682,499.66","3,935,635.12","82,016,872.72","103,117,935.79","102,095,492.86","8,714,988.79","10,434,854.23","15,448,890.83","28,389,169.25","4,105,899.02","6,855,589.86","22,946,894.95","91,379,060.84","9,423,109.59","11,990,762.18","32,388,521.03","92,826,683.74","29,992,731.04","70,507,904.30","163,251,293.15","243,921,261.47","199,558,198.31","205,224,326.83","270,811,444.08"
经营活动现金流入小计,"161,177,156.52","428,916,165.78","133,890,455.39","429,781,609.42","95,296,638.32","170,123,099.31","253,967,607.55","360,723,095.81","77,033,896.64","179,252,955.79","237,609,169.29","270,295,030.36","52,646,331.95","107,145,512.84","141,160,857.04","253,332,009.70","57,348,503.94","120,902,789.57","181,653,298.66","337,363,464.68","120,849,495.76","275,825,042.08","476,868,589.70","660,624,224.44","140,599,858.61","267,532,097.75","454,249,455.67","559,289,868.44","118,320,705.22","228,537,854.75","370,596,883.50","476,061,044.29","176,776,102.48","294,673,979.66","445,497,181.75"
投资活动产生的现金流量净额,"-163,749,465.49","-117,316,719.03","-11,989,234.30","-67,652,435.58","-20,372,263.75","-27,254,931.49","-31,025,181.04","-47,311,107.94","-13,778,844.00","-28,677,524.09","-22,159,392.64","-54,400,402.43","-3,935,635.12","-82,016,872.72","-103,117,935.79","-102,009,666.56","-8,714,988.79","1,895,005.77","48,878,969.17","45,870,418.69","16,004,100.98","13,268,424.14","-1,720,880.95","-70,253,242.86","-9,393,109.59","-11,960,762.18","-32,358,521.03","-86,300,587.18","-29,904,731.04","7,440,095.70","-85,303,293.15","-243,560,424.92","-199,402,198.31","-203,023,881.74","-259,948,692.19"
购买商品、接受劳务支付的现金,"119,814,895.34","260,771,241.26","63,965,616.64","225,967,119.51","25,100,248.44","73,554,843.05","152,571,755.62","166,923,041.39","51,513,062.78","95,200,584.81","156,156,397.75","123,526,122.99","40,228,435.75","45,657,979.92","77,291,167.97","106,806,045.06","20,860,251.70","59,140,206.28","87,844,853.72","218,953,347.18","95,460,654.31","209,018,633.59","289,618,357.39","401,535,289.77","93,535,823.83","157,091,742.15","196,929,666.67","245,383,016.21","49,812,793.19","114,914,184.06","169,821,552.86","220,409,697.58","87,943,399.05","174,020,922.16","261,443,782.83"
吸收投资收到的现金,"151,710,000.00",,,,,,"414,412,600.00","419,123,600.00",,,,,,"4,200,000.00","21,000,000.00","21,000,000.00",,,"10,679,910.00","10,679,910.00",,,,"4,333,368.00",,,,,"8,579,016.00","398,579,011.14","398,579,011.14","406,060,558.28","31,900,454.00","32,402,553.69","33,061,577.32"
