科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"104,726,612.57","240,867,389.26","327,949,998.22","280,975,628.96","317,182,795.21","291,045,901.21","283,092,351.71","290,117,863.93","214,949,548.30","261,259,605.10","514,625,674.85","542,753,842.69","1,074,789,378.24","912,493,645.75","926,640,722.56","917,753,563.26","818,206,508.84","753,123,024.96","802,849,698.56","882,922,218.87","549,309,223.70","904,966,521.58","895,086,510.43","582,248,604.23","712,915,199.28","594,317,060.78","810,994,616.88","559,873,906.25","510,741,680.34","781,483,218.01","698,574,441.05","554,266,794.32","629,179,692.53","626,833,120.92","826,449,154.19","564,355,255.87","450,669,449.80","387,485,492.91","575,833,406.71","502,919,410.13","484,632,486.83","726,135,265.28","618,650,789.21","464,252,467.06","382,847,129.84","664,428,013.36","781,364,890.19","712,073,966.99"
短期借款,"144,000,000.00","130,000,000.00","131,880,272.71","196,199,341.87","264,199,341.87","269,199,341.87","224,000,000.00","290,000,000.00","585,000,000.00","610,886,520.61","493,094,470.05","554,922,283.72","330,000,000.00","390,712,856.00","617,529,397.49","698,932,506.63","1,017,255,282.99","1,229,652,008.30","1,438,958,866.91","1,617,524,936.39","1,601,497,653.87","1,739,031,104.25","1,610,301,911.45","1,630,944,875.00","1,680,097,811.73","1,588,157,048.03","1,741,709,356.41","1,732,757,090.56","2,119,562,342.72","2,132,217,783.46","1,888,903,466.14","1,901,180,000.00","2,007,580,000.00","2,040,565,190.06","2,028,598,138.84","2,026,608,510.00","2,050,244,215.00","1,984,027,029.60","1,939,477,029.60","1,837,100,000.00","1,785,077,029.60","2,003,900,000.00","1,777,519,320.58","1,341,219,320.58","1,315,519,320.58","1,390,430,000.00","1,284,204,268.19","1,222,032,328.19"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,"1,242,330.30","1,242,330.30","841,239.28","30,411.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"150,000.00",,"332,689.60","110,000.00","3,650,000.00","2,240,000.00","3,365,007.00","1,663,530.60","459,036.20","722,940.18","4,732,559.70","10,225,774.89","6,671,434.07","18,597,708.35","29,868,513.64","32,033,742.91","29,782,034.81","19,398,677.33","84,987,729.33","69,822,305.64","78,570,375.57","100,283,256.81","86,283,176.16","72,189,721.23","57,929,555.19","121,750,649.60","115,326,762.79","86,626,071.83","57,084,983.74","66,116,672.82","110,682,951.62","98,514,502.21","99,590,913.84","71,888,382.59","83,980,730.18","121,498,140.84","83,570,384.66","62,763,104.43","144,338,924.32","132,662,972.53","94,880,950.46","74,926,986.74","129,252,973.81","133,820,471.25","53,559,658.46","54,175,086.69","154,573,220.78","139,378,454.44"
应付票据,"76,851,421.00","96,772,600.00","122,352,700.00","103,834,900.00","109,912,433.35","138,062,747.06","122,245,394.88","109,984,673.90","109,222,932.83","139,856,518.13","204,319,070.01","140,799,370.44","209,607,030.22","356,611,220.89","379,291,683.68","267,441,538.15","209,679,352.89","272,129,252.15","276,625,541.87","194,289,785.27","199,743,152.13","280,855,193.54","320,090,717.37","252,460,596.06","225,021,062.48","278,966,455.11","395,695,185.28","376,179,816.30","425,073,990.76","615,952,081.43","651,582,176.17","692,156,891.09","713,876,143.71","738,189,382.44","839,753,099.52","703,089,755.83","488,905,128.02","466,297,057.34","542,130,871.39","527,653,478.34","563,099,909.43","677,409,979.28","764,208,347.42","595,385,363.12","463,509,281.12",,"728,755,910.49",
应收账款,"87,181,992.12","105,558,818.05","129,341,873.41","142,226,772.67","153,963,176.16","173,993,618.31","262,993,049.66","270,141,403.87","324,567,294.48","323,256,694.82","431,739,413.64","397,395,152.17","403,970,486.32","354,980,598.72","436,079,230.51","460,696,181.50","533,089,163.11","540,558,463.73","563,891,862.43","499,904,788.03","663,620,957.40","620,258,380.65","673,049,677.55","586,635,033.88","590,251,963.12","651,726,315.98","616,477,020.20","652,715,866.62","683,649,309.70","698,179,027.73","699,397,931.65","713,507,123.55","836,337,854.38","837,349,325.55","755,309,780.00","768,843,353.12","854,490,910.03","859,444,772.06","945,609,606.65","700,481,814.33","719,229,142.07","760,589,302.80","860,490,261.77","795,231,730.96","907,233,721.72","816,435,382.92","871,970,331.78","724,337,397.53"
应付账款,"88,301,352.69","64,401,344.90","167,816,522.54","157,819,709.13","146,615,347.96","140,001,433.04","267,350,621.16","263,926,160.62","284,066,498.01","309,630,314.43","388,299,261.95","226,697,034.74","375,214,205.36","181,224,043.75","513,398,780.74","607,409,866.17","513,268,628.29","660,079,642.59","801,938,619.55","660,985,827.84","727,613,718.38","740,723,209.71","933,802,921.35","756,199,554.62","749,387,602.32","830,911,711.34","1,017,297,032.38","785,699,136.99","810,199,826.72","829,230,557.49","1,115,715,238.16","707,511,240.69","1,058,460,788.62","1,057,016,313.59","1,158,782,136.82","881,640,916.75","1,101,879,679.53","1,153,064,763.81","1,320,711,873.09","1,106,211,090.73","1,217,047,866.77","1,209,179,825.61","1,384,858,921.47","1,328,096,825.14","1,406,231,897.40",,"1,285,376,420.52",
预付款项,"40,340,312.56","94,955,192.92","98,147,832.07","125,220,665.96","106,148,393.04","124,058,718.51","54,893,354.05","61,652,270.95","421,040,003.26","158,710,313.93","60,294,685.41","33,628,323.83","54,838,107.07","143,848,383.96","88,813,074.64","118,240,121.84","68,644,277.90","91,181,846.05","37,934,882.44","56,499,171.65","65,675,396.40","63,152,660.91","35,403,660.80","73,630,965.86","55,114,017.50","73,185,122.36","61,605,398.22","116,341,934.93","160,277,032.48","146,997,592.78","76,484,073.39","112,323,748.97","97,736,823.88","114,197,450.58","41,294,372.09","18,302,700.42","25,371,148.69","19,700,344.48","23,572,509.20","16,332,933.53","30,064,896.04","31,819,871.44","42,559,517.86","57,606,869.92","56,765,036.99","53,773,741.88","60,507,507.17","68,101,050.68"
预收款项,"14,433,213.39","31,041,891.26","11,426,538.86","19,504,306.42","19,827,987.55","28,019,327.18","10,156,314.13","5,366,759.19","24,806,136.94","17,559,522.96","15,032,208.68","7,581,756.29","36,137,291.38","60,082,114.49","44,499,249.52","99,236,667.54","32,608,913.49","33,259,843.75","24,889,322.74","37,247,570.70","36,476,408.00","37,403,720.95","69,892,547.46","58,569,269.51","53,743,881.05","75,329,230.05","55,844,722.85","51,020,126.69","48,108,160.24","63,132,401.17","97,508,121.29","90,008,482.93","54,709,861.46","65,601,570.97","81,714,272.79","66,067,147.25","76,279,907.14","101,130,788.19","44,424,021.59","83,021,503.94","80,947,798.48","89,585,451.75","110,567,981.34","131,814,808.81","62,177,982.56","97,048,005.15","35,633,778.49","141,557,375.48"
其他应收款,"3,431,218.80","8,486,947.29","20,376,013.45","26,797,412.86","24,043,671.34","27,837,347.45","29,149,686.25","32,726,993.42","32,909,048.02","34,286,971.45","45,655,484.87","49,694,025.27","53,910,973.33","73,396,598.35","71,554,470.72","103,932,068.27","58,828,950.26","65,778,755.99","75,117,082.39","80,632,587.15","94,706,354.35","86,704,565.03","88,080,732.09","115,758,765.24","109,718,681.45","104,628,346.54","91,874,240.02","110,522,786.78","86,832,227.42","88,710,565.45","175,966,463.89","213,720,918.37","96,032,217.50","87,964,685.17","105,657,761.53","103,561,059.26","144,599,927.44","79,851,603.17","83,593,190.72","92,324,938.39","101,756,983.47","109,122,936.32","116,162,550.99","111,695,000.67","126,606,036.08","169,213,988.37","390,642,785.23","390,263,806.25"
应付职工薪酬,"3,851,927.18","14,612.96","2,202,767.20","1,644,540.93","1,619,122.46","1,594,244.83","1,192,806.79","1,179,249.80","1,221,664.89","1,221,664.89","1,712,100.95","1,497,172.07","1,397,730.39","1,285,616.92","2,952,770.51","346,092.89","274,440.41","344,887.52","305,676.11","350,914.13","396,620.11","417,337.75","342,411.98","338,687.77","346,609.22","381,933.94","372,790.75","331,915.52","453,768.30","402,292.82","451,205.19","498,649.05","449,807.86","439,070.90","372,448.25","373,369.06","427,515.71","428,132.16","482,368.91","482,193.33","490,364.29","593,719.90","690,457.19","665,950.22","594,594.24","656,362.99","489,694.52","538,922.97"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"15,058,073.25","13,775,154.90","14,300,040.71","14,759,551.97","18,783,913.73","15,908,015.88","25,070,273.01","24,213,763.56","24,007,559.37","21,428,458.41","8,431,053.22","-27,128,460.42","-32,915,625.97","-44,353,895.67","-28,708,740.49","-66,958,298.01","-110,557,044.29","-171,708,774.08","-237,186,095.47","-277,904,016.34","-295,809,905.73","-288,536,063.43","-284,338,780.84","-281,612,216.05","-272,917,262.76","-246,249,166.36","34,765,196.04","36,060,883.08","36,603,840.44","41,043,434.29","47,062,491.51","45,939,096.00","39,295,742.50","37,305,911.84","32,069,861.52","37,681,145.29","23,357,996.12","27,510,080.21","37,083,073.89","29,557,701.08","23,394,804.72","30,489,686.73","40,666,748.94","32,196,523.96","25,016,736.79","30,362,651.39","42,657,399.07","29,139,378.15"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,"341,990.00",,,,,,,,"4,145,586.23","9,672,602.78","3,401,248.79","9,418,114.40","11,443,871.62","18,293,457.06","27,066,303.92","28,105,066.01","15,664,709.00","22,556,957.41","30,897,747.65","39,189,286.88","15,741,072.41","13,376,563.51","3,832,452.84","3,576,640.07","7,032,581.99","6,122,539.42","6,976,174.93","5,345,949.41","5,292,017.78","2,992,896.72","2,741,475.73","2,676,582.76","5,074,233.66","2,823,690.47","2,836,894.40","2,616,163.29","4,845,137.97","2,249,889.22","4,461,343.37",,"7,788,222.28","5,914,999.99"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,431,888.00",,,,"1,288,699.20",,,,"1,456,790.40","1,456,790.40","1,456,790.40","1,456,790.40","840,456.00","840,456.00",,,"933,840.00",,,
应付股利,,,,,,,,,,,,,,,"14,289,076.34","14,289,076.34","702,330.25","702,330.25","12,397,485.70","12,397,485.70","12,397,485.70","12,397,485.70","12,397,485.70","12,397,485.70","12,397,485.70","12,557,485.70","12,397,485.70","12,397,485.70","12,397,485.70","12,397,485.70","12,397,485.70","12,397,485.70","15,110,387.05","12,397,485.70","12,397,485.70","12,397,485.70","13,923,811.60","13,923,811.60","12,397,485.70","12,397,485.70","13,299,883.22","12,397,485.70","12,397,485.70","12,397,485.70","12,397,485.70",,"12,397,485.70","12,397,485.70"
