科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"88,491,495.68","49,633,403.07","407,778,367.36","371,637,992.38","414,458,908.91","390,177,168.31","403,553,424.71","418,089,110.01","479,424,272.18","477,574,287.62","465,145,026.04","552,616,299.78","720,230,491.82","600,804,136.78","465,965,457.60","334,089,133.52","502,558,435.16","253,632,371.89","376,599,945.04","538,161,889.30","909,483,080.77","642,547,430.98","1,510,368,652.41","1,479,881,759.13","1,818,588,875.24","1,647,380,325.69","1,272,267,441.18","1,075,270,281.09","1,320,731,577.53","1,030,275,767.27","1,061,070,248.93","925,113,107.87","1,755,784,045.50","1,950,363,784.03","1,781,353,970.69","1,580,924,856.32","2,758,794,780.21","1,967,394,678.29","2,331,153,358.91","2,536,885,532.55","3,612,937,164.14"
短期借款,"12,304,600.00","7,599,500.00","6,857,000.00","6,825,000.00",,,"13,665,000.00","20,647,294.59","65,028,175.81","107,276,623.67","120,517,437.26","139,418,856.71","147,176,702.67","136,687,488.69","115,194,349.60","89,181,718.24","37,805,400.00","46,738,183.66","184,379,886.48","239,639,830.51","216,009,100.24","215,926,634.10","104,642,683.23","43,036,000.00","42,678,300.00","197,951,491.78","241,628,595.71","100,365,745.61",,"61,370,000.00","122,272,000.00","195,419,500.00","500,000,000.00","752,981,840.00","882,585,878.34","951,544,876.38","956,929,693.85","1,745,598,545.32","2,096,105,129.96","2,312,969,872.57","1,770,924,255.90"
交易性金融资产,,,,,"32,550.00","32,550.00","32,550.00","32,550.00",,,,,"271,728.21",,,,,,"3,168,656.39",,,,,"481,244.22","1,482,476.44","1,633,771.48","1,548,306.80","1,228,901.68","2,376,959.65","583,548.62","2,495,121.60","257,954.00",,,,,,"55,635.96",,,
交易性金融负债,,,,,,,,,,,,,,"535,861.82","1,968,494.48","1,920,012.75","655,560.01","147,400.00",,"800,678.15","2,490,696.13","394,753.90","1,502,864.25",,,,,,,,,,"2,851,456.00","2,190,496.00",,,"62,450,000.00","62,450,000.00","62,450,000.00","62,450,000.00","62,450,000.00"
应收票据,"509,470.00","3,286,944.17","1,279,042.00","4,155,100.00","2,986,430.00","4,317,554.30","2,703,099.00","3,277,320.00","3,881,581.04","2,317,205.96","3,471,278.00","2,756,884.00","9,788,544.00","17,909,650.64","9,456,260.73","32,765,548.20","27,301,737.60","14,053,540.30","6,979,795.20","47,102,668.10","64,722,831.07","32,641,257.90","70,949,791.72","43,888,723.09","133,133,703.80","41,380,276.22","109,967,759.02","107,385,319.12","429,124,453.88","510,881,382.28","542,440,037.72","575,136,949.31","1,094,735,776.70","567,490,902.42","521,468,273.37","629,360,138.20","1,148,207,671.63","998,970,174.95","1,214,481,784.14","1,799,307,519.85","2,431,296,170.58"
应付票据,"10,243,506.38","2,959,032.26","2,292,624.00",,,,,,,,,,"9,984,532.00",,,,,,"30,745,360.67","112,677,493.13","208,277,491.91","129,845,561.68","208,316,950.85","207,250,506.66","185,896,903.75","336,295,587.71","454,908,928.56","130,958,115.55","491,049,502.87","547,050,300.53","786,941,519.80","722,983,431.32","1,291,889,154.54","917,851,879.12","1,159,754,290.63","1,483,518,619.58","2,145,663,389.36","1,105,784,557.98","1,686,475,604.40","2,898,758,306.71","3,434,822,334.46"
应收账款,"122,298,845.51","115,628,460.36","171,286,525.88","178,025,240.84","162,592,628.63","174,908,066.22","194,638,521.18","238,587,646.92","271,332,071.80","268,432,392.38","358,933,888.04","393,274,186.64","390,529,993.32","404,994,596.00","548,938,098.48","630,063,377.72","677,025,914.74","751,603,760.81","883,545,069.79","960,750,175.71","973,378,529.33","1,044,235,625.96","1,366,511,599.83","1,588,456,202.30","2,127,221,747.68","2,272,734,398.64","2,682,422,655.53","2,608,830,435.30","2,759,017,312.09","2,761,096,229.56","3,291,730,109.33","3,716,056,480.49","4,974,772,699.57","4,587,547,031.90","5,316,171,573.41","5,559,548,686.95","6,205,557,180.90","5,904,501,600.85","6,934,385,789.06","7,098,185,667.97","7,539,944,756.69"
应付账款,"72,501,463.68","85,181,934.49","89,771,624.28","93,439,695.74","77,327,697.71","80,893,144.92","92,208,515.59","140,374,110.84","165,017,945.81","146,130,365.89","232,986,965.97","241,416,703.90","222,303,874.54","210,463,208.19","348,025,037.42","293,610,109.08","425,557,995.16","365,864,672.89","440,464,948.57","364,972,053.48","378,015,589.77","422,923,475.43","413,616,701.22","536,998,613.24","1,023,882,214.40","896,334,328.20","662,770,398.47","737,070,850.77","1,088,977,334.30","731,151,488.14","986,677,611.94","963,309,622.98","1,670,069,856.52","1,274,313,493.15","1,441,906,305.79","1,549,861,058.57","1,942,450,124.68","1,516,771,744.53","2,037,508,159.66","1,889,963,129.36","2,701,785,054.57"
预付款项,"3,321,827.51","4,787,239.81","6,309,243.76","7,996,120.86","3,078,725.01","3,215,288.60","4,318,423.95","11,943,428.82","8,282,449.10","26,004,520.28","30,420,786.22","27,554,147.46","15,450,139.02","12,186,582.92","27,290,993.50","14,341,533.69","12,629,440.85","30,230,846.91","26,815,114.19","64,723,849.18","10,952,838.63","22,340,199.22","30,884,255.22","22,745,442.01","46,905,706.75","57,955,415.78","31,091,122.21","34,896,539.74","25,250,164.30","36,004,696.41","31,469,208.67","26,028,456.57","30,988,024.57","43,785,637.64","57,376,201.71","73,427,200.29","66,929,703.91","74,418,384.47","77,836,252.39","83,870,792.29","154,357,171.13"
预收款项,"29,889,159.51","43,989,243.14","36,815,582.61","35,914,135.47","36,057,781.70","42,338,118.84","34,453,666.49","47,948,087.20","57,605,981.39","79,103,926.45","96,128,176.30","114,250,125.48","106,659,722.75","131,354,351.06","112,515,013.62","112,156,520.77","171,943,604.82","218,394,980.60","186,256,975.72","194,306,881.70","184,045,035.85","203,125,230.15","177,954,147.74","194,185,628.51","162,543,723.75","182,294,762.76","172,586,559.39","210,341,519.32","183,482,237.89","224,725,321.36","246,793,422.76","271,189,234.71","193,357,680.79","259,322,208.04","295,922,254.05","389,604,246.07","331,572,337.06","429,458,664.28","411,763,255.27","432,688,119.16","461,715,422.38"
