科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,290,271,153.65","1,484,689,997.26","2,524,202,157.80","2,819,707,331.94","3,796,366,674.48","558,031,769.97","1,695,318,404.49","2,801,801,335.55","3,797,121,142.77","794,150,094.99","1,944,084,256.14","3,277,177,908.87","5,130,438,849.24","1,204,820,215.78","2,778,934,407.36","4,545,205,676.06"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"190,093,596.53","663,421,706.50",,,,
收到的税费返还,"19,630,251.12","11,925,603.43","7,295,238.59","3,107,330.02","4,613,358.66","4,211,498.03","7,523,082.48","9,681,287.04","14,225,128.69","7,862,422.29","12,866,977.33","36,434,813.59","38,012,992.07","4,842,821.08","19,155,766.19","52,045,574.40"
支付其他与投资活动有关的现金,"1,242,205.00","101,943,480.26","55,530,858.14","40,422,391.35","40,422,391.35","15,627,079.87","149,434,518.52","183,397,094.27","336,850,331.08","46,098,401.47","183,404,231.93","893,557,364.03","893,557,364.03","188,061,069.51","189,568,264.57","189,568,264.57"
收到其他与经营活动有关的现金,"13,323,598.63","68,995,413.20","24,404,208.18","165,341,891.94","200,550,916.13","112,642,210.14","130,090,049.45","195,984,511.81","501,116,361.36","17,977,265.16","68,909,689.36","114,660,871.24","221,999,384.17","83,174,576.81","534,431,743.44","589,212,677.22"
投资活动现金流出小计,"516,842,358.34","383,764,297.05","512,965,900.88","333,219,117.92","491,771,943.65","74,325,737.73","306,696,228.80","665,282,835.38","1,146,502,453.33","355,266,298.17","1,163,837,895.63","2,889,792,339.02","4,445,872,486.90","2,317,640,106.54","4,103,470,958.09","4,811,719,386.25"
经营活动现金流入小计,"1,323,225,003.40","1,565,611,013.89","2,555,901,604.57","2,988,156,553.90","4,001,530,949.27","674,885,478.14","1,832,931,536.42","3,007,467,134.40","4,312,462,632.82","819,989,782.44","2,025,860,922.83","3,428,273,593.70","5,390,451,225.48","1,292,837,613.67","3,332,521,916.99","5,186,463,927.68"
投资活动产生的现金流量净额,"-511,737,292.51","-378,622,683.92","-504,382,001.67","-296,050,231.41","-420,601,853.85","-69,669,358.28","-305,952,784.76","-643,445,737.06","-1,076,842,100.14","-331,763,072.91","-1,107,727,064.50","-2,810,109,271.71","-3,808,357,748.46","-2,210,935,110.28","-3,557,899,055.45","-4,072,910,332.53"
购买商品、接受劳务支付的现金,"884,387,698.68","570,699,855.47","773,525,464.43","972,956,754.23","1,425,539,778.06","543,795,914.42","1,080,237,940.82","1,619,044,070.76","2,177,661,691.48","550,954,437.58","624,988,542.07","1,175,911,970.31","2,115,445,421.31","737,282,176.41","1,787,639,193.18","2,642,883,910.68"
吸收投资收到的现金,,,,"2,783,226.26","3,111,082.27","956,750,000.00","956,750,000.00","956,750,000.00","957,240,000.00",,"2,352,229,983.18","2,352,229,983.18","2,352,229,983.18",,,
支付给职工以及为职工支付的现金,"203,955,270.42","271,247,323.43","396,537,264.41","402,529,827.59","572,572,399.11","120,706,512.97","321,719,958.92","514,683,447.32","707,503,954.31","134,605,915.09","372,696,277.53","660,059,580.75","892,530,220.84","244,815,440.21","567,893,536.99","921,207,011.77"
取得借款收到的现金,"1,008,937,447.56","807,000,000.00","804,588,524.06","632,663,875.00","808,663,875.00","173,252,100.00","733,185,790.51","868,523,018.32","1,279,213,668.84","1,008,369,385.68","1,885,088,299.51","2,061,595,020.11","2,612,799,744.91","2,341,166,895.81","3,789,239,025.00","4,652,352,158.50"
支付的各项税费,"52,096,281.60","89,410,105.35","180,520,310.44","246,048,066.22","340,688,197.37","39,384,375.47","118,897,437.33","187,834,176.77","228,305,276.79","42,471,936.72","76,490,005.96","145,020,451.28","235,193,985.99","68,508,164.61","194,243,206.20","268,546,455.45"
收到其他与筹资活动有关的现金,"12,587,079.76","10,560,138.59",,,"106,047,403.98","71,385,828.11","97,146,822.21","177,146,822.21","530,639,137.21","40,897,250.56","257,825,636.64","257,825,636.64","431,547,330.73","138,967,862.55","186,105,075.56","635,000,000.00"
支付其他与经营活动有关的现金,"88,629,630.16","123,760,290.08","350,228,913.18","793,538,496.39","847,597,608.74","50,730,137.90","578,034,629.26","641,225,556.85","758,402,394.43","42,468,977.82","808,586,834.49","1,180,818,282.51","1,638,876,254.68","236,995,513.70","274,694,086.04","883,111,433.03"
筹资活动现金流入小计,"1,021,524,527.32","817,560,138.59","804,588,524.06","635,447,101.26","917,822,361.25","1,201,387,928.11","1,787,082,612.72","2,102,419,840.53","2,867,092,806.05","1,049,266,636.24","4,495,143,919.33","4,671,650,639.93","5,396,577,058.82","2,480,134,758.36","4,975,344,100.56","6,287,352,158.50"
经营活动现金流出小计,"1,229,068,880.86","1,055,117,574.33","1,700,811,952.46","2,415,073,144.43","3,186,397,983.28","754,616,940.76","2,098,889,966.33","2,962,787,251.70","3,871,873,317.01","770,501,267.21","1,882,761,660.05","3,161,810,284.85","4,882,045,882.82","1,287,601,294.93","2,824,470,022.41","4,715,748,810.93"
偿还债务支付的现金,"430,470,302.85","849,945,066.77","925,552,973.06","694,986,622.00","980,986,622.00","273,909,090.00","482,909,090.00","587,165,850.00","896,731,980.51","184,483,967.81","482,313,558.33","1,122,313,558.33","1,304,856,750.68","408,369,385.68","1,903,829,716.80","2,576,829,716.80"
经营活动产生的现金流量净额,"94,156,122.54","510,493,439.56","855,089,652.11","573,083,409.47","815,132,965.99","-79,731,462.62","-265,958,429.91","44,679,882.70","440,589,315.81","49,488,515.23","143,099,262.78","266,463,308.85","508,405,342.66","5,236,318.74","508,051,894.58","470,715,116.75"
分配股利、利润或偿还利息支付的现金,"42,462,998.63","63,655,566.34","87,341,073.34","74,517,930.85","83,427,230.01","8,450,638.16","13,001,539.59","109,209,726.52","115,676,986.66","26,051,369.20","89,631,858.46","121,539,228.05","134,140,265.27","25,099,204.62","67,472,113.74","218,656,766.55"
收回投资收到的现金,,,"80,398.95","5,675.00","9,875,184.00",,,,"22,739,149.51",,,,,,,
支付其他与筹资活动有关的现金,"4,049,820.24","3,432,912.55","3,220,847.52","316,363,090.41","316,896,109.27","73,012,924.53","251,907,924.53","325,808,564.14","408,773,160.93","404,542,132.69","436,822,715.87","464,954,801.40","461,804,801.40","32,611,637.97","125,826,126.76","309,017,817.73"
取得投资收益收到的现金,,,,,,,"37,308.00","83,075.80","4,321,273.31","2,953,947.70","5,500,458.86","10,477,476.58","18,989,021.75","1,539,644.17","8,523,669.03","14,041,389.86"
筹资活动现金流出小计,"476,983,121.72","917,033,545.66","1,016,114,893.92","1,085,867,643.26","1,381,309,961.28","355,372,652.69","747,818,554.12","1,022,184,140.66","1,421,182,128.10","615,077,469.70","1,008,768,132.66","1,708,807,587.78","1,900,801,817.35","466,080,228.27","2,097,127,957.30","3,104,504,301.08"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,047,415.83","5,141,613.13","1,475,132.06","4,682,230.18","4,900,971.07","1,047,667.61","706,136.04","5,471,084.52","7,776,405.37","20,549,277.56","50,610,372.27","69,205,590.73","99,128,606.60","32,325,031.74","42,622,727.94","42,622,727.94"
筹资活动产生的现金流量净额,"544,541,405.60","-99,473,407.07","-211,526,369.86","-450,420,542.00","-463,487,600.03","846,015,275.42","1,039,264,058.60","1,080,235,699.87","1,445,910,677.95","434,189,166.54","3,486,375,786.67","2,962,843,052.15","3,495,775,241.47","2,014,054,530.09","2,878,216,143.26","3,182,847,857.42"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,"1,925,159.00"
四、汇率变动对现金的影响,"-417,147.07","191,650.38","-2,156,682.18","-1,069,120.79","-660,335.89","358,291.70","-444,891.84","3,656,814.91","4,498,101.91","31,165.52","1,887,543.72","-6,159,191.89","654,505.49","2,448,449.67","-3,506,270.44","-7,956,072.35"
收到其他与投资活动有关的现金,"4,057,650.00",,"7,028,368.20","32,480,981.33","56,393,934.73","3,608,711.84",,"16,282,938.00","34,823,525.00",,,,"519,397,110.09","72,840,320.35","494,425,505.67","680,219,776.92"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
