科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"441,472,861.32","712,830,702.05","572,230,742.07","580,594,449.34","594,073,253.12","555,061,315.99","664,297,018.65","542,115,146.78","697,768,503.84","685,204,297.49","725,739,483.16","596,366,368.52","521,292,549.71","589,701,153.66","566,038,042.66","514,075,267.85","371,501,511.71","693,022,460.48","386,104,191.84","1,049,435,716.32","517,977,037.21","537,365,471.80","557,578,400.97","461,287,612.54","534,695,489.73","373,390,514.31","694,228,339.43","454,904,334.04","575,869,607.35","786,654,437.42","1,034,942,000.32","1,026,215,556.71","1,081,587,972.76","1,104,361,981.84","996,809,243.39","880,155,519.90","876,427,048.27","974,815,641.64","1,230,843,567.65","867,726,196.00","1,041,429,089.21","836,753,059.21"
短期借款,"684,300,000.00","800,400,000.00","796,807,694.89","886,855,593.16","921,027,993.16","1,025,273,803.04","1,095,187,049.87","959,900,000.00","1,033,200,000.00","913,200,000.00","991,200,000.00","579,376,951.11","556,473,284.52","406,666,000.00","403,543,278.68","467,877,235.18","452,877,235.18","619,000,000.00","576,000,000.00","836,750,000.00","682,750,000.00","843,000,000.00","872,000,000.00","978,000,000.00","1,156,000,000.00","1,315,000,000.00","1,444,000,000.00","1,423,476,154.42","1,485,976,154.42","1,468,370,000.00","1,367,890,000.00","1,778,039,206.16","1,795,753,206.16","1,457,413,000.00","1,223,050,000.00","1,319,300,000.00","1,189,300,000.00","1,222,020,000.00","1,087,050,000.00","1,189,300,000.00","1,120,250,000.00","1,332,950,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"9,129,015.32","9,506,286.24","5,410,000.00","25,737,784.75","13,289,864.70","7,607,183.00","36,578,071.62","22,001,196.54","23,282,820.35","35,134,192.85","16,131,132.90","51,635,297.03","34,213,346.00","18,370,145.90","30,367,048.69","39,165,039.07","24,338,203.90","29,241,594.99","90,679,846.99","48,177,106.00","46,652,490.00","42,966,162.00","73,054,724.96","31,612,502.18","63,543,305.37","49,794,311.18","53,211,307.24","51,119,496.72","61,187,543.87","34,986,321.38","45,358,663.12","104,187,656.83","78,498,137.95","45,171,865.90","97,566,044.62","84,528,381.16","56,653,777.15","75,828,047.59","133,503,368.59","93,229,720.29","53,773,615.24","63,260,289.42"
应付票据,"216,307,157.75","464,622,553.00","415,774,899.14","255,171,411.64","319,781,835.92","324,035,857.17","340,792,139.63","296,467,112.46","441,476,418.75","393,304,061.82","400,057,320.02","379,720,608.00","302,593,452.28","485,423,755.65","640,000,106.45","348,621,044.48","448,155,415.20","475,994,908.90","395,670,562.54","760,699,136.57","622,133,542.77","480,010,864.88","377,850,208.20","313,992,991.57","430,198,652.20","413,114,882.25","535,082,070.62","556,742,383.05","858,375,202.99","934,793,268.20","726,639,663.39","961,215,030.25","1,046,196,118.53","1,010,786,374.08","963,670,488.45","757,492,662.65","724,454,766.61","1,042,567,045.87","1,015,600,667.81","890,679,751.19","1,225,536,214.91","1,004,546,105.69"
应收账款,"308,692,296.51","336,598,241.49","459,052,858.61","1,096,229,423.59","1,082,753,371.03","1,159,755,778.22","1,180,177,033.39","876,377,109.88","884,492,261.33","844,936,034.46","844,044,071.58","902,559,602.74","701,721,825.06","733,508,250.11","795,979,635.44","760,544,809.38","771,568,357.87","897,762,267.82","917,464,804.03","1,024,047,784.03","990,881,873.68","1,072,906,199.47","1,454,692,399.34","1,062,124,576.10","1,163,415,755.30","1,323,430,990.99","1,620,958,240.72","1,097,157,849.11","1,339,858,028.57","1,497,982,145.12","1,759,993,595.53","1,386,354,222.73","1,673,517,160.92","1,769,157,613.16","1,903,347,988.46","1,631,225,578.21","1,445,060,151.77","1,410,493,000.67","1,581,298,301.00","1,245,033,175.61","1,547,366,660.96","1,558,604,069.74"
应付账款,"337,193,801.02","360,402,484.64","438,127,616.12","789,876,072.42","746,504,187.83","745,739,420.57","851,353,582.46","874,706,749.75","786,551,005.99","803,079,075.98","852,141,960.06","994,997,223.19","872,984,929.52","887,557,809.44","945,051,238.75","1,040,029,636.80","861,034,804.23","1,018,667,139.82","953,577,948.59","1,467,453,617.78","1,440,554,985.03","1,401,060,306.90","1,913,755,784.49","1,712,439,888.15","1,805,655,972.90","1,725,637,683.32","2,082,500,813.42","1,754,425,411.94","1,937,053,664.79","1,819,440,341.61","2,230,926,046.79","1,993,517,566.28","2,124,655,390.78","2,040,223,140.06","2,500,169,130.08","2,040,812,282.05","1,852,589,445.67","1,985,831,969.01","2,586,041,242.51","2,200,463,515.61","2,387,116,511.85","2,368,900,125.72"
预付款项,"332,912,425.65","88,313,805.86","225,730,706.82","138,904,778.66","257,499,641.92","192,714,142.77","200,728,157.27","138,735,609.55","105,273,027.60","123,695,607.88","189,928,618.19","85,404,157.43","101,120,966.05","108,749,817.44","162,022,700.81","106,395,668.16","192,042,863.64","182,377,249.28","149,676,985.75","181,783,620.38","192,102,192.40","184,584,375.98","163,284,872.27","310,797,233.98","257,556,938.08","340,858,046.01","151,860,419.22","358,317,014.65","300,753,052.62","266,533,457.99","178,683,575.91","314,809,914.05","297,398,399.62","448,935,963.41","287,930,628.35","365,320,018.61","171,464,605.99","228,307,544.56","292,185,427.24","448,762,093.26","387,614,657.58","434,115,101.05"
预收款项,"227,043,764.93","183,064,877.79","211,333,177.29","371,928,805.15","609,037,027.23","687,871,311.28","907,944,036.09","611,456,647.97","484,380,477.50","503,341,658.86","338,063,713.80","489,605,929.87","327,248,422.43","381,296,792.00","328,081,231.16","545,811,206.79","504,312,818.86","549,514,935.23","654,455,775.25","513,274,356.05","574,791,797.32","332,945,145.38","708,509,303.88","653,879,840.94","731,313,418.30","534,069,365.20","648,537,074.61","507,140,597.92","482,444,929.28","539,098,527.01","685,257,640.63","596,211,892.08","701,281,617.85","634,641,700.52","655,821,210.08","522,501,643.82","507,083,464.40","567,576,562.54","692,254,971.33","595,427,351.29","485,131,110.31","581,402,391.85"
