科目,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"263,439,455.83","47,204,342.03","202,621,962.32","105,495,312.64","138,909,337.28","179,551,837.38","33,182,043.93","73,933,189.25","115,786,749.46","159,270,803.75","34,257,228.39","86,612,559.74","139,163,946.21","213,913,039.24","45,722,393.02","115,174,358.72","193,158,102.91","294,216,137.68","50,786,879.89","128,010,511.55","221,875,480.44","334,031,716.87","53,210,632.45","158,443,734.68","279,708,259.68","434,337,539.78","98,470,552.16","236,575,709.45","383,203,745.27","525,514,009.35","134,704,647.52","278,680,027.93","431,218,561.42","574,772,602.56","117,533,300.33","270,222,552.37","423,209,227.58"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"104,865,097.37",,,,"80,000,000.00",,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,"609,858.34",,,,,,,,"7,429,319.27","62,779,319.27",,,
收到其他与经营活动有关的现金,"8,156,602.36","3,136,775.97","3,393,539.00","1,128,387.95","3,979,049.55","5,314,440.01","975,812.21","5,580,048.38","6,339,933.26","8,637,277.21","2,680,614.86","9,922,690.75","12,510,728.85","16,312,984.99","2,552,066.89","4,772,135.28","5,654,476.26","10,180,005.96","1,775,645.27","4,109,903.90","5,373,953.28","7,793,216.47","1,440,701.75","3,178,342.42","7,719,470.54","13,325,613.17","610,079.12","1,680,886.24","4,193,834.34","9,997,335.23","1,958,113.43","2,836,336.47","4,067,789.48","8,295,302.71","27,153,314.32","28,214,782.32","29,553,028.08"
投资活动现金流出小计,"528,498.00","876,011.01","976,261.01","1,006,849.62","1,287,609.62","5,581,990.62","42,301,824.45","48,643,790.55","70,579,995.25","51,772,494.85","995,056.03","7,703,483.27","12,873,969.75","31,872,413.02","4,485,833.97","21,081,029.70","45,663,784.97","63,467,996.14","6,983,346.71","18,723,252.08","21,080,129.35","35,480,454.06","6,383,438.43","12,111,848.58","132,354,651.08","181,715,986.08","11,975,735.49","24,057,402.29","52,729,126.75","153,233,785.61","13,738,108.14","54,508,421.55","70,878,476.91","205,135,808.12","7,173,086.07","19,806,601.41","131,570,632.22"
经营活动现金流入小计,"271,596,058.19","50,341,118.00","206,015,501.32","106,623,700.59","142,888,386.83","184,866,277.39","34,157,856.14","79,513,237.63","122,126,682.72","167,908,080.96","36,937,843.25","96,535,250.49","151,674,675.06","230,226,024.23","48,274,459.91","119,946,494.00","198,812,579.17","304,396,143.64","52,562,525.16","132,120,415.45","227,249,433.72","341,824,933.34","54,651,334.20","161,622,077.10","287,427,730.22","447,663,152.95","99,080,631.28","238,256,595.69","387,397,579.61","535,511,344.58","136,662,760.95","281,516,364.40","435,286,350.90","583,067,905.27","144,686,614.65","298,437,334.69","452,762,255.66"
投资活动产生的现金流量净额,"-526,910.00","-876,011.01","-896,796.01","-966,849.62","-1,247,609.62","-5,541,990.62","-42,301,824.45","-48,643,790.55","-50,559,858.25","-51,611,753.45","-995,056.03","-7,703,483.27","-12,873,969.75","-17,637,413.02","-4,485,833.97","-21,081,029.70","-45,413,784.97","-44,167,996.14","-6,983,346.71","-15,790,266.42","-18,147,143.69","-32,547,468.40","-6,383,438.43","-12,111,848.58","-132,354,651.08","-181,715,986.08","-11,975,735.49","-23,957,402.29","-52,629,126.75","-153,107,985.61","-13,193,108.14","-53,993,421.55","-70,363,476.91","-203,701,752.88","-6,476,453.07","-19,109,968.41","-130,873,999.22"
购买商品、接受劳务支付的现金,"207,086,319.30","42,646,944.75","141,868,674.74","51,016,589.81","52,999,990.16","56,114,631.30","17,791,008.58","22,100,836.03","33,088,155.52","40,904,055.95","14,903,830.37","26,453,965.44","36,336,067.71","51,488,631.84","21,954,755.34","49,521,768.99","67,056,029.81","98,897,246.76","8,885,265.26","44,426,811.45","55,831,279.89","80,558,828.60","14,419,709.34","42,048,861.66","56,366,955.02","127,512,679.08","11,623,941.12","28,305,163.92","59,500,923.21","114,354,571.15","34,389,611.16","60,690,253.60","89,557,108.75","152,055,869.63","11,106,009.25","89,245,150.52","140,035,224.84"
吸收投资收到的现金,,"66,625,000.00","66,625,000.00",,,"280,620,000.00",,,,,,,,,,,,,,,,,"20,849,916.00","20,849,916.00","20,849,916.00","20,633,316.00",,"-229,068.00","-320,700.00","245,999,974.70",,,,,,,
支付给职工以及为职工支付的现金,"6,159,390.11","3,670,702.54","6,553,273.51","5,194,172.28","7,498,482.73","10,806,907.47","2,805,213.71","6,364,884.10","10,637,275.75","15,416,769.61","4,436,837.09","9,216,400.06","14,813,113.09","20,533,539.04","6,829,163.70","14,110,276.00","22,131,264.23","30,515,746.28","10,877,612.69","21,793,222.38","33,717,811.08","43,039,997.05","14,416,419.13","26,772,975.71","40,105,145.31","56,169,822.32","20,991,342.59","44,273,108.16","64,666,976.17","86,808,970.38","20,882,255.93","40,097,743.84","55,185,235.00","69,483,120.08","17,185,867.18","31,933,904.62","47,034,707.14"
取得借款收到的现金,"20,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,,,"50,055,380.81",,,"24,619,250.00","31,899,250.00",,,,,,,
支付的各项税费,"18,339,012.92","11,044,046.71","23,612,581.14","9,544,739.10","16,758,529.19","20,497,068.34","4,970,544.89","12,321,750.70","20,405,035.47","27,253,379.22","5,485,018.47","14,135,017.89","22,870,794.16","31,672,168.75","11,326,949.91","23,208,077.26","33,998,613.47","40,464,169.48","10,050,052.32","26,103,123.74","38,290,520.53","56,252,497.97","13,289,726.82","31,404,009.62","49,854,429.88","65,763,548.28","19,209,666.52","41,804,261.98","62,136,262.64","80,506,711.46","8,444,965.61","35,013,213.18","60,399,231.37","83,063,723.28","14,816,398.62","35,804,272.45","58,401,844.03"
收到其他与筹资活动有关的现金,,"494,275.00","494,275.00",,,,,"24,900.00","24,900.00",,,,,,,,,,,"429,134.34","502,591.76",,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"27,735,481.91","15,549,257.48","38,741,900.69","19,049,285.19","30,341,948.45","39,535,937.59","11,059,865.38","24,838,511.58","37,853,213.08","46,819,036.53","14,235,492.00","33,906,427.75","56,044,965.23","80,804,695.25","24,700,376.73","50,211,665.19","79,074,061.85","111,662,922.37","26,490,824.48","54,865,246.81","90,478,080.53","120,603,658.43","29,079,232.28","61,551,663.30","102,691,156.18","156,109,567.16","38,152,274.55","85,209,100.53","131,649,265.78","172,987,856.87","38,412,741.79","109,384,176.66","157,605,446.49","202,298,007.39","32,623,788.36","71,672,981.94","108,882,415.37"
筹资活动现金流入小计,"20,000,000.00","67,119,275.00","72,119,275.00","5,000,000.00","5,000,000.00","285,620,000.00",,"24,900.00","24,900.00",,,,,,,,,,,"429,134.34","502,591.76",,"20,849,916.00","20,849,916.00","20,849,916.00","70,688,696.81",,"-229,068.00","24,298,550.00","277,899,224.70",,,,,,,
经营活动现金流出小计,"259,320,204.24","72,910,951.48","210,776,430.08","84,804,786.38","107,598,950.53","126,954,544.70","36,626,632.56","65,625,982.41","101,983,679.82","130,393,241.31","39,061,177.93","83,711,811.14","130,064,940.19","184,499,034.88","64,811,245.68","137,051,787.44","202,259,969.36","281,540,084.89","56,303,754.75","147,188,404.38","218,317,692.03","300,454,982.05","71,205,087.57","161,777,510.29","249,017,686.39","405,555,616.84","89,977,224.78","199,591,634.59","317,953,427.80","454,658,109.86","102,129,574.49","245,185,387.28","362,747,021.61","506,900,720.38","75,732,063.41","228,656,309.53","354,354,191.38"
偿还债务支付的现金,"18,000,000.00",,"20,000,000.00","5,000,000.00","5,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00","60,055,380.81",,"31,899,250.00","31,899,250.00","31,899,250.00",,,
经营活动产生的现金流量净额,"12,275,853.95","-22,569,833.48","-4,760,928.76","21,818,914.21","35,289,436.30","57,911,732.69","-2,468,776.42","13,887,255.22","20,143,002.90","37,514,839.65","-2,123,334.68","12,823,439.35","21,609,734.87","45,726,989.35","-16,536,785.77","-17,105,293.44","-3,447,390.19","22,856,058.75","-3,741,229.59","-15,067,988.93","8,931,741.69","41,369,951.29","-16,553,753.37","-155,433.19","38,410,043.83","42,107,536.11","9,103,406.50","38,664,961.10","69,444,151.81","80,853,234.72","34,533,186.46","36,330,977.12","72,539,329.29","76,167,184.89","68,954,551.24","69,781,025.16","98,408,064.28"
分配股利、利润或偿还利息支付的现金,"5,924,005.83","40,267,570.73","55,511,643.72","6,222,293.92","6,278,993.92","6,293,168.92",,"8,825,503.83","8,825,503.83","8,834,419.58",,"20,366,547.20","20,366,547.20","20,366,547.20",,"31,341,312.86","31,341,312.86","30,549,820.80",,"30,549,820.80","30,549,820.80","30,549,820.80",,"31,125,480.80","31,125,480.80","31,352,258.43","1,104,844.46","20,602,282.50","21,489,184.51","22,193,496.70","414,578.19","7,225,577.81","7,226,014.67","7,213,651.00","3,260,431.69","3,259,932.51","3,260,032.71"
收回投资收到的现金,,,,,,,,,"20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"160,380.00","860,000.00","860,000.00",,"1,684,264.60","8,728,889.00",,,,,,,,,,,,,,"429,134.34","502,591.76",,,,,,,"150,000.00","150,000.00","253,899.68","264,960.00","15,502,620.00","15,502,620.00","15,502,620.00",,,
取得投资收益收到的现金,,,,,,,,,"20,137.00","160,741.40",,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"24,084,385.83","41,127,570.73","76,371,643.72","11,222,293.92","12,963,258.52","25,022,057.92",,"8,825,503.83","8,825,503.83","8,834,419.58",,"20,366,547.20","20,366,547.20","20,366,547.20",,"31,341,312.86","31,341,312.86","30,549,820.80",,"30,978,955.14","31,052,412.56","30,549,820.80",,"31,125,480.80","31,125,480.80","31,352,258.43","1,104,844.46","20,752,282.50","31,639,184.51","82,502,777.19","679,538.19","54,627,447.81","54,627,884.67","54,615,521.00","3,260,431.69","3,259,932.51","3,260,032.71"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,588.00",,330.00,"40,000.00","40,000.00","40,000.00",,,,,,,,,,,"250,000.00","250,000.00",,,,,,,,,,"100,000.00","100,000.00","125,800.00","45,000.00","515,000.00","515,000.00","536,550.80",,,
筹资活动产生的现金流量净额,"-4,084,385.83","25,991,704.27","-4,252,368.72","-6,222,293.92","-7,963,258.52","260,597,942.08",,"-8,800,603.83","-8,800,603.83","-8,834,419.58",,"-20,366,547.20","-20,366,547.20","-20,366,547.20",,"-31,341,312.86","-31,341,312.86","-30,549,820.80",,"-30,549,820.80","-30,549,820.80","-30,549,820.80","20,849,916.00","-10,275,564.80","-10,275,564.80","39,336,438.38","-1,104,844.46","-20,981,350.50","-7,340,634.51","195,396,447.51","-679,538.19","-54,627,447.81","-54,627,884.67","-54,615,521.00","-3,260,431.69","-3,259,932.51","-3,260,032.71"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,"2,932,985.66","2,932,985.66","2,932,985.66",,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,"79,135.00",,,,,,,,,,,"14,235,000.00",,,,"19,050,000.00",,,,,,,,,,,,,"500,000.00",,,"897,504.44","696,633.00","696,633.00","696,633.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,588.00",,"79,465.00","40,000.00","40,000.00","40,000.00",,,"20,020,137.00","160,741.40",,,,"14,235,000.00",,,"250,000.00","19,300,000.00",,"2,932,985.66","2,932,985.66","2,932,985.66",,,,,,"100,000.00","100,000.00","125,800.00","545,000.00","515,000.00","515,000.00","1,434,055.24","696,633.00","696,633.00","696,633.00"
五、现金及现金等价物净增加额,"7,664,558.12","2,545,859.78","-9,910,093.49","14,629,770.67","26,078,568.16","312,967,684.15","-44,770,600.87","-43,557,139.16","-39,217,459.18","-22,931,333.38","-3,118,390.71","-15,246,591.12","-11,630,782.08","7,723,029.13","-21,022,619.74","-69,527,636.00","-80,202,488.02","-51,861,758.19","-10,724,576.30","-61,408,076.15","-39,765,222.80","-21,727,337.91","-2,087,275.80","-22,542,846.57","-104,220,172.05","-100,272,011.59","-3,977,173.45","-6,273,791.69","9,474,390.55","123,141,696.62","20,660,540.13","-72,289,892.24","-52,452,032.29","-182,150,088.99","59,217,666.48","47,411,124.24","-35,725,967.65"
购建固定资产、无形资产和其他长期资产支付的现金,"228,498.00","876,011.01","976,261.01","740,690.62","1,021,450.62","5,315,831.62","42,301,824.45","48,643,790.55","50,579,995.25","51,772,494.85","995,056.03","7,703,483.27","12,873,969.75","31,872,413.02","4,485,833.97","21,081,029.70","45,663,784.97","63,467,996.14","6,983,346.71","18,723,252.08","21,080,129.35","35,480,454.06","6,383,438.43","12,111,848.58","31,744,792.74","42,985,650.28","11,975,735.49","20,057,402.29","48,729,126.75","69,233,785.61","13,738,108.14","24,508,421.55","30,449,157.64","44,206,496.13","7,173,086.07","19,806,601.41","33,987,841.07"
期初现金及现金等价物余额,"23,630,264.66","31,294,822.78","31,294,822.78","21,384,729.29","21,384,729.29","21,384,729.29","334,352,413.44","334,352,413.44","334,352,413.44","334,352,413.44","311,421,080.06","311,421,080.06","311,421,080.06","311,421,080.06","319,144,109.19","319,144,109.19","319,144,109.19","319,144,109.19","267,282,351.00","267,282,351.00","267,282,351.00","267,282,351.00","245,555,013.09","245,555,013.09","245,555,013.09","245,555,013.09","145,283,001.50","145,283,001.50","145,283,001.50","145,283,001.50","268,424,698.12","268,424,698.12","268,424,698.12","268,424,698.12","86,274,609.13","86,274,609.13","86,274,609.13"
投资支付的现金,"300,000.00",,,"266,159.00","266,159.00","266,159.00",,,"20,000,000.00",,,,,,,,,,,,,,,,"100,000,000.00","33,865,238.43",,"4,000,000.00","4,000,000.00","4,000,000.00",,"30,000,000.00","33,000,000.00","98,149,992.72",,,"97,582,791.15"
