科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"92,915,844.33","111,407,524.07","156,881,072.36",,"97,183,712.05","200,170,945.62","562,098,783.06","191,431,263.34","107,992,399.27","388,929,924.99","321,759,011.10","216,273,724.06","366,586,581.87"
短期借款,"24,881,104.00","39,580,000.00","75,048,194.60",,"91,900,000.00","79,988,441.25","43,000,000.00","53,800,000.00","79,800,000.00","83,440,000.00","67,440,000.00","18,000,000.00","27,848,389.50"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"2,654,000.00","5,540,860.00","2,523,599.20",,"1,176,500.00","2,150,157.98","2,334,657.98","1,740,000.00","1,070,000.00","699,000.00","1,789,924.40","1,790,000.00","1,955,000.00"
应付票据,"6,642,266.55","12,718,103.00","16,975,292.00",,"11,921,382.20","11,116,200.95","6,769,160.25","7,950,023.90","5,696,807.65","3,564,253.00","5,912,824.54","12,826,844.54","18,974,267.03"
应收账款,"57,086,809.56","89,012,478.37","178,834,275.85",,"194,151,561.06","177,197,402.90","239,116,623.87","222,219,044.96","272,613,950.80","278,834,134.19","316,414,688.66","320,797,867.44","317,950,703.36"
应付账款,"28,858,111.15","30,327,333.96","55,995,598.37",,"39,104,788.34","38,119,662.59","87,115,196.01","76,407,477.07","67,473,508.98","63,941,115.43","108,190,085.67","115,506,951.74","150,964,535.87"
预付款项,"6,557,018.81","27,362,820.96","30,140,520.90",,"43,666,839.73","48,906,220.08","38,440,020.40","63,607,095.98","46,790,734.14","64,601,040.03","30,760,227.29","50,638,290.94","43,716,234.45"
预收款项,"78,501,604.14","148,714,897.96","173,611,612.57",,"152,119,658.10","175,568,319.12","105,967,577.55","102,684,811.18","59,800,661.27","86,075,868.26","78,857,557.76","98,182,091.90","134,382,863.44"
其他应收款,"10,031,598.06","16,142,052.93","20,945,084.91",,"19,637,095.89","23,430,292.05","14,288,211.59","20,101,607.94","23,487,578.39","30,429,363.13","15,890,627.48","20,354,300.28","23,653,247.39"
应付职工薪酬,"11,897,487.35","15,746,406.80","18,329,342.47",,,"10,718,726.68","22,979,250.68","13,646,911.31","13,762,915.32","15,215,954.52","37,300,704.29","16,648,605.49","15,241,059.03"
应收关联公司款,,,,,,,,,,,,,
应交税费,"11,520,787.33","4,714,384.99","24,925,768.92",,"9,969,207.99","1,578,540.18","36,947,624.61","7,367,779.78","5,213,602.07","6,957,884.14","36,455,464.92","30,976,355.27","19,777,191.32"
应收利息,,,,,,,,,,,,,
应付利息,,,"8,383.56",,"7,059,268.08",,,,,,,,
应收股利,,,,,,,,,,,,,
应付股利,,"6,000,000.00",,,,,,,,,,,
存货,"135,628,058.79","178,192,648.98","229,119,155.48",,"226,309,684.35","265,651,517.34","194,750,770.00","220,887,108.67","209,212,537.27","203,184,158.48","191,211,048.36","218,016,203.94","304,071,841.82"
其他应付款,"1,854,088.75","3,779,992.57","9,020,726.33",,"9,037,129.06","10,900,897.45","11,734,359.26","12,228,545.17","12,465,188.36","9,561,313.16","7,994,092.05","5,413,774.05","7,747,562.03"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,"13,000,000.00","13,000,000.00","12,000,000.00",,"18,032,500.00","18,032,500.00","11,032,500.00",,,,,,
其他流动资产,"9,494,773.21","7,561,275.49","14,026,488.22",,"3,633,684.81","73,749,930.12","924,670.77","262,043,293.45","273,420,905.87","1,220,865.34","258,395,514.85","274,227,619.22","145,876,390.99"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"314,368,102.76","435,219,660.80","632,470,196.92",,"585,759,077.89","791,256,466.09","1,051,953,737.67","982,029,414.34","934,588,105.74","967,898,486.16","1,136,221,042.14","1,102,098,005.88","1,203,809,999.88"
流动负债合计,"177,155,449.27","274,581,119.28","385,914,918.82",,"339,143,933.77","346,023,288.22","325,545,668.36","274,085,548.41","244,212,683.65","268,756,388.51","342,150,729.23","297,554,622.99","374,935,868.22"
可供出售金融资产,,,,,,"200,000,000.00",,,,,,,
长期借款,"20,000,000.00","23,032,500.00","11,032,500.00",,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,,,"1,922,721.29",,"1,969,199.53","2,146,230.55","2,292,766.14","3,621,334.37","3,368,792.02","3,318,028.57","3,473,953.76","6,852,859.68","8,815,508.78"
专项应付款,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,
预计负债,,,,,,,,,,,"6,079,125.00","6,079,125.00","6,079,125.00"
固定资产,"26,703,158.04","126,840,502.19","126,798,505.93",,"124,797,655.83","125,156,198.22","128,087,939.66","126,512,168.32","126,802,780.01","126,139,257.55","130,584,502.04","128,032,132.00","127,819,425.73"
递延所得税负债,,,,,,,,,,,,,
在建工程,"2,995,534.67","3,840,427.20",,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,
非流动负债合计,"41,748,034.46","42,933,952.83","51,991,610.51",,"35,655,439.54","40,878,615.09","44,375,948.93","45,830,791.12","45,568,831.83","50,043,381.28","57,503,247.55","64,615,478.19","61,909,377.39"
固定资产清理,,,,,,,,,,,,,
负债合计,"218,903,483.73","317,515,072.11","437,906,529.33","451,119,100.00","374,799,373.31","386,901,903.31","369,921,617.29","319,916,339.53","289,781,515.48","318,799,769.79","399,653,976.78","362,170,101.18","436,845,245.61"
生产性生物资产,,,,,,,,,,,,,
