科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"170,810,220.76","297,841,608.24","174,394,950.61","233,858,597.72","19,495,020.30","122,785,330.36","193,009,317.01","360,579,657.60","125,991,259.82","332,848,232.20","449,592,098.26","496,396,180.05","22,430,761.21","62,234,812.06","120,019,901.59","198,549,471.20","24,789,472.15","89,135,272.15","95,736,767.73","63,612,052.20","55,575,734.50","98,224,199.34","137,146,736.41","254,831,951.98","37,424,505.24","61,373,412.04","85,716,809.52","119,135,891.32","29,416,416.09","65,878,913.50","82,939,862.05","250,306,745.27","12,258,162.78","28,894,878.25","78,360,470.35","174,517,049.72"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"96,742,034.38","124,672,005.42","139,272,005.42","126,501,555.42",,,,,,,,"300,000.00",,,,,,,,,,,,,,,,
收到的税费返还,"197,945.99",,"6,340,136.33","10,266,786.12","43,624.29","40,298.42","362,010.92","1,494,490.44","206,227.00",,,"100,951.06","4,167,883.30","3,838,341.81","10,629,716.73","10,968,999.81",,,,"100,981.90",,,,"195,652.94",,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"1,893,633.45","1,893,633.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"21,223,076.15","21,496,424.44","21,887,986.41","18,368,293.52","14,280,724.11","19,644,968.15","23,710,707.39","20,473,692.11","18,078,134.71","26,175,547.21","40,592,082.12","89,736,161.81","25,803,110.66","28,921,471.18","45,945,520.62","44,894,637.69","35,290,640.83","52,645,095.40","72,024,779.12","54,580,239.38","34,940,102.76","26,922,710.15","40,884,762.31","141,126,931.91","20,894,324.63","22,712,139.15","16,460,083.64","84,051,133.86","13,043,570.38","17,059,006.79","16,567,786.80","23,830,807.59","53,107.18","6,999,825.01","7,242,112.04","50,400,090.79"
投资活动现金流出小计,"115,959,120.12","51,240,985.08","32,314,682.98","34,138,882.95","15,949,842.44","20,365,269.18","65,587,903.22","193,707,151.32","204,181,071.73","230,081,621.06","305,483,485.14","415,887,281.09","12,976,181.62","17,390,156.66","40,098,292.33","49,505,568.08","3,368,588.62","10,736,364.41","15,727,454.97","15,828,143.45","853,690.95","1,137,754.61","3,157,762.55","11,355,976.76","58,571.86","95,303,792.76","95,766,228.75","26,838,587.31","2,280.00","1,715,383.11","1,822,024.62","4,696,009.11","251,739.16","976,581.85","1,251,170.20","2,097,118.87"
经营活动现金流入小计,"192,231,242.90","319,338,032.68","202,623,073.35","262,493,677.36","33,819,368.70","142,470,596.93","217,082,035.32","382,547,840.15","144,275,621.53","359,023,779.41","490,184,180.38","586,233,292.92","52,401,755.17","94,994,625.05","176,595,138.94","254,413,108.70","60,080,112.98","141,780,367.55","167,761,546.85","118,293,273.48","90,515,837.26","125,146,909.49","178,031,498.72","396,154,536.83","58,318,829.87","84,085,551.19","102,176,893.16","203,187,025.18","42,459,986.47","82,937,920.29","99,507,648.85","274,137,552.86","12,311,269.96","35,894,703.26","85,602,582.39","224,917,140.51"
投资活动产生的现金流量净额,"-79,232,504.87","40,805,795.49","-30,929,618.94","-32,753,818.91","-15,949,842.44","-20,365,269.18","-65,587,903.22","-193,707,151.32","-204,181,071.73","-230,032,453.02","-305,434,317.10","-358,692,808.48","-12,976,181.62","-17,390,156.66","-40,098,292.33","-49,505,568.08","-2,742,118.01","-10,104,793.80","-15,126,258.73","4,593,256.55","-835,314.90","16,429,852.21","14,571,632.73","148,108,018.58","8,611,728.14","-1,468,530.11","869,862.34","-19,553,832.29","4,130.25","-1,531,472.86","-1,605,619.79","10,522,978.04","-251,039.16","1,244,118.15","984,529.80","152,790.10"
购买商品、接受劳务支付的现金,"141,488,719.85","252,223,865.31","114,630,996.36","152,548,690.71","30,363,914.32","94,689,461.10","166,713,051.12","243,848,459.41","158,036,878.44","324,101,726.32","392,786,767.37","442,450,365.51","37,755,328.83","99,845,866.18","190,338,077.16","244,965,890.53","57,727,098.62","122,415,123.76","117,459,646.08","71,914,178.91","40,788,125.63","57,894,765.75","77,693,410.52","142,510,669.71","49,242,996.54","81,883,255.85","95,498,556.07","90,700,087.57","10,528,803.49","46,653,755.48","58,790,373.86","113,804,501.84","14,568,805.67","31,360,795.06","58,869,768.32","113,405,200.55"
吸收投资收到的现金,,"72,000,000.00",,"894,000,000.00","450,000.00","450,000.00",,,,"6,666,700.00","21,266,700.00","6,666,700.00","294,540.00","10,883,650.00","10,883,650.00","21,570,910.00",,"939,110.00","50,939,110.00","55,839,110.00",,,,,,,,,,,,,,,,
