科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"16,266,403.96","47,460,301.13","134,410,617.77","129,198,309.93","1,516,684,338.31","1,400,671,211.07","1,410,077,835.41","1,309,864,785.59","1,226,557,057.16","954,121,720.64","1,010,275,028.00","937,144,046.62","934,146,647.35","1,006,699,755.00","1,067,181,857.09","875,850,143.88","761,739,563.06","735,429,075.91","827,255,999.26","770,592,862.80","601,452,336.29","553,957,850.47","621,448,697.87","848,373,022.59","990,549,636.47","769,107,695.08","577,304,897.71","812,307,213.31","813,037,943.50"
短期借款,"47,000,000.00","69,500,000.00","50,000,000.00","32,888,273.00","13,888,273.00",,,,,,,,,"40,000,000.00","40,000,000.00","30,000,000.00","30,000,000.00","90,407,949.90","119,254,162.18","90,381,114.97","141,612,043.09","111,628,630.15","247,243,858.40","641,924,077.80","684,990,877.80","538,622,000.00","642,723,379.90","915,650,880.00","919,842,130.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"12,422,456.68","29,755,652.71","29,494,144.58","128,790,170.67","71,520,305.29","99,457,195.79","68,695,472.73","72,186,594.38","110,412,368.56","45,912,179.69","68,630,586.30","78,783,061.67","117,736,035.95","109,416,195.25","132,471,316.04","178,960,332.71","144,219,652.49","148,198,891.79","165,960,509.85","142,810,008.55","141,098,806.84","125,140,997.56","140,121,228.37","112,590,091.66","138,535,151.05","160,566,450.12","179,844,151.29","114,958,559.30"
应付票据,,"2,000,000.00","20,957,663.10","3,000,000.00","34,599,510.66","58,016,644.51","73,508,003.16","160,580,917.17","115,502,392.14","46,718,401.24","104,495,855.82","118,618,398.42","132,277,564.08","101,403,536.11","140,952,837.00","155,999,531.99","182,353,526.36","294,872,357.82","244,570,920.58","157,930,950.19","180,835,366.87","269,948,400.00","232,894,872.00","268,619,555.82","296,774,664.28","399,510,023.92","391,354,657.73","230,796,349.73","164,177,239.36"
应收账款,"10,727,315.20","46,843,129.55","68,719,112.17","72,299,411.54","98,477,916.85","168,203,453.45","161,766,507.92","269,587,225.86","247,640,584.72","248,274,299.63","252,755,047.15","196,069,284.46","195,852,594.93","173,097,613.26","162,845,399.03","179,617,831.10","222,596,143.18","294,507,292.46","287,003,196.26","237,355,244.88","315,389,704.26","272,082,439.85","246,220,167.89","268,069,681.11","474,836,929.28","460,567,766.22","395,722,743.19","438,730,061.68","455,620,474.18"
应付账款,"13,505,560.73","68,992,073.48","17,211,963.84","13,964,777.01","10,712,921.10","29,431,527.03","27,686,920.32","47,179,495.79","71,284,329.94","116,685,232.87","173,046,300.98","70,590,615.46","76,429,252.47","53,086,078.73","32,054,440.00","60,915,102.02","52,939,028.13","67,434,876.07","94,020,876.87","128,899,433.26","126,050,436.21","71,096,646.65","99,939,314.80","144,789,376.23","112,866,988.89","414,525,205.18","431,299,403.48","601,559,642.42","630,872,522.64"
预付款项,"28,634,510.70","13,363,005.71","11,063,973.46","32,223,434.73","83,661,577.40","91,414,878.04","107,377,567.17","131,534,547.98","91,520,257.79","12,209,162.36",,"21,007,751.87","31,690,486.73","12,382,412.31","12,530,087.83","24,730,375.60","15,714,589.99","28,224,221.80","14,132,920.69","13,740,925.98","86,506,826.92","22,383,877.17","62,846,726.04","29,812,525.15","32,993,328.15","19,788,850.18","51,118,553.86","44,445,879.76","52,935,828.83"
预收款项,"22,676.97","564,529.49","2,479,168.43","1,862,949.39",,"1,911,790.48",,"1,875,737.05",,"2,284,242.31",,"2,862,531.24","1,065,231.74","982,860.10",,"3,206,729.51","226,033.69","515,721.04","204,904.82","30,176,251.44","4,826,810.59","1,150,136.04","2,223,120.98","6,994,513.83","1,619,390.31","10,642,093.96","4,135,511.94","9,057,970.20","14,144,932.48"
其他应收款,"3,495.42","224,633.37","403,759.98","1,369,310.42","77,035.07","1,483,328.96","1,467,387.79","504,847.68","605,818.22","633,210.42","1,177,573.41","620,499.80","1,775,962.17","4,538,963.94","3,255,503.17","2,391,510.74","8,844,370.80","5,646,507.69","2,658,432.87","6,946,322.97","7,455,849.34","4,178,392.75","20,197,925.87","5,618,102.96","34,789,340.61","5,934,119.20","31,169,953.72","3,355,900.12","3,826,731.78"
应付职工薪酬,,"23,247.74","1,112,747.64","493,771.36","365,333.24","1,370,540.56",,,,"301,306.90",,"466,485.18",,"2,801,406.48",,"4,441,797.47","6,725,378.51","4,623,727.48","2,810,075.58","6,213,799.65","9,741,724.35","6,490,565.46","620,563.49","3,944,670.16","10,070,554.01","8,762,586.00","2,426,096.01","6,204,521.44","2,848,650.45"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"497,997.16","8,768,969.13","15,489,719.68","10,448,611.65","18,113,612.60","13,610,118.06","8,692,152.99","5,052,211.20","-5,276,158.19","-1,026,339.73","-12,371,665.44","-14,816,351.62","-18,041,785.85","-9,803,203.26","-2,288,185.58","703,331.64","7,801,455.04","-2,250,644.29","-4,976,482.68","1,295,373.32","9,430,303.92","2,104,675.42","2,769,519.50","6,388,799.08","9,046,822.53","4,422,657.88","10,401,965.29","15,286,529.06","3,135,333.11"
