科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"620,380,037.53","1,385,464,188.57","2,053,791,525.68","2,716,964,254.96","929,521,187.14","2,048,092,871.13","2,774,320,081.55","3,231,817,415.50","635,493,965.90","1,228,202,970.26","1,802,845,107.19","2,329,919,827.95","547,961,566.70","1,100,410,220.89","1,517,588,513.93","1,984,290,106.56","592,905,398.81","1,303,817,766.68","1,904,245,632.67","2,601,001,547.24","639,387,792.65","1,469,864,000.21","2,178,544,146.41","3,007,905,374.84","858,571,398.23","1,733,414,996.16","2,434,692,563.86","3,162,572,050.32","862,625,745.18","1,668,379,911.08","2,319,520,004.89","2,975,916,721.05","809,612,733.76","1,562,811,407.69","2,032,929,897.56","2,677,208,158.21","1,233,323,767.25","3,227,658,416.21","3,884,273,480.07","4,751,494,699.76","900,938,041.16","1,722,644,634.82","2,399,648,007.43"
二、营业利润,"22,559,522.96","64,960,323.40","99,116,559.11","134,089,747.71","84,962,258.89","294,923,165.89","392,016,163.71","371,218,656.56","9,532,985.12","8,391,896.07","-57,100,875.31","-107,065,757.64","-14,019,421.50","-38,481,589.44","-87,154,098.21","-134,985,853.75","-37,678,234.77","-34,608,020.51","-58,756,408.52","-37,846,174.90","-5,754,494.94","3,900,302.30","8,576,191.84","45,139,771.45","63,934,975.11","164,353,888.96","295,156,251.51","384,007,203.03","124,809,793.84","216,294,931.68","246,385,038.75","254,833,112.02","11,253,317.68","15,220,429.77","1,555,790.04","-3,586,474.39","6,786,708.24","-2,530,841.25","485,883.18","53,696,945.73","42,800,966.97","90,522,697.65","123,558,094.48"
减:营业成本,"553,708,610.44","1,212,131,841.27","1,793,884,372.32","2,317,903,789.09","740,147,958.78","1,590,129,964.64","2,153,545,120.47","2,539,750,075.29","569,377,124.23","1,100,848,166.30","1,650,668,219.26","2,122,830,034.05","497,668,166.10","1,007,576,240.87","1,406,808,684.48","1,829,452,012.57","568,248,816.47","1,211,411,387.11","1,763,196,825.73","2,341,162,369.52","574,151,857.37","1,306,854,989.25","1,929,147,118.77","2,629,638,573.20","719,172,925.59","1,388,145,678.17","1,895,054,503.19","2,421,922,095.92","672,875,526.59","1,306,311,696.56","1,852,542,252.53","2,409,944,033.12","738,468,547.30","1,420,184,665.53","1,843,239,997.08","2,405,542,786.02","1,166,668,415.41","3,104,981,689.40","3,690,879,814.40","4,429,704,309.75","771,193,411.43","1,489,346,792.67","2,060,277,846.07"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,220,093.80","3,624,986.43","6,294,906.99","7,516,198.64","3,338,059.94","7,298,572.53","12,143,356.32","14,436,717.18","830,017.95","1,919,623.58","2,398,483.86","2,578,966.40","417,535.23","920,644.31","1,331,655.93","2,714,598.46","89,845.30","312,038.42","707,473.15","938,881.13","123,459.90","475,803.19","698,043.48","2,075,356.66","1,548,075.01","4,826,860.86","5,597,926.86","7,598,851.41","566,504.93","2,621,036.27","3,374,095.00","3,725,810.49","537,604.20","2,355,831.04","2,934,801.07","2,997,732.98","626,402.71","2,487,733.92","2,505,758.63","10,775,821.74","4,473,736.52","9,239,515.88","12,251,066.53"
营业外收入,"383,461.33","647,077.82","1,809,916.39","3,672,479.26","345,070.60","1,514,356.12","2,422,738.46","9,124,112.06","2,682,828.94","4,395,947.34","8,417,134.45","20,099,356.59","7,230,640.15","39,878,697.24","38,562,314.53","183,034,581.27","4,784,262.66","14,038,320.73","39,930,533.41","48,543,194.36","2,349,659.74","8,170,303.55","12,735,785.68","16,106,170.65","2,612,476.81","5,818,278.71","10,292,123.75","15,914,032.35","2,694,522.06","6,111,917.39","9,820,550.57","12,828,440.17","3,360,959.59","7,371,782.78","14,116,235.65","17,669,275.01","2,593,452.46","7,704,821.37","11,800,029.71","13,842,937.68","5,452,628.02","403,359.93","511,789.93"
销售费用,"11,166,204.99","27,104,915.43","39,357,515.67","49,972,853.34","24,488,519.05","34,274,168.90","45,578,027.50","49,002,339.10","13,440,602.81","25,616,777.97","40,516,724.06","57,100,199.29","11,445,326.38","21,414,988.11","27,475,069.33","41,490,575.71","8,326,004.54","15,103,083.91","22,513,371.66","32,441,159.83","9,354,149.02","22,574,838.53","32,266,018.38","44,337,644.12","12,961,750.03","32,050,590.95","40,576,883.69","45,215,344.21","12,052,656.98","25,305,252.97","36,704,276.06","46,615,917.61","11,093,327.36","27,124,496.49","40,371,105.90","61,323,484.15","13,053,046.52","26,925,563.04","40,635,911.77","58,813,633.97","18,803,943.85","35,287,225.22","50,556,557.99"
减:营业外支出,"537,256.11","1,212,114.41","2,799,248.30","5,915,826.78","1,152,275.52","7,490,897.91","7,990,578.40","10,356,694.80","1,280,317.09","2,868,288.19","4,399,924.56","7,586,921.14","669,159.08","1,450,876.85","2,552,527.55","4,233,993.31","568,159.36","1,586,131.63","9,228,400.21","7,743,636.36","740,735.12","3,063,645.45","4,267,845.58","22,127,004.84","453,321.22","1,306,349.96","1,329,009.08","11,318,807.80","916,946.33","3,244,298.88","6,599,222.64","6,761,468.32","375,996.82","730,940.47","1,592,233.88","2,623,175.12","221,655.99","290,595.23","558,076.26","2,183,313.01","203,607.21","1,534,432.37","3,301,955.88"
管理费用,"23,881,546.21","56,129,365.65","84,874,948.16","161,438,938.49","50,048,744.34","88,122,242.17","124,368,493.77","180,414,832.95","30,325,567.28","71,150,217.18","111,841,706.42","160,268,169.12","33,179,404.57","67,504,167.37","103,167,548.83","150,853,540.91","31,219,116.93","62,430,185.84","98,616,155.49","144,071,334.01","33,914,251.99","73,710,685.68","117,194,759.00","172,478,984.20","42,244,225.37","97,401,690.94","140,100,935.73","211,682,916.77","39,011,300.85","88,752,427.37","143,095,882.26","198,769,191.63","35,801,010.45","72,418,836.57","107,957,977.87","150,717,111.14","32,283,349.31","66,962,400.58","105,232,109.76","145,649,955.47","49,519,198.69","86,588,871.62","131,893,341.38"
其中:非流动资产处置净损失,,,,,,,,,,,"395,549.22","2,755,921.29",,,"432,964.48","1,379,195.48",,,,"3,101,474.06",,"1,733,773.70","2,108,758.53","13,559,767.11",,,"5,117.53","9,545,703.33",,"1,165,365.86","4,377,493.26","4,378,978.82",,,,"712,068.54",,,,"1,341,627.99","171,356.21","1,502,086.00","2,800,082.15"
