科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他应收款,"24,677,871.94","22,842,204.65","22,718,019.75","11,577,377.17","13,693,618.39","11,924,151.71","12,194,302.22","4,503,703.34","5,270,607.75","6,108,155.71","4,841,877.05","11,333,099.11","16,153,690.55","21,425,709.16","28,251,205.45","9,037,761.96","56,905,230.89","59,275,215.79","66,852,941.97","20,443,079.09","19,971,419.12","23,217,432.67","18,268,894.20","21,262,813.23","15,495,930.67","29,562,839.88","42,052,206.64","39,269,124.48","38,896,324.74","40,452,451.55","103,978,925.61","81,095,665.38","84,278,476.93","75,782,536.37","70,650,191.48","74,457,274.17","84,225,182.05","96,376,034.00","116,390,038.38","91,012,201.56","61,949,006.69","62,425,773.34","60,418,570.22"
应付职工薪酬,"399,498.90","399,498.90","399,498.90","460,737.17","1,102,140.43","189,507.57","468,318.63","4,561,777.79","700,582.43","487,386.00","436,340.20","6,152,846.55","626,235.17","806,956.22","636,918.37","7,770,039.07","890,778.87","792,291.14","929,059.42","8,482,768.65","1,604,837.67","1,304,204.51","1,279,490.29","4,444,058.79","899,828.99","847,043.70","1,090,300.33","23,858,191.46","13,514,673.55","15,347,979.51","15,430,185.60","21,706,041.88","15,292,689.63","16,300,482.90","18,499,087.89","20,109,714.07","16,035,642.73","14,066,717.75","14,066,831.74","28,257,127.41","15,709,948.35","14,138,996.10","12,972,013.97"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-950,341.57","1,726,403.71","-436,189.89","1,138,838.85","328,561.72","-123,010.62","505,217.98","883,029.27","886,085.84","1,446,436.14","1,770,034.91","3,621,613.24","-3,619,637.82","-1,501,269.47","-1,613,412.83","2,956,020.44","-3,872,244.99","1,501,552.57","-3,330,924.66","6,241,963.82","-10,449,767.59","-3,883,427.09","-4,243,416.90","12,792,067.52","-9,239,303.49","-3,664,855.50","-16,420,917.61","7,505,139.30","-3,731,946.28","-9,637,021.95","12,866,772.90","14,883,602.77","-5,285,999.20","-5,929,374.95","-30,726,944.02","6,436,338.90","-18,016,049.57","-22,383,266.90","-36,363,751.21","20,186,792.46","21,563,572.97","18,767,621.43","31,571,754.07"
应收利息,,,,,,,,,,,,,,"4,474,881.35","2,489,598.08","3,173,341.52","1,960,827.42","3,150,740.45","4,567,635.05","5,147,297.12","3,820,694.98","4,356,167.79","4,413,597.35","4,404,437.53","5,082,498.33","2,701,641.09","1,175,842.45","558,448.00","1,060,021.26","1,060,021.26","1,060,021.26","1,060,021.26",,,,,,"2,592,768.50","2,004,289.32","698,041.21","1,206,753.42","3,114,358.89","4,831,358.18"
应付利息,"30,240,517.40","34,744,101.27","40,107,215.40","49,622,647.10","55,373,456.00","59,495,878.19","65,172,623.95","53,450,410.58","56,078,833.16","56,078,833.16","56,078,833.16","67,443,298.77","67,443,298.77","70,833,156.10","2,382,920.07","3,199,847.63","2,059,118.67","3,148,219.97","4,554,012.54","5,088,121.34","3,962,340.88","4,135,573.93","3,355,197.89","2,970,721.99","2,718,038.62","1,007,836.14","258,170.51",,"841,086.30","841,086.30","841,086.30","841,086.30",,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,"892,097.51",,"501,732.44",,"325,657.38","325,657.38","325,657.38",,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"25,153,110.40","20,778,312.60","22,981,505.38","14,710,786.76","6,812,882.21","11,725,652.14","10,416,568.01","23,670,510.24","45,313,805.47","46,153,258.07","38,234,212.26","12,130,173.42","22,819,204.44","40,577,882.35","38,903,679.74","83,424,909.42","55,377,863.70","38,004,462.65","44,418,802.16","66,988,537.39","70,496,496.61","59,495,264.58","79,329,625.54","59,169,387.97","89,844,169.84","66,621,805.86","81,473,453.81","447,176,959.35","498,835,946.74","547,840,521.74","729,838,747.27","788,208,075.03","902,115,432.51","982,843,311.51","1,111,983,964.97","1,315,713,068.10","1,323,159,980.80","1,404,155,052.82","1,435,573,065.91","1,466,936,046.30","1,641,565,999.12","1,813,543,977.54","1,958,081,243.99"
其他应付款,"14,255,085.99","12,423,748.07","12,323,064.01","12,286,178.02","13,136,665.84","12,143,786.71","14,002,628.12","12,738,019.67","13,266,792.64","12,203,066.98","11,415,950.13","84,574,506.13","83,993,640.41","84,503,597.47","10,888,737.95","13,939,680.80","11,590,385.07","15,833,902.81","10,682,811.68","19,647,243.65","15,181,162.10","29,465,074.42","16,727,431.07","24,181,219.78","12,855,579.83","17,071,028.60","27,025,278.54","46,066,932.94","58,697,992.36","50,872,639.62","40,888,144.42","49,199,997.97","52,659,829.26","45,546,745.61","50,539,777.33","181,377,956.45","36,295,201.46","31,876,658.76","29,676,940.92","78,110,649.93","21,985,068.82","25,204,227.79","90,087,408.58"
