科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"130,644,796.70","346,556,216.71","752,197,100.00","185,601,001.35","372,306,428.45","575,503,969.85","749,192,967.82","85,379,301.80","287,977,399.14","578,505,013.19","894,419,096.34","260,228,561.90","638,900,124.30","1,075,231,231.13","1,535,578,887.84","299,995,899.94","691,943,189.66","1,252,638,034.99","1,896,900,269.13","386,989,308.27","782,638,259.34","1,247,757,563.81","1,744,004,006.45","353,348,234.49","815,075,956.72","1,271,488,957.73","1,778,031,622.31","339,173,729.97","798,479,070.80","1,257,593,206.82","1,715,452,460.65","278,578,725.72","670,396,606.53","1,044,450,575.77","1,439,845,953.52","248,078,843.20","578,372,080.98","973,644,046.57","1,401,565,207.44","303,639,795.05","872,668,986.94","1,474,945,469.57","2,018,278,278.74","473,458,292.08","1,145,772,141.88"
二、营业利润,"16,007,221.23","55,009,732.91","116,585,800.00","7,266,545.48","16,967,357.62","21,645,924.05","-16,275,114.97","-27,899,195.51","-38,154,610.30","-32,063,039.43","-91,463,583.05","-6,976,175.68","-21,049,203.03","-35,320,254.74","-53,848,847.14","-35,415,244.82","-54,942,581.61","-2,812,955.95","-36,858,009.75","-44,392,148.15","-82,557,310.24","-129,222,743.58","-180,557,876.92","-26,279,183.36","-22,422,328.57","-44,808,226.53","-72,966,249.65","-18,889,548.66","-35,043,268.21","-57,892,074.86","-71,343,824.88","-19,767,174.00","-37,147,692.87","-87,251,702.29","-246,176,351.14","-35,920,284.81","-66,929,754.06","-76,316,644.87","-51,940,197.20","-10,034,985.98","4,691,655.98","16,517,065.41","24,225,740.81","-221,914.16","49,746,843.00"
减:营业成本,"85,738,069.05","220,613,812.21","488,506,000.00","143,667,295.60","290,005,861.59","458,029,380.91","601,538,602.09","79,965,947.31","241,075,547.97","476,800,062.48","784,143,990.58","220,743,508.20","565,196,435.15","967,524,707.50","1,366,395,294.74","271,302,862.95","619,715,014.99","1,069,366,691.68","1,630,449,354.61","355,540,877.82","725,070,190.25","1,162,937,809.25","1,617,888,706.24","333,159,371.24","753,892,852.57","1,164,565,763.16","1,617,098,722.27","304,581,902.44","702,151,713.72","1,118,372,055.17","1,522,449,006.94","239,107,675.72","589,648,482.12","956,634,279.74","1,355,928,525.46","238,511,956.14","539,061,534.49","894,569,778.09","1,294,491,976.38","275,120,326.02","803,467,437.38","1,349,906,979.11","1,859,364,600.22","449,365,262.05","1,023,507,837.82"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"673,640.58","2,555,330.38","5,219,400.00","1,006,602.08","2,445,973.81","3,564,204.83","5,360,089.24","719,333.63","2,030,879.75","2,829,784.41","3,749,183.52","673,916.56","1,334,703.70","3,413,277.14","6,652,494.35","591,191.47","2,496,974.21","4,971,382.62","8,683,724.17","1,792,620.41","3,997,124.01","7,332,490.26","11,924,415.13","1,586,262.53","4,312,599.65","6,998,291.27","10,098,372.53","1,840,822.68","4,765,714.03","7,347,436.15","9,339,802.98","4,373,757.10","7,476,690.61","9,223,947.40","7,046,655.93","1,162,284.99","1,992,815.62","3,766,451.38","12,116,749.70","3,720,482.27","11,114,066.12","18,004,368.99","24,347,727.26","6,180,920.59","12,756,285.51"
营业外收入,"1,270,732.93","19,446,369.83","54,096,700.00","9,646,921.17","31,058,438.92","50,916,014.63","71,718,527.14","7,588,894.93","10,034,767.65","11,764,803.00","42,050,222.88","23,934,885.22","41,721,933.40","48,121,860.95","89,425,385.87","8,972,732.90","14,155,651.30","15,751,512.89","69,097,659.52","12,153,192.01","29,893,247.96","46,270,339.73","63,957,116.50","16,955,515.84","31,529,339.16","51,443,841.58","84,602,507.33","13,222,312.44","41,813,393.53","66,278,540.76","89,104,570.70","16,965,120.94","32,970,162.54","44,534,545.65","52,554,133.66","1,084,514.46","9,982,588.59","22,969,178.80","76,479,403.43","11,075,861.30","7,488,668.77","8,355,935.17","2,811,847.54","1,890,881.56","5,942,025.07"
销售费用,"6,245,918.85","13,206,439.60","33,936,100.00","6,877,156.25","13,992,392.35","22,651,728.80","30,747,833.80","5,582,643.53","15,511,307.51","25,375,397.17","46,355,820.10","15,440,791.79","23,232,980.04","32,951,712.61","57,578,932.39","8,350,865.01","22,327,339.43","35,293,029.89","80,447,534.89","10,823,611.74","26,410,946.41","42,738,049.65","57,631,520.57","9,283,192.56","28,221,827.54","43,856,235.95","66,260,293.82","13,377,725.91","31,387,823.94","50,180,053.25","69,541,349.18","16,516,154.45","33,041,478.13","50,598,816.45","70,932,169.67","10,331,259.58","24,659,710.99","42,139,473.18","67,040,576.73","7,444,707.57","25,210,849.44","46,916,216.34","73,266,760.62","14,110,329.17","33,621,716.97"
减:营业外支出,"33,470.00","85,304.52","662,500.00","107,181.14","1,362,868.59","2,143,282.59","2,283,293.08","315,022.86","565,357.06","731,019.65","886,203.80","374,894.58","669,906.23","1,990,307.91","2,256,075.49","812,502.47","1,101,498.00","1,283,435.47","2,409,308.61","1,287,582.26","1,598,698.48","1,788,217.02","2,513,998.83","200,583.88","1,283,813.46","1,742,734.36","2,861,055.89","219,553.82","680,503.07","989,123.07","5,315,053.90","568,112.53","649,683.15","3,079,236.24","3,279,643.06","153,373.11","5,692,295.21","5,718,857.17","3,175,013.17","182,760.30","366,244.40","558,415.91","9,826,665.74","629,013.20","780,051.23"
管理费用,"15,368,908.90","37,232,720.02","69,099,500.00","18,529,005.76","32,860,588.93","52,864,043.78","77,353,461.11","26,134,114.08","45,281,103.88","66,675,912.37","89,317,511.70","19,473,604.49","42,996,566.97","66,814,921.16","99,538,502.84","34,537,013.18","57,233,473.78","85,534,313.83","122,620,464.66","36,693,431.71","67,176,297.38","99,662,408.50","137,007,132.09","30,547,826.66","62,452,072.74","97,262,135.39","134,269,296.90","32,236,165.71","64,724,469.10","103,067,474.53","137,076,000.48","29,858,976.24","60,262,989.42","83,873,979.50","133,287,325.53","25,992,722.25","53,874,302.42","76,161,711.44","102,473,972.54","19,640,248.63","40,603,087.69","62,628,094.99","93,422,825.16","24,093,434.50","46,179,330.40"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,"2,939.80",,,,"1,695.20",,,,"544,064.32",,,,667.50,,,,,,,,"2,338,250.85",,,,"685,147.29",,"97,861.76","127,833.27",,,
