科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"107,958,312.21","199,837,844.97","391,590,109.10","165,275,160.01","273,984,516.96","99,220,425.54","184,091,022.78","227,239,311.96","278,828,209.27","36,747,867.08","90,049,479.01","163,181,103.00","240,219,830.39","61,231,373.56","153,349,997.12","223,260,555.70","323,841,616.41","49,409,668.13","228,469,359.13","311,458,777.27","473,730,979.63","191,412,831.46"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"4,869,229.91",,,"10,871,161.84","9,863,471.50",
收到的税费返还,"1,408,337.33","4,696,096.82","9,399,436.62","213,247.86","887,855.50","4,958,964.10","6,940,080.02","10,025,216.97","10,559,833.24","1,110,964.78","2,764,306.96","5,353,019.08","6,378,123.75","1,210,803.26","3,459,957.62","5,149,592.11","7,151,509.44","3,760,343.57","8,483,459.56","17,339,402.41","15,546,441.57","7,933,552.21"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"5,631,323.22","1,268,993.49","4,047,066.74","21,372,784.36","22,641,388.63","3,691,577.98","6,756,585.78","8,011,537.90","9,442,334.19","5,647,628.99","6,742,330.36","7,919,368.63","25,583,911.68","787,629.68","1,336,748.79","3,638,970.01","7,878,949.88","3,253,786.28","3,518,390.35","80,411,391.70","8,240,078.46","943,476.05"
投资活动现金流出小计,"5,162,643.75","21,717,916.62","14,229,236.37","1,249,710.79","2,696,906.56","61,226.49","178,396,614.41","332,958,520.68","645,829,553.25","98,475,647.99","268,621,211.81","476,382,420.78","563,817,498.07","10,105,432.51","17,519,842.63","26,188,227.24","210,468,097.39","197,047,516.69","337,605,702.62","448,912,168.13","539,188,967.79","9,899,677.68"
经营活动现金流入小计,"114,997,972.76","205,802,935.28","405,036,612.46","186,861,192.23","297,513,761.09","107,870,967.62","197,787,688.58","245,276,066.83","298,830,376.70","43,506,460.85","99,556,116.33","176,453,490.71","272,181,865.82","63,229,806.50","158,146,703.53","232,049,117.82","338,872,075.73","56,423,797.98","240,471,209.04","409,209,571.38","497,517,499.66","200,289,859.72"
投资活动产生的现金流量净额,"-5,162,643.75","-21,717,916.62","-14,161,236.37","-1,249,710.79","-2,682,906.56","-61,226.49","-138,231,682.91","-212,076,904.25","-231,404,138.82","33,036,380.37","143,226,318.79","66,223,690.80","40,261,410.36","-10,045,546.51","-17,459,956.63","-24,322,445.31","-208,029,089.22","49,471,504.40","40,152,294.88","165,026,657.51","104,913,841.21","30,533,856.57"
购买商品、接受劳务支付的现金,"63,711,882.64","122,953,267.85","297,536,871.14","77,104,674.09","190,289,312.11","36,429,358.26","54,116,026.57","85,874,939.54","103,541,666.10","63,882,230.89","100,351,930.69","150,342,013.44","176,615,055.62","49,522,791.92","107,098,631.33","145,466,176.76","189,529,103.25","32,500,205.90","125,126,121.47","256,547,314.69","313,506,646.98","169,144,740.09"
吸收投资收到的现金,,,,,,"241,204,923.20","231,107,818.30","231,107,818.30","231,107,818.30",,,,"2,500,000.00",,,"336,693,796.40","338,436,055.40","608,546.32","1,868,994.32","2,247,338.07","7,853,328.02","2,264,068.03"
