科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"301,794,984.80","281,384,793.64","100,676,017.52","271,788,993.89","86,634,091.80","185,400,341.53","271,210,576.59","349,923,489.01","75,614,573.68","160,114,498.04","243,356,934.50","329,616,966.64","87,998,291.66","196,757,046.11","293,479,915.23","386,437,821.06","107,224,813.89","223,933,827.45","338,264,890.03","457,220,358.42","117,087,000.21","286,907,637.16","422,745,938.70","528,208,460.15","96,933,324.56","201,343,265.52","283,589,153.99","560,647,662.30","77,652,955.73","172,562,537.00","252,470,091.21","370,558,004.04","86,281,884.22","160,778,597.68","287,574,966.95"
二、营业利润,"58,652,694.36","55,163,321.20","15,767,509.72","51,511,400.51","18,502,587.99","42,899,989.46","66,856,681.47","71,467,924.17","17,556,435.17","37,288,761.04","50,606,051.12","59,050,999.60","16,214,073.03","34,150,622.78","48,939,711.85","56,361,281.49","17,396,630.84","22,410,894.60","32,726,551.73","44,952,284.87","4,035,570.93","9,284,709.43","15,506,216.65","-129,106,553.84","-2,918,093.79","-112,036,467.42","-117,387,433.85","-88,018,391.49","9,326,021.33","46,799,777.05","79,070,880.76","185,137,232.00","50,726,784.41","44,065,477.00","95,799,088.59"
减:营业成本,"190,191,091.21","169,073,075.02","59,256,130.21","164,753,829.43","54,602,201.89","114,951,270.06","165,593,370.61","219,524,898.30","46,198,729.42","97,672,397.11","153,219,413.61","213,136,039.60","59,246,719.33","130,226,921.67","197,269,114.12","257,694,681.70","68,742,225.06","150,044,889.89","229,373,342.36","312,074,930.86","86,940,574.85","218,722,498.65","326,902,463.02","408,309,041.31","78,136,553.25","152,775,583.86","208,443,312.94","377,211,797.75","2,943,467.46","28,286,799.79","40,923,382.70","57,701,934.01","14,150,844.23","26,873,466.66","74,465,842.38"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"464,911.02","469,074.02","403,427.62","950,603.98","230,729.69","266,558.98","330,175.72","893,374.88","473,225.05","1,361,880.27","2,138,102.67","2,817,679.53","677,821.19","1,733,149.74","2,567,375.24","3,373,962.69","1,301,425.76","2,391,342.79","2,994,946.87","3,850,107.81","1,177,029.54","2,152,292.27","2,856,744.72","3,798,141.67","1,117,944.56","1,910,373.78","2,475,039.27","2,491,737.79",,,,"116,113.88",,"19,706.56","127,605.27"
营业外收入,"1,702,873.17","3,167,562.02","1,107,592.10","2,633,121.54","36,219.00","344,975.24","4,019,361.24","8,040,169.24","8,797.42","1,132,408.32","1,208,321.07","1,290,059.92","175,301.22","388,603.12","562,362.74","747,402.43","608,570.51","762,563.56","1,719,658.58","1,206,236.80","340,000.00","1,248,644.94","1,481,603.98","2,175,436.37","299,565.00","472,075.02","2,864,308.50","128,893,406.98",,,,,,"38,566,617.80","38,566,617.93"
销售费用,"7,986,505.49","8,197,961.86","3,495,254.01","8,865,481.27","2,322,740.74","4,423,828.03","6,411,704.52","9,028,552.41","1,934,575.37","4,281,207.18","6,299,910.83","8,961,299.94","1,768,979.89","4,939,382.65","8,246,276.49","13,644,897.13","4,716,266.08","9,853,128.34","13,937,896.34","18,446,321.56","4,883,179.60","11,448,566.01","19,420,472.03","25,995,730.22","4,335,593.41","8,113,224.01","8,806,910.87","19,359,225.45","4,334,298.77","11,008,886.56","17,125,137.85","24,088,520.22","6,396,024.40","12,921,352.33","20,175,506.45"
减:营业外支出,"562,171.62","949,521.33","59,378.56","137,628.22","15,236.57","249,137.08","256,547.08","455,113.52","30,141.50","120,013.21","279,493.55","1,178,453.87","221,273.05","235,840.24","319,350.81","342,200.47","309,718.08","503,897.89","750,707.21","2,255,227.39","35,616.12","135,086.29","2,042,244.86","408,781.77","74,500.69","4,284,568.11","4,425,681.58","4,712,697.39",,,,"37,223.53",,,"1,772.40"
管理费用,"37,847,357.02","41,453,927.95","21,085,591.58","42,053,049.78","10,332,542.95","20,246,826.29","32,107,513.86","50,935,414.48","11,117,273.47","24,437,923.90","38,036,022.80","55,462,716.84","13,901,001.06","31,646,865.26","46,423,094.22","66,440,691.26","18,534,579.62","40,181,223.04","60,609,612.62","82,037,293.40","19,853,393.44","42,418,739.22","61,403,360.00","82,339,451.39","18,859,830.86","122,909,136.17","161,779,840.86","186,174,670.38","10,043,458.55","27,713,354.97","39,695,100.35","41,398,466.00","10,016,586.08","27,555,463.55","38,486,569.13"
其中:非流动资产处置净损失,"511,481.15","782,421.33",,"62,841.30","14,836.57",,,,,,,,,,,"318,824.82",,"347,165.16","566,375.66","1,980,883.43","34,996.82","109,053.16","534,061.74","236,908.27","73,900.69","3,289,439.42","3,478,744.89","3,726,823.72",,,,"37,223.53",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,506,516.50","6,696,591.98","536,487.56","1,422,773.05","504,742.34","1,211,056.65","1,841,519.91","-977,291.49","-2,116,888.79","-5,311,015.47","-7,089,270.39","-9,609,463.42","-3,860,391.35","-7,653,220.57","-11,082,831.66","-13,018,402.12","-1,951,230.69","-317,258.47","178,433.55","2,914,433.48","-1,004,481.22","-2,001,006.26","-2,070,491.89","-1,784,375.94","-677,529.21","-1,142,662.58","-6,511,954.00","-9,409,990.19","50,936,605.00","52,013,771.82","67,683,107.16","49,500,117.61","7,911,548.18","47,940,870.83","59,470,100.76"
三、利润总额,"59,793,395.91","57,381,361.89","16,815,723.26","54,006,893.83","18,523,570.42","42,995,827.62","70,619,495.63","79,052,979.89","17,535,091.09","38,301,156.15","51,534,878.64","59,162,605.65","16,168,101.20","34,303,385.66","49,182,723.78","56,766,483.45","17,695,483.27","22,669,560.27","33,695,503.10","43,903,294.28","4,339,954.81","10,398,268.08","14,945,575.77","-127,339,899.24","-2,693,029.48","-115,848,960.51","-118,948,806.93","36,162,318.10","9,326,021.33","46,799,777.05","79,070,880.76","185,100,008.47","50,726,784.41","82,632,094.80","134,363,934.12"
