科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"448,714,996.71","844,381,117.83","1,148,562,390.85","762,411,039.30","4,143,895,458.05","3,813,886,974.68","4,649,956,978.15","4,380,487,688.28","4,191,087,673.97","4,128,046,202.07","5,244,489,946.39","4,700,147,603.89","4,592,336,693.79","4,643,066,329.44","5,534,759,469.20","4,361,322,598.31","4,631,592,322.78","4,619,045,859.73","4,592,606,345.60","3,763,070,125.42","4,093,778,211.86","3,502,345,714.37","7,199,658,946.19","6,236,444,203.27","6,323,749,136.04","6,901,448,146.75","10,106,500,588.53","9,368,999,201.40","10,217,842,795.09","12,377,756,631.74","13,634,993,154.18","16,208,936,779.62","13,179,646,367.74","13,167,615,852.24","16,468,430,702.64"
短期借款,"45,000,000.00",,"27,374,000.00","27,374,000.00",,,,,,,,,,,,"86,004,909.25","41,751,164.67","113,295,063.58","180,799,798.20","623,836,298.56","863,916,628.23","860,815,209.61","362,317,989.11","533,118,584.09","1,569,115,108.97","934,021,416.18","876,600,473.94","828,319,244.57","152,782,096.64","439,854,272.32","32,291,324.85","2,587,109,789.38","1,965,132,452.76","650,412,864.82","97,114,655.91"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,"237,300.00","3,032,932.74","67,800.00","5,830,570.70",,"6,160,279.18",,,,"15,547,537.34","12,003,537.10","3,004,171.92","12,820,377.42","4,100,657.54"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,"3,741,370.00","1,315,910.00",,"5,086,484.68","13,745,601.74","12,956,910.89","19,281,989.69","22,022,680.70","21,823,075.00","21,038,313.79","69,789,502.97","61,897,855.66","18,562,128.16","28,187,297.02","15,946,836.46"
应收票据,"32,150,332.05","53,705,955.13","49,083,098.73","36,591,753.56","35,105,102.19","57,932,027.00","109,035,496.32","100,807,184.06","110,968,535.86","148,734,994.71","307,926,194.53","226,281,769.56","184,765,189.93","198,609,742.53","318,218,110.32","258,220,949.11","273,817,914.27","421,571,727.57","784,502,488.21","831,639,959.28","766,359,307.48","852,522,525.02","1,875,769,464.99","2,071,707,004.84","2,346,406,980.37","2,224,833,665.33","3,044,148,064.81","2,242,689,742.81","1,815,898,912.66","1,727,602,069.67","2,843,404,415.52","3,360,649,361.42","3,281,639,420.27","3,260,687,198.15","3,636,961,616.03"
应付票据,,"14,946,432.32",,"285,600.00",,,,,,,,,,,,,,,,,,,"274,000,000.00","52,000,000.00",,"372,000,000.00","209,741,787.71","784,024,759.54","1,604,622,259.66","2,351,226,540.16","876,804,536.72","615,155,449.06","536,694,693.25","733,584,221.11","845,397,427.92"
应收账款,"95,139,325.54","132,558,517.63","250,668,220.89","488,375,202.61","441,431,430.61","537,931,169.04","532,296,129.29","740,670,822.88","923,181,835.35","1,137,299,527.98","948,269,339.34","1,246,952,133.61","1,399,522,625.69","1,737,773,835.61","1,596,724,569.46","1,892,895,993.20","2,391,827,838.73","2,973,979,663.21","2,878,641,141.42","3,537,342,358.93","4,168,290,504.61","4,776,759,562.64","4,281,526,957.05","5,417,911,023.37","6,478,542,121.29","8,340,770,862.55","8,125,932,742.98","8,855,016,848.12","10,416,390,596.86","12,055,572,930.19","11,242,812,902.86","12,046,663,764.80","13,304,046,010.12","15,171,778,607.65","14,705,210,072.81"
应付账款,"150,623,017.23","220,312,217.30","409,036,986.84","291,431,110.52","440,096,423.02","301,022,691.54","409,041,016.97","366,807,817.41","461,335,176.59","526,482,300.38","698,356,705.75","411,391,993.37","583,440,129.17","686,476,038.19","1,075,022,460.87","679,921,966.49","926,429,008.80","1,351,654,344.77","1,608,687,019.42","1,335,357,738.21","1,994,760,450.86","2,108,574,600.65","3,318,309,615.91","2,488,604,715.68","2,723,053,840.05","3,374,064,111.34","5,869,739,370.78","3,453,175,778.62","4,815,377,752.38","5,546,845,220.35","7,008,335,023.47","5,068,476,484.18","6,155,893,782.95","6,711,619,644.23","10,039,943,012.26"
预付款项,"10,370.00","189,855.00","14,204,408.31","51,703,350.53","59,513,501.03","58,828,208.63","32,784,953.42","71,559,391.16","93,050,948.21","159,059,174.09","71,225,633.07","75,959,250.25","125,272,101.08","326,582,998.32","82,871,049.71","78,499,421.63","80,774,323.83","67,164,072.08","95,476,147.27","85,403,919.44","84,548,274.41","77,288,993.41","65,305,741.00","39,938,347.32","134,322,389.83","74,703,082.05","132,662,264.81","133,247,566.92","279,564,165.89","249,789,694.33","278,971,025.67","325,551,312.26","263,755,789.85","370,891,604.84","527,576,857.11"
预收款项,"17,384,345.77","29,495,908.87","56,865,605.69","12,702,555.83","22,277,817.02","17,465,808.02","90,480,761.88","78,834,978.33","89,267,000.27","54,867,420.61","218,298,534.72","207,398,212.45","191,873,129.23","202,006,881.41","268,404,065.35","222,853,718.17","277,276,474.85","279,509,849.67","289,065,210.76","296,809,036.04","397,395,316.19","422,241,678.20","503,067,411.07","458,576,005.73","507,163,335.34","406,112,031.34","395,510,795.73","309,986,284.49","276,212,767.65","138,864,140.64","469,691,437.39","574,994,112.96","444,375,209.14","402,471,608.02","570,573,208.60"
