科目,2010年度,2011年度,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-406,777.78","790,614.64","1,000,564.84","264,506.80","441,089.11","600,149.13","28,364.78","-159,583.45","-269,306.31","-351,897.85","-700,427.50","-1,158,031.17","-2,070,543.80","-2,251,023.31","-301,115.84","-1,610,461.47","-7,566,177.57","-9,161,476.96","-8,073,150.31","-11,882,478.53","-14,318,803.81","-19,523,620.36","-2,505,569.67","-5,639,393.61"
三、利润总额,"36,947,610.17","40,259,887.73","43,645,052.53","5,554,503.15","6,919,920.24","43,964,007.72","-9,776,503.50","5,258,077.65","9,446,541.57","49,279,368.62","-8,214,672.22","7,703,508.82","10,900,955.72","63,714,162.49","1,350,547.43","23,032,426.82","34,241,647.04","128,944,411.42","17,841,533.80","60,061,086.59","100,747,814.57","242,673,673.86","28,363,167.63","88,069,048.89"
资产减值损失,"1,383,291.59","3,003,405.79","2,699,763.09","736,100.15","1,268,234.23","237,612.50","469,878.30","1,103,238.52","643,270.59","1,091,158.89","650,480.93","1,970,322.56","3,958,732.50","693,761.86","1,251,894.54","2,055,788.29","5,309,286.45","4,761,620.32","1,273,558.54","4,611,383.59","5,560,697.86","3,910,940.45","3,688,611.07","9,961,032.41"
减:所得税,"5,409,836.24","6,221,763.44","6,465,083.15","791,706.47","1,019,204.74","3,606,674.05","-46,987.83","64,716.50","534,248.78","2,888,060.30","-97,572.14","1,135,095.94","1,221,560.66","5,879,643.27","160,079.53","2,800,881.14","3,431,162.71","7,141,851.08","2,078,117.97","7,331,812.82","13,444,573.37","21,897,523.02","3,406,901.20","10,689,220.97"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,"-647,298.38","2,637,182.08","13,189,360.40","3,419,042.54","6,864,999.16","9,973,122.43","34,798,508.43","-985,251.88","-1,375,757.01"
四、净利润,"31,537,773.93","34,038,124.29","37,179,969.38","4,762,796.68","5,900,715.50","40,357,333.67","-9,729,515.67","5,193,361.15","8,912,292.79","46,391,308.32","-8,117,100.08","6,568,412.88","9,679,395.06","57,834,519.22","1,190,467.90","20,231,545.68","30,810,484.33","121,802,560.34","15,763,415.83","52,729,273.77","87,303,241.20","220,776,150.84","24,956,266.43","77,379,827.92"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,"1,420,983.45","10,890,748.81","552,950.52","1,334,125.57","3,881,859.80","27,922,503.89","-1,353,444.45","-2,806,193.50"
归属于母公司所有者的净利润,"31,537,773.93","34,038,124.29","37,179,969.38","4,762,796.68","5,900,715.50","40,357,333.67","-9,729,515.67","5,193,361.15","8,912,292.79","46,391,308.32","-8,117,100.08","6,563,279.84","10,259,660.10","58,418,012.53","1,616,260.48","20,536,639.70","30,876,715.96","121,039,371.35","14,889,237.03","50,098,952.21","83,449,905.13","208,463,060.81","25,439,655.29","75,690,186.66"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,"5,133.04","-580,265.04","-583,493.31","-425,792.58","-305,094.02","-66,231.63","763,188.99","874,178.80","2,630,321.56","3,853,336.07","12,313,090.03","-483,388.86","1,689,641.26"
