科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"92,821,382.89","123,749,351.58","169,286,493.20","47,402,414.23","98,504,524.91","153,933,051.98","224,453,830.60","47,095,293.42","122,897,859.11","211,911,218.20","313,260,727.26","70,354,808.71","160,005,158.99","238,766,331.35","344,940,078.15","81,782,995.83","182,756,936.27","273,333,722.50","409,040,721.43","92,365,019.75","193,438,776.53","289,585,968.35","394,995,623.83","85,470,669.58","225,412,114.71","325,324,263.24","417,224,083.22","78,943,914.90","191,028,821.85","266,791,308.89","359,535,979.29"
二、营业利润,"22,564,878.62","31,730,238.75","45,366,711.73","13,849,182.85","27,862,380.54","42,233,324.25","59,494,511.57","6,329,298.86","20,072,502.03","36,624,749.67","53,236,170.32","7,000,464.69","22,986,168.39","39,186,247.96","68,236,490.38","5,516,879.56","23,969,406.44","42,377,046.68","80,160,734.24","8,044,365.19","22,929,371.02","30,499,591.70","33,069,331.82","3,412,085.62","40,530,797.38","48,480,758.16","51,500,924.02","3,394,034.12","45,637,593.78","50,294,143.74","47,992,097.01"
减:营业成本,"33,512,498.13","49,369,132.85","68,816,285.89","19,181,978.09","39,793,676.63","63,289,706.14","105,151,346.63","23,309,370.63","69,421,469.37","121,112,104.78","182,042,152.25","41,784,109.41","94,275,673.09","133,673,435.09","188,769,467.31","53,266,146.13","109,113,619.52","157,419,130.38","225,514,116.48","58,034,242.70","113,247,077.03","175,307,735.66","237,007,485.28","53,971,464.51","139,338,998.81","204,118,756.39","260,376,489.43","49,131,211.53","116,361,147.72","162,154,096.27","234,483,834.67"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,347,616.90","5,210,192.71","7,063,987.88","1,638,741.08","3,668,612.23","5,664,485.90","8,022,190.55","241,288.57","1,065,659.87","1,702,356.37","1,558,639.90","291,393.22","605,969.74","778,085.56","1,257,708.07","243,783.90","553,934.54","795,738.19","1,416,916.77","337,056.97","702,328.06","1,303,400.03","2,226,256.60","165,499.14","665,253.49","1,019,723.50","2,206,363.31","318,493.27","2,122,152.45","2,435,456.04","4,096,116.88"
营业外收入,"1,999,673.35","2,921,240.35","5,405,637.02","511,135.00","2,718,983.92","5,287,761.30","6,945,732.37","1,523,029.02","2,772,499.93","4,046,200.76","6,378,822.83","1,770,486.58","3,143,565.18","5,401,881.81","7,406,633.26","1,618,497.76","3,633,726.95","6,184,898.91","6,686,490.87","179,095.85","5,144,747.72","9,460,516.81","13,470,695.67","2,124,576.10","4,022,500.76","5,330,938.10","7,809,218.57","1,973,446.94","304,996.34","4,263,976.62","8,516,173.77"
销售费用,"11,625,015.12","12,330,138.07","16,389,773.78","4,295,795.14","9,230,666.56","14,796,935.24","19,240,782.98","6,153,255.61","11,380,126.37","16,609,476.06","27,195,460.62","7,575,786.11","15,715,216.32","21,299,408.68","25,781,315.39","5,744,657.59","13,217,075.29","17,866,358.94","24,265,666.11","5,813,986.54","12,890,641.14","18,907,111.15","27,484,568.16","5,511,199.56","13,229,719.03","17,952,556.18","26,991,473.49","5,565,636.69","10,676,907.13","15,797,585.80","20,781,131.63"
减:营业外支出,"203,526.52","25,209.17","278,502.74",309.51,"7,768.24","13,340.13","57,125.76","50,000.00","52,972.19","61,098.28","220,779.09",53.80,"15,887.21","17,749.71","45,089.15",22.14,"3,166.61","133,625.64","157,845.67",,"13,826.26","18,271.45","826,250.30","2,786.60","56,435.12","139,369.68","365,560.74",442.73,"30,390.76","25,206.14","16,993,249.15"
管理费用,"19,511,294.63","23,966,558.31","31,041,319.56","7,902,250.52","17,272,644.79","28,125,961.51","34,965,543.94","12,711,443.65","24,740,778.61","40,971,596.66","57,098,992.84","14,726,526.99","28,565,206.10","48,787,099.04","68,369,647.58","18,401,930.25","39,272,221.72","59,190,616.32","87,213,351.68","20,107,170.04","45,413,269.77","67,442,427.87","101,012,060.85","20,785,820.68","45,151,611.26","65,931,535.13","84,256,459.95","18,327,031.12","41,778,569.64","61,288,093.23","77,499,687.10"
其中:非流动资产处置净损失,"-1,902.48","-8,826.74","-110,183.70",,,,"4,434.22",,,,"9,357.14",,,,"27,020.02",,,,"118,649.90",,,,"662,424.04",,,,"95,900.35",,"30,036.19",,
