科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"79,454,842.04","119,262,474.26","154,700,968.47",,"125,695,801.24","510,583,132.75","463,570,072.78","452,032,233.69","410,484,279.58","520,933,858.91","427,792,767.32","401,249,838.37","281,871,781.43","337,820,951.66","211,456,827.75","142,621,652.24","142,158,831.50","230,272,648.62","112,128,264.47","64,848,520.47","79,796,925.63","226,592,244.76","171,668,838.67","143,346,052.38"
短期借款,"30,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,"31,177,600.00",,"10,038,667.53"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,"5,625,000.00",,,
应收账款,"3,647,972.65","67,373.02","743,581.63",,"590,312.49","2,057,228.99","380,236.12","828,085.81","928,458.76","1,541,301.60","361,257.42","795,422.85","452,152.08","1,247,308.59","933,014.55","2,692,765.47","1,843,267.38","11,574,335.45","7,935,350.51","10,121,977.03","7,786,870.10","12,674,468.99","25,714,132.43","32,352,733.09"
应付账款,"2,315,758.30","9,807,480.81","4,821,795.43",,"6,515,025.90","4,812,049.00","2,688,570.09","2,754,966.86","9,290,555.00","6,724,129.68","1,217,588.12","2,473,944.52","11,460,036.87","26,024,820.52","128,353,580.13","107,006,421.05","98,766,117.56","85,240,345.00","84,102,387.66","68,588,977.29","65,866,311.62",,"74,367,554.88",
预付款项,"2,531,817.92","5,948,829.85","2,068,095.36",,"3,236,170.18","5,553,817.60","4,604,521.05","7,968,324.10","6,204,940.47","11,361,832.84","9,729,917.06","15,786,966.11","59,256,743.64","16,817,527.11","2,313,233.92","2,098,480.59","4,544,422.56","12,463,561.65","106,875,878.74","10,892,621.57","6,172,943.20","6,045,118.18","4,734,337.42","4,442,005.34"
预收款项,"14,810.00","845,682.53","716,841.45",,"955,181.97","803,339.23","684,577.63","369,976.09","756,327.08","1,109,247.46","417,768.67","714,578.27","622,560.30","617,561.86","443,855.87","792,121.42","1,285,449.93","3,250,286.87","1,190,449.34","922,448.29","1,658,036.92","6,126,580.17","1,751,796.70","920,544.06"
其他应收款,"492,692.57","582,075.59","1,264,376.20",,"4,738,938.86","1,490,448.67","71,027.20","1,966,899.24","3,620,552.89","7,275,435.61","4,261,000.37","5,298,933.12","5,313,569.35","5,662,002.71","17,416,555.49","18,778,717.59","19,577,215.54","21,704,095.36","32,039,394.16","38,968,675.05","40,685,227.83","30,754,013.11","27,224,880.45","11,710,870.34"
应付职工薪酬,"15,877,758.10","23,643,808.63","22,527,184.09",,"11,448,599.83","17,209,335.49","32,251,950.60","30,799,215.94","19,101,605.97","18,500,917.74","29,295,159.11","25,584,988.91","22,587,877.53","28,930,636.22","41,501,623.87","23,304,002.38","30,852,095.11","29,788,143.00","45,634,368.18","34,369,715.88","36,782,264.13","44,227,375.49","45,742,039.05","30,947,149.28"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"8,290,512.46","2,606,374.55","2,576,903.03",,"4,229,677.73","38,221,751.66","2,873,110.38","2,573,166.61","4,196,490.87","43,793,370.18","3,081,763.73","3,190,350.77","1,794,437.00","31,335,923.18","6,387,799.13","2,264,063.00","3,769,586.90","29,233,612.02","4,065,597.48","2,525,050.48","3,984,439.09","29,322,916.66","3,460,406.79","2,493,786.42"
应收利息,,"67,092.22",,,,,"167,835.36",,,,"1,563,412.51","368,041.54","337,638.09","337,638.09","117,317.05","110,168.00","110,168.00","110,168.00",,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,"139,689.80",
应收股利,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"2,663,832.37",,,,,,,,,,,,,,,,,,,,,,,
存货,"3,542,313.55","4,575,048.92","5,934,198.37",,"8,181,457.93","6,123,661.16","5,469,501.13","5,537,265.80","8,837,261.72","7,819,061.40","7,697,451.51","7,658,141.56","10,074,177.07","8,724,108.61","10,544,930.77","10,314,526.64","12,779,101.37","11,540,125.59","13,197,517.64","14,318,065.31","16,284,003.63","16,334,045.65","14,988,378.89","14,934,727.17"
其他应付款,"6,932,286.83","4,289,591.63","3,381,643.18",,"2,068,864.44","3,898,463.34","3,885,538.97","5,467,550.98","4,011,635.85","4,264,190.84","5,663,141.94","8,145,566.65","6,462,851.12","33,087,097.49","31,979,032.46","27,887,901.65","31,417,824.06","37,618,910.42","34,518,875.05","42,477,897.44","37,516,174.85","56,425,315.91","32,046,634.34","34,287,528.12"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,"1,529,261.39","3,171,793.54",,"3,156,829.16",,"3,257,528.21","3,220,152.82","267,355.96","41,941.77","6,439,153.63","6,387,560.66","3,032,508.36","3,032,508.36","9,890,306.83","10,793,662.42","11,194,103.34","4,671,978.92","5,256,807.06","8,722,284.26","8,741,542.87","6,835,887.12","9,470,769.34","9,774,941.02"
其他流动负债,"155,648.54","161,525.92","247,373.36",,"247,373.36","247,373.36","247,373.36",,"247,373.36","247,373.36","463,466.08","463,466.08","463,466.08","463,466.08","472,373.36","472,373.36","472,373.36","472,373.36","472,373.36","472,373.36","472,373.36","472,373.36","472,373.36","472,373.36"
流动资产合计,"89,669,638.73","132,032,155.25","167,883,013.57",,"145,599,509.86","525,808,289.17","477,520,721.85","471,552,961.46","430,342,849.38","548,973,432.13","457,844,959.82","437,544,904.21","360,338,570.02","373,642,045.13","252,672,186.36","187,409,972.95","192,207,109.69","292,336,913.59","277,433,212.58","147,872,143.69","159,467,513.26","330,413,377.81","253,801,337.20","226,599,996.87"
流动负债合计,"66,250,606.60","41,354,464.07","34,271,740.54",,"25,464,723.23","65,192,312.08","42,631,121.03","41,964,876.48","37,603,988.13","74,639,229.26","40,138,887.65","40,572,895.20","43,391,228.90","120,459,505.35","209,138,264.82","161,726,882.86","166,563,446.92","185,603,670.67","169,984,051.07","149,356,462.74","151,904,599.97","205,669,822.37","157,840,805.12","141,718,093.76"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,"51,690,000.00","81,690,000.00","93,545,490.22","93,269,490.22","101,849,490.22"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"1,714,399.37","1,802,562.61","1,514,475.35",,"200,421.23","200,421.23","200,421.23","200,421.23","200,421.23","200,421.23",,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,
